0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31151 35521	1	 * 	292.45	DCR|4VULN|3DMG|3DUR	178aVULN|245DUR|379DMG|6RCR|7BPWR
170	31151 35121	1	   	265.46	DCR|2VULN|3DUR|2DMG|1TLV	17VULN|245DUR|37DMG|6RCR|7BPWR|8LIT|9DUST|aTLV
171	31152 26151	1	   	265.46	DCR|2VULN|3DUR|2DMG|1TLV	15VULN|246DUR|36DMG|6BPWR|7DUST|8LIT|9RCR|aTLV
172	31131 14214	3	   	265.44	DCR|5VULN|3CDMG|1DUR|1AART	1349aVULN|234CDMG|34BPWR|5DUR|6RMIN|7RCR|8AART
173	31151 35211	1	   	265.41	DCR|3VULN|3DUR|2DMG|1AART	17aVULN|245DUR|37DMG|6RCR|7BPWR|8AART|9BEXP
174	31143 12351	9	   	265.36	DCR|3VULN|2TLV|2DUR|3CDMG	137VULN|237CDMG|37BPWR|4FEWX|59DUR|67TLV|8RMIN|aRCR
175	31143 12511	8	   	265.36	DCR|3VULN|2TLV|2DUR|3CDMG	137VULN|237CDMG|37BPWR|4FEWX|58DUR|67TLV|9CGEN|aRCR
176	31143 12513	10	   	265.36	DCR|3VULN|2TLV|2DUR|3CDMG	137VULN|237CDMG|37BPWR|4FEWX|58DUR|67TLV|9LHND|aRCR
177	31143 12521	9	   	265.36	DCR|3VULN|2TLV|2DUR|3CDMG	137VULN|237CDMG|37BPWR|4FEWX|58DUR|67TLV|9RMIN|aRCR
178	31143 12526	8	   	265.36	DCR|3VULN|2TLV|2DUR|3CDMG	137VULN|237CDMG|37BPWR|4FEWX|58DUR|67TLV|9RPLT|aRCR
179	31131 34214	3	   	265.34	DCR|5VULN|3CDMG|1DUR|1AART	1349aVULN|234CDMG|34BPWR|5DUR|6ERES|7RCR|8AART
180	31151 35261	1	   	265.31	DCR|3VULN|3DUR|2DMG|1AART	17aVULN|245DUR|37DMG|6RCR|7BPWR|8AART|9MBVNT
181	32331 22423	8	   	265.27	DCR|5VULN|1TLV|2AART	13567VULN|2aAART|4LIT|8TLV|9RCR
182	32331 22423	7	   	265.27	DCR|5VULN|1TLV|2AART	13567VULN|2aAART|4LIT|8TLV|9RCR
183	32331 22453	10	   	265.27	DCR|5VULN|1TLV|2AART	13567VULN|29AART|4LIT|8TLV|aRCR
184	32331 22454	9	   	265.27	DCR|5VULN|1TLV|2AART	13567VULN|29AART|4LIT|8TLV|aRCR
185	31136 32213	4	   	265.26	DCR|4VULN|1TLV|3CDMG|1AART	1357VULN|234CDMG|3BPWR|6TLV|8LIT|9AART|aRCR
186	31233 32213	3	   	265.26	DCR|4VULN|1TLV|3CDMG|1AART	1347VULN|245CDMG|4BPWR|6TLV|8LIT|9AART|aRCR
187	31143 12151	9	   	265.26	DCR|3VULN|2TLV|2DUR|3CDMG	137VULN|237CDMG|37BPWR|4FEWX|59DUR|67TLV|8ERES|aRCR
188	31143 12563	9	   	265.26	DCR|3VULN|3TLV|2DUR|3CDMG	137VULN|237CDMG|37BPWR|4FEWX|58DUR|679TLV|aRCR
189	31134 52261	6	 * 	265.15	DCR|4VULN|3DUR|3CDMG	138aVULN|234CDMG|3BPWR|569DUR|7RCR
190	31134 52331	9	   	265.15	DCR|4VULN|3DUR|3CDMG	138aVULN|234CDMG|3BPWR|567DUR|9RCR
191	32151 52315	3	   	264.89	DCR|3VULN|2TLV|2DUR|2AART	156VULN|23AART|46TLV|6BPWR|7ASPD|8RCR|9aDUR
192	32325 52315	5	   	264.89	DCR|3VULN|2TLV|2DUR|2AART	136VULN|24AART|56TLV|6BPWR|7ASPD|8RCR|9aDUR
193	31122 56153	4	   	264.82	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	135VULN|23CDMG|3BPWR|4TLV|6DMG|7RCR|8ASPD|9RCVC|aDUR
194	31122 56232	4	   	264.72	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	135VULN|23CDMG|3BPWR|4TLV|6DMG|7RCR|8BBNT|9LIT|aDUR
195	31222 56133	4	   	264.72	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	135VULN|29CDMG|4TLV|6DMG|7RCR|8ASPD|aDUR
196	31236 56232	3	   	264.72	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	134VULN|24CDMG|4BPWR|5TLV|6DMG|7RCR|8BBNT|9LIT|aDUR
197	31255 51213	9	   	264.72	DCR|3VULN|1TLV|2CDMG|1DMG|1DUR	138VULN|25CDMG|4DMG|6LIT|7DUR|9TLV|aRCR
198	31211 32111	3	   	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	137VULN|2CDMG|4RPLT|59DUR|6TLV|8DMG|aRCR
199	31243 12128	10	   	264.59	DCR|3VULN|2TLV|1DMG|2CDMG|1DUR	137VULN|27CDMG|4FEWX|5DUR|67TLV|7BPWR|8DMG|9MBVNT|aRCR
200	31222 56212	4	   	264.59	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	135VULN|2CDMG|4TLV|6DMG|7RCR|8BBNT|9aDUR
201	32325 12543	2	   	264.53	DCR|2VULN|3DMG|3DUR|1AART|1SELL	19VULN|2AART|3LIT|49aDMG|579DUR|6SELL|8RCR|9BPWR
202	44126 22222	5	   	264.50	DCR|4VULN|3DMG|1DUR|1SELL	1CGEN|2468VULN|346DMG|46BPWR|5RMIN|7RCR|9SELL|aDUR
203	35212 15336	8	 * 	264.46	DCR|3VULN|3DUR|1TLV|1DMG	159VULN|29LWND|3DMG|4TLV|6RPLT|789DUR|9BPWR|aRCR
204	54126 22222	5	   	264.40	DCR|4VULN|3DMG|1DUR|1SELL	1ERES|2468VULN|346DMG|46BPWR|5RMIN|7RCR|9SELL|aDUR
205	26162 32622	8	   	264.39	DCR|4VULN|2TLV|1DMG|2LIT	1RCVC|2459VULN|3DMG|6RCR|79TLV|89LIT|9BPWR|aRPLT
206	26162 32623	8	   	264.39	DCR|4VULN|2TLV|1DMG|2LIT	1RCVC|2459VULN|3DMG|6RCR|79TLV|89LIT|9BPWR|aFEWX
207	31121 22543	7	   	264.39	DCR|4VULN|2TLV|2CDMG|2LIT	137aVULN|23CDMG|3aBPWR|4aTLV|5CGEN|6LHND|8aLIT|9RCR
208	31121 32543	7	   	264.39	DCR|4VULN|2TLV|2CDMG|2LIT	137aVULN|23CDMG|3aBPWR|4aTLV|5CGEN|6FEWX|8aLIT|9RCR
209	31121 52543	7	   	264.39	DCR|4VULN|2TLV|2CDMG|2LIT	137aVULN|23CDMG|3aBPWR|4aTLV|5CGEN|6LWND|8aLIT|9RCR
210	31124 22643	7	   	264.39	DCR|4VULN|2TLV|2CDMG|2LIT	137aVULN|23CDMG|3aBPWR|4aTLV|5LWND|6MLV|8aLIT|9RCR
211	32113 25314	1	   	264.38	DCR|3VULN|2DMG|2DUR|1CDMG	156VULN|2DUST|3aDMG|46DUR|6BPWR|7CDMG|8RCR|9LIT
212	36113 25314	2	   	264.38	DCR|3VULN|2DMG|2DUR|1CDMG	156VULN|2DUST|3aDMG|46DUR|6BPWR|7CDMG|8RCR|9LIT
213	36213 25314	3	   	264.38	DCR|3VULN|2DMG|2DUR|1CDMG	156VULN|2DUST|3aDMG|46DUR|6BPWR|7CDMG|8RCR|9LIT
214	26162 32621	8	   	264.29	DCR|4VULN|2TLV|1DMG|2LIT	1RCVC|2459VULN|3DMG|6RCR|79TLV|89LIT|9BPWR|aTBNT
215	31123 22643	7	   	264.29	DCR|4VULN|2TLV|2CDMG|2LIT	137aVULN|23CDMG|3aBPWR|4aTLV|5ERES|6LHND|8aLIT|9RCR
216	31123 32643	7	   	264.29	DCR|4VULN|2TLV|2CDMG|2LIT	137aVULN|23CDMG|3aBPWR|4aTLV|5ERES|6FEWX|8aLIT|9RCR
217	31123 52643	7	   	264.29	DCR|4VULN|2TLV|2CDMG|2LIT	137aVULN|23CDMG|3aBPWR|4aTLV|5ERES|6LWND|8aLIT|9RCR
218	31122 24643	4	   	264.19	DCR|4VULN|2TLV|2CDMG|2LIT	135aVULN|23CDMG|3aBPWR|4aTLV|6ERES|7DUST|8aLIT|9RCR
219	31151 35111	1	   	264.05	DCR|3VULN|3DUR|2DMG	179VULN|245DUR|37DMG|6RCR|7BPWR|8LIT|aFEWX
220	31151 35112	1	   	264.05	DCR|3VULN|3DUR|2DMG	179VULN|245DUR|37DMG|6RCR|7BPWR|8LIT|aBEXP
221	31151 35116	1	   	264.05	DCR|3VULN|3DUR|2DMG	179VULN|245DUR|37DMG|6RCR|7BPWR|8LIT|aRMIN
222	32331 22443	10	   	264.05	DCR|5VULN|1TLV|2LIT|1AART	13567VULN|2AART|49LIT|8TLV|aRCR
223	32331 22444	9	   	264.05	DCR|5VULN|1TLV|2LIT|1AART	13567VULN|2AART|49LIT|8TLV|aRCR
224	31136 66132	3	   	264.05	DCR|5VULN|3CDMG|2LIT|1AART	1345aVULN|234CDMG|34BPWR|68LIT|7AART|9RCR
225	31135 63143	3	   	264.01	DCR|4VULN|1TLV|3CDMG	1349VULN|234CDMG|34BPWR|5ASPD|6LIT|7LHND|8RCR|aTLV
226	31254 31353	7	 * 	263.99	DCR|2VULN|2DMG|2DUR|1TLV|2CDMG	13VULN|25CDMG|45DMG|5BPWR|69DUR|7LWND|8RCR|aTLV
227	31254 31353	6	   	263.99	DCR|2VULN|2DMG|2DUR|1TLV|2CDMG	13VULN|25CDMG|45DMG|5BPWR|69DUR|7LHND|8RCR|aTLV
228	31154 21411	8	   	263.99	DCR|3VULN|2DMG|1TLV|3CDMG	136VULN|235CDMG|35BPWR|45DMG|7LWND|8TLV|9BEXP|aRCR
229	31154 21431	8	   	263.99	DCR|3VULN|2DMG|1TLV|3CDMG	136VULN|235CDMG|35BPWR|45DMG|7LWND|8TLV|9LHND|aRCR
230	31154 22411	8	   	263.99	DCR|3VULN|2DMG|1TLV|3CDMG	136VULN|235CDMG|35BPWR|45DMG|7BEXP|8TLV|9FEWX|aRCR
231	31154 22431	8	   	263.99	DCR|3VULN|2DMG|1TLV|3CDMG	136VULN|235CDMG|35BPWR|45DMG|7BEXP|8TLV|9LHND|aRCR
232	31154 23411	8	   	263.99	DCR|3VULN|2DMG|1TLV|3CDMG	136VULN|235CDMG|35BPWR|45DMG|7FEWX|8TLV|9BEXP|aRCR
233	31154 23431	8	   	263.99	DCR|3VULN|2DMG|1TLV|3CDMG	136VULN|235CDMG|35BPWR|45DMG|7FEWX|8TLV|9LHND|aRCR
234	31136 12214	3	   	263.99	DCR|5VULN|3CDMG|1DUR	13458VULN|234CDMG|34BPWR|6DUST|7RCR|9DUR|aASPD
235	31151 55113	1	   	263.95	DCR|3VULN|3DUR|2DMG	179VULN|245DUR|3aDMG|6LIT|8RCR
236	31124 56212	4	   	263.89	DCR|2VULN|2DMG|2DUR|1TLV|2CDMG	13VULN|23CDMG|3BPWR|4TLV|56DMG|7RCR|8BBNT|9aDUR
237	31141 12251	8	   	263.88	DCR|4VULN|2TLV|3CDMG	1378VULN|237CDMG|37BPWR|4FEWX|5LHND|67TLV|9ASPD|aRCR
238	32351 37453	2	   	263.84	DCR|3VULN|2DMG|2TLV|1AART	19aVULN|2AART|3LIT|4MBVNT|5DLOT|6RCR|7aTLV|8aDMG|aBPWR
239	31142 12251	8	   	263.78	DCR|4VULN|2TLV|3CDMG	1378VULN|237CDMG|37BPWR|4FEWX|5DUST|67TLV|9ASPD|aRCR
240	31242 12434	9	   	263.78	DCR|4VULN|3TLV|3CDMG	1378VULN|278CDMG|4FEWX|5DUST|678TLV|78BPWR|9RCR|aASPD
241	35231 26235	8	   	263.75	DCR|3VULN|3DMG|3LIT|1DUR	178VULN|2LWND|378DMG|4BELT|578LIT|6RCVC|78BPWR|9RCR|aDUR
242	32331 23333	10	   	263.71	DCR|4VULN|1TLV|1DUR|1AART	1356VULN|2AART|4LIT|7TLV|8ASPD|9DUR|aRCR
243	35212 62125	6	   	263.70	DCR|3VULN|2DMG|1TLV|1DUR|1AART	157VULN|2LWND|38DMG|4TLV|6RCR|9AART|aDUR
244	31154 26313	8	   	263.70	DCR|3VULN|2DMG|3CDMG|1DUR|1AART	136VULN|235CDMG|35BPWR|45DMG|7RPLT|8DUR|9AART|aRCR
245	31154 35213	6	   	263.70	DCR|3VULN|2DMG|3CDMG|1DUR|1AART	139VULN|235CDMG|35BPWR|45DMG|6RPLT|7AART|8DUR|aRCR
246	31154 35313	8	   	263.70	DCR|3VULN|2DMG|3CDMG|1DUR|1AART	137VULN|235CDMG|35BPWR|45DMG|6RPLT|8DUR|9AART|aRCR
247	33125 35233	5	   	263.65	DCR|3VULN|3DMG|2CDMG|1DUR	18aVULN|24CGEN|348DMG|48BPWR|5DUR|6ERES|78CDMG|9RCR
248	31136 33211	3	   	263.64	DCR|4VULN|1TLV|3CDMG|1DUR	1345VULN|234CDMG|34BPWR|6TLV|7DUR|8CGEN|9BEXP|aRCR
249	31136 33311	3	   	263.64	DCR|4VULN|1TLV|3CDMG|1DUR	1345VULN|234CDMG|34BPWR|6TLV|7DUR|8LHND|9CGEN|aRCR
250	31136 33326	3	   	263.64	DCR|4VULN|1TLV|3CDMG|1DUR	1345VULN|234CDMG|34BPWR|6TLV|7DUR|8LHND|9RPLT|aRCR
251	31136 33511	3	   	263.64	DCR|4VULN|1TLV|3CDMG|1DUR	1345VULN|234CDMG|34BPWR|6TLV|7DUR|8RMIN|9BEXP|aRCR
252	31136 33611	3	   	263.64	DCR|4VULN|1TLV|3CDMG|1DUR	1345VULN|234CDMG|34BPWR|6TLV|7DUR|8LWND|9CGEN|aRCR
253	31136 33626	3	   	263.64	DCR|4VULN|1TLV|3CDMG|1DUR	1345VULN|234CDMG|34BPWR|6TLV|7DUR|8LWND|9RPLT|aRCR
254	31136 52211	3	   	263.64	DCR|4VULN|1TLV|3CDMG|1DUR	1345VULN|234CDMG|34BPWR|6BEXP|7RCR|8RPLT|9DUR|aTLV
255	32351 52325	3	   	263.59	DCR|4VULN|2TLV|1DUR|1AART	1356VULN|2AART|46TLV|6BPWR|7ASPD|8RCR|9LWND|aDUR
256	33131 55233	4	   	263.55	DCR|3VULN|3DMG|2CDMG|1DUR	18aVULN|2CGEN|368DMG|4ERES|5DUR|78CDMG|8BPWR|9RCR
257	31136 31561	3	   	263.54	DCR|4VULN|1TLV|3CDMG|1DUR	1345VULN|234CDMG|34BPWR|6TLV|7ERES|8BEXP|9DUR|aRCR
258	31136 31661	3	   	263.54	DCR|4VULN|3CDMG|1TLV|1DUR	1345VULN|234CDMG|34BPWR|6TLV|7ERES|8FEWX|9DUR|aRCR
259	31136 33663	3	   	263.54	DCR|4VULN|1TLV|3CDMG|1DUR	1345VULN|234CDMG|34BPWR|6TLV|7DUR|8LWND|9TBNT|aRCR
260	32351 52311	3	   	263.49	DCR|4VULN|2TLV|1DUR|1AART	1356VULN|2AART|46TLV|6BPWR|7ASPD|8RCR|9DUR|aDUST
261	32351 52312	3	   	263.49	DCR|4VULN|2TLV|1DUR|1AART	1356VULN|2AART|46TLV|6BPWR|7ASPD|8RCR|9DUR|aERES
262	54123 12336	7	   	263.47	DCR|4VULN|2DMG|2DUR	19ERES|2479VULN|34DMG|49BPWR|5DUST|6RPLT|89DUR|aRCR
263	31222 53642	4	   	263.21	DCR|4VULN|1TLV|1DMG|1CDMG	135aVULN|2CDMG|4TLV|6DMG|7LHND|8LIT|9RCR
264	31222 56113	4	   	263.11	DCR|4VULN|1TLV|1DMG|1CDMG	135aVULN|2CDMG|4TLV|6DMG|7RCR|8ASPD|9BBNT
265	31222 56122	4	   	263.11	DCR|4VULN|1TLV|1DMG|1CDMG	135aVULN|2CDMG|4TLV|6DMG|7RCR|8ASPD|9ERES
266	31433 15241	10	 * 	262.89	DCR|2VULN|2TLV|2DUR|1DMG|2CDMG	17VULN|2aCDMG|3LWND|4LIT|5aDUR|6RCR|8DMG|9aTLV|aBPWR
267	31533 15241	10	   	262.89	DCR|2VULN|2TLV|2DUR|1DMG|2CDMG	17VULN|2aCDMG|3LHND|4LIT|5aDUR|6RCR|8DMG|9aTLV|aBPWR
268	31254 53113	8	   	262.76	DCR|3VULN|2DMG|2CDMG|1DUR|2LIT	13aVULN|25CDMG|45DMG|5BPWR|67LIT|8RCR|9DUR
269	31254 53123	9	   	262.76	DCR|3VULN|2DMG|2CDMG|1DUR|2LIT	13aVULN|25CDMG|45DMG|5BPWR|67LIT|8RCR|9DUR
270	31135 65112	3	   	262.69	DCR|5VULN|3CDMG|2LIT	1347aVULN|234CDMG|34aBPWR|5ASPD|6aLIT|8aERES|9RCR
271	31131 52533	3	   	262.66	DCR|3VULN|1TLV|3CDMG|1DMG|1DUR	134VULN|234CDMG|34BPWR|5DUR|6RCVC|7RCR|8DMG|9BEXP|aTLV
272	31131 52543	3	   	262.56	DCR|3VULN|1TLV|3CDMG|1DMG|1DUR	134VULN|234CDMG|34BPWR|5DUR|6RCVC|7RCR|8DMG|9DUST|aTLV
