0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33182 61421	1	 * 	281.91	DCR|5VULN|2DMG|2DUR	1578aVULN|2MBVNT|38DUR|48DMG|6BELT|8BPWR|9RCR
168	34522 34332	7	   	253.28	DCR|2VULN|3DMG|2TLV|1DUR	19VULN|2RPLT|349DMG|5LWND|6RCR|7DUR|89TLV|9BPWR|aFEWX
169	34522 34333	7	   	253.28	DCR|2VULN|3DMG|2TLV|1DUR	19VULN|2RPLT|349DMG|5LWND|6RCR|7DUR|89TLV|9BPWR|aDMSP
170	33325 11225	4	   	253.25	DCR|3VULN|3DMG|1DUR|1AART	137VULN|2DUST|47aDMG|5AART|67FEWX|7BPWR|8DUR|9RCR
171	33325 31225	4	   	253.25	DCR|3VULN|3DMG|1DUR|1AART	137VULN|2DUST|47aDMG|5AART|67BEXP|7BPWR|8DUR|9RCR
172	33326 61225	4	   	253.25	DCR|3VULN|3DMG|1DUR|1AART	137VULN|2DUST|47aDMG|57BEXP|6AART|7BPWR|8DUR|9RCR
173	35212 61243	5	   	253.25	DCR|3VULN|3DMG|1DUR|1AART	147VULN|2AART|37BEXP|57aDMG|6LEGI|7BPWR|8DUR|9RCR
174	35512 11225	5	   	253.25	DCR|3VULN|3DMG|1DUR|1AART	147VULN|2AART|3DUST|57aDMG|67FEWX|7BPWR|8DUR|9RCR
175	35512 31225	5	   	253.25	DCR|3VULN|3DMG|1DUR|1AART	147VULN|2AART|3DUST|57aDMG|67BEXP|7BPWR|8DUR|9RCR
176	35532 21243	6	   	253.25	DCR|3VULN|3DMG|1DUR|1AART	167VULN|2AART|3DUST|47LWND|57aDMG|7BPWR|8DUR|9RCR
177	35612 11243	5	   	253.25	DCR|3VULN|3DMG|1DUR|1AART	147VULN|2AART|3LEGI|57aDMG|67FEWX|7BPWR|8DUR|9RCR
178	63512 21225	6	   	253.25	DCR|3VULN|3DMG|1DUR|1AART	17BEXP|2DUST|3AART|467VULN|57aDMG|7BPWR|8DUR|9RCR
179	31414 23222	1	 * 	253.22	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	1aVULN|2DMG|3TLV|4CDMG|569DUR|7FEWX|8RCR
180	31414 24222	1	   	253.22	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	1aVULN|2DMG|3TLV|4CDMG|569DUR|7BEXP|8RCR
181	62423 23222	2	   	253.22	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	1BEXP|2CDMG|3TLV|4DMG|5aVULN|679DUR|8RCR
182	31414 33222	1	   	253.22	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	1aVULN|2DMG|3TLV|4CDMG|579DUR|6BEXP|8RCR
183	33314 22332	10	   	253.16	DCR|4VULN|1DMG|1DUR|1CDMG	136aVULN|2DUST|4LIT|5DUR|7DMG|8RCR|9CDMG
184	35112 21243	6	   	253.15	DCR|3VULN|3DMG|1DUR|1AART	147VULN|2AART|3LHND|57aDMG|67DUST|7BPWR|8DUR|9RCR
185	35112 21243	5	   	253.15	DCR|3VULN|3DMG|1DUR|1AART	147VULN|2AART|3LHND|57aDMG|67DUST|7BPWR|8DUR|9RCR
186	35212 21225	6	   	253.15	DCR|3VULN|3DMG|1DUR|1AART	147VULN|2AART|3BEXP|57aDMG|67DUST|7BPWR|8DUR|9RCR
187	35212 21225	5	   	253.15	DCR|3VULN|3DMG|1DUR|1AART	147VULN|2AART|3BEXP|57aDMG|67DUST|7BPWR|8DUR|9RCR
188	52212 21225	6	   	253.15	DCR|3VULN|3DMG|1DUR|1AART	1AART|27DUST|3BEXP|467VULN|57aDMG|7BPWR|8DUR|9RCR
189	35423 21351	6	   	253.06	ACR|3VULN|2DUR|1TLV|1DMG|2ASPD|1AART	167VULN|2AART|37DUR|47ASPD|5RCR|7BPWR|8LIT|9DMG|aTLV
190	35612 21243	5	   	253.05	DCR|3VULN|3DMG|1DUR|1AART	147VULN|2AART|3LEGI|57aDMG|67DUST|7BPWR|8DUR|9RCR
191	35612 21243	6	   	253.05	DCR|3VULN|3DMG|1DUR|1AART	147VULN|2AART|3LEGI|57aDMG|67DUST|7BPWR|8DUR|9RCR
192	34131 42513	1	   	252.98	DCR|5VULN|1TLV|1CDMG	12459VULN|3BBNT|4BPWR|6RCR|7TLV|8TBNT|aCDMG
193	34332 31346	1	   	252.90	DCR|3VULN|2TLV|1DMG|2LIT|1AART	129VULN|3FEWX|49TLV|5ERES|6AART|7DMG|89LIT|9BPWR|aRCR
194	53226 22343	7	   	252.90	DCR|3VULN|2TLV|1DMG|2LIT|1AART	1AART|29LIT|3RCVC|49TLV|5DMG|6ERES|7RCR|89aVULN|9BPWR
195	34142 31352	1	   	252.83	DCR|3VULN|2DUR|1TLV|1CDMG	127VULN|3BBNT|4LIT|5TLV|6RCR|89DUR|aCDMG
196	34133 12262	1	   	252.83	DCR|3VULN|2DUR|1TLV|1CDMG	124VULN|3BBNT|4BPWR|56DUR|7TLV|8RCR|9LIT|aCDMG
197	52322 21451	6	   	252.80	DCR|3VULN|2TLV|1DMG|2LIT|1AART	1AART|2DUST|36LIT|456VULN|6BPWR|7aTLV|8RCR|9DMG
198	33332 31346	3	   	252.80	DCR|3VULN|2TLV|1DMG|2LIT|1AART	139VULN|2DUST|49TLV|5ERES|6AART|7DMG|89LIT|9BPWR|aRCR
199	32464 24212	2	   	252.70	DCR|3VULN|2TLV|2DUR|1CDMG	17aVULN|2CDMG|37TLV|4MBVNT|57DUR|6BBNT|7BPWR|8RCR|9BELT
200	32464 24238	2	   	252.70	DCR|3VULN|2TLV|2DUR|1CDMG	17aVULN|2CDMG|37TLV|4MBVNT|57DUR|6BBNT|7BPWR|8RCR|9MLV
201	32467 24212	2	   	252.70	DCR|3VULN|2TLV|2DUR|1CDMG	17aVULN|2CDMG|37TLV|4MBVNT|5BBNT|67DUR|7BPWR|8RCR|9BELT
202	33274 24212	1	   	252.70	DCR|3VULN|2TLV|2DUR|1CDMG	17aVULN|2MBVNT|3CDMG|47TLV|57DUR|6BBNT|7BPWR|8RCR|9BELT
203	33274 24238	1	   	252.70	DCR|3VULN|2TLV|2DUR|1CDMG	17aVULN|2MBVNT|3CDMG|47TLV|57DUR|6BBNT|7BPWR|8RCR|9MLV
204	33277 24212	1	   	252.70	DCR|3VULN|2TLV|2DUR|1CDMG	17aVULN|2MBVNT|3CDMG|47TLV|5BBNT|67DUR|7BPWR|8RCR|9BELT
205	33277 24238	1	   	252.70	DCR|3VULN|2TLV|2DUR|1CDMG	17aVULN|2MBVNT|3CDMG|47TLV|5BBNT|67DUR|7BPWR|8RCR|9MLV
206	35411 22351	3	   	252.62	DCR|2VULN|2DUR|1TLV|1DMG|1AART	18VULN|2AART|36DUR|4DMG|5ASPD|7LIT|9RCR|aTLV
207	35421 22351	4	   	252.62	DCR|2VULN|2DUR|1TLV|1DMG|1AART	18VULN|2AART|36DUR|4ASPD|5DMG|7LIT|9RCR|aTLV
208	35112 45223	8	   	252.55	DCR|3VULN|2DMG|1DUR|2LIT|1AART	149VULN|2AART|3LHND|59DMG|6DUR|7LWND|89LIT|9BPWR|aRCR
209	35212 45223	8	   	252.55	DCR|3VULN|2DMG|1DUR|2LIT|1AART	149VULN|2AART|3BEXP|59DMG|6DUR|7LWND|89LIT|9BPWR|aRCR
210	35212 46223	8	   	252.55	DCR|3VULN|2DMG|1DUR|2LIT|1AART	149VULN|2AART|3BEXP|59DMG|6DUR|7LHND|89LIT|9BPWR|aRCR
211	35412 25223	8	   	252.45	DCR|3VULN|2DMG|1DUR|2LIT|1AART	149VULN|2AART|3DUR|59DMG|6DUST|7LWND|89LIT|9BPWR|aRCR
212	35412 26223	8	   	252.45	DCR|3VULN|2DMG|1DUR|2LIT|1AART	149VULN|2AART|3DUR|59DMG|6DUST|7LHND|89LIT|9BPWR|aRCR
213	21121 32861	8	 * 	252.38	DCR|3VULN|3DUR|2TLV	1DMSP|28TLV|38aVULN|489DUR|5RPLT|6RCR|7MBVNT|8BPWR
214	35212 11221	5	   	252.28	DCR|3VULN|2DMG|2DUR|1AART	147VULN|2AART|3BEXP|57DMG|67FEWX|7BPWR|8aDUR|9RCR
215	31122 13551	1	   	252.24	DCR|2VULN|2DMG|2DUR|1TLV	17VULN|27DMG|3LIT|4ERES|57DUR|6RCVC|7BPWR|8DLOT|9RCR|aTLV
216	53362 21522	10	   	252.19	DCR|4VULN|2DUR|1AART	1AART|2LIT|356aVULN|46DUR|6BPWR|7ASPD|8RMIN|9RCR
217	63512 21221	6	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	17BEXP|2DUST|3AART|467VULN|57DMG|7BPWR|8aDUR|9RCR
218	33325 11221	4	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2DUST|47DMG|5AART|67FEWX|7BPWR|8aDUR|9RCR
219	33325 31221	4	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2DUST|47DMG|5AART|67BEXP|7BPWR|8aDUR|9RCR
220	33326 61221	4	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2DUST|47DMG|57BEXP|6AART|7BPWR|8aDUR|9RCR
221	35512 11221	5	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	147VULN|2AART|3DUST|57DMG|67FEWX|7BPWR|8aDUR|9RCR
222	35512 31221	5	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	147VULN|2AART|3DUST|57DMG|67BEXP|7BPWR|8aDUR|9RCR
223	34382 14341	5	   	252.12	DCR|4VULN|2DUR|1TLV	1689VULN|2RPLT|3MBVNT|4TLV|58FEWX|78DUR|8BPWR|aRCR
224	34382 74341	6	   	252.12	DCR|4VULN|2DUR|1TLV	1689VULN|2RPLT|3MBVNT|4TLV|58FEWX|78DUR|8BPWR|aRCR
225	34386 13341	4	   	252.12	DCR|4VULN|2DUR|1TLV	1689VULN|2RPLT|3MBVNT|4TLV|58DUR|78FEWX|8BPWR|aRCR
226	34133 25211	1	   	252.12	DCR|4VULN|2DUR|1TLV	1249VULN|3BBNT|49BPWR|59DUR|6RCVC|79ZMB|8RCR|aTLV
227	34523 34331	6	   	252.11	DCR|2VULN|2DMG|2TLV|2DUR	19VULN|2RPLT|34DMG|59DUR|6RCR|7LEGI|89TLV|9BPWR|aZMB
228	34322 35431	3	   	252.11	DCR|2VULN|2DMG|2TLV|2DUR	19VULN|2RPLT|3MBVNT|49DMG|56TLV|7LHND|89DUR|9BPWR|aRCR
229	34382 18231	7	   	252.11	DCR|2VULN|2DMG|2TLV|2DUR	19VULN|2RPLT|3MBVNT|49TLV|5FEWX|68DUR|79DMG|9BPWR|aRCR
230	34382 18431	8	   	252.11	DCR|2VULN|2DMG|2TLV|2DUR	19VULN|2RPLT|3MBVNT|49TLV|5FEWX|68DUR|79DMG|9BPWR|aRCR
231	34512 36331	3	   	252.11	DCR|2VULN|2DMG|2TLV|2DUR	19VULN|2RPLT|39DMG|4LWND|56TLV|7MBVNT|89DUR|9BPWR|aRCR
232	53362 25312	6	   	252.09	DCR|4VULN|2DUR|1AART	1AART|2LIT|3568VULN|46DUR|6BPWR|7RCR|9ERES|aASPD
233	35212 21221	6	   	252.08	DCR|3VULN|2DMG|2DUR|1AART	147VULN|2AART|3BEXP|57DMG|67DUST|7BPWR|8aDUR|9RCR
234	35212 21221	5	   	252.08	DCR|3VULN|2DMG|2DUR|1AART	147VULN|2AART|3BEXP|57DMG|67DUST|7BPWR|8aDUR|9RCR
235	52212 21221	6	   	252.08	DCR|3VULN|2DMG|2DUR|1AART	1AART|27DUST|3BEXP|467VULN|57DMG|7BPWR|8aDUR|9RCR
236	34523 34332	6	   	252.01	DCR|2VULN|2DMG|2TLV|2DUR	19VULN|2RPLT|34DMG|59DUR|6RCR|7LEGI|89TLV|9BPWR|aMBVNT
237	34523 52331	7	   	252.01	DCR|2VULN|2DMG|2TLV|2DUR	19VULN|2RPLT|34DMG|59DUR|6LEGI|7MBVNT|89TLV|9BPWR|aRCR
238	34133 12211	1	   	251.92	DCR|4VULN|2DUR|1TLV	124aVULN|3BBNT|4BPWR|56DUR|7TLV|8RCR|9LWND
239	34133 12221	1	   	251.92	DCR|4VULN|2DUR|1TLV	124aVULN|3BBNT|4BPWR|56DUR|7TLV|8RCR|9LHND
