0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21224 36122	1	 * 	279.33	DCR|5VULN|3TLV|1CDMG|1AART	1CDMG|24567VULN|345TLV|45BPWR|8AART|9LIT|aRCR
162	22522 61143	10	   	251.96	DCR|2VULN|2TLV|2DUR|2CDMG|2AART	1aCDMG|2aTLV|38DUR|4LWND|59AART|6RCR|7aVULN|aBPWR
163	62531 63131	6	   	251.54	DCR|3VULN|2DMG|1TLV|1CDMG	159VULN|2CGEN|3TLV|45DMG|5BPWR|6ZMB|7RCR|8CDMG|aFEWX
164	62531 63133	6	   	251.54	DCR|3VULN|2DMG|1TLV|1CDMG	159VULN|2CGEN|3TLV|45DMG|5BPWR|6ZMB|7RCR|8CDMG|aRCVC
165	64352 23133	6	 * 	251.54	DCR|3VULN|3DUR|3ASPD|1AART	19aVULN|2RCVC|3RPLT|49aASPD|5AART|6RCR|7BBNT|89aDUR|9aBPWR
166	13333 26614	3	   	251.52	DCR|3VULN|2DMG|3ASPD|1DUR	167ASPD|28DMG|3RPLT|478DUST|578VULN|78BPWR|9DUR|aRCR
167	13422 26251	8	 * 	251.40	DCR|1VULN|2DMG|2DUR|1TLV|3ASPD|1CDMG	178ASPD|28DMG|3VULN|4CDMG|5MBVNT|68DUR|8BPWR|9TLV|aRCR
168	21224 33114	1	   	251.33	DCR|4VULN|3TLV|1CDMG	1CDMG|2456VULN|345TLV|45BPWR|7CGEN|8RCR|9LIT|aZMB
169	21224 33115	1	   	251.33	DCR|4VULN|3TLV|1CDMG	1CDMG|2456VULN|345TLV|45BPWR|7CGEN|8RCR|9LIT|aMLV
170	21224 33116	1	   	251.33	DCR|4VULN|3TLV|1CDMG	1CDMG|2456VULN|345TLV|45BPWR|7CGEN|8RCR|9LIT|aLHND
171	21224 46121	1	   	251.33	DCR|4VULN|3TLV|1CDMG	1CDMG|2459VULN|345TLV|45BPWR|6RPLT|7ASPD|8RCR|aRCVC
172	21224 46122	1	   	251.33	DCR|4VULN|3TLV|1CDMG	1CDMG|2459VULN|345TLV|45BPWR|6RPLT|7ASPD|8RCR|aCGEN
173	21221 24226	1	   	251.23	DCR|4VULN|2TLV|1CDMG	1CDMG|246aVULN|34TLV|4BPWR|5ERES|7LHND|8LIT|9RCR
174	21223 36414	1	   	251.23	DCR|4VULN|3TLV|1CDMG	1CDMG|2467VULN|345TLV|4BPWR|8RCR|9BEXP|aLIT
175	21224 31114	1	   	251.23	DCR|4VULN|3TLV|1CDMG	1CDMG|2456VULN|345TLV|45BPWR|7ERES|8RCR|9LIT|aZMB
176	21224 31115	1	   	251.23	DCR|4VULN|3TLV|1CDMG	1CDMG|2456VULN|345TLV|45BPWR|7ERES|8RCR|9LIT|aMLV
177	21224 31116	1	   	251.23	DCR|4VULN|3TLV|1CDMG	1CDMG|2456VULN|345TLV|45BPWR|7ERES|8RCR|9LIT|aLHND
178	21224 33113	1	   	251.23	DCR|4VULN|3TLV|1CDMG	1CDMG|2456VULN|345TLV|45BPWR|7CGEN|8RCR|9LIT|aDUST
179	21224 33133	1	   	251.23	DCR|4VULN|3TLV|1CDMG	1CDMG|2456VULN|345TLV|45BPWR|7CGEN|8RCR|9ERES|aLIT
180	21224 33151	1	   	251.23	DCR|4VULN|3TLV|1CDMG	1CDMG|2456VULN|345TLV|45BPWR|7CGEN|8RCR|9DUST|aASPD
181	21224 46123	1	   	251.23	DCR|4VULN|3TLV|1CDMG	1CDMG|2459VULN|345TLV|45BPWR|6RPLT|7ASPD|8RCR|aMBVNT
182	22342 24124	1	   	251.14	DCR|3VULN|2DUR|1TLV|2CDMG	1aCDMG|2RMIN|3RPLT|4aDUR|5TLV|6LWND|79aVULN|8RCR|aBPWR
183	21223 36434	1	   	251.13	DCR|4VULN|3TLV|1CDMG	1CDMG|2467VULN|345TLV|4BPWR|8RCR|9LEGI|aLIT
184	21224 31113	1	   	251.13	DCR|4VULN|3TLV|1CDMG	1CDMG|2456VULN|345TLV|45BPWR|7ERES|8RCR|9LIT|aDUST
185	21224 31151	1	   	251.13	DCR|4VULN|3TLV|1CDMG	1CDMG|2456VULN|345TLV|45BPWR|7ERES|8RCR|9DUST|aASPD
186	22522 32236	5	   	250.96	DCR|2VULN|2DUR|1TLV|2CDMG|2LIT|1AART	1aCDMG|2TLV|3aDUR|4LWND|5AART|67VULN|8RCR|9aLIT|aBPWR
187	61312 53433	1	   	250.94	DCR|3VULN|2DUR|1TLV|2CDMG	146VULN|2BEXP|39DUR|5TLV|7aCDMG|8RCR
188	63331 56211	1	   	250.93	DCR|3VULN|2DMG|2DUR	167VULN|23DUR|47ZMB|57DMG|7BPWR|8LWND|9RCR|aLIT
189	62531 32314	7	   	250.81	DCR|2VULN|3DMG|1TLV|1CDMG	15VULN|2CGEN|3TLV|458DMG|5BPWR|6CDMG|7RMIN|9LIT|aRCR
190	62531 32314	8	   	250.81	DCR|2VULN|3DMG|1TLV|1CDMG	15VULN|2CGEN|3TLV|458DMG|5BPWR|6CDMG|7RMIN|9LIT|aRCR
191	62531 32314	9	   	250.81	DCR|2VULN|3DMG|1TLV|1CDMG	15VULN|2CGEN|3TLV|458DMG|5BPWR|6CDMG|7RMIN|9LIT|aRCR
192	62531 32316	10	   	250.81	DCR|2VULN|3DMG|1TLV|1CDMG	15VULN|2CGEN|3TLV|458DMG|5BPWR|6CDMG|7RMIN|9LIT|aRCR
193	22341 53331	2	   	250.79	DCR|3VULN|2DUR|1TLV|2CDMG|1AART|1SELL	19CDMG|2TLV|3RPLT|49DUR|5AART|6SELL|789VULN|9BPWR|aRCR
194	22516 32318	4	   	250.79	DCR|3VULN|2DUR|1TLV|2CDMG|1SELL	1aCDMG|2TLV|3aDUR|4MBVNT|56aVULN|7SELL|8DMSP|9RCR|aBPWR
195	22641 53331	3	   	250.79	DCR|3VULN|2DUR|1TLV|2CDMG|1AART|1SELL	19CDMG|2TLV|3RPLT|49DUR|5AART|6SELL|789VULN|9BPWR|aRCR
196	22622 35221	5	   	250.43	DCR|3VULN|2TLV|3CDMG|1DUR|1SELL	157CDMG|27TLV|3RPLT|4SELL|679VULN|7BPWR|8RCR|aDUR
197	22622 65221	6	   	250.43	DCR|3VULN|2TLV|3CDMG|1DUR|1SELL	157CDMG|27TLV|3RPLT|4SELL|679VULN|7BPWR|8RCR|aDUR
198	22623 35221	4	   	250.43	DCR|3VULN|2TLV|3CDMG|1DUR|1SELL	157CDMG|27TLV|3RPLT|4SELL|679VULN|7BPWR|8RCR|aDUR
199	21224 13123	1	   	250.34	DCR|3VULN|3TLV|1DMG|1CDMG	1CDMG|245VULN|345TLV|45BPWR|6BELT|7RCR|8ZMB|9ASPD|aDMG
200	21224 13412	1	   	250.34	DCR|3VULN|3TLV|1DMG|1CDMG	1CDMG|245VULN|345TLV|45BPWR|6aBELT|7RCR|8DMG|9LIT
201	21224 13413	1	   	250.34	DCR|3VULN|3TLV|1DMG|1CDMG	1CDMG|245VULN|345TLV|45BPWR|6BELT|7RCR|8DMG|9LIT|aLHND
202	21224 13422	1	   	250.34	DCR|3VULN|3TLV|1DMG|1CDMG	1CDMG|245VULN|345TLV|45BPWR|6BELT|7RCR|8DMG|9ASPD|aBEXP
203	21224 13424	1	   	250.34	DCR|3VULN|3TLV|1DMG|1CDMG	1CDMG|245VULN|345TLV|45BPWR|6BELT|7RCR|8DMG|9ASPD|aRPLT
204	21224 13426	1	   	250.34	DCR|3VULN|3TLV|1DMG|1CDMG	1CDMG|245VULN|345TLV|45BPWR|6BELT|7RCR|8DMG|9ASPD|aZMB
205	21224 13623	1	   	250.34	DCR|3VULN|3TLV|1DMG|1CDMG	1CDMG|245VULN|345TLV|45BPWR|6BELT|7RCR|8MLV|9ASPD|aDMG
206	21224 13423	1	   	250.24	DCR|3VULN|3TLV|1DMG|1CDMG|1NUKE	1CDMG|245VULN|345TLV|45BPWR|6BELT|7RCR|8DMG|9ASPD|aNUKE
207	21224 63631	1	   	250.14	DCR|3VULN|3TLV|1DMG|1CDMG	1CDMG|245VULN|345TLV|45BPWR|6BBNT|7TBNT|8LIT|9DMG|aRCR
208	42231 53136	2	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CGEN|269VULN|3TLV|4ZMB|5DMG|7RCR|8CDMG|aDUR
209	62231 53136	2	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	169VULN|2CGEN|3TLV|4ZMB|5DMG|7RCR|8CDMG|aDUR
210	11211 33614	4	 * 	250.02	DCR|2VULN|2DUR|1TLV|3ASPD|1DMG	12aASPD|2aBPWR|3BEXP|4aVULN|5DMG|6TBNT|7RCR|8TLV|9aDUR
211	11251 33324	4	   	250.02	DCR|2VULN|2DUR|1TLV|3ASPD|1DMG	12aASPD|2aBPWR|3BEXP|4aDUR|5DMG|6TBNT|7RCR|8TLV|9aVULN
212	16211 33614	4	   	250.02	DCR|2VULN|2DUR|1TLV|3ASPD|1DMG	12aASPD|3BEXP|4aVULN|5DMG|6TBNT|7RCR|8TLV|9aDUR|aBPWR
213	16251 33324	4	   	250.02	DCR|2VULN|2DUR|1TLV|3ASPD|1DMG	12aASPD|3BEXP|4aDUR|5DMG|6TBNT|7RCR|8TLV|9aVULN|aBPWR
214	13654 22113	4	   	250.00	DCR|2VULN|3DMG|2ASPD|1DUR|2LIT	1aASPD|28aDMG|36LIT|4DUR|5BELT|7RCR|9aVULN|aBPWR
215	11432 51226	2	   	250.00	DCR|3VULN|1TLV|1DMG|2ASPD|1CDMG	12ASPD|2BPWR|359VULN|4TLV|6RPLT|7RCR|8CDMG|aDMG
216	52231 53136	2	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1ERES|269VULN|3TLV|4ZMB|5DMG|7RCR|8CDMG|aDUR
217	53231 53136	1	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1ERES|269VULN|3TLV|4ZMB|5DMG|7RCR|8CDMG|aDUR
218	61312 53421	1	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	146VULN|2BEXP|3DUR|5TLV|7CDMG|8RCR|9DMG|aDUST
219	61312 53422	1	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	146VULN|2BEXP|3DUR|5TLV|7CDMG|8RCR|9DMG|aERES
220	61312 53423	1	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	146VULN|2BEXP|3DUR|5TLV|7CDMG|8RCR|9DMG|aTBNT
221	21125 33216	1	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|257VULN|3BEXP|4TLV|6BBNT|8DUR|9RCR|aDMG
222	21235 33216	1	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|257VULN|3TLV|4BEXP|6BBNT|8DUR|9RCR|aDMG
223	21325 33616	1	   	249.90	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|257VULN|3LEGI|4TLV|6BBNT|8DUR|9RCR|aDMG
224	13651 41133	6	   	249.87	DCR|2VULN|1TLV|1DMG|1DUR|2ASPD|1CDMG	18ASPD|2DMG|3LIT|4DUR|5CDMG|69VULN|7RCR|aTLV
225	63233 14331	2	   	249.76	ACR|3VULN|3DMG|2DUR|3ASPD	179VULN|23BELT|4RCR|57aASPD|679DMG|79BPWR|89DUR
226	63333 14331	3	   	249.76	ACR|3VULN|3DMG|2DUR|3ASPD	179VULN|2BELT|3RCVC|4RCR|57aASPD|679DMG|79BPWR|89DUR
227	63633 14331	2	   	249.76	ACR|3VULN|3DMG|2DUR|3ASPD	179VULN|2BELT|3RCVC|4RCR|57aASPD|679DMG|79BPWR|89DUR
228	15311 26131	1	   	249.60	DCR|4VULN|2DUR|3ASPD	137ASPD|2BELT|47DUR|5678VULN|7BPWR|9RCR|aFEWX
229	15311 26134	1	   	249.60	DCR|4VULN|2DUR|3ASPD	137ASPD|2BELT|47DUR|5678VULN|7BPWR|9RCR|aLWND
230	63141 23261	3	 * 	249.54	DCR|5VULN|1DMG|1DUR	14569VULN|2BELT|3DMG|7BBNT|8RCR|aDUR
231	15311 26132	1	   	249.50	DCR|4VULN|2DUR|3ASPD	137ASPD|2BELT|47DUR|5678VULN|7BPWR|9RCR|aDUST
232	13142 56211	2	   	249.49	DCR|3VULN|2DUR|1DMG|2ASPD	17ASPD|2DMG|37DUR|4RCVC|567VULN|7BPWR|8LWND|9RCR|aLIT
233	22335 11633	3	 * 	249.45	DCR|2VULN|2DMG|3TLV|2CDMG	1aCDMG|235TLV|4aDMG|6LIT|7RCR|8DUST|9aVULN|aBPWR
234	22333 35353	3	   	249.39	ACR|3VULN|3DMG|2TLV|2CDMG	17CDMG|23TLV|478DMG|5RCR|67aVULN|7BPWR|9RMIN
235	22361 45221	3	   	249.38	DCR|2VULN|2TLV|2DUR|2CDMG|2LIT	17CDMG|23TLV|4RMIN|57VULN|67DUR|7BPWR|8aLIT|9RCR
236	22364 35221	3	   	249.38	DCR|2VULN|2TLV|2DUR|2CDMG|2LIT	17CDMG|23TLV|4RMIN|57DUR|67VULN|7BPWR|8aLIT|9RCR
237	21224 42123	1	   	249.33	DCR|4VULN|3TLV|2CDMG	1aCDMG|2459VULN|345TLV|45BPWR|6RPLT|7ZMB|8RCR
238	21224 33125	1	   	249.33	DCR|4VULN|3TLV|2CDMG	19CDMG|2456VULN|345TLV|45BPWR|7CGEN|8RCR|aFEWX
239	21224 33126	1	   	249.33	DCR|4VULN|3TLV|2CDMG	19CDMG|2456VULN|345TLV|45BPWR|7CGEN|8RCR|aBEXP
240	21224 33155	1	   	249.33	DCR|4VULN|3TLV|2CDMG	1aCDMG|2456VULN|345TLV|45aBPWR|7aCGEN|8RCR|9aDUST
241	22522 23344	10	   	249.33	DCR|2VULN|3DUR|1TLV|2CDMG|1AART	19CDMG|2TLV|39aDUR|4LWND|5AART|6ZMB|79VULN|8RCR|9BPWR
