0	Index      	Bounty	 *	Score 	Summary	Detail	
1	43353 51221	5	 * 	297.85	DCR|4VULN|2DMG|2CDMG|1TLV|1DUR	18DMG|2TLV|3458VULN|68CDMG|7RCR|8BPWR|9CGEN|aDUR
168	12315 21536	8	   	269.12	DCR|5VULN|2DUR|1ASPD	1RCVC|2347aVULN|5ASPD|6aDUR|8aFEWX|9RCR|aBPWR
169	12315 23336	6	   	269.12	DCR|5VULN|2DUR|1ASPD	1RCVC|2347aVULN|5ASPD|6aDUR|8aLWND|9RCR|aBPWR
170	12315 23536	6	   	269.12	DCR|5VULN|2DUR|1ASPD	1RCVC|2347aVULN|5ASPD|6aDUR|8aFEWX|9RCR|aBPWR
171	12315 21136	7	   	268.92	DCR|5VULN|2DUR|1ASPD	1RCVC|2347aVULN|5ASPD|6aDUR|8aDUST|9RCR|aBPWR
172	12315 21136	8	   	268.92	DCR|5VULN|2DUR|1ASPD	1RCVC|2347aVULN|5ASPD|6aDUR|8aDUST|9RCR|aBPWR
173	12315 23136	6	   	268.92	DCR|5VULN|2DUR|1ASPD	1RCVC|2347aVULN|5ASPD|6aDUR|8aDUST|9RCR|aBPWR
174	42423 34233	8	   	268.89	DCR|3VULN|3DMG|2DUR|1SELL	179DMG|2RCVC|35aVULN|4aDUR|6SELL|8RCR|aBPWR
175	12123 34133	9	   	268.89	DCR|3VULN|3DMG|2DUR|1SELL	1RCVC|25aVULN|3aDUR|478DMG|6SELL|9RCR|aBPWR
176	12123 34233	8	   	268.89	DCR|3VULN|3DMG|2DUR|1SELL	1RCVC|25aVULN|3aDUR|479DMG|6SELL|8RCR|aBPWR
177	42423 34133	9	   	268.89	DCR|3VULN|3DMG|2DUR|1SELL	178DMG|2RCVC|35aVULN|4aDUR|6SELL|9RCR|aBPWR
178	43335 51211	2	   	268.72	DCR|3VULN|2DMG|3CDMG|2TLV	18DMG|23TLV|458VULN|68aCDMG|7RCR|8BPWR|9LHND
179	43352 21211	4	   	268.72	DCR|3VULN|2DMG|3CDMG|2TLV	18DMG|26TLV|348VULN|58aCDMG|7RCR|8BPWR|9LHND
180	43323 34211	9	   	268.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	14DMG|2TLV|359VULN|6ZMB|7CDMG|8RCR|aDUR
181	43323 34261	8	   	268.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	14DMG|2TLV|359VULN|6ZMB|7CDMG|8RCR|aDUR
182	43323 51361	5	   	268.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	14DMG|2TLV|359VULN|6CDMG|7RCR|8ZMB|aDUR
183	43353 34231	9	   	268.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	19DMG|2TLV|345VULN|6ZMB|7CDMG|8RCR|aDUR
184	43335 51231	2	   	268.62	DCR|3VULN|2DMG|3CDMG|2TLV	18DMG|23TLV|458VULN|68aCDMG|7RCR|8BPWR|9DUST
185	43352 21231	4	   	268.62	DCR|3VULN|2DMG|3CDMG|2TLV	18DMG|26TLV|348VULN|58aCDMG|7RCR|8BPWR|9DUST
186	41151 21362	4	 * 	267.91	ACR|3VULN|3DMG|2DUR|2CDMG|1ASPD	145DMG|2RCR|39aVULN|6ASPD|7aCDMG|8aDUR|aBPWR
