0	Index      	Bounty	 *	Score 	Summary	Detail	
1	54624 51213	1	 * 	265.12	DCR|2VULN|3DMG|3DUR|1AART	1MBVNT|2RCVC|36aDMG|4AART|56aDUR|6aBPWR|7TBNT|8RCR|9aVULN
163	31361 25621	9	   	235.76	DCR|2VULN|3DUR|1DMG|1CDMG	1ZMB|257DUR|3CGEN|48VULN|6CDMG|9RCR|aDMG
164	22412 26353	3	   	235.70	DCR|3VULN|2DUR|1DMG	1RMIN|2DLOT|35DUR|458VULN|5BPWR|6TBNT|7DMG|9LHND|aRCR
165	22612 26353	2	   	235.70	DCR|3VULN|2DUR|1DMG	1RMIN|2DLOT|35DUR|458VULN|5BPWR|6TBNT|7DMG|9LHND|aRCR
166	54343 66123	4	   	235.70	DCR|3VULN|2DUR|2TLV	1MBVNT|2LEGI|369VULN|4aLWND|59DUR|7RCR|89TLV|9BPWR
167	54343 76122	4	   	235.70	DCR|3VULN|2DUR|2TLV	1MBVNT|2LEGI|39aVULN|4LWND|59DUR|6DMSP|7RCR|89TLV|9BPWR
168	55424 81111	1	   	235.70	DCR|3VULN|2DUR|1DMG	1MBVNT|237VULN|4BELT|57DUR|67DUST|7BPWR|8RCR|9RCVC|aDMG
169	35325 41233	10	   	235.70	DCR|3VULN|2DUR|2CDMG	1ZMB|28CDMG|3DUST|4FEWX|58aVULN|6ERES|78DUR|8BPWR|9RCR
170	35326 43233	10	   	235.70	DCR|3VULN|2DUR|2CDMG	1ZMB|28CDMG|3DUST|4FEWX|58DUR|6ERES|78aVULN|8BPWR|9RCR
171	24632 13314	1	   	235.66	DCR|2VULN|3DUR|2TLV|1CDMG	1RMIN|234DUR|58TLV|68VULN|78DUST|8BPWR|9CDMG|aRCR
172	25632 13314	2	   	235.66	DCR|2VULN|3DUR|2TLV|1CDMG	1RMIN|234DUR|58TLV|68VULN|78DUST|8BPWR|9CDMG|aRCR
173	31451 15213	6	   	235.61	DCR|2VULN|3DMG|1DUR|1SELL	1ZMB|2DUR|3LIT|458DMG|69VULN|7SELL|aRCR
174	54161 35424	8	   	235.48	DCR|2VULN|2ASPD|2TLV|1DMG|1DUR	1MBVNT|2LEGI|39ASPD|4RMIN|5DUR|6RCR|79TLV|89VULN|9BPWR|aDMG
175	54161 46124	6	   	235.48	DCR|2VULN|2ASPD|2TLV|1DMG|1DUR	1MBVNT|2LEGI|39ASPD|4RMIN|5DUR|69VULN|7RCR|89TLV|9BPWR|aDMG
176	52115 11135	1	 * 	235.45	DCR|3VULN|3ASPD|2TLV|1SELL	1MBVNT|2SELL|34aASPD|4aBPWR|5CGEN|67aVULN|8RCR|9aTLV
177	54311 11475	10	 * 	235.35	DCR|3VULN|2DUR|3LIT|1SELL	1MBVNT|2LEGI|38aVULN|45aLIT|6aDUR|7SELL|9RCR|aBPWR
178	54311 14375	10	 * 	235.35	DCR|3VULN|2DUR|3LIT|1SELL	1MBVNT|2LEGI|37aVULN|45aLIT|6aDUR|8SELL|9RCR|aBPWR
