0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61126 33153	7	 * 	292.02	DCR|3VULN|3DMG|3DUR|1AART	168DMG|2AART|3DUST|458VULN|789DUR|8BPWR|aRCR
164	63144 33331	4	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	17DMG|2RPLT|3FEWX|47DUR|567VULN|7BPWR|8MBVNT|9RCR|aASPD
165	63151 33331	4	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	17DMG|2RPLT|3FEWX|467VULN|57DUR|7BPWR|8MBVNT|9RCR|aASPD
166	63164 33331	3	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	17DMG|2RPLT|3FEWX|47DUR|567VULN|7BPWR|8MBVNT|9RCR|aASPD
167	65122 53312	9	   	264.45	DCR|2VULN|3DUR|2DMG|1CDMG|1ASPD	18DMG|2ASPD|38VULN|458DUR|6RPLT|7MBVNT|8BPWR|9RCR|aCDMG
168	31231 21644	5	   	264.41	DCR|3VULN|3DMG|1DUR|1AART	19aCGEN|2AART|39aDMG|4MBVNT|5LWND|6DUR|79aVULN|8RCR|9aBPWR
169	31231 24344	7	   	264.41	DCR|3VULN|3DMG|1DUR|1AART	19aCGEN|2AART|39aDMG|4MBVNT|5LWND|6RCR|7DUR|89aVULN|9aBPWR
170	31231 26344	6	   	264.41	DCR|3VULN|3DMG|1DUR|1AART	19aCGEN|2AART|39aDMG|4MBVNT|5LWND|6RCR|7DUR|89aVULN|9aBPWR
171	61531 21221	6	   	264.41	DCR|3VULN|3DMG|1TLV|1AART	189DMG|2AART|3TLV|4MBVNT|589LWND|6RCR|789VULN|89BPWR|aLHND
172	61531 21224	6	   	264.41	DCR|3VULN|3DMG|1TLV|1AART	189DMG|2AART|3TLV|4MBVNT|589LWND|6RCR|789VULN|89BPWR|aBEXP
173	61536 21221	6	   	264.41	DCR|3VULN|3DMG|1TLV|1AART	189DMG|2AART|3TLV|4MBVNT|589LHND|6RCR|789VULN|89BPWR|aLWND
174	61536 21222	6	   	264.41	DCR|3VULN|3DMG|1TLV|1AART	189DMG|2AART|3TLV|4MBVNT|589LHND|6RCR|789VULN|89BPWR|aZMB
175	61536 21224	6	   	264.41	DCR|3VULN|3DMG|1TLV|1AART	189DMG|2AART|3TLV|4MBVNT|589LHND|6RCR|789VULN|89BPWR|aMLV
176	21142 27512	5	   	264.41	DCR|3VULN|3DMG|3CDMG	189CDMG|289DMG|3BEXP|4ERES|5MBVNT|6RCR|789VULN|89BPWR|aZMB
177	21142 27513	5	   	264.41	DCR|3VULN|3DMG|3CDMG	189CDMG|289DMG|3BEXP|4ERES|5MBVNT|6RCR|789VULN|89BPWR|aLWND
178	21142 27514	5	   	264.41	DCR|3VULN|3DMG|3CDMG	189CDMG|289DMG|3BEXP|4ERES|5MBVNT|6RCR|789VULN|89BPWR|aLHND
179	66111 22411	3	   	264.41	DCR|3VULN|3DMG|3CDMG	159DMG|2CGEN|389VULN|479CDMG|6RCR|9BPWR|aBEXP
180	63241 33331	5	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	17DMG|2RPLT|3DUST|47DUR|567VULN|7BPWR|8MBVNT|9RCR|aASPD
181	63244 33331	4	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	17DMG|2RPLT|3DUST|47DUR|567VULN|7BPWR|8MBVNT|9RCR|aASPD
182	63251 33331	4	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	17DMG|2RPLT|3DUST|467VULN|57DUR|7BPWR|8MBVNT|9RCR|aASPD
183	65122 33316	10	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	19DMG|2ASPD|39aVULN|45DUR|6LWND|7RCR|89ERES|9BPWR
184	22234 52343	1	   	264.39	DCR|5VULN|3CDMG|1ASPD	168CDMG|2RCVC|34568VULN|68BPWR|78LHND|9RCR|aASPD
185	61531 21225	6	   	264.31	DCR|3VULN|3DMG|1TLV|1AART	189DMG|2AART|3TLV|4MBVNT|589LWND|6RCR|789VULN|89BPWR|aERES
186	61536 21223	6	   	264.31	DCR|3VULN|3DMG|1TLV|1AART	189DMG|2AART|3TLV|4MBVNT|589LHND|6RCR|789VULN|89BPWR|aBBNT
187	66111 22413	3	   	264.31	DCR|3VULN|3DMG|3CDMG	159DMG|2CGEN|389VULN|479CDMG|6RCR|9BPWR|aERES
188	61531 21254	6	   	264.21	DCR|3VULN|3DMG|1TLV|1AART	189DMG|2AART|3TLV|4MBVNT|58LWND|6RCR|78aVULN|8BPWR
189	61263 12334	10	   	264.11	DCR|3VULN|3DMG|1TLV|1AART	139DMG|2AART|49aVULN|5CGEN|6TLV|79ERES|8RCR|9BPWR
190	62313 42533	1	 * 	263.92	DCR|3VULN|2DMG|2ASPD|2CDMG	18DMG|2RPLT|3RCVC|45aVULN|68ASPD|78CDMG|8BPWR|9RCR
191	63313 42533	2	   	263.92	DCR|3VULN|2DMG|2ASPD|2CDMG	18DMG|2RPLT|3RCVC|45aVULN|68ASPD|78CDMG|8BPWR|9RCR
192	21241 62234	10	   	263.82	DCR|3VULN|2DMG|2ASPD|2CDMG	19CDMG|26DMG|359VULN|4ERES|7LHND|89ASPD|9BPWR|aRCR
193	21431 22153	2	   	263.76	DCR|2VULN|3DMG|2CDMG|1TLV|1DUR	17CDMG|258DMG|3TLV|4aVULN|6RCR|9DUR
194	21213 22463	3	   	263.72	DCR|3VULN|2DMG|2ASPD|2CDMG	17CDMG|29DMG|348VULN|5aASPD|6RCR
195	21214 56222	8	   	263.72	DCR|4VULN|1DMG|2CDMG|1DUR	16CDMG|2DMG|3589VULN|4DUR|7DUST|aRCR
196	21224 54222	8	   	263.72	DCR|4VULN|1DMG|2CDMG|1DUR	16CDMG|2DMG|3589VULN|4DUST|7DUR|aRCR
197	21411 24411	2	   	263.71	DCR|2VULN|3DMG|2CDMG|1TLV|1DUR|1SELL	1aCDMG|25aDMG|3TLV|4DUR|6RCR|7DMSP|8aVULN|9SELL|aBPWR
198	65131 33325	3	   	263.49	DCR|2VULN|2DMG|2DUR|1TLV|1ASPD|1AART	1aDMG|2ASPD|3aVULN|4TBNT|5AART|6TLV|7RCR|8CGEN|9aDUR|aBPWR
199	43311 26362	4	   	263.46	DCR|3VULN|2DMG|1TLV|1DUR	1ZMB|2RPLT|35DMG|457VULN|5BPWR|6RCR|8LIT|9DUR|aTLV
200	11336 23216	1	   	263.39	DCR|5VULN|1DMG|1DUR	1BELT|23578VULN|4LHND|6RCR|9DUR|aDMG
201	61221 13254	8	   	263.39	DCR|2VULN|2DMG|2DUR|1TLV|1ASPD|1AART	13DMG|2AART|4ASPD|5aVULN|6TLV|78DUR|9RCR
202	65131 33225	3	   	263.39	DCR|2VULN|2DMG|2DUR|1TLV|1ASPD|1AART	1aDMG|2ASPD|3aVULN|4TBNT|5AART|6TLV|7RCR|8ERES|9aDUR|aBPWR
203	25212 33623	7	 * 	263.28	ACR|5VULN|2TLV|1DMG|2CDMG	17CDMG|2LIT|3RCR|47TLV|5679aVULN|7BPWR|8DMG
204	13216 53131	10	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1BELT|28DUR|3AART|46DMG|569VULN|6BPWR|7RPLT|aRCR
205	13216 53141	7	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1BELT|2aDUR|3AART|46DMG|569VULN|6BPWR|7RPLT|8RCR
206	61126 23351	7	   	263.06	DCR|4VULN|2DMG|1AART	19DMG|2AART|3DUST|4578VULN|6LIT|aRCR
207	61126 22341	6	   	263.06	DCR|4VULN|2DMG|1AART	17DMG|2AART|3DUST|4589VULN|6LIT|aRCR
208	61262 23341	7	   	263.06	DCR|4VULN|2DMG|1AART	13DMG|2AART|4789VULN|5DUST|6LIT|aRCR
209	43311 26363	4	   	262.86	DCR|3VULN|3DMG|1DUR	1ZMB|2RPLT|35aDMG|457VULN|5BPWR|6RCR|8LIT|9DUR
210	61261 11226	9	   	262.62	DCR|4VULN|2DMG|2AART	13DMG|27AART|468aVULN|5RPLT|9RCR
211	25423 32211	9	   	262.58	DCR|3VULN|2DMG|3LIT|2CDMG	17CDMG|248LIT|367VULN|57DMG|7BPWR|9RPLT|aRCR
212	25423 32252	10	   	262.58	DCR|3VULN|2DMG|3LIT|2CDMG	17CDMG|248LIT|367VULN|57DMG|7BPWR|9RCR|aLHND
213	25423 32253	10	   	262.58	DCR|3VULN|2DMG|3LIT|2CDMG	17CDMG|248LIT|367VULN|57DMG|7BPWR|9RCR|aCGEN
214	25423 32251	9	   	262.48	DCR|3VULN|2DMG|3LIT|2CDMG	17CDMG|248LIT|367VULN|57DMG|7BPWR|9RCR|aMBVNT
215	25423 32251	10	   	262.48	DCR|3VULN|2DMG|3LIT|2CDMG	17CDMG|248LIT|367VULN|57DMG|7BPWR|9RCR|aDUST
216	11362 11131	1	 * 	262.47	DCR|4VULN|2ASPD|2TLV|1CDMG	1BELT|237aVULN|4CDMG|5BBNT|6aTLV|8RCR|9aASPD|aBPWR
217	21322 26315	2	   	262.38	DCR|4VULN|1DMG|2CDMG|2LIT|1SELL	1aCDMG|2DMG|3SELL|479aVULN|5RPLT|6RCR|8aLIT|aBPWR
218	61531 21522	6	   	262.21	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	19DMG|2AART|3TLV|4MBVNT|59LWND|6RCR|789VULN|9BPWR|aCDMG
219	61433 31522	3	   	262.21	DCR|3VULN|2DMG|1DUR|1CDMG|1AART	19DMG|2AART|3LEGI|4DUR|579VULN|69CGEN|8RCR|9BPWR|aCDMG
