0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32124 34343	1	 * 	281.11	DCR|4VULN|3DMG|2CDMG	1BELT|28aDMG|38LHND|478aVULN|5LEGI|6RCR|8aBPWR|9aCDMG
165	32123 63331	1	   	251.85	DCR|3VULN|3DMG|1CDMG	1BELT|289DMG|3LHND|458VULN|6RCR|78DUST|8BPWR|aCDMG
166	32523 32624	1	   	251.85	DCR|3VULN|3DMG|1CDMG	1BELT|289DMG|3LWND|459VULN|6RCR|79ERES|9BPWR|aCDMG
167	32523 33331	1	   	251.85	DCR|3VULN|3DMG|1CDMG	1BELT|289DMG|3LWND|458VULN|6RCR|78DUST|8BPWR|aCDMG
168	31343 23111	10	   	251.81	DCR|3VULN|3DMG|1CDMG|1SELL	1BELT|2aZMB|3CDMG|48aVULN|5SELL|6RCR|79aDMG|aBPWR
169	21263 14612	10	   	251.80	DCR|3VULN|2DUR|1DMG|1TLV|1SELL	1SELL|259VULN|3aDUR|4TLV|6BEXP|7DMG|8RCR
170	53424 83133	6	   	251.80	DCR|4VULN|3DUR	1RCVC|279aVULN|3MBVNT|479LHND|579DUR|6RCR|79BPWR|8TBNT
171	21321 43262	2	   	251.76	DCR|4VULN|3DUR|1SELL	1SELL|279aVULN|3LWND|479DUR|5RPLT|679LHND|79BPWR|8RCR
172	21521 43262	3	   	251.76	DCR|4VULN|3DUR|1SELL	1SELL|279aVULN|3LWND|479DUR|5RPLT|679LHND|79BPWR|8RCR
173	23321 43262	1	   	251.76	DCR|4VULN|3DUR|1SELL	1SELL|279aVULN|3LWND|479DUR|5RPLT|679LHND|79BPWR|8RCR
174	43132 52351	4	   	251.73	DCR|5VULN|1CDMG|1ASPD	13CGEN|2356aVULN|3BPWR|4CDMG|7RCR|8DLOT|9ASPD
175	53413 43451	4	   	251.70	DCR|4VULN|3DUR	1RCVC|2678VULN|3MBVNT|48BEXP|58aDUR|8BPWR|9RCR
176	53423 43451	4	   	251.70	DCR|4VULN|3DUR	1RCVC|2678VULN|3MBVNT|48LHND|58aDUR|8BPWR|9RCR
177	53424 43451	5	   	251.70	DCR|4VULN|3DUR	1RCVC|2678VULN|3MBVNT|48LHND|58aDUR|8BPWR|9RCR
178	21211 13262	4	   	251.66	DCR|4VULN|3DUR|1SELL	1SELL|279aVULN|379DUR|479LHND|5RPLT|6LEGI|79BPWR|8RCR
179	21215 13262	5	   	251.66	DCR|4VULN|3DUR|1SELL	1SELL|279aVULN|379DUR|479LHND|5RPLT|6LEGI|79BPWR|8RCR
180	21215 43372	6	   	251.66	DCR|4VULN|3DUR|1SELL	1SELL|279aVULN|379DUR|479LHND|5RPLT|6MBVNT|79BPWR|8RCR
181	21362 63262	6	   	251.66	DCR|4VULN|3DUR|1SELL	1SELL|279aVULN|3RPLT|4DUST|579LHND|679DUR|79BPWR|8RCR
182	21543 13427	2	   	251.65	DCR|2VULN|3DMG|2DUR|1AART|1SELL	1SELL|29VULN|359DMG|4MBVNT|6RCR|79DUR|8RPLT|9BPWR|aAART
183	21543 21327	2	   	251.65	DCR|2VULN|3DMG|2DUR|1AART|1SELL	1SELL|29VULN|359DMG|4MBVNT|6RPLT|79DUR|8RCR|9BPWR|aAART
184	23543 13427	1	   	251.65	DCR|2VULN|3DMG|2DUR|1AART|1SELL	1SELL|29VULN|359DMG|4MBVNT|6RCR|79DUR|8RPLT|9BPWR|aAART
185	23543 21327	1	   	251.65	DCR|2VULN|3DMG|2DUR|1AART|1SELL	1SELL|29VULN|359DMG|4MBVNT|6RPLT|79DUR|8RCR|9BPWR|aAART
186	43131 22623	10	   	251.21	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	135CGEN|23aVULN|3BPWR|4CDMG|6TLV|7DUR|8RCR|9DMG
187	43153 22623	10	   	251.21	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	134CGEN|23aVULN|3BPWR|5CDMG|6TLV|7DUR|8RCR|9DMG
188	31313 36266	4	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1BELT|2ZMB|3CDMG|4DUR|58aVULN|6TLV|7DMG|9RCR
