0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33164 53221	9	 * 	278.85	DCR|5VULN|2TLV|2DUR	1579aVULN|27TLV|3RMIN|47aZMB|6RCR|7aBPWR|8aDUR
164	33356 32236	3	 * 	254.80	DCR|4VULN|1TLV|3LIT|1CDMG	1578VULN|2TLV|378ERES|4DMSP|678LIT|78BPWR|9CDMG|aRCR
165	33253 32426	4	   	254.50	DCR|3VULN|2DMG|1TLV	15aVULN|2TLV|3LIT|45DMG|5BPWR|6ASPD|7RCR|8FEWX|9CGEN
166	33253 32521	4	   	254.50	DCR|3VULN|2DMG|1TLV	158VULN|2TLV|3LIT|45DMG|5BPWR|6ASPD|7RCR|9LWND|aBEXP
167	33253 32525	4	   	254.50	DCR|3VULN|2DMG|1TLV	158VULN|2TLV|3LIT|45DMG|5BPWR|6ASPD|7RCR|9LWND|aRMIN
168	33253 32551	4	   	254.50	DCR|3VULN|2DMG|1TLV	158VULN|2TLV|3LIT|45DMG|5BPWR|6ASPD|7RCR|9LHND|aBEXP
169	33253 32626	4	   	254.50	DCR|3VULN|2DMG|1TLV	15aVULN|2TLV|3LIT|45DMG|5BPWR|6ASPD|7RCR|8LHND|9CGEN
170	33253 32326	4	   	254.40	DCR|3VULN|2DMG|1TLV	15aVULN|2TLV|3LIT|45DMG|5BPWR|6ASPD|7RCR|8DUST|9CGEN
171	33253 32345	4	   	254.40	DCR|3VULN|2DMG|1TLV	15aVULN|2TLV|3LIT|45DMG|5BPWR|6ASPD|7RCR|8DUST|9RPLT
172	33253 32414	4	   	254.40	DCR|3VULN|2DMG|1TLV	15aVULN|2TLV|3LIT|45DMG|5BPWR|6ASPD|7RCR|8FEWX|9TBNT
173	33253 32523	4	   	254.40	DCR|3VULN|2DMG|1TLV	158VULN|2TLV|3LIT|45DMG|5BPWR|6ASPD|7RCR|9LWND|aDUST
174	33253 32524	4	   	254.40	DCR|3VULN|2DMG|1TLV	158VULN|2TLV|3LIT|45DMG|5BPWR|6ASPD|7RCR|9LWND|aDLOT
175	33253 32533	4	   	254.40	DCR|3VULN|2DMG|1TLV	158VULN|2TLV|3LIT|45DMG|5BPWR|6ASPD|7RCR|9TBNT|aLWND
176	33253 32553	4	   	254.40	DCR|3VULN|2DMG|1TLV	158VULN|2TLV|3LIT|45DMG|5BPWR|6ASPD|7RCR|9LHND|aDUST
177	33253 32562	4	   	254.40	DCR|3VULN|2DMG|1TLV	158VULN|2TLV|3LIT|45DMG|5BPWR|6ASPD|7RCR|9ERES|aCGEN
178	33253 32563	4	   	254.40	DCR|3VULN|2DMG|1TLV	158VULN|2TLV|3LIT|45DMG|5BPWR|6ASPD|7RCR|9ERES|aZMB
179	33253 32614	4	   	254.40	DCR|3VULN|2DMG|1TLV	15aVULN|2TLV|3LIT|45DMG|5BPWR|6ASPD|7RCR|8LHND|9TBNT
180	32122 13345	3	   	254.38	DCR|3VULN|2DMG|2TLV	137VULN|26LWND|47DMG|57TLV|7BPWR|8LIT|9RPLT|aRCR
181	33144 35222	10	   	254.38	DCR|3VULN|2DMG|2TLV	159VULN|29TLV|3RMIN|4MLV|6ASPD|7BELT|89DMG|9BPWR|aRCR
182	33253 32312	4	   	254.30	DCR|3VULN|2DMG|1TLV	15aVULN|2TLV|3LIT|45DMG|5BPWR|6ASPD|7RCR|8DUST|9TBNT
183	33253 32531	4	   	254.30	DCR|3VULN|2DMG|1TLV	158VULN|2TLV|3LIT|45DMG|5BPWR|6ASPD|7RCR|9TBNT|aDUST
184	33253 32535	4	   	254.30	DCR|3VULN|2DMG|1TLV	158VULN|2TLV|3LIT|45DMG|5BPWR|6ASPD|7RCR|9TBNT|aERES
185	33253 32536	4	   	254.30	DCR|3VULN|2DMG|1TLV	158VULN|2TLV|3LIT|45DMG|5BPWR|6ASPD|7RCR|9TBNT|aMBVNT
186	33253 32561	4	   	254.30	DCR|3VULN|2DMG|1TLV	158VULN|2TLV|3LIT|45DMG|5BPWR|6ASPD|7RCR|9ERES|aDUST
187	33255 32532	4	   	254.30	DCR|3VULN|2DMG|1TLV	18aVULN|2TLV|3LIT|45DMG|6ASPD|7RCR|9TBNT
188	33253 32526	4	   	254.26	DCR|3VULN|2DMG|1TLV|1SELL	158VULN|2TLV|3LIT|45DMG|5BPWR|6ASPD|7RCR|9LWND|aSELL
189	31122 63345	3	   	254.18	DCR|3VULN|2DMG|2TLV	137VULN|26DUST|47DMG|57TLV|7BPWR|8LIT|9RPLT|aRCR
190	33253 53533	4	   	254.18	DCR|3VULN|2DMG|2TLV	157VULN|29TLV|3LIT|45DMG|5BPWR|6LHND|8MBVNT|aRCR
191	35643 22221	1	   	254.14	DCR|3VULN|2DMG|1TLV|1DUR	145VULN|25DMG|3BELT|5BPWR|6DUR|7BEXP|8TLV|9RCR|aRPLT
192	41432 53223	10	   	254.14	DCR|3VULN|2DMG|1TLV|1DUR	1RCVC|2BEXP|35DMG|459VULN|5BPWR|6RCR|7TLV|8MLV|aDUR
193	61432 53223	10	   	254.14	DCR|3VULN|2DMG|1TLV|1DUR	1DMSP|2BEXP|35DMG|459VULN|5BPWR|6RCR|7TLV|8MLV|aDUR
194	33253 63533	4	   	254.08	DCR|3VULN|2DMG|2TLV	157VULN|29TLV|3LIT|45DMG|5BPWR|6LEGI|8MBVNT|aRCR
195	35643 22223	1	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	145VULN|25DMG|3BELT|5BPWR|6DUR|7BEXP|8TLV|9RCR|aERES
196	35643 23221	1	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	145VULN|25DMG|3BELT|5BPWR|6DUR|7DUST|8TLV|9RCR|aRPLT
197	32153 26622	10	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	139VULN|2LWND|4DUR|5RPLT|6aDMG|7TLV|8RCR
198	14213 46446	5	   	254.01	DCR|3VULN|2TLV|2DUR|2LIT	1RPLT|28LIT|3MBVNT|49aVULN|58TLV|6RCR|78DUR|8BPWR
199	33232 12486	3	   	254.01	DCR|3VULN|2TLV|2DUR|2LIT	178VULN|28TLV|39LIT|4MBVNT|5BEXP|68DUR|8BPWR|aRCR
200	33124 63132	9	   	253.99	ACR|3VULN|3DMG|2TLV|1DUR	17aVULN|27TLV|3RMIN|4RCR|567DMG|7BPWR|8DUR|9LIT
201	33124 63136	10	   	253.99	ACR|3VULN|3DMG|2TLV|1DUR	17aVULN|27TLV|3RMIN|4RCR|567DMG|7BPWR|8DUR|9LIT
202	33124 63142	8	   	253.99	ACR|3VULN|3DMG|2TLV|1DUR	17aVULN|27TLV|3RMIN|4RCR|567DMG|7BPWR|8DUR|9LIT
203	32112 55134	1	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	148VULN|2ZMB|3DUR|5TLV|6ERES|7RCR|9aDMG
204	35643 23223	1	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	145VULN|25DMG|3BELT|5BPWR|6DUR|7DUST|8TLV|9RCR|aERES
205	14215 31823	7	   	253.89	DCR|4VULN|2TLV|2LIT|1AART	1RPLT|28LIT|3MBVNT|458aVULN|68TLV|7AART|8BPWR|9RCR
206	33153 23612	6	   	253.79	DCR|2VULN|2DMG|2DUR|1TLV|1AART	17VULN|2TLV|3RMIN|47DUR|5RPLT|67DMG|7BPWR|8RCR|9AART|aZMB
207	33153 23616	6	   	253.79	DCR|2VULN|2DMG|2DUR|1TLV|1AART	17VULN|2TLV|3RMIN|47DUR|5RPLT|67DMG|7BPWR|8RCR|9AART|aMLV
208	33112 55532	2	   	253.73	DCR|4VULN|2TLV|1DUR	148aVULN|25TLV|3DUR|6LIT|7RCR|9TBNT
209	33153 23615	6	   	253.69	DCR|2VULN|2DMG|2DUR|1TLV|1AART	17VULN|2TLV|3RMIN|47DUR|5RPLT|67DMG|7BPWR|8RCR|9AART|aERES
210	33114 43233	6	   	253.64	DCR|3VULN|3DMG|1TLV	18aVULN|2TLV|3RMIN|4aBEXP|59aDMG|6BELT|7RCR|aBPWR
211	33115 33233	6	   	253.64	DCR|3VULN|3DMG|1TLV	18aVULN|2TLV|3RMIN|4aBEXP|5BELT|69aDMG|7RCR|aBPWR
212	33161 63523	6	   	253.54	DCR|3VULN|3DMG|1TLV	17aVULN|2TLV|3RMIN|47ZMB|567DMG|7BPWR|8RCR|9ERES
213	33161 63214	6	   	253.51	DCR|2VULN|3DMG|1TLV|1DUR	17VULN|2TLV|3RMIN|47ZMB|567DMG|7BPWR|8DUR|9RCR|aLIT
214	22442 53233	8	   	253.51	DCR|2VULN|3DMG|1TLV|1DUR	17CGEN|2ASPD|379DMG|47VULN|5RCVC|6RCR|7BPWR|8DUR|aTLV
215	51432 53133	6	   	253.34	DCR|3VULN|3DMG|1TLV	12DUST|359DMG|458VULN|5BPWR|6RCR|7LHND|aTLV
216	33522 25324	5	   	253.18	DCR|5VULN|1TLV|1CDMG	1567aVULN|2TLV|3LHND|4CDMG|8RCR|9ZMB
217	34631 12311	10	   	253.18	DCR|5VULN|1TLV|1CDMG	14679VULN|2RCVC|3CDMG|5LHND|8RCR|aTLV
218	24353 11325	7	   	253.13	DCR|3VULN|1TLV|1DMG|2LIT|1AART	1CGEN|25LIT|3AART|456VULN|5BPWR|7DMG|8TLV|9ASPD|aRCR
219	34634 12311	10	   	253.08	DCR|5VULN|1TLV|1CDMG	14679VULN|2RCVC|3CDMG|5DUST|8RCR|aTLV
220	32112 13262	4	   	253.03	DCR|3VULN|2DUR|1TLV|1CDMG	136VULN|2LWND|4BEXP|56DUR|6BPWR|7LIT|8CDMG|9TLV|aRCR
221	32152 13262	2	   	253.03	DCR|3VULN|2DUR|1TLV|1CDMG	146VULN|2LWND|3BEXP|56DUR|6BPWR|7LIT|8CDMG|9TLV|aRCR
222	33262 24432	3	   	252.94	DCR|3VULN|2TLV|1DMG|2ASPD	149VULN|29TLV|3LIT|5LWND|6BELT|7RCR|89ASPD|9BPWR|aDMG
223	33263 24432	3	   	252.94	DCR|3VULN|2TLV|1DMG|2ASPD	149VULN|29TLV|3LIT|5LHND|6BELT|7RCR|89ASPD|9BPWR|aDMG
224	31112 13252	4	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	136VULN|2DUST|4BEXP|56DUR|6BPWR|7LIT|8CDMG|9TLV|aRCR
225	31112 13252	3	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	136VULN|2DUST|4FEWX|56DUR|6BPWR|7LIT|8CDMG|9TLV|aRCR
226	31152 13252	2	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	146VULN|2DUST|3BEXP|56DUR|6BPWR|7LIT|8CDMG|9TLV|aRCR
227	31352 13252	2	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	146VULN|2DUST|3FEWX|56DUR|6BPWR|7LIT|8CDMG|9TLV|aRCR
228	32132 13252	3	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	136VULN|2LWND|4DUST|56DUR|6BPWR|7LIT|8CDMG|9TLV|aRCR
229	36152 13252	1	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	146VULN|2DUST|3BEXP|56DUR|6BPWR|7LIT|8CDMG|9TLV|aRCR
230	36352 13252	1	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	146VULN|2DUST|3FEWX|56DUR|6BPWR|7LIT|8CDMG|9TLV|aRCR
231	31261 14432	1	   	252.84	DCR|3VULN|2TLV|1DMG|2ASPD	139VULN|2BELT|39BPWR|49TLV|5DUST|6LIT|7RCR|89ASPD|aDMG
232	33253 33616	7	   	252.84	DCR|3VULN|2TLV|1DMG|1DUR	17aVULN|27TLV|3LIT|4DMG|57DUST|6BELT|7BPWR|8DUR|9RCR
233	33334 61315	6	   	252.84	DCR|3VULN|2TLV|2CDMG|1DUR	157VULN|27TLV|3ERES|4CGEN|67CDMG|7BPWR|8RCR|9LIT|aDUR
234	33232 57814	3	   	252.75	DCR|3VULN|2DMG|1TLV|2LIT	18aVULN|2TLV|38LIT|4MBVNT|5BEXP|6LWND|78DMG|8BPWR|9RCR
235	33234 57814	3	   	252.75	DCR|3VULN|2DMG|1TLV|2LIT	18aVULN|2TLV|38LIT|4MBVNT|5LHND|6LWND|78DMG|8BPWR|9RCR
236	33124 63314	8	   	252.74	ACR|3VULN|3DMG|2TLV|1CDMG|1AART	17aVULN|27TLV|3RMIN|4RCR|567DMG|7BPWR|8CDMG|9AART
237	44332 12352	6	   	252.68	DCR|4VULN|2TLV|1CDMG|1AART	1RCVC|2CDMG|35TLV|4569VULN|5BPWR|7RCR|8RMIN|aAART
238	44332 22352	5	   	252.68	DCR|4VULN|2TLV|1CDMG|1AART	1RCVC|2CDMG|35TLV|4569VULN|5BPWR|7RCR|8RMIN|aAART
239	64332 12352	6	   	252.68	DCR|4VULN|2TLV|1CDMG|1AART	1DMSP|2CDMG|35TLV|4569VULN|5BPWR|7RCR|8RMIN|aAART
240	64332 22352	5	   	252.68	DCR|4VULN|2TLV|1CDMG|1AART	1DMSP|2CDMG|35TLV|4569VULN|5BPWR|7RCR|8RMIN|aAART
241	33237 82521	3	   	252.65	DCR|3VULN|2DMG|1TLV|2LIT	169VULN|2TLV|39LIT|4MBVNT|5RPLT|7RCR|89DMG|9BPWR|aTBNT
242	33237 82523	3	   	252.65	DCR|3VULN|2DMG|1TLV|2LIT	169VULN|2TLV|39LIT|4MBVNT|5RPLT|7RCR|89DMG|9BPWR|aERES
243	33522 24423	10	   	252.58	DCR|4VULN|2TLV|1CDMG|1AART	1579VULN|27TLV|3LHND|4CDMG|67ERES|7BPWR|8AART|aRCR
244	31642 53332	10	   	252.56	DCR|3VULN|3DUR|1TLV|1SELL	189VULN|2DUST|3SELL|489ZMB|5ASPD|6TLV|789DUR|89BPWR|aRCR
245	33264 34146	10	   	252.50	DCR|3VULN|2DMG|1TLV|2LIT|1SELL	17aVULN|2TLV|3aLIT|4SELL|5MBVNT|6RMIN|8RCR|9aDMG|aBPWR
246	51432 23217	7	   	252.50	DCR|4VULN|2DMG|2CDMG	128DUST|35DMG|458aVULN|58BPWR|68CDMG|7MBVNT|9RCR
247	15113 23612	1	   	252.48	DCR|3VULN|3DUR|2TLV	1RPLT|268VULN|3RCVC|4ZMB|589DUR|78TLV|8BPWR|aRCR
248	15162 13612	1	   	252.48	DCR|3VULN|3DUR|2TLV	1RPLT|248VULN|3RCVC|5ZMB|689DUR|78TLV|8BPWR|aRCR
249	16313 23612	1	   	252.48	DCR|3VULN|3DUR|2TLV	1RPLT|2RCVC|368VULN|4ZMB|589DUR|78TLV|8BPWR|aRCR
250	16362 13612	1	   	252.48	DCR|3VULN|3DUR|2TLV	1RPLT|2RCVC|348VULN|5ZMB|689DUR|78TLV|8BPWR|aRCR
251	32153 31616	6	   	252.48	DCR|3VULN|3DUR|2TLV	13aVULN|2LWND|49aDUR|5RPLT|6DMSP|7aTLV|8RCR|aBPWR
252	33153 31612	7	   	252.48	DCR|3VULN|3DUR|2TLV	178VULN|28TLV|3RMIN|489DUR|5RPLT|6DMSP|8BPWR|aRCR
253	33153 62612	6	   	252.48	DCR|3VULN|3DUR|2TLV	168VULN|28TLV|37RMIN|489DUR|5RPLT|8BPWR|aRCR
254	15161 13612	1	   	252.48	DCR|3VULN|3DUR|2TLV	1RPLT|248VULN|3RCVC|5RMIN|689DUR|78TLV|8BPWR|aRCR
255	16361 13612	1	   	252.48	DCR|3VULN|3DUR|2TLV	1RPLT|2RCVC|348VULN|5RMIN|689DUR|78TLV|8BPWR|aRCR
256	34342 13612	6	   	252.48	DCR|3VULN|3DUR|2TLV	148VULN|2RCVC|3RMIN|5RPLT|689DUR|78TLV|8BPWR|aRCR
257	34342 13612	5	   	252.48	DCR|3VULN|3DUR|2TLV	148VULN|2RCVC|3RMIN|5RPLT|689DUR|78TLV|8BPWR|aRCR
258	34343 13612	4	   	252.48	DCR|3VULN|3DUR|2TLV	148VULN|2RCVC|3RMIN|5RPLT|689DUR|78TLV|8BPWR|aRCR
259	14215 14328	7	   	252.45	DCR|3VULN|2DMG|1DUR|2LIT|1AART	1RPLT|27LIT|3MBVNT|457VULN|67DMG|7BPWR|8AART|9RCR|aDUR
260	14213 82522	5	   	252.38	DCR|2VULN|2DMG|2TLV|1DUR|2LIT	1RPLT|29LIT|3MBVNT|46VULN|59TLV|7RCR|89DMG|9BPWR|aDUR
261	14215 32522	6	   	252.38	DCR|2VULN|2DMG|2TLV|1DUR|2LIT	1RPLT|29LIT|3MBVNT|45VULN|69TLV|7RCR|89DMG|9BPWR|aDUR
262	33315 21366	5	   	252.38	DCR|3VULN|3DUR|2TLV	168VULN|28TLV|3ERES|4BEXP|5BELT|78aDUR|8BPWR|9RCR
263	33153 23311	6	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	17VULN|2TLV|3RMIN|47DUR|5RPLT|67DMG|7BPWR|8TBNT|9RCR|aASPD
264	33261 61411	3	   	252.30	DCR|4VULN|1TLV|1DUR|2LIT	146aVULN|2TLV|39LIT|5DUR|7BELT|8RCR
265	31261 31366	1	   	252.28	DCR|3VULN|3DUR|2TLV	138VULN|2BELT|38BPWR|48TLV|5DUST|6ERES|78aDUR|9RCR
266	33164 51221	9	   	252.22	DCR|4VULN|2DUR|1TLV	159aVULN|2TLV|3RMIN|4aZMB|6RCR|7RCVC|8aDUR|aBPWR
267	33124 61221	9	   	252.18	ACR|3VULN|3DMG|2DUR|1TLV	19aVULN|2TLV|3RMIN|4RCR|56aDMG|7RCVC|8aDUR|aBPWR
268	33124 41233	6	   	252.18	ACR|3VULN|3DMG|2DUR|1TLV	18aVULN|2TLV|3RMIN|4RCR|59aDMG|6BELT|7aDUR|aBPWR
269	33125 31233	6	   	252.18	ACR|3VULN|3DMG|2DUR|1TLV	18aVULN|2TLV|3RMIN|4RCR|5BELT|69aDMG|7aDUR|aBPWR
270	31153 24612	7	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	137VULN|2DUST|47DUR|5RPLT|67DMG|7BPWR|8RCR|9AART|aZMB
271	31632 51313	5	   	251.99	DCR|2VULN|2DMG|2DUR|1TLV|1SELL	1aVULN|2DUST|3SELL|4aDMG|5ASPD|6TLV|7aDUR|8TBNT|9RCR|aBPWR
272	31635 51313	4	   	251.99	DCR|2VULN|2DMG|2DUR|1TLV|1SELL	1aVULN|2DUST|3SELL|4aDMG|5ASPD|6TLV|7aDUR|8TBNT|9RCR|aBPWR
273	31141 63214	6	   	251.90	DCR|3VULN|3DMG|1DUR	137VULN|2DUST|47MLV|567DMG|7BPWR|8DUR|9RCR|aLIT
274	14215 14325	7	   	251.86	DCR|3VULN|3DMG|2LIT|1AART	1RPLT|27LIT|3MBVNT|457VULN|67aDMG|7BPWR|8AART|9RCR
275	32321 52436	3	   	251.64	DCR|3VULN|2DMG|1TLV|1CDMG	18aVULN|2LWND|3RMIN|4aLHND|5TLV|6CDMG|7RCR|9aDMG|aBPWR
276	32331 52436	3	   	251.64	DCR|3VULN|2DMG|1TLV|1CDMG	18aVULN|2LWND|3RMIN|4aBEXP|5TLV|6CDMG|7RCR|9aDMG|aBPWR
277	33111 52436	4	   	251.64	DCR|3VULN|2DMG|1TLV|1CDMG	18aVULN|2TLV|3RMIN|4aBEXP|5LHND|6CDMG|7RCR|9aDMG|aBPWR
278	33111 52436	3	   	251.64	DCR|3VULN|2DMG|1TLV|1CDMG	18aVULN|2TLV|3RMIN|4aFEWX|5LHND|6CDMG|7RCR|9aDMG|aBPWR
279	33113 52436	4	   	251.64	DCR|3VULN|2DMG|1TLV|1CDMG	18aVULN|2TLV|3RMIN|4aBEXP|5LWND|6CDMG|7RCR|9aDMG|aBPWR
280	34363 11214	6	 * 	251.64	DCR|3VULN|3DUR|3ASPD|1AART	178VULN|2RCVC|3RMIN|4AART|578ASPD|678DUR|78BPWR|9BELT|aRCR
281	34363 12214	7	   	251.64	DCR|3VULN|3DUR|3ASPD|1AART	178VULN|2RCVC|3RMIN|4AART|578ASPD|678DUR|78BPWR|9BELT|aRCR
282	32322 12436	4	   	251.54	DCR|3VULN|2DMG|1TLV|1CDMG	18aVULN|2aLWND|3RMIN|4CDMG|5TLV|6LEGI|7RCR|9aDMG|aBPWR
283	33253 32156	4	   	251.54	DCR|2VULN|2DMG|2TLV|1CDMG	15VULN|2aTLV|3LIT|45DMG|5BPWR|6ASPD|7RCR|8CDMG|9BEXP
284	34635 12313	9	   	251.54	DCR|5VULN|1DUR|1CDMG	14679VULN|2RCVC|3CDMG|5DUR|8RCR|aASPD
285	33522 13636	9	   	251.49	DCR|4VULN|1TLV|1DUR|1CDMG	159aVULN|2TLV|39aLHND|4CDMG|6DUR|79aLWND|8RCR|9aBPWR
286	35364 31132	1	   	251.44	DCR|3VULN|2DMG|1TLV|1CDMG	179VULN|29DMG|3DUST|4TLV|5DLOT|69LHND|8RCR|9BPWR|aCDMG
287	54432 22123	9	   	251.44	DCR|3VULN|2DMG|1TLV|1CDMG	1DUST|2RCVC|35DMG|458VULN|5BPWR|6CDMG|7CGEN|9TLV|aRCR
288	54432 22133	8	   	251.44	DCR|3VULN|2DMG|1TLV|1CDMG	1DUST|2RCVC|35DMG|458VULN|5BPWR|6CDMG|7CGEN|9TLV|aRCR
289	33253 32147	4	   	251.44	DCR|2VULN|2DMG|2TLV|1CDMG	15VULN|2aTLV|3LIT|45DMG|5BPWR|6ASPD|7RCR|8CDMG|9MBVNT
290	33255 32512	4	   	251.44	DCR|2VULN|2DMG|2TLV|1CDMG	18VULN|29TLV|3LIT|45DMG|6ASPD|7RCR|aCDMG
291	33253 11214	4	   	251.40	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	15VULN|2TLV|3LIT|45DMG|5BPWR|6BEXP|7DUR|8CDMG|9LWND|aRCR
292	33253 11234	4	   	251.40	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	15VULN|2TLV|3LIT|45DMG|5BPWR|6BEXP|7DUR|8CDMG|9LHND|aRCR
293	33253 51214	4	   	251.40	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	15VULN|2TLV|3LIT|45DMG|5BPWR|6LHND|7DUR|8CDMG|9LWND|aRCR
294	34633 53132	4	   	251.34	DCR|3VULN|2DMG|1TLV|1CDMG	147VULN|2RCVC|3CDMG|57ERES|67DMG|7BPWR|8RCR|9TLV|aDUST
295	34633 53133	4	   	251.34	DCR|3VULN|2DMG|1TLV|1CDMG	147VULN|2RCVC|3CDMG|57aERES|67DMG|7BPWR|8RCR|9TLV
296	51432 22123	9	   	251.34	DCR|3VULN|2DMG|1TLV|1CDMG	12DUST|35DMG|458VULN|5BPWR|6CDMG|7CGEN|9TLV|aRCR
297	51432 22133	8	   	251.34	DCR|3VULN|2DMG|1TLV|1CDMG	12DUST|35DMG|458VULN|5BPWR|6CDMG|7CGEN|9TLV|aRCR
298	33253 11244	4	   	251.30	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	15VULN|2TLV|3LIT|45DMG|5BPWR|6BEXP|7DUR|8CDMG|9DUST|aRCR
299	33253 51263	4	   	251.30	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	15VULN|2TLV|3LIT|45DMG|5BPWR|6LHND|7DUR|8CDMG|9TBNT|aRCR
300	33253 61214	4	   	251.30	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	15VULN|2TLV|3LIT|45DMG|5BPWR|6LEGI|7DUR|8CDMG|9LWND|aRCR
301	33253 61234	4	   	251.30	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	15VULN|2TLV|3LIT|45DMG|5BPWR|6LEGI|7DUR|8CDMG|9LHND|aRCR
302	33522 13632	10	   	251.29	DCR|4VULN|1TLV|1DUR|1CDMG	159aVULN|2TLV|39LHND|4CDMG|6DUR|79LWND|8RCR|9BPWR
303	33522 13635	9	   	251.29	DCR|4VULN|1TLV|1DUR|1CDMG	159aVULN|2TLV|39LHND|4CDMG|6DUR|79LWND|8RCR|9BPWR
304	33525 13632	10	   	251.29	DCR|4VULN|1TLV|1DUR|1CDMG	169aVULN|2TLV|39LHND|4CDMG|5DUR|79LWND|8RCR|9BPWR
305	33625 11632	10	   	251.29	DCR|4VULN|1TLV|1DUR|1CDMG	169aVULN|2TLV|39LWND|4CDMG|5DUR|79FEWX|8RCR|9BPWR
306	33625 13632	10	   	251.29	DCR|4VULN|1TLV|1DUR|1CDMG	169aVULN|2TLV|39LWND|4CDMG|5DUR|79LHND|8RCR|9BPWR
307	33253 61263	4	   	251.20	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	15VULN|2TLV|3LIT|45DMG|5BPWR|6LEGI|7DUR|8CDMG|9TBNT|aRCR
308	34635 12321	10	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	1467VULN|2RCVC|3CDMG|5DUR|8RCR|9TLV|aBELT
309	34635 12323	10	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	1467VULN|2RCVC|3CDMG|5DUR|8RCR|9TLV|aMLV
310	34631 12136	7	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	1467VULN|2RCVC|3CDMG|5LHND|8RCR|9TLV|aDUR
311	34631 12326	9	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	1467VULN|2RCVC|3CDMG|5LHND|8RCR|9TLV|aDUR
312	34631 12336	8	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	1467VULN|2RCVC|3CDMG|5LHND|8RCR|9TLV|aDUR
313	34631 32224	4	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	145aVULN|2RCVC|3CDMG|6TLV|7RCR|8DUR|9ZMB
314	35235 62123	1	   	251.04	DCR|3VULN|1TLV|1DMG|2AART|1CDMG|1SELL	158VULN|2DMG|3SELL|4aAART|6TLV|7CDMG|9RCR
315	33125 21265	5	 * 	251.00	ACR|4VULN|3DUR|3TLV|1AART	169aVULN|29aTLV|3RMIN|4RCR|5BELT|79aDUR|8AART|9aBPWR
316	34635 12132	7	   	250.99	DCR|4VULN|1TLV|1DUR|1CDMG	1467VULN|2RCVC|3CDMG|5DUR|8RCR|9TLV|aDUST
317	34635 12133	7	   	250.99	DCR|4VULN|1TLV|1DUR|1CDMG	1467VULN|2RCVC|3CDMG|5DUR|8RCR|9TLV|aERES
318	34635 12322	9	   	250.99	DCR|4VULN|1TLV|1DUR|1CDMG	1467VULN|2RCVC|3CDMG|5DUR|8RCR|9TLV|aDUST
319	34635 12322	10	   	250.99	DCR|4VULN|1TLV|1DUR|1CDMG	1467VULN|2RCVC|3CDMG|5DUR|8RCR|9TLV|aLEGI
320	34635 12323	9	   	250.99	DCR|4VULN|1TLV|1DUR|1CDMG	1467VULN|2RCVC|3CDMG|5DUR|8RCR|9TLV|aERES
321	34635 12332	8	   	250.99	DCR|4VULN|1TLV|1DUR|1CDMG	1467VULN|2RCVC|3CDMG|5DUR|8RCR|9TLV|aDUST
322	34635 12333	8	   	250.99	DCR|4VULN|1TLV|1DUR|1CDMG	1467VULN|2RCVC|3CDMG|5DUR|8RCR|9TLV|aERES
323	31155 35222	7	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	137VULN|2DUST|4aDUR|5BELT|6DMG|8TLV|9RCR
324	32162 55133	1	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	18aVULN|2ZMB|35DUR|4TLV|6ERES|7RCR|9DMG
325	22442 53223	10	   	250.93	DCR|3VULN|2DMG|2DUR	17CGEN|2ASPD|37DMG|479VULN|5RCVC|6RCR|7BPWR|8aDUR
326	31124 65231	5	 * 	250.87	ACR|3VULN|3DMG|1TLV|2CDMG|1AART	138VULN|2DUST|4RCR|568DMG|78CDMG|8BPWR|9TLV|aAART
327	31155 33133	4	 * 	250.84	DCR|3VULN|2DUR|1TLV|2CDMG	135VULN|2DUST|47DUR|68CDMG|9TLV|aRCR
