0	Index      	Bounty	 *	Score 	Summary	Detail	
1	42341 22631	7	 * 	299.45	DCR|4VULN|3DMG|1DUR|1CDMG	178CGEN|2378VULN|4LIT|5CDMG|678DMG|78BPWR|9DUR|aRCR
167	23133 43134	10	   	272.91	DCR|4VULN|3DUR|2ASPD	169aVULN|2BELT|349DUR|5LEGI|7RCR|89ASPD|9BPWR
168	23133 43135	9	   	272.91	DCR|4VULN|3DUR|2ASPD	169aVULN|2BELT|349DUR|5LEGI|7RCR|89ASPD|9BPWR
169	26112 41361	2	   	272.91	DCR|4VULN|3DUR|2ASPD	1238VULN|48ASPD|5ERES|6LWND|789DUR|8BPWR|aRCR
170	26116 31361	2	   	272.91	DCR|4VULN|3DUR|2ASPD	1238VULN|48ASPD|5LWND|6ERES|789DUR|8BPWR|aRCR
171	26312 41361	3	   	272.91	DCR|4VULN|3DUR|2ASPD	1238VULN|48ASPD|5ERES|6LWND|789DUR|8BPWR|aRCR
172	26316 31361	3	   	272.91	DCR|4VULN|3DUR|2ASPD	1238VULN|48ASPD|5LWND|6ERES|789DUR|8BPWR|aRCR
173	53217 33448	2	   	272.87	DCR|5VULN|2DUR|2LIT	1MBVNT|2378aVULN|3aBPWR|4aDUR|5RMIN|6aLIT|9RCR
174	53227 33448	2	   	272.87	DCR|5VULN|2DUR|2LIT	1MBVNT|2378aVULN|3aBPWR|4RMIN|5aDUR|6aLIT|9RCR
175	51444 33448	3	   	272.87	DCR|5VULN|2DUR|2LIT	1MBVNT|2RMIN|3aDUR|4578aVULN|6aLIT|9RCR|aBPWR
176	51453 33448	5	   	272.87	DCR|5VULN|2DUR|2LIT	1MBVNT|2RMIN|3aDUR|4578aVULN|6aLIT|9RCR|aBPWR
177	51453 43448	8	   	272.87	DCR|5VULN|2DUR|2LIT	1MBVNT|2RMIN|3aDUR|4568aVULN|7aLIT|9RCR|aBPWR
178	51453 43448	7	   	272.87	DCR|5VULN|2DUR|2LIT	1MBVNT|2RMIN|3aDUR|4568aVULN|7aLIT|9RCR|aBPWR
179	51454 33448	4	   	272.87	DCR|5VULN|2DUR|2LIT	1MBVNT|2RMIN|3aDUR|4578aVULN|6aLIT|9RCR|aBPWR
180	53244 47442	4	   	272.85	DCR|5VULN|2ASPD|1DUR	1MBVNT|2458aVULN|34ASPD|4BPWR|6DUR|7LIT|9RCR
181	53246 13442	7	   	272.85	DCR|5VULN|2ASPD|1DUR	1MBVNT|2458aVULN|34ASPD|4BPWR|6DUR|7LIT|9RCR
182	53246 13442	8	   	272.85	DCR|5VULN|2ASPD|1DUR	1MBVNT|2458aVULN|34ASPD|4BPWR|6DUR|7LIT|9RCR
183	53246 17442	6	   	272.85	DCR|5VULN|2ASPD|1DUR	1MBVNT|2458aVULN|34ASPD|4BPWR|6DUR|7LIT|9RCR
184	53246 47442	5	   	272.85	DCR|5VULN|2ASPD|1DUR	1MBVNT|2458aVULN|34ASPD|4BPWR|6DUR|7LIT|9RCR
185	53242 58343	6	   	272.81	DCR|4VULN|3DUR|2ASPD	1MBVNT|248aVULN|34ASPD|48BPWR|58ERES|6RCR|789DUR
186	53244 41182	4	   	272.81	DCR|4VULN|3DUR|2ASPD	1MBVNT|2459VULN|34ASPD|49BPWR|679DUR|89ERES|aRCR
187	53244 46342	4	   	272.81	DCR|4VULN|3DUR|2ASPD	1MBVNT|2458VULN|34ASPD|48BPWR|689DUR|78ERES|aRCR
188	53246 11182	6	   	272.81	DCR|4VULN|3DUR|2ASPD	1MBVNT|2459VULN|34ASPD|49BPWR|679DUR|89ERES|aRCR
189	53246 11342	7	   	272.81	DCR|4VULN|3DUR|2ASPD	1MBVNT|2458VULN|34ASPD|48BPWR|689DUR|78ERES|aRCR
190	53246 16342	6	   	272.81	DCR|4VULN|3DUR|2ASPD	1MBVNT|2458VULN|34ASPD|48BPWR|689DUR|78ERES|aRCR
191	53246 41182	5	   	272.81	DCR|4VULN|3DUR|2ASPD	1MBVNT|2459VULN|34ASPD|49BPWR|679DUR|89ERES|aRCR
192	53246 46342	5	   	272.81	DCR|4VULN|3DUR|2ASPD	1MBVNT|2458VULN|34ASPD|48BPWR|689DUR|78ERES|aRCR
193	53211 33448	2	   	272.77	DCR|5VULN|2DUR|2LIT|1NUKE	1MBVNT|2378aVULN|3aBPWR|4aDUR|5NUKE|6aLIT|9RCR
194	53714 33448	4	   	272.77	DCR|5VULN|2DUR|2LIT|1NUKE	1MBVNT|2578aVULN|3aDUR|4NUKE|6aLIT|9RCR|aBPWR
195	26235 33326	7	   	272.64	DCR|4VULN|2DMG|1DUR|1ASPD	128aVULN|38LWND|4DUR|5ASPD|6RCR|78DMG|8BPWR|9RCVC
196	26535 33332	7	   	272.64	DCR|4VULN|2DMG|1DUR|1ASPD	1289VULN|38FEWX|4DUR|5ASPD|6RCR|78DMG|8BPWR|aBEXP
197	26535 33333	7	   	272.64	DCR|4VULN|2DMG|1DUR|1ASPD	1289VULN|38FEWX|4DUR|5ASPD|6RCR|78DMG|8BPWR|aZMB
198	26535 33331	7	   	272.54	DCR|4VULN|2DMG|1DUR|1ASPD	1289VULN|38FEWX|4DUR|5ASPD|6RCR|78DMG|8BPWR|aMBVNT
199	53483 33323	7	   	272.51	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	1MBVNT|258VULN|3FEWX|48TLV|6RCR|78DMG|8BPWR|9DUR|aCDMG
200	32235 31461	10	   	272.44	DCR|4VULN|2DMG|1DUR|1ASPD	1aERES|289aVULN|3ASPD|4DUR|5aDMG|6RCR|7RCVC|aBPWR
201	53783 33342	7	   	272.41	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	1MBVNT|258VULN|3DUR|48TLV|6RCR|78DMG|8BPWR|9CDMG|aLEGI
202	53783 33344	7	   	272.41	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	1MBVNT|258VULN|3DUR|48TLV|6RCR|78DMG|8BPWR|9CDMG|aERES
203	32235 32461	10	   	272.34	DCR|4VULN|2DMG|1DUR|1ASPD	17aERES|289aVULN|3ASPD|4DUR|5aDMG|6RCR|aBPWR
204	26432 12521	9	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	1278VULN|3DMG|47DUR|57ERES|6RPLT|7BPWR|9CDMG|aRCR
205	51453 35343	7	   	272.09	DCR|4VULN|2DUR|2TLV|1CDMG	1MBVNT|2RMIN|38DUR|458aVULN|6RCR|78TLV|8BPWR|9CDMG
206	51453 37343	6	   	272.09	DCR|4VULN|2DUR|2TLV|1CDMG	1MBVNT|2RMIN|38DUR|458aVULN|6RCR|78TLV|8BPWR|9CDMG
207	24232 61611	9	 * 	272.06	DCR|3VULN|2DUR|2ASPD|2CDMG|2LIT	18aVULN|28DUR|3aASPD|4LWND|58CDMG|6LEGI|7RCR|8aBPWR|9aLIT
208	24232 61621	8	   	272.06	DCR|3VULN|2DUR|2ASPD|2CDMG|2LIT	18aVULN|28DUR|3aASPD|4LWND|58CDMG|6LEGI|7RCR|8aBPWR|9aLIT
209	26334 63313	6	   	271.80	DCR|5VULN|1DMG|1CDMG|1ASPD	12357VULN|4BEXP|6RCR|8DMG|9CDMG|aASPD
210	26334 63312	7	   	271.76	DCR|5VULN|2DUR|1CDMG	12358VULN|48BEXP|6RCR|78DUR|8BPWR|9CDMG|aRCVC
211	51444 48316	3	 * 	271.76	DCR|4VULN|3DUR|3TLV	1MBVNT|2RMIN|378DUR|4578VULN|678TLV|78BPWR|9RCVC|aRCR
212	51444 48326	3	   	271.76	DCR|4VULN|3DUR|3TLV	1MBVNT|2RMIN|378DUR|4578VULN|678TLV|78BPWR|9DMSP|aRCR
213	51444 48335	3	   	271.76	DCR|4VULN|3DUR|3TLV	1MBVNT|2RMIN|378DUR|4578VULN|678TLV|78BPWR|9LHND|aRCR
214	26334 63313	7	   	271.66	DCR|5VULN|2DUR|1CDMG	12358VULN|48BEXP|6RCR|78DUR|8BPWR|9CDMG|aERES
215	51462 13448	4	   	271.66	DCR|4VULN|3DUR|3LIT	1MBVNT|2RMIN|35aDUR|45aLIT|5aBPWR|678aVULN|9RCR
216	51464 13448	5	   	271.66	DCR|4VULN|3DUR|3LIT	1MBVNT|2RMIN|35aDUR|45aLIT|5aBPWR|678aVULN|9RCR
217	51444 48345	3	   	271.66	DCR|4VULN|3DUR|3TLV	1MBVNT|2RMIN|378DUR|4578VULN|678TLV|78BPWR|9DUST|aRCR
218	53741 53442	3	   	271.60	DCR|5VULN|1DMG|1DUR	1MBVNT|2678aVULN|3DUR|4LIT|5DMG|9RCR
219	26441 12442	5	   	271.60	DCR|5VULN|1DMG|1DUR	1268aVULN|3DMG|4LIT|5MBVNT|7DUR|9RCR
220	26441 33442	6	   	271.60	DCR|5VULN|1DMG|1DUR	1278aVULN|3DMG|4LIT|5MBVNT|6DUR|9RCR
221	61125 42311	1	   	271.56	DCR|4VULN|3DUR|1DMG	168DUR|2DMG|3TBNT|4DUST|567aVULN|6BPWR|9RCR
222	23135 43622	7	   	271.34	DCR|5VULN|3DUR	1689aVULN|2BELT|349DUR|59LWND|7RCR|9BPWR
223	14613 42212	8	   	271.20	DCR|4VULN|2DMG|1DUR	16FEWX|2DUR|3AART|48DMG|567aVULN|6BPWR|9RCR
224	26433 11112	3	   	271.20	DCR|4VULN|2DMG|1DUR	124aVULN|34DMG|4BPWR|5DUR|6RMIN|7AART|8CGEN|9RCR
225	24242 12521	9	   	270.76	DCR|3VULN|2DUR|2ASPD|2TLV|1CDMG	178VULN|25DUR|37ASPD|47TLV|6RPLT|7BPWR|9CDMG|aRCR
226	53242 58342	6	   	270.23	DCR|3VULN|3DUR|2ASPD|1DMG	1MBVNT|248VULN|34ASPD|48BPWR|58ERES|6RCR|789DUR|aDMG
227	53252 24343	6	 * 	270.23	DCR|3VULN|3DUR|2ASPD|2TLV	1MBVNT|28aVULN|37ASPD|48TLV|568DUR|8BPWR|9RCR
228	53252 48343	5	   	270.23	DCR|3VULN|3DUR|2ASPD|2TLV	1MBVNT|28aVULN|36ASPD|48TLV|578DUR|8BPWR|9RCR
229	22265 34213	5	   	270.21	DCR|3VULN|2DUR|2TLV|1CDMG|1ASPD	178VULN|2CDMG|3AART|47TLV|57DUR|6RCR|7BPWR|9ASPD|aRMIN
230	22265 34212	5	   	270.11	DCR|3VULN|2DUR|2TLV|1CDMG|1ASPD	178VULN|2CDMG|3AART|47TLV|57DUR|6RCR|7BPWR|9ASPD|aERES
231	53281 47434	10	 * 	270.09	DCR|3VULN|3DUR|2ASPD|3LIT|1SELL	1MBVNT|279VULN|3aASPD|479LIT|579DUR|6SELL|79BPWR|8RCR
232	32235 13235	9	   	269.87	DCR|3VULN|2DMG|2TLV|1DUR|1ASPD	1ERES|29aVULN|3ASPD|4DUR|5aDMG|6ZMB|7aTLV|8RCR|aBPWR
233	24225 33335	7	   	269.77	DCR|3VULN|2DMG|2ASPD|1DUR|1NUKE	189VULN|2DUR|38ASPD|4RMIN|58DMG|6RCR|7NUKE|8BPWR|aAART
234	51453 33342	7	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|2RMIN|38DUR|458VULN|6RCR|78DMG|8BPWR|9BEXP|aTLV
235	53237 31336	2	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|23aVULN|3aBPWR|4aMLV|5TLV|69DMG|7aDUR|8RCR
236	53447 31336	2	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|24aVULN|3aMLV|5TLV|69DMG|7aDUR|8RCR|aBPWR
237	53243 17644	4	   	269.58	DCR|4VULN|3ASPD|1TLV|2LIT	1MBVNT|248aVULN|34aASPD|4aBPWR|5TLV|6CGEN|7aLIT|9RCR
238	53347 31336	3	   	269.53	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|24aVULN|3aERES|5TLV|69DMG|7aDUR|8RCR|aBPWR
239	26431 32431	7	   	269.53	DCR|3VULN|2DMG|2DUR|1TLV	128VULN|38DMG|4aDUR|5DUST|6RCR|78ERES|8BPWR|9TLV
