0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21336 43632	2	 * 	283.52	DCR|3VULN|3DMG|1DUR|1ASPD|1AART	1ASPD|269DMG|3DUR|4LIT|568VULN|6BPWR|7AART|aRCR
156	36335 22234	7	   	257.86	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR|1AART	1AART|24DMG|34CDMG|4BPWR|5FEWX|69VULN|7DUR|8TLV|aRCR
157	36342 21114	8	   	257.86	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR|1AART	1AART|27DMG|37CDMG|4TLV|5CGEN|67VULN|7BPWR|8DUR|9ERES|aRCR
158	21143 41112	8	   	257.85	DCR|3VULN|3ASPD|1DMG|1CDMG	156ASPD|2DMG|3CDMG|456VULN|56BPWR|7MLV|8LIT|9CGEN|aRCR
159	21143 41122	9	   	257.85	DCR|3VULN|3ASPD|1DMG|1CDMG	156ASPD|2DMG|3CDMG|456VULN|56BPWR|7MLV|8LIT|9RMIN|aRCR
160	21143 41142	9	   	257.85	DCR|3VULN|3ASPD|1DMG|1CDMG	156ASPD|2DMG|3CDMG|456VULN|56BPWR|7MLV|8LIT|9CGEN|aRCR
161	21143 41352	8	   	257.85	DCR|3VULN|3ASPD|1DMG|1CDMG	156ASPD|2DMG|3CDMG|456VULN|56BPWR|7MLV|8CGEN|9LIT|aRCR
162	21143 42152	8	   	257.85	DCR|3VULN|3ASPD|1DMG|1CDMG	156ASPD|2DMG|3CDMG|456VULN|56BPWR|78BEXP|9LIT|aRCR
163	21143 42252	7	   	257.85	DCR|3VULN|3ASPD|1DMG|1CDMG	156ASPD|2DMG|3CDMG|456VULN|56BPWR|78BEXP|9LIT|aRCR
164	21143 42342	7	   	257.85	DCR|3VULN|3ASPD|1DMG|1CDMG	156ASPD|2DMG|3CDMG|456VULN|56BPWR|7BEXP|8LIT|9RCVC|aRCR
165	21143 46312	7	   	257.85	DCR|3VULN|3ASPD|1DMG|1CDMG	156ASPD|2DMG|3CDMG|456VULN|56BPWR|7LHND|8LIT|9DMSP|aRCR
166	21143 46332	7	   	257.85	DCR|3VULN|3ASPD|1DMG|1CDMG	156ASPD|2DMG|3CDMG|456VULN|56BPWR|79LHND|8LIT|aRCR
167	21143 44112	8	   	257.75	DCR|3VULN|3ASPD|1DMG|1CDMG	156ASPD|2DMG|3CDMG|456VULN|56BPWR|7ERES|8LIT|9CGEN|aRCR
168	21143 44122	9	   	257.75	DCR|3VULN|3ASPD|1DMG|1CDMG	156ASPD|2DMG|3CDMG|456VULN|56BPWR|7ERES|8LIT|9RMIN|aRCR
169	23331 12665	2	   	257.68	DCR|2VULN|3DUR|2ASPD|1TLV|1AART	19ASPD|2TLV|379DUR|4LIT|5AART|6LHND|89VULN|9BPWR|aRCR
170	23334 22165	2	   	257.68	DCR|2VULN|3DUR|2ASPD|1TLV|1AART	19ASPD|2TLV|369DUR|4LIT|5LHND|79VULN|8AART|9BPWR|aRCR
171	34314 33143	7	   	257.66	DCR|2VULN|2DMG|3ASPD|2AART|1CDMG	15AART|29aASPD|3CDMG|49VULN|6RCR|79DMG|8RPLT|9BPWR
172	25633 22363	10	   	257.54	DCR|4VULN|2DUR|1ASPD|1SELL	1ASPD|26DUR|3468VULN|5SELL|6BPWR|7FEWX|9RCR|aLIT
173	21143 14136	5	   	257.51	DCR|3VULN|2DMG|2ASPD|1CDMG	15ASPD|27DMG|3CDMG|459VULN|5BPWR|6BEXP|8CGEN|aRCR
174	21143 14236	5	   	257.51	DCR|3VULN|2DMG|2ASPD|1CDMG	15ASPD|27DMG|3CDMG|459VULN|5BPWR|6BEXP|8MLV|aRCR
175	21143 24136	6	   	257.51	DCR|3VULN|2DMG|2ASPD|1CDMG	15ASPD|27DMG|3CDMG|459VULN|5BPWR|6FEWX|8CGEN|aRCR
176	21143 24236	6	   	257.51	DCR|3VULN|2DMG|2ASPD|1CDMG	15ASPD|27DMG|3CDMG|459VULN|5BPWR|6FEWX|8MLV|aRCR
177	25521 13125	9	   	257.45	DCR|2VULN|2DMG|2DUR|2ASPD|1AART	18ASPD|25DUR|3RPLT|45VULN|5BPWR|6AART|7aDMG|9RCR
178	36311 12116	4	   	257.33	DCR|4VULN|1DMG|2CDMG|1AART	1AART|2DMG|35CDMG|457aVULN|5BPWR|6CGEN|8RCR|9LHND
179	21123 41123	6	   	257.30	DCR|2VULN|2DMG|3CDMG|1DUR|1ASPD	1ASPD|25DMG|345CDMG|5BPWR|6LIT|7DUR|89VULN|aRCR
180	21156 31123	4	   	257.30	DCR|2VULN|2DMG|3CDMG|1DUR|1ASPD	1ASPD|24DMG|346CDMG|4BPWR|5LIT|7DUR|89VULN|aRCR
181	13532 32614	4	   	257.30	DCR|2VULN|2DMG|2DUR|2CDMG|1ASPD|1SELL	1SELL|28CDMG|35DUR|48DMG|68VULN|7BBNT|8BPWR|9ASPD|aRCR
182	13565 31221	2	   	257.26	DCR|4VULN|2TLV|1DUR|1CDMG|1SELL	1SELL|2CDMG|3567VULN|45TLV|5BPWR|8DUR|9RCR|aZMB
183	13565 31223	2	   	257.26	DCR|4VULN|2TLV|1DUR|1CDMG|1SELL	1SELL|2CDMG|3567VULN|45TLV|5BPWR|8DUR|9RCR|aCGEN
184	31651 12136	4	   	257.23	DCR|4VULN|1DMG|2CDMG|1NUKE|1AART	1AART|25CDMG|357aVULN|4NUKE|5BPWR|6CGEN|8RCR|9DMG
185	36311 12146	4	   	257.23	DCR|4VULN|1DMG|2CDMG|1AART	1AART|2DMG|35CDMG|457aVULN|5BPWR|6CGEN|8RCR|9DUST
186	36311 13334	4	   	257.23	DCR|4VULN|1DMG|2CDMG|1AART	1AART|2DMG|35CDMG|4589VULN|5BPWR|6CGEN|7ERES|aRCR
187	21522 23522	8	   	257.22	DCR|2VULN|3DMG|2ASPD|2LIT|1AART	17ASPD|278DMG|3BEXP|49VULN|5AART|67LIT|7BPWR|aRCR
188	21212 51165	10	   	257.16	DCR|2VULN|3DMG|2ASPD|1DUR	18ASPD|258DMG|3LWND|4LIT|68VULN|7LEGI|8BPWR|9DUR|aRCR
189	13565 31222	2	 * 	257.16	DCR|4VULN|3TLV|1DUR|1CDMG|1SELL	1SELL|2CDMG|3567VULN|45aTLV|5BPWR|8DUR|9RCR
190	36315 32131	4	   	256.86	DCR|3VULN|2DMG|1CDMG|1ASPD|1AART	1AART|29DMG|3CDMG|467VULN|5ASPD|8RCR|aCGEN
191	36315 32132	4	   	256.86	DCR|3VULN|2DMG|1CDMG|1ASPD|1AART	1AART|29DMG|3CDMG|467VULN|5ASPD|8RCR|aBEXP
192	36315 32134	4	   	256.86	DCR|3VULN|2DMG|1CDMG|1ASPD|1AART	1AART|29DMG|3CDMG|467VULN|5ASPD|8RCR|aBELT
193	36315 32133	4	   	256.76	DCR|3VULN|2DMG|1CDMG|1ASPD|1AART	1AART|29DMG|3CDMG|467VULN|5ASPD|8RCR|aDUST
194	21411 32662	10	   	256.61	DCR|2VULN|2DMG|2ASPD|1DUR|1CDMG|1AART	17ASPD|26DMG|37ZMB|4AART|57VULN|7BPWR|8DUR|9CDMG|aRCR
195	36313 35334	5	   	256.61	DCR|2VULN|2DMG|2ASPD|1TLV|1CDMG|1AART	1AART|28DMG|3CDMG|48VULN|5BEXP|6CGEN|78ASPD|8BPWR|9TLV|aRCR
196	25521 13215	8	   	256.56	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	1ASPD|25DUR|3RPLT|458VULN|5BPWR|6AART|7DMG|9CGEN|aRCR
197	25521 13215	9	   	256.56	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	1ASPD|25DUR|3RPLT|458VULN|5BPWR|6AART|7DMG|9CGEN|aRCR
198	25521 13221	9	   	256.56	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	1ASPD|25DUR|3RPLT|458VULN|5BPWR|6AART|7DMG|9RCR|aBEXP
199	25521 13221	10	   	256.56	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	1ASPD|25DUR|3RPLT|458VULN|5BPWR|6AART|7DMG|9RCR|aFEWX
200	25521 13222	9	   	256.56	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	1ASPD|25DUR|3RPLT|458VULN|5BPWR|6AART|7DMG|9RCR|aLHND
201	25521 13223	9	   	256.56	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	1ASPD|25DUR|3RPLT|458VULN|5BPWR|6AART|7DMG|9RCR|aLWND
202	25521 13224	10	   	256.56	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	1ASPD|25DUR|3aRPLT|458VULN|5BPWR|6AART|7DMG|9RCR
203	25521 13225	10	   	256.56	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	1ASPD|25DUR|3RPLT|458VULN|5BPWR|6AART|7DMG|9RCR|aZMB
204	25521 13226	10	   	256.56	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	1ASPD|25DUR|3RPLT|458VULN|5BPWR|6AART|7DMG|9RCR|aCGEN
205	25521 13235	9	   	256.56	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	1ASPD|25DUR|3RPLT|458VULN|5BPWR|6AART|7DMG|9MLV|aRCR
206	34311 16314	6	   	256.51	DCR|2VULN|2DMG|2ASPD|1DUR|1CDMG|1AART	1AART|28ASPD|3CDMG|48VULN|5CGEN|6DUR|78DMG|8BPWR|9ERES|aRCR
207	36311 15314	6	   	256.51	DCR|2VULN|2DMG|2ASPD|1DUR|1CDMG|1AART	1AART|28DMG|3CDMG|48VULN|5CGEN|6DUR|78ASPD|8BPWR|9ERES|aRCR
208	25525 13322	10	   	256.46	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	1ASPD|28DUR|3RPLT|45aVULN|6AART|7DMG|9RCR
209	25521 13223	10	   	256.46	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	1ASPD|25DUR|3RPLT|458VULN|5BPWR|6AART|7DMG|9RCR|aERES
210	25521 13226	9	   	256.46	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	1ASPD|25DUR|3RPLT|458VULN|5BPWR|6AART|7DMG|9RCR|aERES
211	25526 13222	10	   	256.46	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	1ASPD|25DUR|3RPLT|48aVULN|6AART|7DMG|9RCR
212	36223 31462	3	   	256.37	DCR|3VULN|3DMG|1AART	1AART|289DMG|39LWND|4LIT|5CGEN|69aVULN|7RCR|9BPWR
213	25521 24113	5	   	256.31	DCR|3VULN|3DUR|1TLV|1ASPD	1ASPD|259DUR|3RPLT|458VULN|5BPWR|6LHND|7RCR|aTLV
214	21143 16136	7	   	256.17	DCR|3VULN|2ASPD|1DMG|1DUR|1CDMG	15ASPD|2DMG|3CDMG|459VULN|5BPWR|6DMSP|7DUR|8CGEN|aRCR
215	21143 16236	7	   	256.17	DCR|3VULN|2ASPD|1DMG|1DUR|1CDMG	15ASPD|2DMG|3CDMG|459VULN|5BPWR|6DMSP|7DUR|8MLV|aRCR
216	21143 16336	8	   	256.17	DCR|3VULN|2ASPD|1DMG|1DUR|1CDMG	15ASPD|2DMG|3CDMG|459VULN|5BPWR|6DMSP|7DUR|8CGEN|aRCR
217	21143 51236	5	   	256.17	DCR|3VULN|2ASPD|1DMG|1TLV|1CDMG	15ASPD|2DMG|3CDMG|459VULN|5BPWR|6CGEN|7TLV|8MLV|aRCR
218	25333 23245	7	   	256.17	DCR|3VULN|2ASPD|1DMG|1DUR|1CDMG	15ASPD|2DUR|3FEWX|45aVULN|5BPWR|6BEXP|7DMG|8RCR|9CDMG
219	21143 38461	5	   	256.07	DCR|3VULN|2ASPD|1DMG|1DUR|1CDMG	15ASPD|2DMG|3CDMG|458VULN|5BPWR|6MBVNT|7RPLT|9RCR|aDUR
220	23112 62415	7	   	256.07	DCR|3VULN|2ASPD|3TLV|1DUR|1CDMG	19ASPD|259TLV|3CDMG|4DUR|6RCR|7DMSP|89aVULN|9BPWR
221	21143 51136	5	   	256.07	DCR|3VULN|2ASPD|1DMG|1TLV|1CDMG	15ASPD|2DMG|3CDMG|459VULN|5BPWR|6CGEN|7TLV|8ERES|aRCR
222	31636 23262	10	   	256.00	DCR|3VULN|2ASPD|1DMG|2CDMG|1AART	1AART|29CDMG|369VULN|4LHND|5RMIN|7DMG|89ASPD|9BPWR|aRCR
223	25333 34224	6	 * 	255.97	DCR|2VULN|3ASPD|2DUR|1DMG|1TLV	15aASPD|27DUR|3FEWX|45VULN|5BPWR|6TLV|8RCR|9DMG
224	25333 36224	7	   	255.97	DCR|2VULN|3ASPD|2DUR|1DMG|1TLV	15aASPD|27DUR|3FEWX|45VULN|5BPWR|6TLV|8RCR|9DMG
225	36331 31626	5	   	255.96	DCR|2VULN|2DMG|3CDMG|1DUR|1AART	1AART|24DMG|348CDMG|4BPWR|5LIT|69VULN|7DUR|aRCR
226	34333 12136	4	   	255.90	DCR|3VULN|2ASPD|1DMG|2CDMG|1AART	1AART|24ASPD|34CDMG|4BPWR|57aVULN|6CGEN|8RCR|9DMG
227	23135 62413	7	 * 	255.86	DCR|3VULN|3ASPD|3TLV|2CDMG	189ASPD|289TLV|3aCDMG|4ZMB|5RMIN|6RCR|789VULN|89BPWR
228	34313 23234	8	   	255.53	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD|1AART	1AART|2ASPD|3CDMG|469VULN|5BEXP|7DMG|8DUR|aRCR
229	36343 32112	4	   	255.53	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD|1AART	1AART|2DMG|3CDMG|4TLV|567VULN|8RCR|9LHND|aASPD
230	21336 43442	2	   	255.44	DCR|2VULN|2DMG|2DUR|1ASPD|1AART	1ASPD|26DMG|39DUR|4LIT|56VULN|6BPWR|7AART|8MBVNT|aRCR
231	36343 32142	4	   	255.43	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD|1AART	1AART|2DMG|3CDMG|4TLV|567VULN|8RCR|9DUST|aASPD
232	31552 11225	7	   	255.33	DCR|3VULN|2CDMG|1DUR|1TLV|1AART	1AART|2aCDMG|3LIT|478VULN|5DUR|6TLV|9RCR
233	12334 13411	7	 * 	255.21	DCR|2VULN|3DMG|3DUR|1SELL	1SELL|289DUR|389ERES|45VULN|6LHND|789DMG|89BPWR|aRCR
234	12334 23411	7	 * 	255.21	DCR|2VULN|3DMG|3DUR|1SELL	1SELL|289DUR|389ERES|45VULN|6LWND|789DMG|89BPWR|aRCR
235	24521 23512	8	 * 	255.05	DCR|4VULN|3CDMG|2ASPD	18ASPD|25LHND|3RPLT|4568VULN|58BPWR|78aCDMG|9RCR
236	21331 24132	2	 * 	254.90	DCR|3DMG|1VULN|2DUR|2ASPD|2LIT|1AART	17ASPD|269DMG|37DUR|47LIT|5AART|7BPWR|8VULN|aRCR
237	36311 32334	4	   	254.86	DCR|2VULN|2DUR|1DMG|2CDMG|1TLV|1AART	1AART|2DMG|35CDMG|45VULN|5BPWR|67DUR|8LWND|9TLV|aRCR
238	36311 32634	4	   	254.86	DCR|2VULN|2DUR|1DMG|2CDMG|1TLV|1AART	1AART|2DMG|35CDMG|45VULN|5BPWR|67DUR|8LHND|9TLV|aRCR
239	36533 12422	10	 * 	254.75	DCR|4VULN|2DMG|1NUKE|1AART	1AART|26DMG|3NUKE|4RPLT|568aVULN|6BPWR|7LEGI|9RCR
240	33563 11336	8	   	254.75	DCR|4VULN|2DMG|1AART	1AART|27ERES|36DMG|4RPLT|569aVULN|6BPWR|8RCR
241	14155 22223	2	   	254.38	DCR|4VULN|2DUR|1TLV|1SELL	1SELL|2TLV|359aVULN|45DUR|5BPWR|6TBNT|7RPLT|8RCR
242	14255 22223	3	   	254.38	DCR|4VULN|2DUR|1TLV|1SELL	1SELL|2TLV|359aVULN|45DUR|5BPWR|6TBNT|7RPLT|8RCR
243	34221 36334	2	   	254.29	DCR|1VULN|2DMG|2DUR|2ASPD|1TLV|1CDMG|1AART	1AART|28ASPD|3CDMG|48DUR|5MLV|6VULN|78DMG|8BPWR|9TLV|aRCR
244	34222 36334	2	   	254.29	DCR|1VULN|2DMG|2DUR|2ASPD|1TLV|1CDMG|1AART	1AART|28ASPD|3CDMG|48DUR|5CGEN|6VULN|78DMG|8BPWR|9TLV|aRCR
245	34321 36334	3	   	254.29	DCR|1VULN|2DMG|2DUR|2ASPD|1TLV|1CDMG|1AART	1AART|28ASPD|3CDMG|48DUR|5MLV|6VULN|78DMG|8BPWR|9TLV|aRCR
246	34322 36334	3	   	254.29	DCR|1VULN|2DMG|2DUR|2ASPD|1TLV|1CDMG|1AART	1AART|28ASPD|3CDMG|48DUR|5CGEN|6VULN|78DMG|8BPWR|9TLV|aRCR
247	36221 35334	2	   	254.29	DCR|1VULN|2DMG|2DUR|2ASPD|1TLV|1CDMG|1AART	1AART|28DMG|3CDMG|48DUR|5MLV|6VULN|78ASPD|8BPWR|9TLV|aRCR
248	36222 35334	2	   	254.29	DCR|1VULN|2DMG|2DUR|2ASPD|1TLV|1CDMG|1AART	1AART|28DMG|3CDMG|48DUR|5CGEN|6VULN|78ASPD|8BPWR|9TLV|aRCR
249	36321 35334	3	   	254.29	DCR|1VULN|2DMG|2DUR|2ASPD|1TLV|1CDMG|1AART	1AART|28DMG|3CDMG|48DUR|5MLV|6VULN|78ASPD|8BPWR|9TLV|aRCR
250	36322 35334	3	   	254.29	DCR|1VULN|2DMG|2DUR|2ASPD|1TLV|1CDMG|1AART	1AART|28DMG|3CDMG|48DUR|5CGEN|6VULN|78ASPD|8BPWR|9TLV|aRCR
251	36233 32135	2	   	254.17	DCR|3VULN|2DMG|1CDMG|1AART	1AART|29DMG|3CDMG|4ZMB|567VULN|8RCR|aLIT
252	36243 32135	2	   	254.17	DCR|3VULN|2DMG|1CDMG|1AART	1AART|29DMG|3CDMG|4MLV|567VULN|8RCR|aLIT
253	36311 32135	5	   	254.17	DCR|3VULN|2DMG|1CDMG|1AART	1AART|29DMG|3CDMG|467VULN|5CGEN|8RCR|aLIT
254	36315 32135	5	   	254.17	DCR|3VULN|2DMG|1CDMG|1AART	1AART|29DMG|3CDMG|467VULN|5MLV|8RCR|aLIT
255	36333 32135	3	   	254.17	DCR|3VULN|2DMG|1CDMG|1AART	1AART|29DMG|3CDMG|4ZMB|567VULN|8RCR|aLIT
256	36343 32135	3	   	254.17	DCR|3VULN|2DMG|1CDMG|1AART	1AART|29DMG|3CDMG|4MLV|567VULN|8RCR|aLIT
257	36253 32135	2	   	254.07	DCR|3VULN|2DMG|1CDMG|1AART	1AART|29DMG|3CDMG|4ERES|567VULN|8RCR|aLIT
258	36312 32135	5	   	254.07	DCR|3VULN|2DMG|1CDMG|1AART	1AART|29DMG|3CDMG|467VULN|5ERES|8RCR|aLIT
259	36323 32135	4	   	254.07	DCR|3VULN|2DMG|1CDMG|1AART	1AART|29DMG|3CDMG|4ERES|567VULN|8RCR|aLIT
260	36353 32135	3	   	254.07	DCR|3VULN|2DMG|1CDMG|1AART	1AART|29DMG|3CDMG|4ERES|567VULN|8RCR|aLIT
261	31553 21222	4	   	254.00	DCR|3VULN|2DUR|2LIT|1CDMG|1AART	1AART|2CDMG|35LIT|458VULN|5BPWR|6aDUR|7CGEN|9RCR
262	31554 21222	5	   	254.00	DCR|3VULN|2DUR|2LIT|1CDMG|1AART	1AART|2CDMG|35LIT|458VULN|5BPWR|6aDUR|7CGEN|9RCR
263	21336 46332	2	   	254.00	DCR|2VULN|2DMG|1TLV|1DUR|2LIT|1ASPD	1ASPD|26DMG|3DUR|4aLIT|56VULN|6BPWR|7TLV|8BBNT|9RCR
264	21143 22313	9	   	253.82	DCR|2VULN|2ASPD|1DMG|1TLV|1DUR|1CDMG	15ASPD|2DMG|3CDMG|45VULN|5BPWR|6FEWX|7LIT|8DUR|9TLV|aRCR
265	35313 33222	4	   	253.76	DCR|3VULN|2DUR|2CDMG|1AART	1AART|2MLV|35CDMG|458VULN|5BPWR|6aDUR|7LIT|9RCR
266	36313 23234	9	   	253.63	DCR|3VULN|2DMG|2AART|1CDMG	18AART|27DMG|3CDMG|469VULN|5BEXP|aRCR
267	13525 31222	2	   	253.54	DCR|4VULN|1TLV|1DUR|1CDMG|1SELL	1SELL|2CDMG|3567VULN|45MLV|5BPWR|8DUR|9RCR|aTLV
