0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61233 13151	6	 * 	290.97	DCR|4VULN|3DMG|2CDMG|1AART	19aFEWX|25CDMG|3RPLT|459aVULN|59aBPWR|6RCR|7AART|89aDMG
169	31631 37644	7	   	262.09	DCR|2VULN|3DMG|2DUR|2TLV	19TLV|24VULN|3MBVNT|59DUR|69aDMG|7RCR|8BBNT|9BPWR
170	52113 21332	4	 * 	261.95	DCR|2VULN|3DMG|2DUR|2CDMG|1SELL	1SELL|2aDUR|346DMG|5BBNT|7aVULN|8RCR|9aCDMG|aBPWR
171	52116 14332	4	 * 	261.95	DCR|2VULN|3DMG|2DUR|2CDMG|1SELL	1SELL|2aDUR|346DMG|5aVULN|7BBNT|8RCR|9aCDMG|aBPWR
172	52156 21332	3	 * 	261.95	DCR|2VULN|3DMG|2DUR|2CDMG|1SELL	1SELL|2aDUR|356DMG|4BBNT|7aVULN|8RCR|9aCDMG|aBPWR
173	31631 12663	9	   	261.90	DCR|4VULN|1DUR|1TLV|1CDMG	1TLV|248aVULN|3MBVNT|5DUR|6RCR|7CDMG|9LIT
174	52115 36232	10	   	261.87	DCR|3VULN|2DMG|1DUR|1CDMG|1AART|1SELL	1SELL|2DUR|34DMG|5AART|6RCR|79aVULN|8CDMG
175	31632 15323	9	   	261.72	DCR|4VULN|1DMG|1TLV|1AART	1TLV|2456VULN|3MBVNT|7RCR|8AART|9LIT|aDMG
176	31632 15327	10	   	261.72	DCR|4VULN|1DMG|1TLV|1AART	1TLV|2456VULN|3MBVNT|7RCR|8AART|9LIT|aDMG
177	31633 15322	9	   	261.72	DCR|4VULN|2TLV|1DUR|1AART	15TLV|2456VULN|3MBVNT|5BPWR|7RCR|8AART|9LIT|aDUR
178	31531 23262	6	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1TLV|249VULN|3BEXP|56DUR|7RCR|8DMG|aAART
179	31531 33262	5	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1TLV|249VULN|3BEXP|57DUR|6RCR|8DMG|aAART
180	15224 31311	8	   	261.54	DCR|4VULN|2DMG|1DUR	1aLHND|2DLOT|357aVULN|4DUR|6ZMB|8aDMG|9RCR|aBPWR
181	15224 31511	7	   	261.54	DCR|4VULN|2DMG|1DUR	1aLHND|2DLOT|357aVULN|4DUR|6ZMB|8aDMG|9RCR|aBPWR
182	51322 36251	7	   	261.43	DCR|3VULN|3DMG|1CDMG|1AART|2SELL	13SELL|29aLWND|4CDMG|59aVULN|69aDMG|7RCR|8AART|9aBPWR
183	25224 31511	7	   	261.34	DCR|4VULN|2DMG|1DUR	1aDUST|2DLOT|357aVULN|4DUR|6ZMB|8aDMG|9RCR|aBPWR
184	31611 61447	3	   	261.34	DCR|4VULN|2DMG|1TLV	1TLV|2478VULN|3MBVNT|5aDMG|6RMIN|9RCR
185	31631 61447	4	   	261.34	DCR|4VULN|2DMG|1TLV	1TLV|2478VULN|3MBVNT|5aDMG|6RMIN|9RCR
186	31632 15217	9	   	261.34	DCR|4VULN|2DMG|1TLV	1TLV|2456VULN|3MBVNT|7RCR|8ZMB|9aDMG
187	31632 15417	9	   	261.24	DCR|4VULN|2DMG|1TLV	1TLV|2456VULN|3MBVNT|7RCR|8ERES|9aDMG
188	31113 66331	2	   	261.24	DCR|3VULN|2TLV|1DMG|2CDMG|1DUR	16TLV|248VULN|3LWND|56CDMG|6BPWR|7DUR|9RCR|aDMG
189	31631 15614	8	   	261.24	DCR|3VULN|2TLV|1DMG|2CDMG|1DUR	19TLV|249VULN|3MBVNT|5DUR|6RCR|7LHND|89CDMG|9BPWR|aDMG
190	33613 66331	1	   	261.24	DCR|3VULN|2TLV|1DMG|2CDMG|1DUR	16TLV|2LWND|348VULN|56CDMG|6BPWR|7DUR|9RCR|aDMG
191	31433 11231	5	   	261.22	DCR|4VULN|2TLV|1DMG|1CDMG	15TLV|2457VULN|3LEGI|5BPWR|6LWND|8CDMG|9RCR|aDMG
192	31433 15231	7	   	261.22	DCR|4VULN|2TLV|1DMG|1CDMG	15TLV|2456VULN|3LEGI|5BPWR|7LHND|8CDMG|9RCR|aDMG
193	31433 61231	6	   	261.22	DCR|4VULN|2TLV|1DMG|1CDMG	15TLV|2457VULN|3LEGI|5BPWR|6LHND|8CDMG|9RCR|aDMG
194	31633 15111	8	   	261.22	DCR|4VULN|2TLV|1DMG|1CDMG	15TLV|2456VULN|3MBVNT|5BPWR|7RCR|8LWND|9CDMG|aDMG
195	31633 15231	7	   	261.22	DCR|4VULN|2TLV|1DMG|1CDMG	15TLV|2456VULN|3MBVNT|5BPWR|7RCR|8CDMG|9BEXP|aDMG
196	31633 15271	7	   	261.22	DCR|4VULN|2TLV|1DMG|1CDMG	15TLV|2456VULN|3MBVNT|5BPWR|7RCR|8CDMG|9LHND|aDMG
197	31633 15611	7	   	261.22	DCR|4VULN|2TLV|1DMG|1CDMG	15TLV|2456VULN|3MBVNT|5BPWR|7RCR|8LWND|9CDMG|aDMG
198	31633 15611	8	   	261.22	DCR|4VULN|2TLV|1DMG|1CDMG	15TLV|2456VULN|3MBVNT|5BPWR|7RCR|8FEWX|9CDMG|aDMG
199	31633 15631	9	   	261.22	DCR|4VULN|2TLV|1DMG|1CDMG	15TLV|2456VULN|3MBVNT|5BPWR|7RCR|8FEWX|9CDMG|aDMG
200	31633 15811	8	   	261.22	DCR|4VULN|2TLV|1DMG|1CDMG	15TLV|2456VULN|3MBVNT|5BPWR|7RCR|8BEXP|9CDMG|aDMG
201	31633 15831	9	   	261.22	DCR|4VULN|2TLV|1DMG|1CDMG	15TLV|2456VULN|3MBVNT|5BPWR|7RCR|8BEXP|9CDMG|aDMG
202	31633 18211	8	   	261.22	DCR|4VULN|2TLV|1DMG|1CDMG	15TLV|2456VULN|3MBVNT|5BPWR|7LWND|8RCR|9CDMG|aDMG
203	31433 13611	5	   	261.22	DCR|4VULN|2TLV|1DMG|1CDMG	15TLV|2458VULN|3LEGI|5BPWR|6LWND|7RCR|9CDMG|aDMG
204	31633 16711	5	   	261.22	DCR|4VULN|2TLV|1DMG|1CDMG	15TLV|2458VULN|3MBVNT|5BPWR|6LWND|7RCR|9CDMG|aDMG
205	31553 14222	2	   	261.14	DCR|3VULN|2TLV|1DMG|2CDMG|1DUR	19TLV|25aVULN|38CDMG|4DUR|6DMG|7RCR
206	31633 15211	7	   	261.12	DCR|4VULN|2TLV|1DMG|1CDMG	15TLV|2456VULN|3MBVNT|5BPWR|7RCR|8CDMG|9DUST|aDMG
207	31633 37613	5	 * 	261.12	DCR|4VULN|3LIT|3TLV|1CDMG	158TLV|2458VULN|3MBVNT|58BPWR|678LIT|9CDMG|aRCR
