0	Index      	 *	Score 	Summary	Detail	
1	61245 21221	 * 	185.72	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	18CGEN|2ERES|3AART|4RCR|5BELT|68DMG|78VULN|8BPWR|9DUR|aCDMG
169	54331 13125	   	156.23	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2CDMG|3LWND|4VULN|5RCVC|6LIT|7AART|8RCR|9DMG|aZMB
170	62523 25132	   	156.17	DCR|3VULN|1AART|1CDMG	1CGEN|2LIT|3AART|49aVULN|5CDMG|6TLV|7RCR|8RMIN
171	13335 34336	 * 	156.06	DCR|2DMG|1AART|2CDMG|2DUR	13aDUST|25DUR|4BELT|6aDMG|7RCR|8AART|9aCDMG|aBPWR
172	13533 34336	   	156.06	DCR|2DMG|1AART|2CDMG|2DUR	15aDUST|23DUR|4BELT|6aDMG|7RCR|8AART|9aCDMG|aBPWR
173	36142 31115	 * 	155.94	ACR|3VULN|1DMG|1CDMG|1DUR|1SELL	1SELL|2CGEN|3CDMG|4RCR|5DUST|6DMG|7DUR|89aVULN
174	22236 25413	   	155.94	ACR|4VULN|1AART	1aBEXP|2MLV|3RCR|4aERES|568aVULN|7RPLT|9AART|aBPWR
175	22236 25411	   	155.84	ACR|4VULN|1AART	1BEXP|2MLV|3RCR|4ERES|568aVULN|7RPLT|9AART
176	14336 13121	   	155.78	DCR|2VULN|1AART|1DMG|1CDMG	1DUST|2CDMG|3LWND|45VULN|6LIT|7AART|8RCR|9DMG|aCGEN
177	14336 13122	   	155.78	DCR|2VULN|1AART|1DMG|1CDMG	1DUST|2CDMG|3LWND|45VULN|6LIT|7AART|8RCR|9DMG|aRMIN
178	61462 13122	   	155.78	DCR|2VULN|1AART|1DMG|1CDMG	1CGEN|2ERES|3LWND|4aVULN|5CDMG|6LIT|7AART|8RCR|9DMG
179	61622 13122	   	155.78	DCR|2VULN|1AART|1DMG|1CDMG	1CGEN|2ERES|3aVULN|4LWND|5CDMG|6LIT|7AART|8RCR|9DMG
