0	Index      	 *	Score 	Summary	Detail	
1	26333 11311	 * 	201.63	ACR|3VULN|2DMG|1AART|1ZMB|1ASPD	1LHND|2AART|3RCR|4ASPD|5aDMG|678VULN|9ZMB
170	26333 13146	   	174.87	ACR|2VULN|2DMG|1AART|1ASPD	1LHND|2AART|3RCR|4ASPD|59DMG|6aVULN|7TLV|8BELT
171	26333 13461	   	174.87	ACR|2VULN|2DMG|1AART|1ASPD	19LHND|2AART|3RCR|4ASPD|5aDMG|68VULN|7TLV
172	26333 21535	   	174.87	ACR|2VULN|2DMG|1AART|1ASPD	1LHND|2AART|3RCR|4ASPD|5aDMG|6DUST|78VULN|9LWND
173	26343 63321	   	174.87	ACR|2VULN|2DMG|1AART|1ASPD	14LHND|2AART|3RCR|5aDMG|6ASPD|78VULN|9TLV
174	63324 36221	   	174.81	DCR|3VULN|1AART|1DMG|2DUR	12DUR|3AART|458VULN|6RMIN|7RCR|9DUST|aDMG
175	26313 11374	   	174.75	ACR|2AART|2VULN|1CDMG|2DUR|1ASPD	18LHND|26AART|3RCR|48DUR|5MBVNT|78VULN|8BPWR|9CDMG|aASPD
176	32561 23326	   	174.75	DCR|2AART|2DMG|1VULN|1ASPD|1DUR	1FEWX|2RPLT|34AART|5aDMG|6RCR|7VULN|8DUR|9ASPD
177	36142 12361	   	174.59	ACR|3VULN|2DMG|1AART	1FEWX|236VULN|4RMIN|5RCR|7aDMG|8ERES|9AART
178	36122 12361	   	174.49	ACR|3VULN|2DMG|1AART	1FEWX|236VULN|4TLV|5RCR|7aDMG|8ERES|9AART
179	63324 11143	 * 	174.46	DCR|3VULN|1AART|3DUR|1CDMG|1ASPD	126DUR|3AART|456VULN|6BPWR|7DUST|8ASPD|9RCR|aCDMG
180	26333 11356	   	174.34	ACR|3VULN|1AART|1DMG|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|678VULN|9LIT|aRCVC
181	53553 11221	 * 	174.33	DCR|2DMG|1AART|2CDMG|3DUR|2ASPD	1aCDMG|29aDUR|3AART|47ASPD|5LIT|6aDMG|8RCR|aBPWR
182	53232 33155	   	174.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2DUR|3ZMB|49VULN|5TLV|6RMIN|7RCR|8DMG|aAART
183	53233 13134	   	174.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2DUR|3ZMB|45VULN|6LEGI|7RCR|8DMG|9CGEN|aAART
184	26211 46233	   	174.30	DCR|4VULN|1AART|1ASPD|1DUR	1LHND|2AART|3689VULN|4RCVC|5ASPD|7RCR|aDUR
185	66123 16221	   	174.26	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2DMSP|3RCVC|4AART|5aDMG|68VULN|7RCR|9DUST
186	52333 43263	   	174.21	DCR|4VULN|1AART|1CDMG|1DUR	1CDMG|2NUKE|3DUR|456aVULN|7RCR|8AART|9MLV
187	26315 13363	 * 	174.20	ACR|3ZMB|1AART|1VULN|1CDMG|2DUR|1ASPD	18LHND|2AART|3RCR|48DUR|5ASPD|6VULN|78aZMB|8BPWR|9CDMG
188	52333 43233	   	174.11	DCR|4VULN|1AART|1CDMG|1DUR	1CDMG|2NUKE|3DUR|456aVULN|7RCR|8AART|9TLV
189	52523 43233	   	174.11	DCR|4VULN|1AART|1CDMG|1DUR	1CDMG|2NUKE|356aVULN|4DUR|7RCR|8AART|9TLV
190	53233 33154	   	174.10	DCR|2VULN|2DMG|1CDMG|2DUR|1ZMB	1CDMG|26DUR|3ZMB|45VULN|7RCR|8FEWX|9aDMG
191	26313 11358	 * 	174.09	ACR|3VULN|3AART|2DUR	18LHND|26aAART|3RCR|48DUR|5MBVNT|789VULN|8BPWR
192	26321 11231	   	174.09	ACR|4VULN|1AART|1CDMG	158LHND|2AART|3RCR|458LWND|58BPWR|6789VULN|aCDMG
193	63162 32143	   	174.07	ACR|2VULN|2DMG|1AART|2DUR	12DUR|3RCVC|47DMG|5RCR|68VULN|9DMSP|aAART
194	31135 12433	   	174.02	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1FEWX|2BEXP|346VULN|5ZMB|7DMG|8RCR|9DUR|aAART
195	63316 16221	   	174.01	DCR|2VULN|1AART|1DMG|2ZMB|2DUR	12DUR|3AART|45ZMB|68VULN|7RCR|9DUST|aDMG
196	53223 13154	   	174.00	DCR|2VULN|2DMG|1CDMG|2DUR|1ZMB	1CDMG|24DUR|3ZMB|59VULN|6LEGI|7RCR|8aDMG
197	53231 13154	   	174.00	DCR|2VULN|2DMG|1CDMG|2DUR|1ZMB	1CDMG|25DUR|3ZMB|49VULN|6LEGI|7RCR|8aDMG
198	64123 16211	   	173.99	DCR|2VULN|1AART|1DMG|1CDMG|2RCVC|1DUR	1DUR|23RCVC|4AART|5DMG|68VULN|7RCR|9CDMG|aRPLT
199	64123 16213	   	173.99	DCR|2VULN|1AART|1DMG|1CDMG|2RCVC|1DUR	1DUR|23RCVC|4AART|5DMG|68VULN|7RCR|9CDMG|aLHND
200	36112 12233	   	173.96	ACR|4VULN|1DMG|1CDMG|1ZMB	1FEWX|236aVULN|4ZMB|5RCR|7DMG|8RCVC|9CDMG
201	64123 16212	   	173.89	DCR|2VULN|1AART|1DMG|1CDMG|2RCVC|1DUR	1DUR|23RCVC|4AART|5DMG|68VULN|7RCR|9CDMG|aERES
202	36142 12233	 * 	173.88	ACR|5VULN|1DMG|1CDMG	1FEWX|2368aVULN|4RMIN|5RCR|7DMG|9CDMG
203	64311 16221	   	173.87	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	15DUR|2RCVC|3AART|4ZMB|68VULN|7RCR|9DUST|aDMG
204	36114 13241	   	173.82	DCR|2VULN|2DMG|1AART|1ZMB	1FEWX|23VULN|4ZMB|5CGEN|6RCR|79DMG|8RMIN|aAART
205	26311 11111	   	173.78	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	15LHND|2AART|3RCR|45DUR|5BPWR|67VULN|8DMSP|9ZMB|aDMG
206	26311 11461	   	173.78	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	159LHND|2AART|3RCR|45DUR|5BPWR|67VULN|8ZMB|aDMG
207	36122 12233	   	173.78	ACR|5VULN|1DMG|1CDMG	1FEWX|2368aVULN|4TLV|5RCR|7DMG|9CDMG
208	31141 32653	   	173.77	DCR|3VULN|2DMG|1AART	19FEWX|2BEXP|369VULN|4DUST|5CGEN|79DMG|8RCR|9BPWR|aAART
209	36115 13241	   	173.72	DCR|2VULN|2DMG|1AART|1ZMB	1FEWX|23VULN|4ZMB|5ERES|6RCR|79DMG|8RMIN|aAART
210	36115 13341	   	173.72	DCR|2VULN|2DMG|1AART|1ZMB	1FEWX|23VULN|4ZMB|5ERES|6RCR|79DMG|8CGEN|aAART
211	31133 22653	   	173.67	DCR|3VULN|2DMG|1AART	19FEWX|2BEXP|349VULN|5TLV|6DUST|79DMG|8RCR|9BPWR|aAART
212	26312 11333	   	173.62	ACR|2AART|2VULN|1CDMG|1ZMB|1DUR	18LHND|26AART|3RCR|4DUR|58BEXP|78VULN|8BPWR|9CDMG|aZMB
213	26314 11363	   	173.62	ACR|2AART|2VULN|1CDMG|1ZMB|1DUR	18LHND|26AART|3RCR|4DUR|58FEWX|78VULN|8BPWR|9CDMG|aZMB
214	52533 25233	 * 	173.56	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1CDMG|2NUKE|37VULN|4aAART|5LIT|6DUR|8DMG|9RCR
215	36512 12221	   	173.48	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1FEWX|268VULN|3ASPD|4RCVC|5RCR|7DMG|9DUR|aAART
216	26312 11533	   	173.42	ACR|2AART|2VULN|1CDMG|1ZMB|1DUR	1LHND|26AART|3RCR|4DUR|5BEXP|78VULN|9CDMG|aZMB
217	52313 23154	   	173.35	DCR|3VULN|2DMG|1CDMG|1DUR	1CDMG|2NUKE|3DUR|4FEWX|569VULN|7RCR|8aDMG
218	36312 12361	   	173.34	ACR|2VULN|2DMG|1AART|1ZMB	1FEWX|26VULN|3RCVC|4ZMB|5RCR|7aDMG|8ERES|9AART
219	26313 11673	   	173.32	ACR|2AART|2VULN|1CDMG|1ZMB|1DUR	1LHND|26AART|3RCR|4DUR|5MBVNT|78VULN|9CDMG|aZMB
220	31131 11361	 * 	173.28	DCR|4VULN|1AART|2CDMG	17aFEWX|2BEXP|346aVULN|5AART|8RCR|9aCDMG|aBPWR
221	26321 11235	 * 	173.27	ACR|5VULN|1AART	158LHND|2AART|3RCR|458LWND|58BPWR|6789aVULN
222	63321 16235	   	173.26	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB|1ASPD	12DUR|3AART|4VULN|5ASPD|6RPLT|7RCR|8ZMB|9DMG|aCDMG
223	52333 13154	   	173.25	DCR|3VULN|2DMG|1CDMG|1DUR	1CDMG|2NUKE|3DUR|459VULN|6LEGI|7RCR|8aDMG
224	26211 46221	   	173.22	DCR|3VULN|1AART|1DMG|1ASPD	1LHND|2AART|368VULN|4RCVC|5ASPD|7RCR|9DUST|aDMG
225	34312 46322	   	173.18	DCR|2AART|2VULN|1DMG|1ZMB	1FEWX|2RCVC|3aAART|4ZMB|56VULN|7RCR|8BELT|9DMG
226	26342 11161	   	173.14	ACR|3VULN|1AART|2CDMG|1DUR	14aLHND|2AART|3RCR|5DUR|67aVULN|8DMSP|9aCDMG|aBPWR
227	26332 23363	   	173.14	ACR|3VULN|1AART|2ASPD|1CDMG	1LHND|2AART|3RCR|45ASPD|6ERES|78aVULN|9CDMG
228	26333 11352	   	173.04	ACR|3VULN|1AART|1DMG|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|678VULN|9LIT|aDMSP
229	26333 11353	   	173.04	ACR|3VULN|1AART|1DMG|1ASPD	1aLHND|2AART|3RCR|4ASPD|5DMG|678VULN|9LIT
230	26333 15243	   	173.04	ACR|3VULN|1AART|1DMG|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|689VULN|7LWND|aCGEN
231	26325 11431	   	173.04	ACR|3VULN|1AART|1DMG|1ASPD	17LHND|2AART|3RCR|4LWND|5ASPD|689VULN|aDMG
232	26333 51243	   	173.04	ACR|3VULN|1AART|1DMG|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|6LWND|789VULN|aCGEN
233	26321 11111	   	173.00	ACR|2AART|2VULN|1DMG|1ZMB	15LHND|28AART|3RCR|45LWND|5BPWR|67VULN|9ZMB|aDMG
234	26321 16431	   	173.00	ACR|2AART|2VULN|1DMG|1ZMB	15LHND|27AART|3RCR|45LWND|5BPWR|69VULN|8ZMB|aDMG
235	53523 23233	   	172.97	DCR|2AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	1CDMG|26DUR|3aAART|4ZMB|5LIT|7VULN|8DMG|9RCR
236	63314 16221	   	172.97	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	12DUR|3AART|4ZMB|5RCVC|68VULN|7RCR|9DUST|aDMG
237	26333 11322	   	172.94	ACR|3VULN|1AART|1DMG|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|678VULN|9TLV|aCGEN
238	26333 11323	   	172.94	ACR|3VULN|1AART|1DMG|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|678VULN|9TLV|aDMSP
239	26333 11342	   	172.94	ACR|3VULN|1AART|1DMG|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|678VULN|9ERES|aCGEN
240	26333 11343	   	172.94	ACR|3VULN|1AART|1DMG|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|678VULN|9ERES|aDMSP
241	26333 11345	   	172.94	ACR|3VULN|1AART|1DMG|1ASPD	1aLHND|2AART|3RCR|4ASPD|5DMG|678VULN|9ERES
242	26333 11351	   	172.94	ACR|3VULN|1AART|1DMG|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|678VULN|9LIT|aDUST
243	26333 11363	   	172.94	ACR|3VULN|1AART|1DMG|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|678VULN|9MBVNT|aCGEN
244	26333 11366	   	172.94	ACR|3VULN|1AART|1DMG|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|678VULN|9MBVNT|aMLV
245	26333 11367	   	172.94	ACR|3VULN|1AART|1DMG|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|678VULN|9MBVNT|aFEWX
246	26333 13126	   	172.94	ACR|3VULN|1AART|1DMG|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|69aVULN|7TLV|8BELT
247	26333 15242	   	172.94	ACR|3VULN|1AART|1DMG|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|689VULN|7LWND|aERES
248	26333 21543	   	172.94	ACR|3VULN|1AART|1DMG|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|6DUST|789VULN|aCGEN
249	26333 51242	   	172.94	ACR|3VULN|1AART|1DMG|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|6LWND|789VULN|aERES
250	26342 11321	   	172.94	ACR|3VULN|1AART|1DMG|1DUR	14LHND|2AART|3RCR|5DUR|678VULN|9TLV|aDMG
251	26342 11341	   	172.94	ACR|3VULN|1AART|1DMG|1DUR	14LHND|2AART|3RCR|5DUR|678VULN|9ERES|aDMG
252	26333 63131	   	172.88	ACR|1AART|3ASPD|1DMG|2CDMG|1VULN	1aLHND|2AART|3RCR|46aASPD|5DMG|7VULN|8DMSP|9aCDMG|aBPWR
253	36112 31156	 * 	172.88	ACR|3VULN|2DMG|2ZMB|1DUR	1aFEWX|238VULN|4aZMB|5RCR|6LIT|7DUR|9aDMG|aBPWR
254	26233 12431	 * 	172.85	DCR|3VULN|2AART|1FLTHEA|1DUR	1LHND|25AART|36aVULN|4DUR|7RPLT|8RCR|9FLTHEA
255	26233 43431	   	172.85	DCR|3VULN|2AART|1FLTHEA|1DUR	1LHND|25AART|37aVULN|4DUR|6RPLT|8RCR|9FLTHEA
256	26333 11324	   	172.84	ACR|3VULN|1AART|1DMG|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|678VULN|9TLV|aERES
257	26333 11344	   	172.84	ACR|3VULN|1AART|1DMG|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|678VULN|9aERES
258	26333 11362	   	172.84	ACR|3VULN|1AART|1DMG|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|678VULN|9MBVNT|aERES
259	26333 21542	   	172.84	ACR|3VULN|1AART|1DMG|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|6DUST|789VULN|aERES
260	26343 23316	   	172.80	ACR|2AART|2VULN|1DMG|1ZMB	14LHND|2aAART|3RCR|5DMG|6ERES|78VULN|9ZMB
261	53233 43423	   	172.71	DCR|4VULN|2CDMG|2DUR|1ZMB	19CDMG|29DUR|3ZMB|456aVULN|7RCR|89MLV|9BPWR
262	26115 22213	 * 	172.62	DCR|2AART|2DMG|1VULN|1CDMG	1LHND|25AART|3CDMG|4CGEN|6CANHEL|7RCR|8aDMG|9VULN
263	26165 22213	   	172.62	DCR|2AART|2DMG|1VULN|1CDMG	1LHND|25AART|3CDMG|4MLV|6CANHEL|7RCR|8aDMG|9VULN
264	26331 51363	 * 	172.54	ACR|2VULN|1AART|2ZMB|2ASPD|1CDMG	18LHND|2AART|3RCR|48ASPD|5DUST|6aZMB|78VULN|8BPWR|9CDMG
265	53233 43323	   	172.51	DCR|4VULN|2CDMG|2DUR|1ZMB	19CDMG|29DUR|3ZMB|456aVULN|7RCR|89ERES|9BPWR
266	63323 12432	   	172.51	DCR|3VULN|1AART|1DMG|2DUR	12DUR|3AART|46aVULN|5BEXP|7RPLT|8RCR|9DMG
267	66123 16231	   	172.42	DCR|3VULN|1AART|1DMG|1DUR	1DUR|2DMSP|3RCVC|4AART|5DMG|689VULN|7RCR|aRPLT
268	36313 12441	   	172.42	DCR|2VULN|2DMG|1AART|1ZMB	1FEWX|26VULN|3RCVC|4ZMB|5LHND|79DMG|8RCR|aAART
269	63324 22432	   	172.41	DCR|3VULN|1AART|1DMG|2DUR	12DUR|3AART|45aVULN|6DUST|7RPLT|8RCR|9DMG
270	61133 12154	 * 	172.37	DCR|4VULN|1DMG|1CDMG|1DUR	1DUR|2BEXP|3459VULN|6RCR|7FEWX|8CDMG|aDMG
271	61133 13154	   	172.37	DCR|4VULN|1DMG|1CDMG|1DUR	1DUR|2BEXP|3459VULN|6RCR|7LWND|8CDMG|aDMG
272	66123 16232	   	172.32	DCR|3VULN|1AART|1DMG|1DUR	1DUR|2DMSP|3RCVC|4AART|5DMG|689VULN|7RCR|aLEGI
273	26333 11432	   	172.24	ACR|2VULN|1AART|1DMG|2ZMB|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|67VULN|89ZMB|aCGEN
274	26333 11433	   	172.24	ACR|2VULN|1AART|1DMG|2ZMB|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|67VULN|89ZMB|aDMSP
275	26342 11431	   	172.24	ACR|2VULN|1AART|1DMG|2ZMB|1DUR	14LHND|2AART|3RCR|5DUR|67VULN|89ZMB|aDMG
276	26333 11434	   	172.14	ACR|2VULN|1AART|1DMG|2ZMB|1ASPD	1LHND|2AART|3RCR|4ASPD|5DMG|67VULN|89ZMB|aERES
277	26311 11364	   	172.02	ACR|3VULN|1AART|1CDMG|2DUR	15LHND|2AART|3RCR|45DUR|5BPWR|678VULN|9CDMG|aDMSP
278	26311 11366	   	172.02	ACR|3VULN|1AART|1CDMG|2DUR	15LHND|2AART|3RCR|45DUR|5BPWR|678VULN|9CDMG|aBELT
279	26311 11322	   	171.92	ACR|3VULN|1AART|1CDMG|2DUR	15LHND|2AART|3RCR|45DUR|5BPWR|678VULN|9TLV|aCDMG
280	26311 11342	   	171.92	ACR|3VULN|1AART|1CDMG|2DUR	15LHND|2AART|3RCR|45DUR|5BPWR|678VULN|9ERES|aCDMG
281	26311 11363	   	171.92	ACR|3VULN|1AART|1CDMG|2DUR	15LHND|2AART|3RCR|45DUR|5BPWR|678VULN|9CDMG|aLEGI
282	66321 16232	   	171.91	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1DUR|2DMSP|3AART|4aVULN|5ASPD|6RPLT|7RCR|8ZMB|9DMG
283	26321 16235	 * 	171.88	ACR|4VULN|2AART	158LHND|27AART|3RCR|458LWND|58BPWR|689aVULN
284	32561 23141	   	171.88	DCR|2AART|2VULN|1DMG|1ZMB	1FEWX|2RPLT|34AART|5DMG|6RCR|7aVULN|8MGNLIT|9ZMB
285	32561 23143	   	171.88	DCR|2AART|2DMG|1VULN|1ZMB	1FEWX|2RPLT|34AART|5aDMG|6RCR|7VULN|8MGNLIT|9ZMB
286	32561 23236	   	171.88	DCR|2AART|2DMG|1VULN|1ZMB	1FEWX|2RPLT|34AART|5aDMG|6RCR|7VULN|8ZMB|9LWND
