0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35351 23362	7	 * 	297.95	DCR|4VULN|2DMG|2TLV|2DUR	159aVULN|28DMG|3RMIN|4aTLV|6RCR|7aDUR|aBPWR
164	31151 41163	1	   	268.26	DCR|3VULN|3DMG|1TLV|2LIT|1SELL	159VULN|2TLV|3SELL|489DMG|6RCVC|79LIT|9BPWR|aRCR
165	31153 23563	2	   	268.26	DCR|3VULN|3DMG|1TLV|2LIT|1SELL	179VULN|2TLV|3SELL|459DMG|69LIT|8RCVC|9BPWR|aRCR
166	31153 23563	1	   	268.26	DCR|3VULN|3DMG|1TLV|2LIT|1SELL	179VULN|2TLV|3SELL|459DMG|69LIT|8RCVC|9BPWR|aRCR
167	31325 12132	1	 * 	268.08	DCR|3VULN|3DUR|1TLV|3ASPD	19aVULN|2TLV|39aDUR|4FEWX|5LEGI|6BEXP|79aASPD|8RCR|9aBPWR
168	31325 12132	2	   	268.08	DCR|3VULN|3DUR|1TLV|3ASPD	19aVULN|2TLV|39aDUR|4FEWX|5LEGI|6BEXP|79aASPD|8RCR|9aBPWR
169	31345 22132	1	   	268.08	DCR|3VULN|3DUR|1TLV|3ASPD	19aVULN|2TLV|39aDUR|4BEXP|5LEGI|6FEWX|79aASPD|8RCR|9aBPWR
170	31345 22132	2	   	268.08	DCR|3VULN|3DUR|1TLV|3ASPD	19aVULN|2TLV|39aDUR|4BEXP|5LEGI|6FEWX|79aASPD|8RCR|9aBPWR
171	36515 22132	1	   	268.08	DCR|3VULN|3DUR|1TLV|3ASPD	19aVULN|2BEXP|39aDUR|4TLV|5LEGI|6FEWX|79aASPD|8RCR|9aBPWR
172	32513 13243	4	   	268.03	DCR|3VULN|2DMG|2TLV|1CDMG	158VULN|2LHND|38DMG|4CDMG|6LWND|78TLV|8BPWR|9RCR|aLIT
173	32563 13243	3	   	268.03	DCR|3VULN|2DMG|2TLV|1CDMG	158VULN|2LHND|38DMG|4CDMG|6LWND|78TLV|8BPWR|9RCR|aLIT
174	31325 32132	1	   	267.98	DCR|3VULN|3DUR|1TLV|3ASPD	19aVULN|2TLV|39aDUR|4FEWX|5LEGI|6DUST|79aASPD|8RCR|9aBPWR
175	31325 32132	2	   	267.98	DCR|3VULN|3DUR|1TLV|3ASPD	19aVULN|2TLV|39aDUR|4FEWX|5LEGI|6DUST|79aASPD|8RCR|9aBPWR
176	31345 32132	1	   	267.98	DCR|3VULN|3DUR|1TLV|3ASPD	19aVULN|2TLV|39aDUR|4BEXP|5LEGI|6DUST|79aASPD|8RCR|9aBPWR
177	31345 32132	2	   	267.98	DCR|3VULN|3DUR|1TLV|3ASPD	19aVULN|2TLV|39aDUR|4BEXP|5LEGI|6DUST|79aASPD|8RCR|9aBPWR
178	36515 32132	1	   	267.98	DCR|3VULN|3DUR|1TLV|3ASPD	19aVULN|2BEXP|39aDUR|4TLV|5LEGI|6DUST|79aASPD|8RCR|9aBPWR
