0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63461 21643	8	 * 	286.46	ACR|4VULN|3DMG|3DUR|1TLV	1MBVNT|2RCR|379DMG|4TLV|579DUR|679aVULN|79BPWR|8LEGI
162	67223 24523	10	 * 	258.60	DCR|4VULN|2DMG|1TLV|1SELL	1MBVNT|2RPLT|3678VULN|4SELL|57DMG|7BPWR|9RCR|aTLV
163	26353 22521	3	   	258.55	DCR|2VULN|3DMG|1TLV|1DUR|1CDMG	1CDMG|26VULN|3DUR|4TLV|59aDMG|7RCR|8DUST
164	26333 22113	3	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|269VULN|3DUR|4MLV|5DMG|7RCR|8ASPD|aTLV
165	26352 22323	3	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|26aVULN|3DUR|4TLV|5ASPD|7RCR|8BEXP|9DMG
166	26352 22623	3	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|26aVULN|3DUR|4TLV|5ASPD|7RCR|8LHND|9DMG
167	26353 22111	3	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|269VULN|3DUR|4TLV|5DMG|7RCR|8ASPD|aRCVC
168	26353 22116	3	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|269VULN|3DUR|4TLV|5DMG|7RCR|8ASPD|aRMIN
169	26353 22123	3	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|26aVULN|3DUR|4TLV|5DMG|7RCR|8ASPD|9FEWX
170	26363 22113	4	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|269VULN|3DUR|4CGEN|5DMG|7RCR|8ASPD|aTLV
171	26453 22111	3	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|269VULN|3BEXP|4TLV|5DMG|7RCR|8ASPD|aDUR
172	26453 22133	3	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|26aVULN|3BEXP|4TLV|5DMG|7RCR|8ASPD|9DUR
173	26553 22111	2	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|269VULN|3FEWX|4TLV|5DMG|7RCR|8ASPD|aDUR
174	35343 22113	1	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1MLV|269VULN|3CDMG|4DUR|5DMG|7RCR|8ASPD|aTLV
175	51216 32261	1	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LIT|247VULN|3DUR|5DMG|6RCR|8TLV|9CDMG|aRPLT
176	51216 32262	1	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LIT|247VULN|3DUR|5DMG|6RCR|8TLV|9CDMG|aLHND
177	51216 32263	1	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LIT|247VULN|3DUR|5DMG|6RCR|8TLV|9CDMG|aBEXP
178	63461 21611	7	   	258.39	ACR|3VULN|2DMG|2DUR|1TLV|1CDMG	1MBVNT|2RCR|37DMG|4TLV|57DUR|679VULN|7BPWR|8ASPD|aCDMG
179	26337 28213	5	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|29aVULN|3DUR|4MBVNT|5ASPD|6TLV|7RCR|8DMG
180	26352 22523	3	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|26aVULN|3DUR|4TLV|5ASPD|7RCR|8DUST|9DMG
181	26353 22112	3	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|269VULN|3DUR|4TLV|5DMG|7RCR|8ASPD|aERES
182	61281 24411	9	   	258.08	DCR|3VULN|2TLV|1DMG|2ASPD|1CDMG	1MBVNT|27TLV|3DUST|467VULN|57ASPD|7BPWR|8RCR|9DMG|aCDMG
183	61281 24417	10	   	258.08	DCR|3VULN|2TLV|1DMG|2ASPD|1CDMG	1MBVNT|27TLV|3DUST|467VULN|57ASPD|7BPWR|8RCR|9DMG|aCDMG
184	61281 24441	8	   	258.08	DCR|3VULN|2TLV|1DMG|2ASPD|1CDMG	1MBVNT|27TLV|3DUST|467VULN|57ASPD|7BPWR|8RCR|9CDMG|aDMG
185	63461 21364	8	   	257.96	ACR|3VULN|3DUR|2DMG|1TLV	1MBVNT|2RCR|37DMG|4TLV|579DUR|67aVULN|7BPWR|8LIT
186	26253 61141	9	 * 	257.81	DCR|5VULN|2DUR|1CDMG	1CDMG|2567aVULN|3RCVC|46DUR|6BPWR|8MBVNT|9RCR
187	26253 61143	10	   	257.81	DCR|5VULN|2DUR|1CDMG	1CDMG|2567aVULN|3RCVC|46DUR|6BPWR|8MBVNT|9RCR
188	26313 41633	9	   	257.81	DCR|5VULN|2DUR|1CDMG	1CDMG|2579aVULN|34DUR|6DMSP|8RCR
189	51531 32511	1	   	257.77	DCR|4VULN|1TLV|1DMG	1LIT|279aVULN|3TLV|4ASPD|5ERES|6RCR|8DMG
190	51533 25212	1	   	257.77	DCR|4VULN|1TLV|1DMG	1LIT|267aVULN|3TLV|4ASPD|5DLOT|8DMG|9RCR
191	63341 35345	6	   	257.75	ACR|4VULN|2DMG|1TLV|1DUR|2LIT	1MBVNT|2RCR|39LIT|479aVULN|5TLV|6DUR|89DMG|9BPWR
192	68461 21111	10	   	257.75	DCR|3VULN|3DUR|1TLV|1CDMG	1MBVNT|2LEGI|378ERES|4TLV|578DUR|678VULN|78BPWR|9RCR|aCDMG
193	26332 28225	4	 * 	257.49	DCR|2VULN|2DMG|2TLV|2CDMG|1DUR	18CDMG|28VULN|3DUR|4MBVNT|5MLV|68TLV|7RCR|8BPWR|9aDMG
194	63463 22247	6	   	257.38	ACR|4VULN|2DMG|2DUR|1TLV	1MBVNT|2RCR|39DMG|4TLV|5LEGI|679aVULN|89DUR|9BPWR
195	63463 42247	5	   	257.38	ACR|4VULN|2DMG|2DUR|1TLV	1MBVNT|2RCR|39DMG|4TLV|5LEGI|679aVULN|89DUR|9BPWR
196	63461 21418	7	   	257.38	ACR|4VULN|2DMG|2DUR|1TLV	1MBVNT|2RCR|37DMG|4TLV|57DUR|679aVULN|7BPWR|8ERES
197	51216 36311	1	   	257.19	DCR|4VULN|2DMG|1DUR	1LIT|249aVULN|3DUR|58DMG|6RCR|7CGEN
198	26216 12513	3	   	257.14	DCR|3VULN|3DMG|1DUR|1CDMG	1CDMG|29aVULN|3RCVC|467DMG|5DUR|8RCR
199	26533 22522	2	   	257.14	DCR|3VULN|3DMG|1DUR|1CDMG	1CDMG|26aVULN|3FEWX|457DMG|8RCR|9DUR
200	63464 11544	4	 * 	257.01	ACR|3VULN|3DMG|1TLV|3CDMG|1AART	1MBVNT|2RCR|389DMG|4TLV|589VULN|6BBNT|789CDMG|89BPWR|aAART
201	63824 21327	6	   	256.59	ACR|4VULN|3DMG|2DUR|1AART	1MBVNT|2RCR|3AART|468DMG|567aVULN|6aBPWR|9aDUR
202	33861 48223	6	   	256.52	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	18MLV|2MBVNT|38aVULN|4TLV|5DUR|68CDMG|7RCR|8BPWR|9DMG
