0	Index      	Bounty	 *	Score 	Summary	Detail	
1	25221 21345	1	 * 	276.89	ACR|5VULN|3DMG|1TLV|2ASPD	1RCR|2346aVULN|5TLV|7aASPD|89aDMG|aBPWR
165	53635 33133	1	   	247.72	DCR|3VULN|3DUR|3LIT|1AART	129DUR|29BPWR|3AART|4BEXP|589VULN|679LIT|aRCR
166	33255 51213	1	   	247.59	DCR|3VULN|2DUR|1TLV	1TLV|25DUR|3ASPD|48aVULN|6LIT|7RCR|9MLV
167	56231 51213	5	   	247.59	DCR|3VULN|2DUR|1TLV	15DUR|2ASPD|3TLV|48aVULN|6LIT|7RCR|9MLV
168	34323 21662	3	   	247.56	DCR|3VULN|2TLV|2DUR	17TLV|2LWND|37DUR|4ZMB|5MLV|67aVULN|7BPWR|8ASPD|9RCR
169	34353 21632	4	   	247.56	DCR|3VULN|2TLV|2DUR	17TLV|2LWND|37DUR|4CGEN|5MLV|67aVULN|7BPWR|8RCR|9ASPD
170	33255 51231	1	   	247.49	DCR|3VULN|2DUR|1TLV	1TLV|25DUR|3ASPD|48aVULN|6LIT|7RCR|9TBNT
171	56231 51231	5	   	247.49	DCR|3VULN|2DUR|1TLV	15DUR|2ASPD|3TLV|48aVULN|6LIT|7RCR|9TBNT
172	11221 54213	10	   	247.46	DCR|3VULN|2TLV|2DUR	1BELT|2RCVC|379VULN|49TLV|5LEGI|6RCR|89DUR|9BPWR|aASPD
173	31314 22211	9	   	247.46	DCR|3VULN|2TLV|2DUR	19TLV|2BEXP|39DUR|4LWND|5LIT|6MBVNT|79aVULN|8RCR|9BPWR
174	31314 22213	10	   	247.46	DCR|3VULN|2TLV|2DUR	19TLV|2BEXP|39DUR|4LWND|5LIT|6MBVNT|79aVULN|8RCR|9BPWR
175	33323 11312	1	   	247.46	DCR|3VULN|3TLV|2DUR	156TLV|28DUR|3MLV|456VULN|56BPWR|7LIT|9RCR|aRCVC
176	33323 11611	1	   	247.46	DCR|3VULN|3TLV|2DUR	156TLV|2aDUR|3MLV|456VULN|56BPWR|7LIT|8RCVC|9RCR
177	33323 14511	1	   	247.46	DCR|3VULN|3TLV|2DUR	156TLV|2aDUR|37MLV|456VULN|56BPWR|8LIT|9RCR
178	34123 11312	1	   	247.46	DCR|3VULN|3TLV|2DUR	156TLV|2CGEN|38DUR|456VULN|56BPWR|7LIT|9RCR|aRCVC
179	34123 11411	1	   	247.46	DCR|3VULN|3TLV|2DUR	156TLV|28CGEN|3aDUR|456VULN|56BPWR|7LIT|9RCR
180	34123 15511	1	   	247.46	DCR|3VULN|3TLV|2DUR	156TLV|27CGEN|3aDUR|456VULN|56BPWR|8LIT|9RCR
181	34324 22211	9	   	247.46	DCR|3VULN|2TLV|2DUR	19TLV|2LWND|39DUR|4BEXP|5LIT|6MBVNT|79aVULN|8RCR|9BPWR
182	34324 22213	10	   	247.46	DCR|3VULN|2TLV|2DUR	19TLV|2LWND|39DUR|4BEXP|5LIT|6MBVNT|79aVULN|8RCR|9BPWR
183	36123 11312	1	   	247.46	DCR|3VULN|3TLV|2DUR	156TLV|2MLV|38DUR|456VULN|56BPWR|7LIT|9RCR|aRCVC
184	36123 11611	1	   	247.46	DCR|3VULN|3TLV|2DUR	156TLV|2MLV|3aDUR|456VULN|56BPWR|7LIT|8RCVC|9RCR
185	36123 14511	1	   	247.46	DCR|3VULN|3TLV|2DUR	156TLV|27MLV|3aDUR|456VULN|56BPWR|8LIT|9RCR
186	34321 21662	3	   	247.46	DCR|3VULN|2TLV|2DUR	17TLV|2LWND|37DUR|4ZMB|5ERES|67aVULN|7BPWR|8ASPD|9RCR
187	34351 21632	4	   	247.46	DCR|3VULN|2TLV|2DUR	17TLV|2LWND|37DUR|4CGEN|5ERES|67aVULN|7BPWR|8RCR|9ASPD
188	35321 21662	3	   	247.46	DCR|3VULN|2TLV|2DUR	17TLV|2LHND|37DUR|4ZMB|5ERES|67aVULN|7BPWR|8ASPD|9RCR
189	35351 21632	4	   	247.46	DCR|3VULN|2TLV|2DUR	17TLV|2LHND|37DUR|4CGEN|5ERES|67aVULN|7BPWR|8RCR|9ASPD
190	31324 22211	9	   	247.36	DCR|3VULN|2TLV|2DUR	19TLV|2BEXP|39DUR|4DUST|5LIT|6MBVNT|79aVULN|8RCR|9BPWR
191	33323 11315	1	   	247.36	DCR|3VULN|3TLV|2DUR	156TLV|28DUR|3MLV|456VULN|56BPWR|7LIT|9RCR|aLEGI
192	33323 11316	1	   	247.36	DCR|3VULN|3TLV|2DUR	156TLV|28DUR|3MLV|456VULN|56BPWR|7LIT|9RCR|aERES
193	34123 11315	1	   	247.36	DCR|3VULN|3TLV|2DUR	156TLV|2CGEN|38DUR|456VULN|56BPWR|7LIT|9RCR|aLEGI
194	34123 11316	1	   	247.36	DCR|3VULN|3TLV|2DUR	156TLV|2CGEN|38DUR|456VULN|56BPWR|7LIT|9RCR|aERES
195	36123 11315	1	   	247.36	DCR|3VULN|3TLV|2DUR	156TLV|2MLV|38DUR|456VULN|56BPWR|7LIT|9RCR|aLEGI
196	36123 11316	1	   	247.36	DCR|3VULN|3TLV|2DUR	156TLV|2MLV|38DUR|456VULN|56BPWR|7LIT|9RCR|aERES
197	11226 53214	9	   	247.19	DCR|2VULN|2DMG|2TLV|1DUR|1AART	1BELT|2RCVC|39VULN|49TLV|5DUR|6RCR|7ERES|89DMG|9BPWR|aAART
198	56231 62212	7	   	247.02	DCR|3VULN|2DUR|1TLV|2ASPD|1NUKE	15DUR|2aASPD|3TLV|479VULN|6NUKE|8RCR
199	25231 13216	1	 * 	246.93	ACR|4VULN|3DMG|2DUR	1RCR|237aVULN|4LHND|579ERES|67aDMG|7aBPWR|8aDUR
