0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21221 25541	7	 * 	295.56	DCR|5VULN|2DMG|2DUR|1CDMG	12367VULN|38BPWR|48DMG|58DUR|9RCR|aCDMG
188	21625 22242	8	   	267.23	DCR|5VULN|2DMG|1DUR	12368VULN|47DMG|5BEXP|9RCR|aDUR
189	21625 25132	8	   	267.23	DCR|5VULN|2DMG|1DUR	12367VULN|49DMG|5BEXP|8RCR|aDUR
190	21626 22242	8	   	267.23	DCR|5VULN|2DMG|1DUR	12368VULN|47DMG|5LWND|9RCR|aDUR
191	21626 25132	8	   	267.23	DCR|5VULN|2DMG|1DUR	12367VULN|49DMG|5LWND|8RCR|aDUR
192	21662 12242	9	   	267.23	DCR|5VULN|2DMG|1DUR	12389VULN|4DUR|5RCVC|67DMG|aRCR
193	21221 22243	8	   	267.13	DCR|5VULN|2DMG|1DUR	12368VULN|3BPWR|47DMG|5DUR|9RCR|aERES
194	21221 22643	7	   	267.13	DCR|5VULN|2DMG|1DUR	12368VULN|3BPWR|47DMG|5DUR|9RCR|aERES
195	21222 22242	8	   	267.13	DCR|5VULN|2DMG|1DUR	12368VULN|3BPWR|47DMG|5DUST|9RCR|aDUR
196	21621 22243	8	   	267.13	DCR|5VULN|2DMG|1DUR	12368VULN|47DMG|5DUR|9RCR|aERES
197	21621 22643	7	   	267.13	DCR|5VULN|2DMG|1DUR	12368VULN|47DMG|5DUR|9RCR|aERES
198	21622 22242	8	   	267.13	DCR|5VULN|2DMG|1DUR	12368VULN|47DMG|5DUST|9RCR|aDUR
199	21221 25133	8	   	267.13	DCR|5VULN|2DMG|1DUR	12367VULN|3BPWR|49DMG|5DUR|8RCR|aERES
200	21221 25156	8	   	267.13	DCR|5VULN|2DMG|1DUR	12367VULN|3BPWR|4aDMG|5DUR|8RCR|9TBNT
201	21621 25133	8	   	267.13	DCR|5VULN|2DMG|1DUR	12367VULN|49DMG|5DUR|8RCR|aERES
202	21442 12214	8	   	267.08	DCR|4VULN|2DUR|1TLV|2LIT	127aVULN|35BELT|47LIT|67DUR|7BPWR|8RCR|9TLV
203	21443 12212	8	   	267.08	DCR|4VULN|2DUR|1TLV|2LIT	1267VULN|3BELT|47LIT|57DUR|7BPWR|8RCR|9TLV|aBEXP
204	21443 32214	8	   	267.08	DCR|4VULN|2DUR|1TLV|2LIT	127aVULN|36BELT|47LIT|57DUR|7BPWR|8RCR|9TLV
205	22233 46521	10	   	267.08	DCR|4VULN|2DUR|1TLV|2LIT	1467VULN|27LIT|3DMSP|57DUR|7BPWR|8TLV|9RCR|aLWND
206	22233 46522	9	   	267.08	DCR|4VULN|2DUR|1TLV|2LIT	1467VULN|27LIT|3DMSP|57DUR|7BPWR|8TLV|9RCR|aRCVC
207	22233 46522	10	   	267.08	DCR|4VULN|2DUR|1TLV|2LIT	1467VULN|27LIT|3DMSP|57DUR|7BPWR|8TLV|9RCR|aCGEN
208	21223 56213	5	   	267.05	DCR|4VULN|2DMG|1DUR|1AART	1238VULN|38BPWR|48DMG|58FEWX|6AART|7RCR|9LIT|aDUR
209	21223 56213	4	   	267.05	DCR|4VULN|2DMG|1DUR|1AART	1238VULN|38BPWR|48DMG|58BEXP|6AART|7RCR|9LIT|aDUR
210	21223 66213	6	   	267.05	DCR|4VULN|2DMG|1DUR|1AART	1238VULN|38BPWR|48DMG|58FEWX|6AART|7RCR|9LIT|aDUR
211	21225 56213	5	   	267.05	DCR|4VULN|2DMG|1DUR|1AART	1238VULN|38BPWR|48DMG|58BEXP|6AART|7RCR|9LIT|aDUR
212	21225 66213	6	   	267.05	DCR|4VULN|2DMG|1DUR|1AART	1238VULN|38BPWR|48DMG|58BEXP|6AART|7RCR|9LIT|aDUR
213	21345 36213	1	   	267.05	DCR|4VULN|2DMG|1DUR|1AART	1468VULN|2AART|38DMG|58BEXP|7RCR|8BPWR|9LIT|aDUR
214	21623 56213	4	   	267.05	DCR|4VULN|2DMG|1DUR|1AART	1238VULN|48DMG|58BEXP|6AART|7RCR|8BPWR|9LIT|aDUR
215	21623 56213	5	   	267.05	DCR|4VULN|2DMG|1DUR|1AART	1238VULN|48DMG|58FEWX|6AART|7RCR|8BPWR|9LIT|aDUR
216	21623 66213	6	   	267.05	DCR|4VULN|2DMG|1DUR|1AART	1238VULN|48DMG|58FEWX|6AART|7RCR|8BPWR|9LIT|aDUR
217	21443 12213	8	   	266.98	DCR|4VULN|2DUR|1TLV|2LIT	1267VULN|3BELT|47LIT|57DUR|7BPWR|8RCR|9TLV|aTBNT
218	21443 12216	8	   	266.98	DCR|4VULN|2DUR|1TLV|2LIT	1267VULN|3BELT|47LIT|57DUR|7BPWR|8RCR|9TLV|aBBNT
219	22233 46521	9	   	266.98	DCR|4VULN|2DUR|1TLV|2LIT	1467VULN|27LIT|3DMSP|57DUR|7BPWR|8TLV|9RCR|aTBNT
220	22233 46523	9	   	266.98	DCR|4VULN|2DUR|1TLV|2LIT	1467VULN|27LIT|3DMSP|57DUR|7BPWR|8TLV|9RCR|aMBVNT
221	23362 33461	3	 * 	266.92	DCR|4VULN|2DMG|3TLV	178aVULN|256TLV|36DMG|4RPLT|6BPWR|9RCR
222	11342 36252	1	   	266.85	DCR|4VULN|2DMG|1DUR|1AART	18DMG|2AART|358DUST|4568VULN|58BPWR|7RCR|9LIT|aDUR
223	11422 36252	1	   	266.85	DCR|4VULN|2DMG|1DUR|1AART	18DMG|2AART|3568VULN|458DUST|58BPWR|7RCR|9LIT|aDUR
224	21222 66213	6	   	266.85	DCR|4VULN|2DMG|1DUR|1AART	1238VULN|38BPWR|48DMG|58DUST|6AART|7RCR|9LIT|aDUR
225	21622 66213	6	   	266.85	DCR|4VULN|2DMG|1DUR|1AART	1238VULN|48DMG|58DUST|6AART|7RCR|8BPWR|9LIT|aDUR
226	21341 34223	8	 * 	266.53	DCR|3VULN|3DUR|1DMG|2CDMG	127VULN|3ASPD|4RMIN|57CDMG|678DUR|7BPWR|9DMG|aRCR
227	21165 41332	4	   	266.48	DCR|3VULN|3DMG|2DUR	127VULN|3RPLT|46DUR|56aDMG|6BPWR|8LIT|9RCR
228	21223 56216	4	   	266.46	DCR|4VULN|3DMG|1AART	1238VULN|38BPWR|48aDMG|58BEXP|6AART|7RCR|9LIT
229	21223 56216	5	   	266.46	DCR|4VULN|3DMG|1AART	1238VULN|38BPWR|48aDMG|58FEWX|6AART|7RCR|9LIT
230	21223 66216	6	   	266.46	DCR|4VULN|3DMG|1AART	1238VULN|38BPWR|48aDMG|58FEWX|6AART|7RCR|9LIT
231	21222 66216	6	   	266.26	DCR|4VULN|3DMG|1AART	1238VULN|38BPWR|48aDMG|58DUST|6AART|7RCR|9LIT
232	23311 16633	3	   	266.16	DCR|3VULN|2DMG|1TLV|2CDMG	16aVULN|2TLV|3aDMG|4DUST|5ASPD|7BELT|8RCR|9aCDMG|aBPWR
233	21442 12215	8	   	266.09	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	127VULN|35BELT|47LIT|67DUR|7BPWR|8RCR|9TLV|aDMG
234	21443 32215	8	   	266.09	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	127VULN|36BELT|47LIT|57DUR|7BPWR|8RCR|9TLV|aDMG
235	22543 32335	8	   	265.99	DCR|3VULN|2DUR|1TLV|2CDMG|2LIT	18aVULN|2aLIT|3RMIN|4TLV|59DUR|6aCDMG|7RCR|aBPWR
236	23651 32335	8	   	265.99	DCR|3VULN|2DUR|1TLV|2CDMG|2LIT	18aVULN|2TLV|3aLIT|49DUR|5ZMB|6aCDMG|7RCR|aBPWR
237	22443 32325	9	   	265.91	DCR|4VULN|1TLV|2CDMG|1DUR	189aVULN|2LIT|3aZMB|4TLV|5DUR|6aCDMG|7RCR|aBPWR
238	22643 32335	8	   	265.89	DCR|3VULN|2DUR|1TLV|2CDMG|2LIT|1NUKE	18aVULN|2aLIT|3NUKE|4TLV|59DUR|6aCDMG|7RCR|aBPWR
239	21261 15511	10	   	265.67	DCR|4VULN|2DUR|1TLV|1CDMG	1236VULN|3BPWR|49DUR|5CDMG|7CGEN|8RCR|aTLV
240	21263 42412	6	   	265.57	DCR|4VULN|2DUR|1TLV|1CDMG	1236VULN|3BPWR|48DUR|5DLOT|7CDMG|9TLV|aRCR
241	21261 47451	4	   	265.57	DCR|4VULN|2DUR|1TLV|1CDMG	1236VULN|36BPWR|46DUR|5MBVNT|7TLV|8TBNT|9RCR|aCDMG
242	21263 22112	6	   	265.57	DCR|4VULN|2DUR|1TLV|1CDMG	1238VULN|3BPWR|46DUR|5DLOT|7CDMG|9TLV|aRCR
243	21384 47451	2	   	265.57	DCR|4VULN|2DUR|1TLV|1CDMG	1246VULN|3MBVNT|56DUR|6BPWR|7TLV|8TBNT|9RCR|aCDMG
244	21663 22112	6	   	265.57	DCR|4VULN|2DUR|1TLV|1CDMG	1238VULN|46DUR|5DLOT|7CDMG|9TLV|aRCR
