0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12312 15744	8	 * 	305.53	DCR|4VULN|3DMG|2DUR|1CDMG	1369VULN|2RCVC|4MBVNT|569DMG|69BPWR|7RCR|89DUR|aCDMG
177	12312 15872	9	   	277.09	DCR|4VULN|3DMG|1DUR|1NUKE	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9NUKE|aDUR
178	12312 15882	10	   	277.09	DCR|4VULN|3DMG|1DUR	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9ERES|aDUR
179	12312 15882	9	   	277.09	DCR|4VULN|3DMG|1DUR	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9ERES|aDUR
180	12312 15827	10	   	276.95	DCR|4VULN|3DMG|1TLV|1SELL	1368VULN|2RCVC|4MBVNT|568DMG|68BPWR|7RCR|9TLV|aSELL
181	11241 33463	4	   	276.90	ACR|5VULN|3DUR|2DMG	14789VULN|2aDMG|378DUR|5RCR|678FEWX|78BPWR
182	41111 33463	2	   	276.90	ACR|5VULN|3DUR|2DMG	178DUR|23DMG|4789aVULN|5RCR|678FEWX|78BPWR
183	11241 53211	4	   	276.70	ACR|5VULN|3DUR|2DMG	14789VULN|27DMG|37aDUR|5RCR|6DMSP|7BPWR
184	11312 23211	2	   	276.70	ACR|5VULN|3DUR|2DMG	14789VULN|27DMG|3RCVC|5RCR|67aDUR|7BPWR
185	11612 23211	3	   	276.70	ACR|5VULN|3DUR|2DMG	14789VULN|27DMG|3RCVC|5RCR|67aDUR|7BPWR
186	12342 23211	5	   	276.70	ACR|5VULN|3DUR|2DMG	13789VULN|2RCVC|4RCR|57DMG|67aDUR|7BPWR
187	12412 23211	2	   	276.70	ACR|5VULN|3DUR|2DMG	14789VULN|2RCVC|37DMG|5RCR|67aDUR|7BPWR
188	41341 53211	4	   	276.70	ACR|5VULN|3DUR|2DMG	17aDUR|27DMG|34789VULN|5RCR|6DMSP|7BPWR
189	11266 13844	4	   	276.50	DCR|4VULN|2DMG|1DUR|2LIT	168aVULN|2aDMG|3DUR|4MBVNT|56LIT|6aBPWR|7aBEXP|9RCR
190	41214 51223	5	   	276.27	DCR|3VULN|3DUR|1DMG|1TLV|1ASPD	136DUR|2DMG|4TLV|56aVULN|6BPWR|7ASPD|8DUST|9RCR
191	41216 51223	4	   	276.27	DCR|3VULN|3DUR|1DMG|1TLV|1ASPD	136DUR|2DMG|4TLV|56aVULN|6BPWR|7ASPD|8DUST|9RCR
192	13446 73282	1	   	276.26	DCR|4VULN|2DMG|2TLV|1ASPD	178aVULN|2MBVNT|37DMG|4ASPD|5BEXP|67TLV|7BPWR|9RCR
193	13447 73282	1	   	276.26	DCR|4VULN|2DMG|2TLV|1ASPD	178aVULN|2MBVNT|37DMG|4ASPD|5LHND|67TLV|7BPWR|9RCR
194	53233 14125	6	   	276.26	DCR|4VULN|3DUR|1TLV	1TLV|256aVULN|369DUR|4DMSP|6BPWR|7RCR|8LIT
195	53243 14123	6	   	276.26	DCR|4VULN|3DUR|1TLV	1TLV|2456VULN|369DUR|6BPWR|7RCR|8LIT|aZMB
196	41333 11361	6	   	276.22	DCR|4VULN|2DMG|2DUR	19DUR|26DMG|3569VULN|4DMSP|69BPWR|7TBNT|89CGEN|aRCR
197	11243 12322	8	   	276.12	DCR|4VULN|2DMG|2DUR	1459VULN|26DMG|36DUR|6BPWR|7RPLT|8RCR|aLWND
198	11243 12323	8	   	276.12	DCR|4VULN|2DMG|2DUR	1459VULN|26DMG|36DUR|6BPWR|7RPLT|8RCR|aRCVC
199	11243 12332	10	   	276.12	DCR|4VULN|2DMG|2DUR	145aVULN|26DMG|36DUR|6BPWR|7RPLT|8RCR|9MLV
200	11243 12343	8	   	276.12	DCR|4VULN|2DMG|2DUR	145aVULN|26DMG|36DUR|6BPWR|7RPLT|8RCR|9BELT
201	12312 65742	8	   	276.12	DCR|4VULN|2DMG|2DUR	1369VULN|2RCVC|4MBVNT|59DMG|7RCR|89DUR|9BPWR|aZMB
202	12312 65744	8	   	276.12	DCR|4VULN|2DMG|2DUR	1369VULN|2RCVC|4MBVNT|59DMG|7RCR|89DUR|9BPWR|aLHND
203	41343 12313	9	   	276.12	DCR|4VULN|2DMG|2DUR	1aDUR|26DMG|3456VULN|6BPWR|7RPLT|8RCR|9LWND
204	41343 12314	10	   	276.12	DCR|4VULN|2DMG|2DUR	1aDUR|26DMG|3456VULN|6BPWR|7RPLT|8RCR|9LWND
205	41343 12363	9	   	276.12	DCR|4VULN|2DMG|2DUR	1aDUR|26DMG|3456VULN|6BPWR|7RPLT|8RCR|9LHND
206	41321 43622	3	   	276.12	DCR|4VULN|2DMG|2DUR	18DUR|25DMG|3569VULN|4RPLT|5BPWR|7RCR|aLWND
207	41321 43623	3	   	276.12	DCR|4VULN|2DMG|2DUR	18DUR|25DMG|3569VULN|4RPLT|5BPWR|7RCR|aRCVC
208	11243 11326	6	   	276.02	DCR|4VULN|2DMG|2DUR	145aVULN|26DMG|36DUR|6BPWR|7TBNT|8CGEN|9RCR
209	11243 11351	6	   	276.02	DCR|4VULN|2DMG|2DUR	1459VULN|26DMG|36DUR|6BPWR|7TBNT|8CGEN|aRCR
210	12312 65741	8	   	276.02	DCR|4VULN|2DMG|2DUR	1369VULN|2RCVC|4MBVNT|59DMG|7RCR|89DUR|9BPWR|aDUST
211	13471 45242	1	   	276.02	DCR|4VULN|2DMG|2DUR|1NUKE	1789VULN|2MBVNT|39DMG|4RMIN|59DUR|6NUKE|9BPWR|aRCR
212	41343 11322	6	   	276.02	DCR|4VULN|2DMG|2DUR	1aDUR|26DMG|3456VULN|6BPWR|7TBNT|8CGEN|9RCR
213	41343 11631	6	   	276.02	DCR|4VULN|2DMG|2DUR	18DUR|26DMG|3456VULN|6BPWR|7TBNT|9RMIN|aRCR
214	41343 12343	9	   	276.02	DCR|4VULN|2DMG|2DUR	1aDUR|26DMG|3456VULN|6BPWR|7RPLT|8RCR|9DUST
215	43384 53134	1	   	276.02	DCR|4VULN|2DMG|2DUR	17DUR|2MBVNT|378aVULN|4RPLT|57DMG|6RCR|7BPWR|9TBNT
216	43384 53141	1	   	276.02	DCR|4VULN|2DMG|2DUR|1NUKE	17DUR|2MBVNT|3789VULN|4RPLT|57DMG|6RCR|7BPWR|aNUKE
217	11263 45242	5	   	276.02	DCR|4VULN|2DMG|2DUR|1NUKE	1789VULN|29DMG|39DUR|4MBVNT|5RMIN|6NUKE|9BPWR|aRCR
218	13884 53134	1	   	276.02	DCR|4VULN|2DMG|2DUR	178aVULN|2MBVNT|37DUR|4RPLT|57DMG|6RCR|7BPWR|9TBNT
219	13884 53141	1	   	276.02	DCR|4VULN|2DMG|2DUR|1NUKE	1789VULN|2MBVNT|37DUR|4RPLT|57DMG|6RCR|7BPWR|aNUKE
220	41363 45242	5	   	276.02	DCR|4VULN|2DMG|2DUR|1NUKE	19DUR|29DMG|3789VULN|4MBVNT|5RMIN|6NUKE|9BPWR|aRCR
221	53243 14121	6	   	276.01	DCR|4VULN|3DUR|1TLV|1SELL	1TLV|2456VULN|369DUR|6BPWR|7RCR|8LIT|aSELL
222	43427 53144	1	   	275.94	DCR|4VULN|2DUR|2ASPD|1TLV	17DUR|2MBVNT|37ASPD|4RPLT|5789VULN|6RCR|7BPWR|aTLV
223	12312 15584	9	   	275.80	DCR|4VULN|3DMG|2LIT	136aVULN|2RCVC|4MBVNT|569DMG|6aBPWR|7RCR|8aLIT
224	12312 15384	8	   	275.73	DCR|5VULN|2DMG|1ASPD	1369aVULN|2RCVC|4MBVNT|56DMG|6BPWR|7RCR|8ASPD
225	11116 63814	2	   	275.70	DCR|4VULN|3DMG|2LIT|1NUKE	149aVULN|239DMG|5NUKE|6MBVNT|79LIT|8RCR|9BPWR
226	11134 22615	8	   	275.63	DCR|5VULN|2DMG|1ASPD	1568aVULN|24DMG|3ERES|7ASPD|9RCR
227	11134 22625	9	   	275.63	DCR|5VULN|2DMG|1ASPD	1568aVULN|24DMG|3ERES|7ASPD|9RCR
228	11241 33462	4	   	275.56	ACR|5VULN|3DUR|1DMG|1TLV	14789VULN|2DMG|378DUR|5RCR|678FEWX|78BPWR|aTLV
