0	Index      	 *	Score 	Summary	Detail	
1	52122 12356	 * 	196.09	DCR|3DMG|2AART|1VULN|2CDMG	1BELT|2aLWND|3VULN|45AART|6RCR|78aDMG|9aCDMG|aBPWR
164	33634 16113	   	167.59	DCR|2DMG|1AART|1VULN|2CDMG	1LWND|2AART|39DMG|4VULN|5aCDMG|6RPLT|7RCR|8RMIN
165	33634 16323	   	167.59	DCR|2DMG|1AART|1VULN|2CDMG	1LWND|2AART|38DMG|4VULN|5aCDMG|6RPLT|7RCR|9CGEN
166	62414 11222	   	167.53	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	13RCVC|28MGNLIT|4DMG|58CDMG|6AART|78VULN|8BPWR|9RCR|aDUR
167	33631 12152	   	167.53	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD	1LWND|2AART|39DMG|4VULN|5BEXP|69CDMG|7ASPD|89LIT|9BPWR|aRCR
168	52122 16213	 * 	167.51	DCR|2AART|2VULN|1CDMG|1FLTHEA	1BELT|2LWND|3aVULN|45AART|6RCR|7FLTHEA|8LIT|9CDMG
169	56122 16213	   	167.51	DCR|2AART|2VULN|1CDMG|1FLTHEA	1BELT|2LHND|3aVULN|45AART|6RCR|7FLTHEA|8LIT|9CDMG
170	33636 26333	   	167.49	DCR|2DMG|1AART|1VULN|2CDMG	1LWND|2AART|38DMG|4VULN|5RPLT|6aCDMG|7RCR|9TLV
171	33634 16333	   	167.49	DCR|2DMG|1AART|1VULN|2CDMG	1LWND|2AART|38DMG|4VULN|5aCDMG|6RPLT|7RCR|9TLV
172	52122 12422	   	167.34	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1BELT|2LWND|3VULN|45AART|6RCR|7DMG|8LIT|9CDMG|aZMB
173	52122 12451	   	167.34	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1BELT|2LWND|3VULN|45AART|6RCR|7DMG|8LIT|9ZMB|aCDMG
174	55522 12322	   	167.34	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1BELT|2VULN|3LHND|45AART|6RCR|7DMG|8LIT|9CDMG|aZMB
175	56122 12322	   	167.34	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1BELT|2LHND|3VULN|45AART|6RCR|7DMG|8LIT|9CDMG|aZMB
176	56122 12351	   	167.34	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1BELT|2LHND|3VULN|45AART|6RCR|7DMG|8LIT|9ZMB|aCDMG
177	22541 23313	 * 	167.24	DCR|4VULN|1DMG|2CDMG	19CDMG|24LWND|3459VULN|49BPWR|6RCVC|79LHND|8RCR|aDMG
178	52122 12326	   	167.21	DCR|2AART|2DMG|1VULN|1DUR	1BELT|2LWND|3VULN|45AART|6RCR|78DMG|9BEXP|aDUR
179	52122 12332	   	167.21	DCR|2AART|2DMG|1VULN|1DUR	1BELT|2LWND|3VULN|45AART|6RCR|78DMG|9CGEN|aDUR
180	22541 43323	   	167.04	DCR|4VULN|1DMG|2CDMG	16CDMG|24LWND|345aVULN|4BPWR|7LHND|8RCR|9DMG
181	11214 63116	   	166.89	DCR|2DMG|1AART|1VULN|2CDMG	1RPLT|2aCDMG|3NUKE|4aERES|5LHND|6RCR|7AART|8VULN|9aDMG|aBPWR
182	21455 22323	 * 	166.64	DCR|2VULN|1DMG|2CDMG|1FLTHEA|1ZMB	18CDMG|2ZMB|3LIT|4aVULN|5FLTHEA|6RCR|7DMG|9LHND
183	13522 26316	   	166.61	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1RPLT|2aBEXP|3VULN|4aMLV|5AART|6CDMG|7RCR|8ASPD|9aDMG|aBPWR
184	53125 12332	   	166.61	DCR|2AART|2DMG|1VULN|1DUR	1BELT|2DUR|3VULN|4DMSP|5aAART|6RCR|78DMG|9CGEN
185	53125 12362	   	166.61	DCR|2AART|2DMG|1VULN|1DUR	1BELT|2DUR|3VULN|4DMSP|5aAART|6RCR|78DMG|9RMIN
186	55125 12112	   	166.61	DCR|2AART|2VULN|1DMG|1DUR	1BELT|23VULN|4FEWX|5aAART|6RCR|7DMG|8DUR|9LHND
187	55325 12112	   	166.61	DCR|2AART|2VULN|1DMG|1DUR	1BELT|23VULN|3BPWR|4FEWX|5aAART|6RCR|7DMG|8DUR|9LHND
188	16112 36336	   	166.59	DCR|2AART|2VULN|1CDMG|2DUR	1RPLT|27VULN|35AART|47ERES|6RCR|7BPWR|8aDUR|9CDMG
189	55125 12132	   	166.51	DCR|2VULN|2AART|1DMG|1DUR	1BELT|23VULN|4FEWX|5aAART|6RCR|7DMG|8DUR|9MBVNT
190	55325 12132	   	166.51	DCR|2AART|2VULN|1DMG|1DUR	1BELT|23VULN|3BPWR|4FEWX|5aAART|6RCR|7DMG|8DUR|9MBVNT
191	13522 26312	   	166.41	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RPLT|2BEXP|3aVULN|4MLV|5AART|6CDMG|7RCR|8ASPD|9DMG
192	16236 25223	   	166.41	DCR|3VULN|2DMG|1CDMG	1RPLT|258VULN|3CGEN|4aDMG|6CDMG|7RCR|9VENICY
193	42136 25131	 * 	166.33	ACR|3VULN|2AART|1CDMG	1FEWX|24AART|3BEXP|5RCR|68aVULN|7CGEN|9CDMG
194	42136 53131	   	166.33	ACR|3VULN|2AART|1CDMG	1FEWX|24AART|3BEXP|5RCR|6CGEN|78aVULN|9CDMG
195	42136 22613	   	166.23	ACR|3VULN|2AART|1CDMG	1FEWX|24AART|3BEXP|5RCR|69aVULN|7DUST|8CDMG
