0	Index      	 *	Score 	Summary	Detail	
1	26131 16211	 * 	209.99	ACR|3VULN|3DMG|1AART|1CDMG	189DMG|2RMIN|3AART|4RCR|5CDMG|67aVULN
162	32122 43216	   	180.45	DCR|2AART|2VULN|3ZMB|2ASPD	149ZMB|2RMIN|38AART|5aASPD|6aVULN|7RCR|aBPWR
163	21212 61543	   	180.42	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	14DMG|2SELL|3AART|5aVULN|6RCR|7LHND|8CGEN|9CDMG
164	21212 62361	   	180.42	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	14DMG|2SELL|3AART|59VULN|6RCR|7CDMG|8FEWX|aRPLT
165	22131 16512	   	180.39	ACR|2VULN|2DMG|1AART|1CDMG	19DMG|2TLV|3AART|4RCR|5CDMG|67VULN|8RCVC|aAIRHEL
166	22131 16513	   	180.39	ACR|2VULN|2DMG|1AART|1CDMG	19DMG|2TLV|3AART|4RCR|5CDMG|67VULN|8RCVC|aDLOT
167	22142 14162	   	180.36	DCR|2VULN|2DMG|1AART|2ASPD	14DMG|24TLV|3AART|4BPWR|57ASPD|6RCR|8NUKE|9aVULN
168	21212 62365	   	180.32	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	14DMG|2SELL|3AART|59VULN|6RCR|7CDMG|8FEWX|aTLV
169	21212 62561	   	180.32	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	14DMG|2SELL|3AART|59VULN|6RCR|7CDMG|8DUST|aRPLT
170	26131 16261	   	180.29	ACR|2VULN|2DMG|1AART|1CDMG	18DMG|2RMIN|3AART|4RCR|5CDMG|67VULN|9RCVC|aBELT
171	26131 16262	   	180.29	ACR|2VULN|2DMG|1AART|1CDMG	18DMG|2RMIN|3AART|4RCR|5CDMG|67VULN|9RCVC|aCGEN
172	15122 35111	   	180.27	DCR|2AART|2DMG|1VULN|2ZMB|1DUR	1aTLV|2MLV|38AART|4aZMB|5VULN|6DUR|7RCR|9aDMG|aBPWR
173	26131 16263	   	180.19	ACR|2VULN|2DMG|1AART|1CDMG	18DMG|2RMIN|3AART|4RCR|5CDMG|67VULN|9RCVC|aLSRHEA
174	22131 16242	   	180.19	ACR|2VULN|2DMG|1AART|1CDMG	1aDMG|2TLV|3AART|4RCR|5CDMG|67VULN|8LIT|9RCVC
175	12663 12115	   	180.04	ACR|2VULN|2DMG|1AART|1ZMB	1TLV|2RCR|3BEXP|4AART|58VULN|6DUST|79DMG|aZMB
176	42363 32362	   	180.00	DCR|2AART|2VULN|2DMG|1DUR	1FEWX|2DUR|37DMG|4aAART|59VULN|6LHND|8RCR
