0	Index      	 *	Score 	Summary	Detail	
1	13324 31362	 * 	275.22	DCR|3VULN|2TLV|1AART|1DUR	169FEWX|249VULN|3CGEN|5AART|7DUR|89TLV|9BPWR|aRCR
162	24522 23216	 * 	246.73	DCR|2VULN|1TLV|2CDMG|1ASPD|1DUR	1DUR|2ASPD|3TLV|48CDMG|5FEWX|67VULN|9MLV|aRCR
163	62213 61126	   	246.73	DCR|2VULN|1TLV|1AEFBLL|1CDMG|1DUR	1RPLT|2SNITOX|3DUR|4CDMG|57VULN|6TLV|8RCR|9MLV|aAEFBLL
164	32533 62263	   	246.67	DCR|DCR|2VULN|1AEPOI|1DUR	15LHND|2LIT|3FEWX|45VULN|5BPWR|6MDPS|7DUR|8AEPOI|9aRCR
165	32533 62363	   	246.67	DCR|DCR|2VULN|1AEBURN|1DUR	15LHND|2LIT|3FEWX|45VULN|5BPWR|6MDPS|7DUR|8AEBURN|9aRCR
166	14535 13211	   	246.63	DCR|2VULN|1TLV|1DMG|1ASPD|1DUR	1FEWX|2ASPD|3TLV|4LEGI|58VULN|6DMG|7RCR|9DUR|aERES
167	14535 13213	   	246.63	DCR|2VULN|1TLV|1DMG|1ASPD|1DUR	1FEWX|2ASPD|3TLV|4LEGI|58VULN|6DMG|7RCR|9DUR|aAETHUN
168	24535 13221	   	246.63	DCR|2VULN|1TLV|1DMG|1ASPD|1DUR|1SELL	1DUR|2ASPD|3TLV|4LEGI|58VULN|6DMG|7RCR|9RCVC|aSELL
169	13632 62263	   	246.57	DCR|DCR|2VULN|1AEPOI|1DUR	1FEWX|24VULN|3LIT|5LWND|6MDPS|7DUR|8AEPOI|9aRCR
170	13632 62363	   	246.57	DCR|DCR|2VULN|1AEBURN|1DUR	1FEWX|24VULN|3LIT|5LWND|6MDPS|7DUR|8AEBURN|9aRCR
171	22321 15623	   	246.49	DCR|2VULN|1TLV|1DMG|1CDMG|1DUR|1SELL	1DUR|2LIT|3CDMG|4SELL|5TLV|6ERES|7DMG|89VULN|aRCR
172	13153 12534	   	246.46	DCR|2TLV|2VULN|1NUKE	18FEWX|28VULN|3RPLT|4BELT|5LHND|6ZMB|78TLV|8BPWR|9RCR|aNUKE
173	22313 24131	 * 	246.31	ACR|DCR|1TLV|2CDMG|2DUR	19DUR|2LIT|39CDMG|4FEWX|5aRCR|6TLV|789ERES|9BPWR
174	24215 12341	 * 	245.88	DCR|1TLV|1VULN|1DMG|3RAT|2DUR|1ASPD	16DUR|2ASPD|347RAT|5DMG|8VULN|9TLV|aRCR
175	32112 35213	   	245.49	ACR|DCR|1TLV|1VULN	1LHND|2LIT|3BEXP|4aRCR|5MLV|6VULN|7TLV|8LWND|9FEWX
176	32114 25413	   	245.49	ACR|DCR|1TLV|1VULN	1LHND|2LIT|3BEXP|4aRCR|5LWND|6CGEN|7TLV|8VULN|9FEWX
177	32136 25213	   	245.49	ACR|DCR|1TLV|1VULN	1LHND|2LIT|3BEXP|4VULN|5aRCR|6CGEN|7TLV|8LWND|9FEWX
178	32512 35253	   	245.49	ACR|DCR|1TLV|1VULN	1LHND|2LIT|3FEWX|4aRCR|5MLV|6VULN|7TLV|8LWND|9BEXP
179	42112 35363	   	245.49	ACR|DCR|1TLV|1VULN	1LWND|2LIT|3BEXP|4aRCR|5MLV|6VULN|7TLV|8FEWX|9LHND
180	13613 25253	   	245.39	ACR|DCR|1TLV|1VULN	1FEWX|2VULN|3LIT|4aRCR|5DUST|6CGEN|7TLV|8LWND|9BEXP
181	13613 25353	   	245.39	ACR|DCR|1TLV|1VULN	1FEWX|2VULN|3LIT|4aRCR|5DUST|6CGEN|7TLV|8LHND|9BEXP
182	32112 35233	   	245.39	ACR|DCR|1TLV|1VULN	1LHND|2LIT|3BEXP|4aRCR|5MLV|6VULN|7TLV|8LWND|9DUST
183	32112 35263	   	245.39	ACR|DCR|1TLV|1VULN	1LHND|2LIT|3BEXP|4aRCR|5MLV|6VULN|7TLV|8LWND|9LEGI
184	32112 35313	   	245.39	ACR|DCR|1TLV|1VULN	1LHND|2LIT|3BEXP|4aRCR|5MLV|6VULN|7TLV|8LEGI|9FEWX
185	32114 25433	   	245.39	ACR|DCR|1TLV|1VULN	1LHND|2LIT|3BEXP|4aRCR|5LWND|6CGEN|7TLV|8VULN|9DUST
186	32136 25233	   	245.39	ACR|DCR|1TLV|1VULN	1LHND|2LIT|3BEXP|4VULN|5aRCR|6CGEN|7TLV|8LWND|9DUST
187	32136 25263	   	245.39	ACR|DCR|1TLV|1VULN	1LHND|2LIT|3BEXP|4VULN|5aRCR|6CGEN|7TLV|8LWND|9LEGI
188	32136 25313	   	245.39	ACR|DCR|1TLV|1VULN	1LHND|2LIT|3BEXP|4VULN|5aRCR|6CGEN|7TLV|8LEGI|9FEWX
189	32512 35353	   	245.39	ACR|DCR|1TLV|1VULN	1LHND|2LIT|3FEWX|4aRCR|5MLV|6VULN|7TLV|8LEGI|9BEXP
190	32112 35333	   	245.29	ACR|DCR|1TLV|1VULN	1LHND|2LIT|3BEXP|4aRCR|5MLV|6VULN|7TLV|8LEGI|9DUST
191	32136 25333	   	245.29	ACR|DCR|1TLV|1VULN	1LHND|2LIT|3BEXP|4VULN|5aRCR|6CGEN|7TLV|8LEGI|9DUST
