0	Index      	 *	Score 	Summary	Detail	
1	36321 63212	 * 	207.73	ACR|2AART|2DMG|3ZMB|2CDMG|3DUR	18aZMB|2RCR|3NUKE|45AART|68CDMG|78aDUR|8aBPWR|9aDMG
160	36624 23233	   	180.14	ACR|2VULN|2DMG|1AART|1ZMB	1ZMB|2RCR|39DMG|4AART|56VULN|7RPLT|8ERES|aLHND
161	36623 22331	   	180.14	ACR|2VULN|2DMG|1AART|1ZMB	1ZMB|2RCR|39DMG|4AART|5ERES|6LWND|7aVULN|8LIT
162	36623 52331	   	180.04	ACR|2VULN|2DMG|1AART|1ZMB	1ZMB|2RCR|39DMG|4AART|5ERES|6DUST|7aVULN|8LIT
163	33621 63612	   	179.99	ACR|2AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	1ZMB|2MLV|3RCR|45AART|6CDMG|7aDUR|8VULN|9DMG
164	12213 52663	   	179.88	ACR|3VULN|1AART|2CDMG|1ASPD|1DUR	19CDMG|2RCR|3RCVC|478VULN|5DUR|6AART|aASPD
165	21411 35422	 * 	179.82	ACR|4VULN|2DMG|2DUR	1aBEXP|25DUR|357aVULN|4RCR|5aBPWR|6TLV|8MLV|9aDMG
166	12212 52611	   	179.75	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2RCR|3RCVC|478VULN|5FEWX|6AART|9DMG|aRPLT
167	12212 52612	   	179.75	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2RCR|3RCVC|478VULN|5FEWX|6AART|9DMG|aLWND
168	12212 52616	   	179.75	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2RCR|3RCVC|478VULN|5FEWX|6AART|9DMG|aCGEN
169	12216 52611	   	179.75	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2RCR|3RCVC|478VULN|5LWND|6AART|9DMG|aRPLT
170	12216 52612	   	179.75	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2RCR|3RCVC|478VULN|5aLWND|6AART|9DMG
171	36212 33241	   	179.73	ACR|2DMG|3ZMB|1AART|2CDMG	138ZMB|2RCR|4aCDMG|5AART|68FEWX|78aMLV|8aBPWR|9aDMG
172	36212 53241	   	179.73	ACR|2DMG|3ZMB|1AART|2CDMG	138ZMB|2RCR|4aCDMG|5AART|68LWND|78aMLV|8aBPWR|9aDMG
173	12212 52613	   	179.65	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2RCR|3RCVC|478VULN|5FEWX|6AART|9DMG|aERES
174	12212 52615	   	179.65	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2RCR|3RCVC|478VULN|5FEWX|6AART|9DMG|aTLV
175	12216 52613	   	179.65	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2RCR|3RCVC|478VULN|5LWND|6AART|9DMG|aDUST
176	36212 22116	   	179.55	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG	13ZMB|2RCR|4CDMG|5AART|6CGEN|7VULN|8BEXP|9aDMG
177	36212 22216	   	179.55	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG	13ZMB|2RCR|4CDMG|5AART|6CGEN|7VULN|8LWND|9aDMG
178	36212 22611	   	179.55	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	13ZMB|2RCR|4CDMG|5AART|6CGEN|78VULN|9DMG|aRPLT
179	36212 22612	   	179.55	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	13ZMB|2RCR|4CDMG|5AART|6CGEN|78VULN|9DMG|aLWND
180	36212 22616	   	179.55	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	13ZMB|2RCR|4CDMG|5AART|6aCGEN|78VULN|9DMG
181	36212 33632	   	179.53	ACR|2VULN|3ZMB|1AART|2CDMG	13aZMB|2RCR|4aCDMG|5AART|69FEWX|7MLV|8aVULN|aBPWR
182	36212 64112	   	179.53	ACR|2DMG|3ZMB|1AART|2CDMG	13aZMB|2RCR|46CDMG|5AART|7RMIN|8aFEWX|9aDMG|aBPWR
183	12213 62336	   	179.51	ACR|1AART|1VULN|2CDMG|1DMG|2ZMB|2DUR	18CDMG|2RCR|3RCVC|4VULN|58DUR|68ZMB|7AART|8BPWR|9BEXP|aDMG
184	36212 13332	   	179.45	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	13ZMB|2RCR|4CDMG|5AART|6CANSTR|79VULN|8DMG|aFEWX
185	36212 13333	   	179.45	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	13ZMB|2RCR|4CDMG|5AART|6CANSTR|79VULN|8DMG|aRMIN
186	36212 13361	   	179.45	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG	13ZMB|2RCR|4CDMG|5AART|6CANSTR|7VULN|8aDMG|9CGEN
187	36212 22615	   	179.45	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	13ZMB|2RCR|4CDMG|5AART|6CGEN|78VULN|9DMG|aTLV
188	36212 12342	   	179.43	ACR|2DMG|3ZMB|1AART|2CDMG	139ZMB|2RCR|49CDMG|5AART|6CANSTR|7LWND|89DMG|9BPWR|aFEWX
189	36212 12343	   	179.43	ACR|2DMG|3ZMB|1AART|2CDMG	139ZMB|2RCR|49CDMG|5AART|6CANSTR|7aLWND|89DMG|9BPWR
190	36212 12346	   	179.43	ACR|2DMG|3ZMB|1AART|2CDMG	139ZMB|2RCR|49CDMG|5AART|6CANSTR|7LWND|89DMG|9BPWR|aRPLT
191	36212 16342	   	179.43	ACR|2DMG|3ZMB|1AART|2CDMG	139ZMB|2RCR|49CDMG|5AART|6CANSTR|7LHND|89DMG|9BPWR|aFEWX
192	36212 16343	   	179.43	ACR|2DMG|3ZMB|1AART|2CDMG	139ZMB|2RCR|49CDMG|5AART|6CANSTR|7LHND|89DMG|9BPWR|aLWND
193	36212 25262	   	179.43	ACR|2VULN|3ZMB|1AART|2CDMG	13aZMB|2RCR|4aCDMG|5AART|6CGEN|7RCVC|8DUST|9aVULN|aBPWR
194	36212 13331	   	179.35	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	13ZMB|2RCR|4CDMG|5AART|6CANSTR|79VULN|8DMG|aLSRREG
195	36212 13334	   	179.35	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	13ZMB|2RCR|4CDMG|5AART|6CANSTR|79VULN|8DMG|aTLV
196	36212 13351	   	179.35	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG	13ZMB|2RCR|4CDMG|5AART|6CANSTR|7VULN|8aDMG|9ERES
197	36212 12344	   	179.33	ACR|2DMG|3ZMB|1AART|2CDMG	139ZMB|2RCR|49CDMG|5AART|6CANSTR|7LWND|89DMG|9BPWR|aLEGI
198	36212 22642	   	179.33	ACR|2VULN|3ZMB|1AART|2CDMG	13aZMB|2RCR|4aCDMG|5AART|6CGEN|78VULN|9aDUST|aBPWR
199	36212 64212	   	179.33	ACR|2DMG|3ZMB|1AART|2CDMG	13aZMB|2RCR|46CDMG|5AART|7RMIN|8aDUST|9aDMG|aBPWR
200	65534 33324	   	179.32	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	18LHND|2MBVNT|39VULN|48DUR|58CDMG|6RCR|7AART|8BPWR|aDMG
201	12213 62363	   	179.26	ACR|1AART|1VULN|2CDMG|1DMG|2ZMB|2DUR|1SELL	18CDMG|2RCR|3RCVC|4VULN|58DUR|68ZMB|7AART|8BPWR|9SELL|aDMG
202	12623 55114	   	179.18	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|2RCR|3RPLT|4CGEN|59VULN|6MBVNT|78DMG|aAART
203	36513 63341	   	179.15	ACR|3VULN|1AART|2CDMG|2ZMB	18ZMB|2RCR|3MBVNT|4BEXP|58CDMG|678VULN|8BPWR|9AART|aFEWX
204	36513 63343	   	179.15	ACR|3VULN|1AART|2CDMG|2ZMB	18ZMB|2RCR|3MBVNT|4BEXP|58CDMG|678VULN|8BPWR|9AART|aLHND
205	36513 63344	   	179.15	ACR|3VULN|1AART|2CDMG|2ZMB	18ZMB|2RCR|3MBVNT|4BEXP|58CDMG|678VULN|8BPWR|9AART|aBELT
206	36234 31324	 * 	178.96	ACR|3DMG|3ZMB|1AART|1ASPD	134ZMB|2RCR|4BPWR|569DMG|7RMIN|8ASPD|aAART
207	36234 33324	   	178.86	ACR|3DMG|3ZMB|1AART|1ASPD	134ZMB|2RCR|4BPWR|569DMG|7TLV|8ASPD|aAART
208	12213 52623	   	178.86	ACR|3VULN|1AART|1CDMG|2DUR|1ASPD	1CDMG|2RCR|3RCVC|478VULN|59DUR|6AART|aASPD
209	12315 53313	   	178.78	ACR|3VULN|3CDMG|1AART|1DUR	18aCDMG|2RCR|38aFEWX|4LWND|5DUR|68aVULN|7AART|8aBPWR|9BELT
210	12323 53313	   	178.78	ACR|3VULN|3CDMG|1AART|1DUR	18aCDMG|2RCR|38aFEWX|4DUR|5LWND|68aVULN|7AART|8aBPWR|9BELT
211	36621 63323	   	178.67	ACR|2AART|2DMG|2ZMB|1CDMG|1DUR	1aZMB|2RCR|3aDMG|45AART|6CDMG|7DUR|8DMSP|9aBEXP|aBPWR
212	33624 25331	   	178.63	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1ZMB|2MLV|3RCR|49AART|56VULN|7FEWX|8DMG|aDUR
213	12213 63342	   	178.60	ACR|3VULN|1DMG|2CDMG|1ZMB|1DUR	18CDMG|2RCR|3RCVC|489VULN|5DUR|6ZMB|78LHND|8BPWR|aDMG
214	36513 63334	   	178.55	ACR|3VULN|1AART|2CDMG|2ZMB	18ZMB|2RCR|3MBVNT|4BEXP|58CDMG|678VULN|8BPWR|9RCVC|aAART
215	64323 23216	 * 	178.49	ACR|3VULN|2DMG|1AART	16aLHND|2BELT|3aDMG|4RCR|58aVULN|7AART|9RMIN|aBPWR
216	32623 13212	   	178.44	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2CGEN|3RCR|4LWND|5CDMG|67VULN|8AART|9DMG|aDUR
217	36214 22333	   	178.35	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	13ZMB|2RCR|4CDMG|5aVULN|6FEWX|7AART|8BELT|9DMG
218	36223 22433	   	178.33	ACR|2DMG|3ZMB|1AART|2CDMG	13aZMB|2RCR|4BEXP|5aCDMG|6FEWX|7AART|8LWND|9aDMG|aBPWR
219	36243 22433	   	178.33	ACR|2DMG|3ZMB|1AART|2CDMG	13aZMB|2RCR|4LHND|5aCDMG|6FEWX|7AART|8LWND|9aDMG|aBPWR
220	12213 56143	   	178.33	ACR|3VULN|1AART|2CDMG|2DUR	18CDMG|2RCR|3RCVC|48aVULN|58DUR|6AART|7BELT|8BPWR|9MBVNT
221	12225 24512	 * 	178.25	ACR|3DMG|2VULN|2CDMG	18CDMG|2RCR|35RCVC|4BEXP|68aDMG|78VULN|8BPWR|9FEWX
222	12242 24512	   	178.25	ACR|3DMG|2VULN|2CDMG	18CDMG|2RCR|3RCVC|4DMSP|5LHND|68aDMG|78VULN|8BPWR|9FEWX
223	12242 24522	   	178.25	ACR|3DMG|2VULN|2CDMG	18CDMG|2RCR|3RCVC|4DMSP|5LHND|68aDMG|78VULN|8BPWR|9BEXP
224	12252 24511	   	178.25	ACR|3VULN|2DMG|2CDMG	18CDMG|2RCR|3RCVC|459FEWX|68DMG|78aVULN|8BPWR
225	12252 24513	   	178.25	ACR|3DMG|2VULN|2CDMG	18CDMG|2RCR|3RCVC|459FEWX|68aDMG|78VULN|8BPWR
226	12252 24522	   	178.25	ACR|3DMG|2VULN|2CDMG	18CDMG|2RCR|3RCVC|45FEWX|68aDMG|78VULN|8BPWR|9LHND
227	21411 15325	   	178.17	ACR|3VULN|1AART|1DMG|2DUR|1ASPD	1BEXP|25DUR|357VULN|4RCR|5BPWR|6RMIN|8ASPD|9DMG|aAART
228	12225 24532	   	178.15	ACR|3DMG|2VULN|2CDMG	18CDMG|2RCR|35RCVC|4BEXP|68aDMG|78VULN|8BPWR|9DUST
229	12252 24532	   	178.15	ACR|3DMG|2VULN|2CDMG	18CDMG|2RCR|3RCVC|45FEWX|68aDMG|78VULN|8BPWR|9DUST
230	12336 35523	   	178.15	ACR|3VULN|2DMG|2CDMG	18CDMG|2RCR|3FEWX|4RPLT|5RMIN|68DMG|78aVULN|8BPWR|9TLV
231	36623 52333	 * 	178.10	ACR|3DMG|1AART|1VULN|1ZMB	1ZMB|2RCR|39aDMG|4AART|5ERES|6DUST|7VULN|8LIT
232	12213 52236	   	178.07	ACR|3VULN|2AART|1CDMG|1DUR	1CDMG|2RCR|3RCVC|47aVULN|5DUR|69AART|8LWND
233	12213 52336	   	178.07	ACR|3VULN|2AART|1CDMG|1DUR	1CDMG|2RCR|3RCVC|47aVULN|5DUR|69AART|8LHND
234	21411 35325	   	178.07	ACR|3VULN|1AART|1DMG|2DUR|1ASPD	1BEXP|25DUR|357VULN|4RCR|5BPWR|6TLV|8ASPD|9DMG|aAART
235	36621 12263	   	178.05	ACR|2AART|2DMG|2CDMG|2ZMB	1aZMB|2RCR|3aDMG|45AART|6MLV|7LWND|8RMIN|9aCDMG|aBPWR
236	36621 61112	   	178.05	ACR|2AART|2DMG|2CDMG|2ZMB	1aZMB|2RCR|3aDMG|45AART|69CDMG|7LIT|8aLHND|aBPWR
237	12211 53358	   	178.05	ACR|3VULN|2DMG|2CDMG	1aCDMG|2RCR|3RCVC|47aVULN|5MLV|6MBVNT|8CANHEL|9aDMG|aBPWR
238	36233 41263	   	177.96	ACR|2VULN|2DMG|3ZMB|1ASPD	134ZMB|2RCR|4aBPWR|5aVULN|6ASPD|7aDMG|8aLIT|9BELT
239	36233 41433	   	177.96	ACR|2VULN|2DMG|3ZMB|1ASPD	134ZMB|2RCR|4aBPWR|5aVULN|6ASPD|7aDMG|8BELT|9aLIT
240	12233 32664	   	177.95	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2RCR|3RCVC|4CGEN|5DMSP|678VULN|9AART|aDMG
241	36321 16262	   	177.95	ACR|2AART|2VULN|2CDMG|2ZMB	1aZMB|2RCR|3NUKE|45AART|6MLV|7aVULN|8RMIN|9aCDMG|aBPWR
242	36621 31263	   	177.95	ACR|2AART|2DMG|2CDMG|2ZMB	1aZMB|2RCR|3aDMG|45AART|6BEXP|7TLV|8RMIN|9aCDMG|aBPWR
243	36621 21263	   	177.85	ACR|2AART|2DMG|2CDMG|2ZMB	1aZMB|2RCR|3aDMG|45AART|6DUST|7TLV|8RMIN|9aCDMG|aBPWR
244	36233 41363	   	177.76	ACR|2VULN|2DMG|3ZMB|1ASPD	134ZMB|2RCR|4aBPWR|5aVULN|6ASPD|7aDMG|8aSNIHEL|9RMIN
