0	Index      	 *	Score 	Summary	Detail	
1	14333 15314	 * 	181.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1aFEWX|2aDMG|3DUR|4CDMG|59DMSP|6AART|7aVULN|8RCR|aBPWR
172	42412 35322	   	157.97	ACR|2VULN|2DMG|1ZMB|1DUR	1ZMB|2RCVC|3RCR|4CGEN|5LWND|6DUR|79VULN|8aDMG
173	42416 12322	   	157.97	ACR|2VULN|2DMG|1ZMB|1DUR	1ZMB|2RCVC|3RCR|4CGEN|5DUR|69VULN|7LWND|8aDMG
174	42461 13222	   	157.97	ACR|2VULN|2DMG|1ZMB|1DUR	1ZMB|2RCVC|3RCR|4DUR|5aDMG|68VULN|7CGEN|9LWND
175	42461 13231	   	157.97	ACR|2VULN|2DMG|1ZMB|1DUR	1ZMB|2RCVC|3RCR|4DUR|59DMG|68VULN|7CGEN|aRPLT
176	42461 13232	   	157.97	ACR|2VULN|2DMG|1ZMB|1DUR	1ZMB|2RCVC|3RCR|4DUR|59DMG|68VULN|7CGEN|aLIT
177	42461 13233	   	157.97	ACR|2VULN|2DMG|1ZMB|1DUR	1ZMB|2aRCVC|3RCR|4DUR|59DMG|68VULN|7CGEN
178	42461 13322	   	157.97	ACR|2VULN|2DMG|1ZMB|1DUR	1ZMB|2RCVC|3RCR|4DUR|5aDMG|69VULN|7CGEN|8FEWX
179	42463 12322	   	157.97	ACR|2VULN|2DMG|1ZMB|1DUR	1ZMB|2RCVC|3RCR|4DUR|5MLV|69VULN|7LWND|8aDMG
180	12353 63363	 * 	157.93	DCR|2AART|1VULN|3DUR|1CDMG|1ZMB	1FEWX|2ZMB|37aDUR|4VULN|59AART|6CDMG|8RCR
181	51514 12231	 * 	157.91	DCR|2AART|2DMG|1FLTHEA|1CDMG	1RCVC|2LIT|36DMG|48AART|5CDMG|7FLTHEA|9FEWX|aRCR
182	13241 23652	 * 	157.79	ACR|3DMG|1AART|1CDMG	1aFEWX|2DMSP|3RCR|4aDUST|5AART|6LSRHEA|7CDMG|89aDMG|aBPWR
183	43133 35324	   	157.68	DCR|2VULN|1AART|2CDMG|2ZMB	1aZMB|2LEGI|39FEWX|4aCDMG|5RCVC|6AART|7aVULN|8RCR|aBPWR
184	33351 53126	   	157.68	DCR|3VULN|1AART|1DMG	1DUST|2DMSP|39aVULN|4CGEN|5DMG|6SNIHEL|7AART|8RCR
185	12351 11144	 * 	157.66	DCR|2VULN|1DMG|1CDMG|1FLTHEA|1ZMB|1DUR	1FEWX|2ZMB|3DUR|49VULN|5CDMG|6CGEN|7FLTHEA|8DMG|aRCR
186	12351 21144	   	157.66	DCR|2VULN|1DMG|1CDMG|1FLTHEA|1ZMB|1DUR	1FEWX|2ZMB|3DUR|49VULN|5CDMG|6MLV|7FLTHEA|8DMG|aRCR
187	12322 56216	   	157.52	DCR|2AART|1VULN|1DMG|2DUR|1ZMB	1FEWX|2ZMB|38DUR|4LHND|5VULN|6aAART|7DMG|9RCR
188	13633 32311	   	157.45	DCR|2VULN|2DMG|1ZMB|1DUR	1FEWX|2DMSP|3aDMG|48VULN|5SNIHEL|6RCR|7DUR|9ZMB
189	14133 32311	   	157.45	DCR|2VULN|2DMG|1ZMB|1DUR	13FEWX|2aDMG|48VULN|5SNIHEL|6RCR|7DUR|9ZMB
190	14425 32311	   	157.45	DCR|2VULN|2DMG|1ZMB|1DUR	14FEWX|2aDMG|3LSRREG|58VULN|6RCR|7DUR|9ZMB
191	53633 32311	   	157.45	DCR|2VULN|2DMG|1ZMB|1DUR	1RCVC|2FEWX|3aDMG|48VULN|5SNIHEL|6RCR|7DUR|9ZMB
192	12334 15363	   	157.33	DCR|2AART|1VULN|3DUR|1CDMG|1ZMB	1FEWX|2ZMB|35aDUR|4CDMG|69AART|7VULN|8RCR
193	42461 22311	 * 	157.29	ACR|1AART|1VULN|1DMG|2ZMB|1DUR|1ASPD	17ZMB|2RCVC|3RCR|4DUR|5DMG|6ASPD|8BASHEA|9AART|aVULN
194	13636 32361	   	157.27	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1FEWX|2DMSP|3DMG|4VULN|5CDMG|69AART|7DUR|8RCR|aCGEN
195	14136 32361	   	157.27	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	13FEWX|2DMG|4VULN|5CDMG|69AART|7DUR|8RCR|aCGEN
196	13625 35313	   	157.27	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1FEWX|2DMSP|3DMG|4CDMG|5LWND|69AART|7VULN|8RCR|aDUR
197	13636 33313	   	157.27	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1FEWX|2DMSP|3DMG|4VULN|5CDMG|69AART|7LWND|8RCR|aDUR
198	14125 35313	   	157.27	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	13FEWX|2DMG|4CDMG|5LWND|69AART|7VULN|8RCR|aDUR
199	14136 33313	   	157.27	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	13FEWX|2DMG|4VULN|5CDMG|69AART|7LWND|8RCR|aDUR
200	14333 15361	   	157.27	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1FEWX|2DMG|3DUR|4CDMG|5DMSP|69AART|7VULN|8RCR|aCGEN
201	53636 33313	   	157.27	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1RCVC|2FEWX|3DMG|4VULN|5CDMG|69AART|7LWND|8RCR|aDUR
202	12333 53526	   	157.25	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB	1FEWX|2ZMB|39DUR|4CDMG|5RCVC|67VULN|8RCR|aAART
203	12353 51116	   	157.19	DCR|2VULN|2AART|1ZMB|1ASPD|1DUR	1FEWX|2ZMB|3DUR|47VULN|5aAART|6ASPD|8DUST|9RCR
204	13633 31514	   	157.17	DCR|2DMG|2AART|1VULN	18FEWX|2DMSP|37DMG|4VULN|5SNIHEL|6RCR|9aAART
205	12341 22262	   	157.09	DCR|2VULN|3ZMB|1DMG|1ASPD|1DUR	1FEWX|247ZMB|3DUR|5DMG|6ASPD|8aVULN|9RCR
206	34331 22423	   	156.81	DCR|2AART|2VULN|1DMG|1ASPD	1DUST|2DMG|3ASPD|4BEXP|58AART|6LSRHEA|79VULN|aRCR
207	34268 21111	 * 	156.80	ACR|2VULN|1AART|1DMG|2ZMB	1aDUST|2DMG|3aZMB|4MBVNT|5RCR|6LHND|7LIT|8AART|9aVULN|aBPWR
208	13633 31513	   	156.73	DCR|2DMG|1AART|1VULN|1ZMB	18FEWX|2DMSP|37DMG|4VULN|5SNIHEL|6RCR|9AART|aZMB
209	53633 31513	   	156.73	DCR|2DMG|1AART|1VULN|1ZMB	1RCVC|28FEWX|37DMG|4VULN|5SNIHEL|6RCR|9AART|aZMB
210	13636 33324	   	156.68	DCR|2DMG|1AART|1VULN|1CDMG	19aFEWX|2DMSP|3aDMG|4VULN|5CDMG|6AART|7aLWND|8RCR|aBPWR
211	12162 33235	 * 	156.60	DCR|4VULN|2ZMB|2DUR	135FEWX|29ZMB|49DUR|689aVULN|7RCR|9BPWR
212	51162 22421	 * 	156.57	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR	1RCVC|2LIT|3FEWX|4RCR|59VULN|6CDMG|7AART|8ZMB|aDUR
213	13636 33363	   	156.48	DCR|2VULN|1AART|1DMG|1CDMG	1FEWX|2DMSP|3DMG|4aVULN|5CDMG|6AART|7LWND|8RCR|9BEXP
214	14136 33363	   	156.48	DCR|2VULN|1AART|1DMG|1CDMG	13FEWX|2DMG|4aVULN|5CDMG|6AART|7LWND|8RCR|9BEXP
215	42461 11211	 * 	156.47	ACR|2VULN|1DMG|2ZMB|2DUR|1ASPD	1aZMB|2RCVC|3RCR|49DUR|5DMG|68VULN|7ASPD
216	34261 12231	   	156.37	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1DUST|28DMG|3ZMB|4MBVNT|5AART|6DMSP|7VULN|9ASPD|aRCR
217	34261 42231	   	156.37	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1DUST|28DMG|3ZMB|4MBVNT|5AART|6RCVC|7VULN|9ASPD|aRCR
218	42461 12321	 * 	155.94	ACR|3DMG|1VULN|1ZMB|1DUR	1ZMB|2RCVC|3RCR|4DUR|58aDMG|6VULN|7LWND|9SNIHEL
219	42461 12332	   	155.94	ACR|3DMG|1VULN|1ZMB|1DUR	1ZMB|2RCVC|3RCR|4DUR|58aDMG|6VULN|7LWND|9TLV
220	32362 78414	   	155.93	DCR|2DMG|1AART|1VULN|1ZMB	1DUST|2ZMB|3ERES|4MBVNT|5RPLT|6AART|7RCR|8aDMG|9VULN
221	13231 51342	   	155.78	ACR|2DMG|1AART|1VULN|1DUR	19FEWX|2DMSP|3RCR|49BEXP|5AART|6LHND|7VULN|89DMG|9BPWR|aDUR
222	53231 51342	   	155.78	ACR|2DMG|1AART|1VULN|1DUR	1RCVC|29FEWX|3RCR|49BEXP|5AART|6LHND|7VULN|89DMG|9BPWR|aDUR
223	13211 15365	 * 	155.68	ACR|3VULN|2DMG	1FEWX|2DMSP|3RCR|4RCVC|5BEXP|67aVULN|89DMG
224	13212 15365	   	155.68	ACR|3VULN|2DMG	1FEWX|2DMSP|3RCR|4RCVC|5LWND|67aVULN|89DMG
225	13231 22426	 * 	155.58	ACR|3VULN|2AART	1FEWX|2DMSP|3RCR|4BEXP|58AART|6LSRHEA|79aVULN
226	53231 22426	   	155.58	ACR|3VULN|2AART	1RCVC|2FEWX|3RCR|4BEXP|58AART|6LSRHEA|79aVULN
227	13221 31335	   	155.48	ACR|2VULN|1AART|1DMG|1DUR	1FEWX|2DMSP|3RCR|4LWND|5AART|6LEGI|7aVULN|8DMG|9DUR
228	53221 31335	   	155.48	ACR|2VULN|1AART|1DMG|1DUR	1RCVC|2FEWX|3RCR|4LWND|5AART|6LEGI|7aVULN|8DMG|9DUR
229	32122 56261	 * 	155.38	DCR|2VULN|1AART|1DMG|2ZMB	1DUST|2aZMB|3FEWX|4LHND|5aVULN|6AART|7DMG|8aLIT|9RCR|aBPWR
230	13633 31222	   	155.16	DCR|3DMG|2VULN	1FEWX|2DMSP|37aDMG|48VULN|5SNIHEL|6RCR|9BEXP
231	13633 31223	   	155.16	DCR|3VULN|2DMG	1FEWX|2DMSP|37DMG|48aVULN|5SNIHEL|6RCR|9BEXP
232	13633 31236	   	155.16	DCR|3VULN|2DMG	1FEWX|2DMSP|37DMG|48aVULN|5SNIHEL|6RCR|9LIT
233	13633 35342	   	155.16	DCR|3DMG|2VULN	1FEWX|2DMSP|39aDMG|48VULN|5SNIHEL|6RCR|7LWND
234	13633 35343	   	155.16	DCR|3VULN|2DMG	1FEWX|2DMSP|39DMG|48aVULN|5SNIHEL|6RCR|7LWND
235	14133 31222	   	155.16	DCR|3DMG|2VULN	13FEWX|27aDMG|48VULN|5SNIHEL|6RCR|9BEXP
236	14133 31223	   	155.16	DCR|3VULN|2DMG	13FEWX|27DMG|48aVULN|5SNIHEL|6RCR|9BEXP
237	14133 31236	   	155.16	DCR|3VULN|2DMG	13FEWX|27DMG|48aVULN|5SNIHEL|6RCR|9LIT
238	14133 35342	   	155.16	DCR|3DMG|2VULN	13FEWX|29aDMG|48VULN|5SNIHEL|6RCR|7LWND
239	14133 35343	   	155.16	DCR|3VULN|2DMG	13FEWX|29DMG|48aVULN|5SNIHEL|6RCR|7LWND
240	14425 31222	   	155.16	DCR|3DMG|2VULN	14FEWX|27aDMG|3LSRREG|58VULN|6RCR|9BEXP
241	14425 31223	   	155.16	DCR|3VULN|2DMG	14FEWX|27DMG|3LSRREG|58aVULN|6RCR|9BEXP
242	53633 31222	   	155.16	DCR|3DMG|2VULN	1RCVC|2FEWX|37aDMG|48VULN|5SNIHEL|6RCR|9BEXP
243	53633 31223	   	155.16	DCR|3VULN|2DMG	1RCVC|2FEWX|37DMG|48aVULN|5SNIHEL|6RCR|9BEXP
244	53633 31236	   	155.16	DCR|3VULN|2DMG	1RCVC|2FEWX|37DMG|48aVULN|5SNIHEL|6RCR|9LIT
245	13633 31262	   	155.06	DCR|3DMG|2VULN	1FEWX|2DMSP|37aDMG|48VULN|5SNIHEL|6RCR|9DUST
246	13633 31263	   	155.06	DCR|3VULN|2DMG	1FEWX|2DMSP|37DMG|48aVULN|5SNIHEL|6RCR|9DUST
247	14133 31262	   	155.06	DCR|3DMG|2VULN	13FEWX|27aDMG|48VULN|5SNIHEL|6RCR|9DUST
248	14133 31263	   	155.06	DCR|3VULN|2DMG	13FEWX|27DMG|48aVULN|5SNIHEL|6RCR|9DUST
249	53633 31262	   	155.06	DCR|3DMG|2VULN	1RCVC|2FEWX|37aDMG|48VULN|5SNIHEL|6RCR|9DUST
250	53633 31263	   	155.06	DCR|3VULN|2DMG	1RCVC|2FEWX|37DMG|48aVULN|5SNIHEL|6RCR|9DUST
251	14334 15313	   	154.94	DCR|1AART|1VULN|1DMG|3DUR|1CDMG	1FEWX|2DMG|35aDUR|4CDMG|6AART|7VULN|8RCR|9DMSP
252	14334 15331	   	154.94	DCR|1AART|1VULN|1DMG|3DUR|1CDMG	1FEWX|2DMG|35aDUR|4CDMG|6AART|7VULN|8RCR|9MLV
253	42422 11445	 * 	154.93	ACR|2VULN|1AART|2ZMB|2DUR|1SELL	1aZMB|2RCVC|3RCR|4SELL|5MBVNT|6AART|7DMSP|8aDUR|9aVULN|aBPWR
254	32153 63241	   	154.85	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1DUST|2ZMB|3FEWX|49VULN|5AART|6CDMG|7RMIN|8RCR|aDUR
255	12334 53126	   	154.85	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB	1FEWX|2ZMB|35DUR|4CDMG|67VULN|8RCVC|9RCR|aAART
256	12351 43126	   	154.85	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB	1FEWX|2ZMB|36DUR|47VULN|5CDMG|8RCVC|9RCR|aAART
257	13636 31321	   	154.77	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1FEWX|2DMSP|3DMG|4VULN|5CDMG|67AART|8ERES|9RCR|aDUR
258	14136 31321	   	154.77	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	13FEWX|2DMG|4VULN|5CDMG|67AART|8ERES|9RCR|aDUR
259	53636 31321	   	154.77	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1RCVC|2FEWX|3DMG|4VULN|5CDMG|67AART|8ERES|9RCR|aDUR
260	14341 25122	   	154.75	DCR|2DMG|1AART|1CDMG|1ZMB|1DUR	1FEWX|27DMG|3DUR|4ZMB|5AART|6LSRHEA|8RCR|9MBVNT|aCDMG
261	34141 25132	   	154.75	DCR|2DMG|1AART|1CDMG|1ZMB|1DUR	1DUST|27DMG|3FEWX|4ZMB|5AART|6LSRHEA|8RCR|9DUR|aCDMG
262	13222 26643	 * 	154.48	ACR|2VULN|1AART|2CDMG|1DUR	19FEWX|2DMSP|3RCR|4LWND|5RPLT|69CDMG|7AART|89VULN|9BPWR|aDUR
263	32153 51315	   	154.46	DCR|3VULN|1AART|1ZMB|1ASPD	1DUST|2ZMB|3FEWX|47aVULN|5AART|6ASPD|8BEXP|9RCR
264	43261 15333	 * 	154.38	DCR|2VULN|2DMG|3ZMB|2DUR|1MSE	138ZMB|2LEGI|4aDUR|58DMG|68VULN|7RCR|8BPWR|9MSE
265	34321 31515	 * 	154.38	DCR|2VULN|1AART|1DMG|2ASPD	1DUST|2DMG|38ASPD|4LWND|5AART|6LEGI|7aVULN|9RCR
266	12353 33615	   	154.36	DCR|3VULN|1AART|1ZMB|1DUR	1FEWX|2ZMB|3DUR|47aVULN|5AART|6DUST|8ERES|9RCR
267	12353 41115	   	154.36	DCR|3VULN|1AART|1ZMB|1DUR	1FEWX|2ZMB|3DUR|47aVULN|5AART|6ERES|8DUST|9RCR
268	51162 22124	 * 	154.19	ACR|3VULN|1AART|1CDMG	1RCVC|2LIT|3FEWX|4RCR|59aVULN|6CDMG|7AART|8TLV
269	14312 73231	 * 	154.18	DCR|2DMG|1AART|2CDMG|3DUR	18FEWX|26DMG|368DUR|4RPLT|5MBVNT|68BPWR|78CDMG|9RCR|aAART
270	14351 73231	   	154.18	DCR|2DMG|1AART|2CDMG|3DUR	18FEWX|26DMG|368DUR|4MBVNT|5RPLT|68BPWR|78CDMG|9RCR|aAART
271	13631 32142	   	154.17	DCR|2DMG|2AART|1VULN	1FEWX|2DMSP|35DMG|4VULN|6aAART|7LIT|8RCR|9ERES
272	14131 32142	   	154.17	DCR|2DMG|2AART|1VULN	13FEWX|25DMG|4VULN|6aAART|7LIT|8RCR|9ERES
273	53631 32142	   	154.17	DCR|2DMG|2AART|1VULN	1RCVC|2FEWX|35DMG|4VULN|6aAART|7LIT|8RCR|9ERES
274	41661 13333	 * 	154.17	DCR|2VULN|1AART|2ZMB|2ASPD	1aZMB|2aASPD|3BEXP|4MBVNT|5AART|6DMSP|7RCR|8ERES|9aVULN|aBPWR
275	41661 43333	   	154.17	DCR|2VULN|1AART|2ZMB|2ASPD	1aZMB|2aASPD|3BEXP|4MBVNT|5AART|6RCVC|7RCR|8ERES|9aVULN|aBPWR
276	34261 11246	 * 	154.14	DCR|1AART|1VULN|1DMG|2ZMB|2ASPD	19DUST|2DMG|39ZMB|4MBVNT|5AART|6DMSP|79ASPD|8RCR|9BPWR|aVULN
277	34261 41246	   	154.14	DCR|1AART|1VULN|1DMG|2ZMB|2ASPD	19DUST|2DMG|39ZMB|4MBVNT|5AART|6RCVC|79ASPD|8RCR|9BPWR|aVULN
278	34141 25111	   	154.13	DCR|2DMG|1AART|1VULN|1ZMB	1DUST|27DMG|3FEWX|4ZMB|5AART|6LSRHEA|8RCR|9LSRREG|aVULN
279	12353 63361	   	154.11	DCR|2AART|1VULN|1CDMG|2DUR|1ZMB	1FEWX|2ZMB|37DUR|4VULN|59AART|6CDMG|8RCR|aCGEN
280	13264 21222	   	154.03	ACR|2VULN|1DMG|1CDMG|1ZMB|1ASPD	1FEWX|2DMSP|3RCR|4RPLT|5CDMG|6ZMB|7ASPD|89VULN|aDMG
281	13264 21243	   	154.03	ACR|2DMG|1VULN|1CDMG|1ZMB|1ASPD	1FEWX|2DMSP|3RCR|4RPLT|5CDMG|6ZMB|7ASPD|8VULN|9aDMG
282	42461 12311	   	154.03	ACR|2DMG|1VULN|1CDMG|1ZMB|1DUR	1ZMB|2RCVC|3RCR|4DUR|58DMG|6VULN|7LWND|9CDMG|aBEXP
283	42461 12312	   	154.03	ACR|2DMG|1VULN|1CDMG|1ZMB|1DUR	1ZMB|2RCVC|3RCR|4DUR|58DMG|6VULN|7aLWND|9CDMG
284	53264 21222	   	154.03	ACR|2VULN|1DMG|1CDMG|1ZMB|1ASPD	1RCVC|2FEWX|3RCR|4RPLT|5CDMG|6ZMB|7ASPD|89VULN|aDMG
285	34261 21812	   	154.03	DCR|2VULN|1AART|1DMG|1ZMB	1DUST|2DMG|3ZMB|4MBVNT|5AART|6LSRHEA|7VENICY|8RCR|9aVULN
286	13221 11631	 * 	153.91	ACR|2AART|2DMG|1ASPD|1DUR	1FEWX|2DMSP|3RCR|4LWND|56AART|7ASPD|89DMG|aDUR
287	13221 45631	   	153.91	ACR|2AART|2DMG|1ASPD|1DUR	1FEWX|2DMSP|3RCR|4LWND|57AART|6ASPD|89DMG|aDUR
288	53221 11631	   	153.91	ACR|2AART|2DMG|1ASPD|1DUR	1RCVC|2FEWX|3RCR|4LWND|56AART|7ASPD|89DMG|aDUR
289	13631 32132	   	153.83	DCR|2DMG|1AART|1VULN|1ZMB	1FEWX|2DMSP|35DMG|4VULN|6AART|79LIT|8RCR|aZMB
290	13631 32152	   	153.83	DCR|2DMG|1AART|1VULN|1ZMB	1FEWX|2DMSP|35DMG|4VULN|6AART|7LIT|8RCR|9RCVC|aZMB
291	13631 32161	   	153.83	DCR|2DMG|1AART|1VULN|1ZMB	1aFEWX|2DMSP|35DMG|4VULN|6AART|7LIT|8RCR|9ZMB
292	13631 32164	   	153.83	DCR|2DMG|1AART|1VULN|1ZMB	1FEWX|2DMSP|35DMG|4VULN|6AART|7LIT|8RCR|9ZMB|aLWND
293	13631 32166	   	153.83	DCR|2DMG|1AART|1VULN|1ZMB	1FEWX|2DMSP|35DMG|4VULN|6AART|7LIT|8RCR|9ZMB|aLHND
294	14131 32132	   	153.83	DCR|2DMG|1AART|1VULN|1ZMB	13FEWX|25DMG|4VULN|6AART|79LIT|8RCR|aZMB
295	14131 32152	   	153.83	DCR|2DMG|1AART|1VULN|1ZMB	13FEWX|25DMG|4VULN|6AART|7LIT|8RCR|9RCVC|aZMB
296	14131 32161	   	153.83	DCR|2DMG|1AART|1VULN|1ZMB	13aFEWX|25DMG|4VULN|6AART|7LIT|8RCR|9ZMB
297	14131 32164	   	153.83	DCR|2DMG|1AART|1VULN|1ZMB	13FEWX|25DMG|4VULN|6AART|7LIT|8RCR|9ZMB|aLWND
298	14131 32166	   	153.83	DCR|2DMG|1AART|1VULN|1ZMB	13FEWX|25DMG|4VULN|6AART|7LIT|8RCR|9ZMB|aLHND
299	53631 32132	   	153.83	DCR|2DMG|1AART|1VULN|1ZMB	1RCVC|2FEWX|35DMG|4VULN|6AART|79LIT|8RCR|aZMB
300	53631 32152	   	153.83	DCR|2DMG|1AART|1VULN|1ZMB	19RCVC|2FEWX|35DMG|4VULN|6AART|7LIT|8RCR|aZMB
301	53631 32161	   	153.83	DCR|2DMG|1AART|1VULN|1ZMB	1RCVC|2aFEWX|35DMG|4VULN|6AART|7LIT|8RCR|9ZMB
302	34431 53112	 * 	153.77	DCR|3DMG|1AART|3DUR	19aDUST|29aDMG|3LSRREG|4ERES|59aDUR|6DMSP|7AART|8RCR|9aBPWR
303	13631 32163	   	153.73	DCR|2DMG|1AART|1VULN|1ZMB	1FEWX|2DMSP|35DMG|4VULN|6AART|7LIT|8RCR|9ZMB|aERES
304	13631 32165	   	153.73	DCR|2DMG|1AART|1VULN|1ZMB	1FEWX|2DMSP|35DMG|4VULN|6AART|7LIT|8RCR|9ZMB|aLSRHEA
305	14131 32163	   	153.73	DCR|2DMG|1AART|1VULN|1ZMB	13FEWX|25DMG|4VULN|6AART|7LIT|8RCR|9ZMB|aERES
306	14131 32165	   	153.73	DCR|2DMG|1AART|1VULN|1ZMB	13FEWX|25DMG|4VULN|6AART|7LIT|8RCR|9ZMB|aLSRHEA
307	53631 32163	   	153.73	DCR|2DMG|1AART|1VULN|1ZMB	1RCVC|2FEWX|35DMG|4VULN|6AART|7LIT|8RCR|9ZMB|aERES
308	51123 36361	   	153.68	DCR|3DMG|1AART|1VULN	1RCVC|2LIT|3FEWX|457DMG|6VULN|8LWND|9RCR|aAART
309	13631 35221	   	153.68	DCR|3DMG|1AART|1VULN	1FEWX|2DMSP|358DMG|4VULN|6AART|7RMIN|9LWND|aRCR
310	13631 35261	   	153.68	DCR|3DMG|1AART|1VULN	1FEWX|2DMSP|358DMG|4VULN|6AART|7RMIN|9BEXP|aRCR
311	14131 35221	   	153.68	DCR|3DMG|1AART|1VULN	13FEWX|258DMG|4VULN|6AART|7RMIN|9LWND|aRCR
312	14131 35261	   	153.68	DCR|3DMG|1AART|1VULN	13FEWX|258DMG|4VULN|6AART|7RMIN|9BEXP|aRCR
313	53631 35221	   	153.68	DCR|3DMG|1AART|1VULN	1RCVC|2FEWX|358DMG|4VULN|6AART|7RMIN|9LWND|aRCR
314	34431 43122	   	153.67	DCR|3DMG|1AART|3DUR	1aDUST|29aDMG|3LSRREG|4ERES|56aDUR|7AART|8RCR|aBPWR
315	34251 32143	   	153.63	DCR|2DMG|1AART|1VULN|1ZMB	1DUST|25DMG|3ZMB|4CGEN|6AART|7LIT|8RCR|9ERES|aVULN
316	43122 32636	   	153.63	DCR|2VULN|1AART|1DMG|1ZMB	1ZMB|2LEGI|3FEWX|4LHND|58VULN|6TLV|7RCR|9DMG|aAART
317	33346 32163	   	153.63	DCR|2VULN|1AART|1DMG|1ZMB	14DUST|2DMSP|3aVULN|5DMG|6AART|7LIT|8RCR|9ZMB
318	12353 26212	   	153.61	DCR|1AART|1VULN|1DMG|2DUR|1ZMB|1ASPD	1FEWX|2ZMB|38DUR|4VULN|5AART|6LHND|7DMG|9RCR|aASPD
319	14341 51212	   	153.61	DCR|1AART|1VULN|1DMG|2DUR|1ZMB|1ASPD	1FEWX|2DMG|38DUR|4ZMB|5AART|6LHND|7VULN|9RCR|aASPD
320	13264 23262	   	153.61	ACR|2VULN|1DMG|2CDMG|1ZMB	19FEWX|2DMSP|3RCR|4RPLT|59CDMG|6ZMB|7CGEN|89VULN|9BPWR|aDMG
321	13231 22424	 * 	153.58	ACR|2AART|2VULN|1CDMG	1FEWX|2DMSP|3RCR|4BEXP|58AART|6LSRHEA|79VULN|aCDMG
322	53231 22424	   	153.58	ACR|2AART|2VULN|1CDMG	1RCVC|2FEWX|3RCR|4BEXP|58AART|6LSRHEA|79VULN|aCDMG
323	12333 15363	   	153.51	DCR|2AART|1VULN|1CDMG|2DUR|1ZMB	1FEWX|2ZMB|3aDUR|4CDMG|5RCVC|69AART|7VULN|8RCR
324	12334 15361	   	153.51	DCR|2AART|1VULN|1CDMG|2DUR|1ZMB	1FEWX|2ZMB|35DUR|4CDMG|69AART|7VULN|8RCR|aCGEN
325	13631 31661	   	153.48	DCR|3DMG|1AART|1VULN	1FEWX|2DMSP|358DMG|4VULN|6AART|7LEGI|9TLV|aRCR
326	14131 31661	   	153.48	DCR|3DMG|1AART|1VULN	13FEWX|258DMG|4VULN|6AART|7LEGI|9TLV|aRCR
327	13241 22424	   	153.48	ACR|2AART|2VULN|1CDMG	1FEWX|2DMSP|3RCR|4DUST|58AART|6LSRHEA|79VULN|aCDMG
328	13636 13511	 * 	153.47	DCR|3VULN|1DMG|1CDMG|1DUR	1FEWX|2DMSP|3DMG|47aVULN|5CDMG|6DUR|8RCR|9BEXP
329	13636 13533	   	153.47	DCR|3VULN|1DMG|1CDMG|1DUR	1FEWX|2DMSP|3DMG|47aVULN|5CDMG|6DUR|8RCR|9LIT
330	14136 13511	   	153.47	DCR|3VULN|1DMG|1CDMG|1DUR	13FEWX|2DMG|47aVULN|5CDMG|6DUR|8RCR|9BEXP
331	14136 13533	   	153.47	DCR|3VULN|1DMG|1CDMG|1DUR	13FEWX|2DMG|47aVULN|5CDMG|6DUR|8RCR|9LIT
332	14333 53511	   	153.47	DCR|3VULN|1DMG|1CDMG|1DUR	1FEWX|2DMG|3DUR|4CDMG|5DMSP|67aVULN|8RCR|9BEXP
333	14333 53533	   	153.47	DCR|3VULN|1DMG|1CDMG|1DUR	1FEWX|2DMG|3DUR|4CDMG|5DMSP|67aVULN|8RCR|9LIT
334	12353 63321	   	153.42	DCR|1AART|1VULN|3DUR|1CDMG|1ZMB|1ASPD	1FEWX|2ZMB|37aDUR|4VULN|5AART|6CDMG|8RCR|9ASPD
335	12351 33126	   	153.41	DCR|2VULN|1AART|2ZMB|1CDMG|1DUR	1FEWX|26ZMB|3DUR|47VULN|5CDMG|8RCVC|9RCR|aAART
336	33321 16322	   	153.38	DCR|2VULN|1AART|1DMG|1CDMG	1DUST|2DMSP|36VULN|4RMIN|5DMG|7AART|8CDMG|9RCR|aRCVC
337	33321 16323	   	153.38	DCR|2VULN|1AART|1DMG|1CDMG	1DUST|2DMSP|36VULN|4RMIN|5DMG|7AART|8CDMG|9RCR|aBEXP
338	33321 16324	   	153.38	DCR|2VULN|1AART|1DMG|1CDMG	1DUST|2DMSP|36VULN|4RMIN|5DMG|7AART|8CDMG|9RCR|aCGEN
339	33321 16326	   	153.38	DCR|2VULN|1AART|1DMG|1CDMG	1DUST|2DMSP|36VULN|4RMIN|5DMG|7AART|8CDMG|9RCR|aFEWX
