0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21334 36232	2	 * 	292.47	DCR|4VULN|2DMG|2DUR|1TLV	147aVULN|2RMIN|3BEXP|57DUR|67DMG|7BPWR|8TLV|9RCR
175	23364 22324	1	   	263.39	DCR|5VULN|1DMG|1DUR	1368aVULN|23FEWX|3BPWR|4ERES|5DUR|7RCR|9DMG
176	26334 22324	3	   	263.39	DCR|5VULN|1DMG|1DUR	1468aVULN|2MLV|3BEXP|5DUR|7RCR|9DMG
177	26334 22324	2	   	263.39	DCR|5VULN|1DMG|1DUR	1468aVULN|2MLV|3BEXP|5DUR|7RCR|9DMG
178	21232 64114	5	   	263.33	DCR|4VULN|2DUR|1CDMG|1ASPD	145aVULN|2RMIN|35aMLV|5aBPWR|6ASPD|7CDMG|8aDUR|9RCR
179	21534 13523	7	   	263.28	DCR|3VULN|2DMG|2TLV|1ASPD|1AART	148VULN|2RMIN|3ERES|58TLV|6RCR|78DMG|8BPWR|9ASPD|aAART
180	11225 22533	9	   	263.25	DCR|5VULN|2ASPD|2LIT|1NUKE	1NUKE|28LIT|38ASPD|4568aVULN|7RCVC|8BPWR|9RCR
181	21233 64114	4	   	263.23	DCR|4VULN|2DUR|1CDMG|1ASPD	145aVULN|2RMIN|3aMLV|6ASPD|7CDMG|8aDUR|9RCR|aBPWR
182	23311 42434	4	   	263.15	DCR|5VULN|2TLV|1DUR|1SELL	1346aVULN|2RPLT|56TLV|6BPWR|7SELL|8RCR|9DUR
183	23214 26116	9	   	263.07	DCR|4VULN|2ASPD|1TLV|1AART	1457VULN|2RPLT|35ASPD|5BPWR|6LIT|8RCR|9TLV|aAART
184	23334 26116	9	   	263.07	DCR|4VULN|2ASPD|1TLV|1AART	1357VULN|2RPLT|45ASPD|5BPWR|6LIT|8RCR|9TLV|aAART
185	23213 22112	9	   	263.05	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	147VULN|2RPLT|3ASPD|58DUR|6DMG|9RCR|aTLV
186	23333 22112	9	   	263.05	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	137VULN|2RPLT|4ASPD|58DUR|6DMG|9RCR|aTLV
187	23633 22112	9	   	263.05	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	137VULN|2RPLT|3BPWR|4ASPD|58DUR|6DMG|9RCR|aTLV
188	23214 26141	9	   	262.93	DCR|4VULN|3ASPD|1DUR	1457VULN|2RPLT|359ASPD|5BPWR|6LIT|8RCR|aDUR
189	23334 26141	9	   	262.93	DCR|4VULN|3ASPD|1DUR	1357VULN|2RPLT|459ASPD|5BPWR|6LIT|8RCR|aDUR
190	24225 21633	6	   	262.80	DCR|4VULN|3DUR|1ASPD	168aVULN|2aLWND|3BEXP|4ASPD|57aDUR|9RCR|aBPWR
191	24314 22126	1	   	262.59	DCR|3VULN|2ASPD|2TLV|1DMG|1DUR	169VULN|29TLV|34BEXP|5DUR|7RCR|89ASPD|9BPWR|aDMG
192	16122 62114	8	   	262.57	DCR|3VULN|3ASPD|2DUR|1TLV|1NUKE|1SELL	1NUKE|24aASPD|3TLV|5aDUR|67aVULN|8SELL|9RCR|aBPWR
193	23214 33155	7	   	262.57	DCR|4VULN|2ASPD|1DMG|1CDMG	1457VULN|2RPLT|35ASPD|5BPWR|6DMG|8RCR|9CGEN|aCDMG
194	23334 33155	7	   	262.57	DCR|4VULN|2ASPD|1DMG|1CDMG	1357VULN|2RPLT|45ASPD|5BPWR|6DMG|8RCR|9CGEN|aCDMG
