0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51232 33115	9	 * 	292.35	ACR|5VULN|3DMG|3DUR|1NUKE	12349VULN|5RCR|69aDUR|7NUKE|89aDMG|9aBPWR
177	51232 33114	10	   	263.27	ACR|5VULN|2DMG|2DUR|1NUKE	12349VULN|5RCR|69DUR|7NUKE|89DMG|9BPWR|aERES
178	51232 33635	7	   	263.27	ACR|5VULN|2DMG|2DUR|1NUKE	12348VULN|5RCR|6aDUR|7NUKE|9aDMG|aBPWR
179	51221 27813	8	   	263.25	DCR|5VULN|2ASPD|2LIT	1239aVULN|4CGEN|5aLIT|6MBVNT|7RCR|8aASPD|aBPWR
180	23533 24421	6	   	263.23	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	15TLV|2BEXP|3DUR|458VULN|5BPWR|6LIT|7RCR|9CDMG|aDMG
181	51232 33513	10	   	263.18	ACR|5VULN|2DUR|2ASPD|1TLV|1NUKE	12349VULN|5RCR|69DUR|7NUKE|89ASPD|9BPWR|aTLV
182	53633 12211	7	   	263.16	DCR|4VULN|1DMG|1DUR|1ASPD	1369VULN|2LIT|4ASPD|5DMG|7RCR|8DUR|aCGEN
183	53633 12216	7	   	263.16	DCR|4VULN|1DMG|1DUR|1ASPD	1369VULN|2LIT|4ASPD|5DMG|7RCR|8DUR|aBEXP
184	53633 12251	8	   	263.16	DCR|4VULN|1DMG|1DUR|1ASPD	1369VULN|2LIT|4ASPD|5DMG|7RCR|8RPLT|aDUR
185	53633 12252	8	   	263.16	DCR|4VULN|1DMG|1TLV|1ASPD	1369VULN|2LIT|4ASPD|5DMG|7RCR|8RPLT|aTLV
186	51323 31242	7	   	263.09	DCR|4VULN|2DUR|2LIT|1AART	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9AART|aBEXP
187	51323 31243	7	   	263.09	DCR|4VULN|2DUR|2LIT|1AART	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9AART|aFEWX
188	51323 31245	7	   	263.09	DCR|4VULN|2DUR|2LIT|1AART	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9AART|aLHND
189	51323 31342	8	   	263.09	DCR|4VULN|2DUR|2LIT|1AART	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9AART|aBEXP
190	51323 31343	8	   	263.09	DCR|4VULN|2DUR|2LIT|1AART	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9AART|aFEWX
191	51323 31345	8	   	263.09	DCR|4VULN|2DUR|2LIT|1AART	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9AART|aLHND
192	51323 31353	10	   	263.09	DCR|4VULN|2DUR|2LIT|1AART	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9RCVC|aAART
193	51323 31633	7	   	263.09	DCR|4VULN|2DUR|2LIT|1AART	127aVULN|3aLWND|47LIT|57DUR|6RCR|7aBPWR|8aDUST|9AART
194	53633 12212	7	   	263.06	DCR|4VULN|1DMG|1DUR|1ASPD	1369VULN|2LIT|4ASPD|5DMG|7RCR|8DUR|aLEGI
195	53633 12213	7	   	263.06	DCR|4VULN|1DMG|1DUR|1ASPD	1369VULN|2LIT|4ASPD|5DMG|7RCR|8DUR|aERES
196	53633 12214	7	   	263.06	DCR|4VULN|1DMG|1DUR|1ASPD	1369VULN|2LIT|4ASPD|5DMG|7RCR|8DUR|aDUST
197	51216 36211	10	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	123VULN|4MLV|57DMG|69DUR|8AART|aRCR
198	51226 33211	10	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	123VULN|4CGEN|57DMG|69DUR|8AART|aRCR
199	51323 31241	7	   	262.99	DCR|4VULN|2DUR|2LIT|1AART	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9AART|aERES
200	51323 31244	7	   	262.99	DCR|4VULN|2DUR|2LIT|1AART	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9AART|aTBNT
201	51323 31341	8	   	262.99	DCR|4VULN|2DUR|2LIT|1AART	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9AART|aERES
202	51323 31344	8	   	262.99	DCR|4VULN|2DUR|2LIT|1AART	1278VULN|3LWND|47LIT|57DUR|6RCR|7BPWR|9AART|aTBNT
203	21613 15351	7	 * 	262.58	DCR|3VULN|2DMG|3LIT|2TLV	18TLV|247LIT|368VULN|58DMG|8BPWR|9RCR|aFEWX
204	21613 15353	7	   	262.58	DCR|3VULN|2DMG|3LIT|2TLV	18TLV|247LIT|368VULN|58DMG|8BPWR|9RCR|aLHND
205	41523 21323	9	   	262.57	DCR|4VULN|2ASPD|1DMG|1CDMG	1BEXP|2689VULN|3DMG|4CDMG|56ASPD|6BPWR|7LHND|aRCR
206	41523 23323	9	   	262.57	DCR|4VULN|2ASPD|1DMG|1CDMG	1BEXP|2689VULN|3DMG|4CDMG|56ASPD|6BPWR|7FEWX|aRCR
207	21613 15352	7	 * 	262.48	DCR|3VULN|2DMG|3LIT|3TLV	18aTLV|247LIT|368VULN|58DMG|8BPWR|9RCR
