0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23511 16154	5	 * 	296.45	DCR|3VULN|3DUR|1TLV|3ASPD|1DMG	17aDUR|2TLV|37aVULN|4LIT|5DMG|67aASPD|7aBPWR|8MBVNT|9RCR
170	41163 12132	9	   	267.12	DCR|4VULN|2DMG|2TLV	1LEGI|29CGEN|35DMG|4589VULN|59BPWR|6RCR|79TLV|aLHND
171	41163 12133	10	   	267.12	DCR|4VULN|2DMG|2TLV	1LEGI|29CGEN|35DMG|4589VULN|59BPWR|6RCR|79TLV|aFEWX
172	41163 12134	9	   	267.12	DCR|4VULN|2DMG|2TLV	1LEGI|29CGEN|35DMG|4589VULN|59BPWR|6RCR|79TLV|aZMB
173	41163 12135	9	   	267.12	DCR|4VULN|2DMG|2TLV	1LEGI|29CGEN|35DMG|4589VULN|59BPWR|6RCR|79TLV|aRMIN
174	41163 12135	10	   	267.12	DCR|4VULN|2DMG|2TLV	1LEGI|29aCGEN|35DMG|4589VULN|59BPWR|6RCR|79TLV
175	41163 12236	10	   	267.12	DCR|4VULN|2DMG|2TLV	1LEGI|289CGEN|35DMG|459aVULN|59BPWR|6RCR|79TLV
176	41163 12411	9	   	267.12	DCR|4VULN|2DMG|2TLV	1LEGI|28CGEN|35DMG|458aVULN|58BPWR|6RCR|78TLV|9MLV
177	41163 12412	10	   	267.12	DCR|4VULN|2DMG|2TLV	1LEGI|28CGEN|35DMG|458aVULN|58BPWR|6RCR|78TLV|9MLV
178	41163 12421	9	   	267.12	DCR|4VULN|2DMG|2TLV	1LEGI|28CGEN|35DMG|458aVULN|58BPWR|6RCR|78TLV|9RMIN
179	41163 12422	10	   	267.12	DCR|4VULN|2DMG|2TLV	1LEGI|28CGEN|35DMG|458aVULN|58BPWR|6RCR|78TLV|9RMIN
180	41163 12431	8	   	267.12	DCR|4VULN|2DMG|2TLV	1LEGI|28CGEN|35DMG|458aVULN|58BPWR|6RCR|78TLV|9ZMB
181	41163 12433	9	   	267.12	DCR|4VULN|2DMG|3TLV	1LEGI|289CGEN|35DMG|4589VULN|589BPWR|6RCR|789TLV|aDUST
182	41163 12136	9	   	267.02	DCR|4VULN|2DMG|2TLV	1LEGI|29CGEN|35DMG|4589VULN|59BPWR|6RCR|79TLV|aDUST
183	25114 11352	9	   	267.02	DCR|2VULN|3DUR|2DMG|1TLV	148DUR|29CGEN|39DMG|59VULN|6RCR|7AART|9BPWR|aTLV
184	23543 11112	10	   	266.92	DCR|2VULN|3DUR|2DMG|1TLV	15aDUR|2TLV|39VULN|45DMG|5BPWR|6RCR|7AART|8RCVC
185	23543 11412	10	   	266.92	DCR|2VULN|3DUR|2DMG|1TLV	15aDUR|2TLV|39VULN|45DMG|5BPWR|6RCR|7AART|8DMSP
186	23543 14213	7	   	266.92	DCR|2VULN|3DUR|2DMG|1TLV	158DUR|2TLV|37VULN|45DMG|5BPWR|6RCR|9AART|aRCVC
187	23543 14313	8	   	266.92	DCR|2VULN|3DUR|2DMG|1TLV	158DUR|2TLV|37VULN|45DMG|5BPWR|6RCR|9AART|aRCVC
188	23543 14323	10	   	266.92	DCR|2VULN|3DUR|2DMG|1TLV	158DUR|2TLV|37VULN|45DMG|5BPWR|6RCR|9ZMB|aAART
189	31136 36412	9	   	266.86	DCR|4VULN|3TLV|1DMG|2AART	1DMSP|2467VULN|346TLV|467BPWR|59AART|8RCR|aDMG
