0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35326 12511	8	 * 	277.67	DCR|4VULN|1TLV|1DMG|2CDMG|1DUR	18BEXP|2DUR|358aVULN|4DMG|6TLV|78CDMG|8BPWR|9RCR
176	42332 63134	3	   	249.13	DCR|4VULN|2TLV|1DMG	14DUST|2367VULN|5DMG|8RCR|9aTLV
177	32362 15343	3	   	248.99	DCR|4VULN|2DMG|1DUR	17aBEXP|2346VULN|56DMG|6BPWR|8DUR|9RCR
178	32342 13343	4	   	248.99	DCR|4VULN|2DMG|1DUR	14aBEXP|2367VULN|56DMG|6BPWR|8DUR|9RCR
179	32342 13344	4	   	248.99	DCR|4VULN|2DMG|1DUR	14BEXP|2367VULN|56DMG|6BPWR|8DUR|9RCR|aRPLT
180	32662 13343	2	   	248.99	DCR|4VULN|2DMG|1DUR	13aBEXP|2467VULN|56DMG|6BPWR|8DUR|9RCR
181	42351 33263	3	   	248.98	DCR|4VULN|2DUR|2LIT	17DUST|2369VULN|47LIT|57DUR|7BPWR|8ASPD|aRCR
182	42351 33263	4	   	248.98	DCR|4VULN|2DUR|2LIT	17DUST|2369VULN|47LIT|57DUR|7BPWR|8ASPD|aRCR
183	32362 15341	3	   	248.89	DCR|4VULN|2DMG|1DUR	17BEXP|2346VULN|56DMG|6BPWR|8DUR|9RCR|aTBNT
184	32342 13341	4	   	248.89	DCR|4VULN|2DMG|1DUR	14BEXP|2367VULN|56DMG|6BPWR|8DUR|9RCR|aTBNT
185	32342 13345	4	   	248.89	DCR|4VULN|2DMG|1DUR	14BEXP|2367VULN|56DMG|6BPWR|8DUR|9RCR|aERES
186	32662 13341	2	   	248.89	DCR|4VULN|2DMG|1DUR	13BEXP|2467VULN|56DMG|6BPWR|8DUR|9RCR|aTBNT
187	42313 43444	2	   	248.79	DCR|4VULN|2DMG|1DUR	1DUST|2469VULN|3RPLT|56DMG|6BPWR|7RCR|8MBVNT|aDUR
188	42323 43444	3	   	248.79	DCR|4VULN|2DMG|1DUR	1DUST|2369VULN|4RPLT|56DMG|6BPWR|7RCR|8MBVNT|aDUR
189	42162 13343	2	   	248.79	DCR|4VULN|2DMG|1DUR	13DUST|2467VULN|56DMG|6BPWR|8DUR|9RCR|aBEXP
190	42332 13343	3	   	248.79	DCR|4VULN|2DMG|1DUR	14DUST|2367VULN|56DMG|6BPWR|8DUR|9RCR|aBEXP
191	42332 13344	3	   	248.79	DCR|4VULN|2DMG|1DUR	14DUST|2367VULN|56DMG|6BPWR|8DUR|9RCR|aRPLT
192	42162 13341	2	   	248.69	DCR|4VULN|2DMG|1DUR	13DUST|2467VULN|56DMG|6BPWR|8DUR|9RCR|aTBNT
193	42332 13341	3	   	248.69	DCR|4VULN|2DMG|1DUR	14DUST|2367VULN|56DMG|6BPWR|8DUR|9RCR|aTBNT
194	42332 13345	3	   	248.69	DCR|4VULN|2DMG|1DUR	14DUST|2367VULN|56DMG|6BPWR|8DUR|9RCR|aERES
195	32431 33321	10	   	248.59	DCR|4VULN|3DMG	157BEXP|279aVULN|36RPLT|479DMG|79aBPWR|8RCR
196	31133 22442	1	   	248.49	DCR|4VULN|3DMG	19aBEXP|2TBNT|3RPLT|49aDMG|589aVULN|6BBNT|7RCR|9aBPWR
197	31133 52642	1	   	248.49	DCR|4VULN|3DMG	19aBEXP|2TBNT|3RPLT|49aDMG|569aVULN|7RCR|8BBNT|9aBPWR
198	32133 22442	1	   	248.49	DCR|4VULN|3DMG	19aBEXP|2BBNT|3RPLT|49aDMG|589aVULN|6TBNT|7RCR|9aBPWR
199	32133 52642	1	   	248.49	DCR|4VULN|3DMG	19aBEXP|2BBNT|3RPLT|49aDMG|569aVULN|7RCR|8TBNT|9aBPWR
200	32431 12441	10	   	248.49	DCR|4VULN|3DMG	159BEXP|289aVULN|3RPLT|469DMG|7RCR|9aBPWR
201	32362 33641	3	   	248.47	DCR|3VULN|1TLV|2CDMG|1DMG	1BEXP|234VULN|5DMG|6TLV|79CDMG|8LIT|aRCR
202	32342 13146	4	   	248.39	DCR|4VULN|3DMG	14BEXP|2367VULN|56aDMG|6BPWR|8RCR|9RMIN
203	32342 13156	4	   	248.39	DCR|4VULN|3DMG	14BEXP|2367VULN|56aDMG|6BPWR|8RCR|9CGEN
204	32362 11146	3	   	248.29	DCR|4VULN|3DMG	1BEXP|2346VULN|56aDMG|6BPWR|7ERES|8ZMB|9RCR
205	42332 13146	3	   	248.19	DCR|4VULN|3DMG	14DUST|2367VULN|56aDMG|6BPWR|8RCR|9RMIN
206	42332 13156	3	   	248.19	DCR|4VULN|3DMG	14DUST|2367VULN|56aDMG|6BPWR|8RCR|9CGEN
207	42332 13166	3	   	248.19	DCR|4VULN|3DMG	14DUST|2367VULN|56aDMG|6BPWR|8RCR|9BEXP
208	11531 61163	2	   	248.10	DCR|3VULN|2DUR|1DMG|2LIT	1ASPD|24LIT|34DUR|4BPWR|589VULN|6DMG|7MLV|aRCR
209	35335 32311	8	   	247.88	DCR|4VULN|2DUR|1CDMG	1BEXP|25DUR|345aVULN|5BPWR|6CGEN|7CDMG|8ASPD|9RCR
210	64152 11313	4	   	247.83	DCR|3VULN|2TLV|1DUR|2LIT	17TLV|27CGEN|3DUR|46LIT|578VULN|7BPWR|9ASPD|aRCR
211	64152 11313	3	   	247.83	DCR|3VULN|2TLV|1DUR|2LIT	17TLV|27CGEN|3DUR|46LIT|578VULN|7BPWR|9ASPD|aRCR
212	35335 42311	8	   	247.78	DCR|4VULN|2DUR|1CDMG	1BEXP|25DUR|345aVULN|5BPWR|6ERES|7CDMG|8ASPD|9RCR
213	45335 32311	8	   	247.78	DCR|4VULN|2DUR|1CDMG	1DUST|25DUR|345aVULN|5BPWR|6CGEN|7CDMG|8ASPD|9RCR
214	45335 32311	7	   	247.78	DCR|4VULN|2DUR|1CDMG	1DUST|25DUR|345aVULN|5BPWR|6CGEN|7CDMG|8ASPD|9RCR
215	61522 21263	2	   	247.73	DCR|3VULN|2TLV|1DUR|2LIT	17TLV|27LIT|3DUR|4ERES|579VULN|6RCVC|7BPWR|8ASPD|aRCR
216	32363 14142	3	 * 	247.71	DCR|5VULN|2TLV	1BEXP|2346aVULN|56TLV|6BPWR|7MLV|8ZMB|9RCR
217	32363 15152	3	   	247.71	DCR|5VULN|2TLV	17BEXP|2346aVULN|56TLV|6BPWR|8RCR|9CGEN
218	35335 23513	6	   	247.69	DCR|3VULN|2DUR|1TLV	1BEXP|25DUR|345VULN|5BPWR|6ASPD|7LHND|8RCR|9LIT|aTLV
219	35335 33413	5	   	247.69	DCR|3VULN|2DUR|1TLV	1BEXP|25DUR|345VULN|5BPWR|6RCR|7LWND|8ASPD|9LIT|aTLV
220	35335 35313	5	   	247.69	DCR|3VULN|2DUR|1TLV	1BEXP|25DUR|345VULN|5BPWR|6RCR|7ASPD|8LHND|9LIT|aTLV
