0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32413 61531	7	 * 	271.30	DCR|5VULN|3DUR|1SELL	178ZMB|2BEXP|3789aVULN|4SELL|578DUR|6RCR|78BPWR
175	13243 22416	6	   	242.39	ACR|4VULN|2DUR|1DMG|1TLV	1RCR|24DUR|379aVULN|5TLV|6RCVC|8DMG
176	22263 41458	9	 * 	241.98	DCR|2VULN|3DMG|2DUR|1SELL	17BEXP|2MBVNT|3aVULN|478DMG|57DUR|6SELL|7BPWR|9RCR
177	22247 83153	6	   	241.88	DCR|3VULN|1DMG|1TLV|1ASPD|1AART	14BEXP|2MBVNT|349VULN|4BPWR|5ASPD|6RCR|7AART|8DMG|aTLV
178	13235 32116	3	   	241.87	ACR|5VULN|2DUR|1TLV	1RCR|24DUR|3579aVULN|6MLV|8TLV
179	13235 62116	3	   	241.87	ACR|5VULN|2DUR|1TLV	1RCR|24DUR|3579aVULN|6ZMB|8TLV
180	13245 32116	4	   	241.87	ACR|5VULN|2DUR|1TLV	1RCR|24DUR|3579aVULN|6MLV|8TLV
181	22247 81213	10	   	241.79	DCR|3VULN|2DUR|2LIT|1ASPD	148BEXP|2MBVNT|34aVULN|4aBPWR|5ASPD|6RCR|7aLIT|9aDUR
182	22247 83513	10	   	241.79	DCR|3VULN|2DUR|2LIT|1ASPD	147BEXP|2MBVNT|34aVULN|4aBPWR|5ASPD|6RCR|8aLIT|9aDUR
183	22281 88412	10	   	241.78	DCR|3VULN|2TLV|1DUR|1ASPD|1AART	1BEXP|2MBVNT|358VULN|45TLV|5BPWR|6RCR|7AART|9DUR|aASPD
184	22273 33278	6	   	241.74	DCR|3VULN|2DUR|1TLV|1AART	18BEXP|2MBVNT|348VULN|5TLV|6LWND|78DUR|8BPWR|9AART|aRCR
185	63235 12121	9	   	241.69	DCR|3VULN|2DUR|2LIT|1ASPD	1LEGI|27DUR|357VULN|4RPLT|67LIT|7BPWR|8CGEN|9RCR|aASPD
186	63235 12161	8	   	241.69	DCR|3VULN|2DUR|2LIT|1ASPD	1LEGI|27DUR|357VULN|4RPLT|67LIT|7BPWR|8CGEN|9RCR|aASPD
187	63233 33311	10	   	241.54	DCR|3VULN|2DUR|1TLV|1AART	1LEGI|2aDUR|389VULN|4RPLT|5TLV|6AART|7RCR
188	63233 33312	9	   	241.54	DCR|3VULN|2DUR|1TLV|1AART	1LEGI|2aDUR|389VULN|4RPLT|5TLV|6AART|7RCR
189	63233 33332	8	   	241.54	DCR|3VULN|2DUR|1TLV|1AART	1LEGI|2aDUR|389VULN|4RPLT|5TLV|6AART|7RCR
190	13351 25241	9	   	241.43	ACR|2VULN|3DMG|3DUR|1AART	1RCR|259DUR|39aCGEN|4LIT|6aVULN|7AART|89aDMG|9aBPWR
