0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21333 25366	6	 * 	273.29	DCR|4VULN|3ASPD|3TLV|2LIT	189TLV|27LIT|3MBVNT|489ASPD|5689VULN|89BPWR|aRCR
162	26343 61223	6	   	248.36	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1TLV|2ASPD|3FEWX|4DMG|578VULN|6RCR|9DUR|aDUST
163	26611 31235	6	   	248.36	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1TLV|2ASPD|378VULN|4BEXP|5DUST|6DMG|9DUR|aRCR
164	21152 22336	8	   	248.35	DCR|4VULN|1TLV|1DUR	1TLV|2LIT|3CGEN|4689VULN|5LWND|7RCR|aDUR
165	21152 22355	10	   	248.35	DCR|4VULN|1TLV|1DUR	1TLV|2LIT|3CGEN|468aVULN|5LWND|7RCR|9DUR
166	23552 22336	8	   	248.35	DCR|4VULN|1TLV|1DUR	1TLV|2CGEN|3LIT|4689VULN|5LWND|7RCR|aDUR
167	25121 23231	6	   	248.34	DCR|4VULN|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|489aVULN|5LWND|6RCR|7ERES
168	25121 23231	7	   	248.34	DCR|4VULN|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|479aVULN|5LWND|6RCR|8ERES
169	25121 23541	8	   	248.34	DCR|4VULN|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|478aVULN|5LWND|6RCR|9ERES
170	45121 23231	7	   	248.34	DCR|4VULN|1TLV|1CDMG|1ASPD	1ERES|2CDMG|3ASPD|489aVULN|5LWND|6RCR|7TLV
171	12422 14423	3	   	248.27	DCR|4VULN|1DMG|1ASPD|1AART	1LHND|2RMIN|3DMG|4AART|578aVULN|6RCR|9ASPD
172	11122 12533	3	 * 	248.26	DCR|3VULN|3DMG|1AART	18aLHND|239LWND|4AART|58aVULN|6RCR|78aDMG|8aBPWR
173	21372 42742	6	   	248.25	DCR|4VULN|1DUR|1TLV	1TLV|2LIT|3MBVNT|4FEWX|5DUR|678aVULN|9RCR
174	21552 22336	8	   	248.25	DCR|4VULN|1DUR|1TLV	1TLV|2LIT|3ERES|4689VULN|5LWND|7RCR|aDUR
175	21357 42742	6	   	248.15	DCR|4VULN|1TLV|1DUR	1TLV|2LIT|3MBVNT|4DUST|5DUR|678aVULN|9RCR
176	25136 16113	10	   	248.12	DCR|3VULN|2CDMG|1TLV|1DUR|1ASPD|1SELL	1TLV|27CDMG|3ASPD|4SELL|5DUR|6RCR|89aVULN
177	31347 37124	8	 * 	248.11	DCR|2VULN|3DUR|2DMG	17ZMB|2LIT|3MBVNT|47VULN|567DUR|7BPWR|8aDMG|9RCR
178	12422 12451	3	   	248.06	DCR|3VULN|3DMG|1AART	1aLHND|2RMIN|37aDMG|4AART|58aVULN|6RCR|9RPLT|aBPWR
179	21337 41651	5	   	247.96	DCR|2VULN|2DMG|2ASPD|1TLV|2LIT	1TLV|25LIT|3MBVNT|45ASPD|5BPWR|68VULN|79DMG|aRCR
180	23615 53213	10	 * 	247.57	DCR|4VULN|2TLV|1DMG	18TLV|2CGEN|369aVULN|4BEXP|5DMG|7RCR
181	23641 53213	10	   	247.57	DCR|4VULN|2TLV|1DMG	18TLV|2CGEN|369aVULN|4DMG|5FEWX|7RCR
182	23641 53213	9	   	247.57	DCR|4VULN|2TLV|1DMG	18TLV|2CGEN|369aVULN|4DMG|5FEWX|7RCR
183	51313 21156	6	 * 	247.46	DCR|2VULN|3DMG|2ASPD|2LIT	18ASPD|28LIT|3MBVNT|4MLV|56VULN|789DMG|8BPWR|aRCR
184	51342 21156	6	   	247.46	DCR|2VULN|3DMG|2ASPD|2LIT	18ASPD|28LIT|3MBVNT|46VULN|5CGEN|789DMG|8BPWR|aRCR
185	51343 11156	6	   	247.46	DCR|2VULN|3DMG|2ASPD|2LIT	18ASPD|25LIT|3MBVNT|48VULN|6RMIN|789DMG|8BPWR|aRCR
186	51343 31156	5	   	247.46	DCR|2VULN|3DMG|2ASPD|2LIT	18ASPD|25LIT|3MBVNT|48VULN|6RMIN|789DMG|8BPWR|aRCR
187	41511 23223	4	 * 	247.37	DCR|4VULN|3LIT|2CDMG	18ERES|245LIT|3489VULN|48BPWR|68CDMG|7BBNT|aRCR
188	41511 26223	4	   	247.37	DCR|4VULN|3LIT|2CDMG	18ERES|245LIT|3489VULN|48BPWR|68CDMG|7TBNT|aRCR
189	21321 34712	5	   	247.32	DCR|2VULN|2DMG|2TLV|1CDMG|1AART	18TLV|2LIT|3MBVNT|4AART|58DMG|6RCR|78VULN|8BPWR|9BEXP|aCDMG
190	21321 34732	5	   	247.32	DCR|2VULN|2DMG|2TLV|1CDMG|1AART	18TLV|2LIT|3MBVNT|4AART|58DMG|6RCR|78VULN|8BPWR|9LWND|aCDMG
191	21321 34752	5	   	247.32	DCR|2VULN|2DMG|2TLV|1CDMG|1AART	18TLV|2LIT|3MBVNT|4AART|58DMG|6RCR|78VULN|8BPWR|9FEWX|aCDMG
192	21321 44712	7	   	247.32	DCR|2VULN|2DMG|2TLV|1CDMG|1AART	18TLV|2LIT|3MBVNT|4AART|58DMG|68VULN|7RCR|8BPWR|9BEXP|aCDMG
193	21321 44732	7	   	247.32	DCR|2VULN|2DMG|2TLV|1CDMG|1AART	18TLV|2LIT|3MBVNT|4AART|58DMG|68VULN|7RCR|8BPWR|9LWND|aCDMG
194	21321 44752	7	   	247.32	DCR|2VULN|2DMG|2TLV|1CDMG|1AART	18TLV|2LIT|3MBVNT|4AART|58DMG|68VULN|7RCR|8BPWR|9FEWX|aCDMG
195	23262 23613	6	 * 	247.24	DCR|5VULN|2TLV	19TLV|23CGEN|46789VULN|59FEWX|9BPWR|aRCR
196	23612 21533	9	   	247.24	DCR|5VULN|2TLV	17TLV|2CGEN|36789VULN|47BEXP|5DMSP|7BPWR|aRCR
197	23612 23613	6	   	247.24	DCR|5VULN|2TLV	19TLV|2CGEN|36789VULN|49BEXP|5DMSP|9BPWR|aRCR
198	23613 21533	9	   	247.24	DCR|5VULN|2TLV	17TLV|25CGEN|36789VULN|47BEXP|7BPWR|aRCR
199	23613 23613	6	   	247.24	DCR|5VULN|2TLV	19TLV|25CGEN|36789VULN|49BEXP|9BPWR|aRCR
200	23614 33613	4	   	247.24	DCR|5VULN|2TLV	19TLV|26CGEN|35789VULN|49BEXP|9BPWR|aRCR
201	21321 34762	5	   	247.22	DCR|2VULN|2DMG|2TLV|1CDMG|1AART	18TLV|2LIT|3MBVNT|4AART|58DMG|6RCR|78VULN|8BPWR|9DUST|aCDMG
202	21321 44762	7	   	247.22	DCR|2VULN|2DMG|2TLV|1CDMG|1AART	18TLV|2LIT|3MBVNT|4AART|58DMG|68VULN|7RCR|8BPWR|9DUST|aCDMG
203	21134 36612	4	   	247.17	DCR|3VULN|2TLV|1DUR|2LIT|1ASPD	17TLV|27LIT|3CGEN|4ASPD|57aVULN|6RCR|7BPWR|8DUR|9BEXP
204	31343 67431	7	   	247.17	DCR|3VULN|2DMG|2LIT|1AART	1aZMB|25LIT|3MBVNT|46aVULN|7AART|8RCR|9aDMG|aBPWR
205	31343 67631	8	   	247.17	DCR|3VULN|2DMG|2LIT|1AART	1aZMB|25LIT|3MBVNT|46aVULN|7AART|8RCR|9aDMG|aBPWR
206	25231 51231	10	   	247.09	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG	1TLV|2CDMG|3FEWX|4aVULN|56DUR|7RCR|8LIT|9DMG
207	21316 47742	6	   	247.07	DCR|3VULN|2TLV|1DUR|2LIT|1ASPD	17TLV|27LIT|3MBVNT|4MLV|5ASPD|67aVULN|7BPWR|8DUR|9RCR
208	23261 21533	9	   	247.04	DCR|5VULN|2TLV	17TLV|23CGEN|46789VULN|57DUST|7BPWR|aRCR
209	23261 23613	6	   	247.04	DCR|5VULN|2TLV	19TLV|23CGEN|46789VULN|59DUST|9BPWR|aRCR
210	23634 23613	4	   	247.04	DCR|5VULN|2TLV	19TLV|26CGEN|35789VULN|49DUST|9BPWR|aRCR
211	23636 21533	9	   	247.04	DCR|5VULN|2TLV	17TLV|25CGEN|36789VULN|47DUST|7BPWR|aRCR
212	23636 23613	6	   	247.04	DCR|5VULN|2TLV	19TLV|25CGEN|36789VULN|49DUST|9BPWR|aRCR
213	24132 32611	1	   	247.04	DCR|3VULN|2DUR|1TLV|2LIT	1TLV|2aDUR|3FEWX|4BEXP|5aLIT|6LHND|79aVULN|8RCR|aBPWR
214	24631 51231	10	   	246.99	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG	1TLV|2DUST|3CDMG|4aVULN|56DUR|7RCR|8LIT|9DMG
215	12641 21215	2	   	246.95	DCR|2VULN|2DMG|2ASPD|1DUR|1CDMG	1LHND|2RMIN|3aASPD|4CDMG|5CGEN|6aDMG|7DUR|8aVULN|9RCR|aBPWR
216	12643 21215	2	   	246.95	DCR|2VULN|2DMG|2ASPD|1DUR|1CDMG	1LHND|2RMIN|3aASPD|4CDMG|5MLV|6aDMG|7DUR|8aVULN|9RCR|aBPWR
217	25121 11615	6	   	246.95	DCR|2VULN|2DMG|2ASPD|1TLV|1CDMG	1TLV|2CDMG|3aASPD|4aVULN|5LWND|6aDMG|7FEWX|8ZMB|9RCR|aBPWR
218	35121 21115	4	   	246.95	DCR|2VULN|2DMG|2ASPD|1DUR|1CDMG	1ZMB|2CDMG|3aASPD|4aVULN|5CGEN|6aDMG|7DUR|8LHND|9RCR|aBPWR
219	35121 21515	4	   	246.95	DCR|2VULN|2DMG|2ASPD|1DUR|1CDMG	1ZMB|2CDMG|3aASPD|4aVULN|5CGEN|6aDMG|7DUR|8BEXP|9RCR|aBPWR
220	35122 14115	6	   	246.95	DCR|2VULN|2DMG|2ASPD|1TLV|1CDMG	1ZMB|2CDMG|3aASPD|4aVULN|5LWND|6aDMG|7TLV|8LHND|9RCR|aBPWR
221	35122 16315	7	   	246.95	DCR|2VULN|2DMG|2ASPD|1DUR|1CDMG	1ZMB|2CDMG|3aASPD|4aVULN|5LWND|6aDMG|7DUR|8MLV|9RCR|aBPWR
222	21243 21156	6	   	246.91	DCR|2VULN|2DMG|2TLV|1DUR|2LIT	18TLV|28LIT|3FEWX|4RMIN|56VULN|78DMG|8BPWR|9DUR|aRCR
223	35122 16115	7	   	246.85	DCR|2VULN|2DMG|2ASPD|1DUR|1CDMG	1ZMB|2CDMG|3aASPD|4aVULN|5LWND|6aDMG|7DUR|8ERES|9RCR|aBPWR
224	35123 21115	5	   	246.85	DCR|2VULN|2DMG|2ASPD|1DUR|1CDMG	1ZMB|2CDMG|3aASPD|4aVULN|5ERES|6aDMG|7DUR|8LHND|9RCR|aBPWR
225	35123 21515	5	   	246.85	DCR|2VULN|2DMG|2ASPD|1DUR|1CDMG	1ZMB|2CDMG|3aASPD|4aVULN|5ERES|6aDMG|7DUR|8BEXP|9RCR|aBPWR
226	35126 21115	4	   	246.85	DCR|2VULN|2DMG|2ASPD|1DUR|1CDMG	1ZMB|2CDMG|3aASPD|4aVULN|5ERES|6aDMG|7DUR|8LHND|9RCR|aBPWR
227	12111 41413	1	   	246.84	DCR|3VULN|2DUR|1TLV|2LIT	1LHND|25LIT|359VULN|4TBNT|5BPWR|67DUR|8TLV|aRCR
228	12111 43613	1	   	246.84	DCR|3VULN|2DUR|1TLV|2LIT	1LHND|25LIT|359VULN|4TBNT|5BPWR|68DUR|7TLV|aRCR
229	22212 54536	1	   	246.80	DCR|3VULN|2DUR|2TLV|1ASPD	17TLV|2BEXP|37DUR|4RPLT|579VULN|6MBVNT|7BPWR|8RCR|aASPD
230	31347 47141	8	   	246.78	DCR|4VULN|2DUR	17ZMB|2LIT|3MBVNT|4678VULN|57DUR|7BPWR|9RCVC|aRCR
231	21333 21456	6	   	246.75	DCR|2VULN|3DMG|1TLV|1ASPD	1TLV|2LIT|3MBVNT|4ASPD|56VULN|789DMG|aRCR
232	25121 15151	9	   	246.75	DCR|2VULN|2DMG|2ASPD|1TLV|1CDMG	1TLV|2CDMG|39ASPD|48VULN|5LWND|67DMG|aRCR
233	52223 46323	1	 * 	246.63	DCR|2VULN|3DUR|3ASPD|1CDMG	15aASPD|2BEXP|36aDUR|4LHND|7CDMG|8aVULN|9RCR|aBPWR
234	22212 54571	1	 * 	246.54	DCR|2VULN|2DMG|2DUR|2TLV	17TLV|2BEXP|37DUR|4RPLT|57VULN|6MBVNT|7BPWR|8RCR|9aDMG
235	31347 47132	8	   	246.54	DCR|4VULN|2DUR|1SELL	17ZMB|2LIT|3MBVNT|4678VULN|57DUR|7BPWR|9SELL|aRCR
236	35122 15126	10	   	246.36	DCR|2VULN|3DMG|2ASPD|1CDMG	19ZMB|2CDMG|39ASPD|48VULN|5LWND|679DMG|9BPWR|aRCR
237	21134 36363	4	   	246.24	DCR|3VULN|2ASPD|3LIT|3TLV	179TLV|278LIT|3CGEN|49ASPD|579VULN|6RCR|79BPWR|aBEXP
238	21334 33111	2	   	246.24	DCR|3VULN|2ASPD|3LIT|3TLV	18aTLV|28aLIT|3ZMB|47ASPD|58aVULN|6RCR|8aBPWR|9BELT
239	23334 33111	1	   	246.24	DCR|3VULN|2ASPD|3LIT|3TLV	18aTLV|28aLIT|3ZMB|47ASPD|58aVULN|6RCR|8aBPWR|9BELT
240	26622 23136	10	 * 	246.24	DCR|3VULN|2ASPD|2TLV|2CDMG	17TLV|27ASPD|389VULN|4ZMB|57CDMG|6RPLT|7BPWR|aRCR
241	21134 36362	4	   	246.14	DCR|3VULN|2ASPD|3LIT|3TLV	179TLV|278LIT|3CGEN|49ASPD|579VULN|6RCR|79BPWR|aLEGI
242	21433 33356	7	   	246.04	DCR|3VULN|2ASPD|3LIT|3TLV	189TLV|289LIT|37DUST|46ASPD|589VULN|89BPWR|aRCR
243	21321 44263	9	   	246.01	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1TLV|2LIT|3MBVNT|4AART|5aDMG|69VULN|7RCR|8DUR
244	21321 84128	5	   	246.01	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1TLV|2LIT|3MBVNT|4AART|56DMG|7RCR|8DUR|9aVULN
245	25121 22511	9	   	245.86	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|48aVULN|5LWND|6RCR|7DMSP|9DMG
246	25121 23211	9	   	245.86	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|47aVULN|58LWND|6RCR|9DMG
247	25121 23311	9	   	245.86	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|47aVULN|5LWND|6RCR|8RCVC|9DMG
248	25121 23411	9	   	245.86	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|47aVULN|5LWND|6RCR|8DMSP|9DMG
249	25121 23436	7	   	245.86	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|479VULN|5LWND|6RCR|8ZMB|aDMG
250	25121 23511	10	   	245.86	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|478VULN|5aLWND|6RCR|9DMG
251	25121 23512	9	   	245.86	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|478VULN|5aLWND|6RCR|9DMG
252	25121 23512	10	   	245.86	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|478VULN|5LWND|6RCR|9DMG|aCGEN
253	25121 23513	10	   	245.86	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|478VULN|5LWND|6RCR|9DMG|aBEXP
254	25121 23514	9	   	245.86	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|478VULN|5LWND|6RCR|9DMG|aCGEN
255	25121 23514	10	   	245.86	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|478VULN|5LWND|6RCR|9DMG|aRPLT
256	25121 23516	10	   	245.86	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|478VULN|5LWND|6RCR|9DMG|aFEWX
257	25121 23526	8	   	245.86	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|478VULN|5LWND|6RCR|9CGEN|aDMG
258	25121 23526	9	   	245.86	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|478VULN|5LWND|6RCR|9BEXP|aDMG
259	25121 23636	8	   	245.86	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|479VULN|5LWND|6RCR|8MLV|aDMG
260	25121 23636	9	   	245.86	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|479VULN|5LWND|6RCR|8MLV|aDMG
261	25121 24511	9	   	245.86	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|48aVULN|57LWND|6RCR|9DMG
262	25123 14421	9	   	245.86	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|457VULN|69LWND|8DMG|aRCR
263	26221 53263	7	   	245.86	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2ASPD|3CGEN|468VULN|5FEWX|7RCR|9CDMG|aDMG
264	26343 61311	6	   	245.86	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2ASPD|3FEWX|4DMG|57aVULN|6RCR|8MLV|9CDMG
265	26343 63211	8	   	245.86	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2ASPD|3FEWX|4DMG|58aVULN|6RCR|7RMIN|9CDMG
266	26343 63211	7	   	245.86	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2ASPD|3FEWX|4DMG|58aVULN|6RCR|7RMIN|9CDMG
267	35121 23331	6	   	245.86	DCR|3VULN|2TLV|1DUR|1CDMG|1ASPD	15ZMB|2CDMG|3ASPD|458VULN|5BPWR|69TLV|7DUR|aRCR
268	21213 21556	6	   	245.77	DCR|3VULN|1DMG|1TLV|1DUR	1TLV|2LIT|3FEWX|4MLV|568VULN|7DMG|9DUR|aRCR
269	21152 22234	10	   	245.77	DCR|3VULN|1DMG|1TLV|1DUR	1TLV|2LIT|3CGEN|469VULN|5LWND|7RCR|8DMG|aDUR
270	21152 22251	10	   	245.77	DCR|3VULN|1DMG|1TLV|1DUR	1TLV|2LIT|3CGEN|46aVULN|5LWND|7RCR|8DMG|9DUR
271	21152 22252	9	   	245.77	DCR|3VULN|1DMG|1TLV|1DUR	1TLV|2LIT|3CGEN|46aVULN|5LWND|7RCR|8DMG|9DUR
272	21152 22324	10	   	245.77	DCR|3VULN|1DMG|1TLV|1DUR	1TLV|2LIT|3CGEN|468VULN|5LWND|7RCR|9DMG|aDUR
273	23552 22234	10	   	245.77	DCR|3VULN|1DMG|1TLV|1DUR	1TLV|2CGEN|3LIT|469VULN|5LWND|7RCR|8DMG|aDUR
274	23552 22251	10	   	245.77	DCR|3VULN|1DMG|1TLV|1DUR	1TLV|2CGEN|3LIT|46aVULN|5LWND|7RCR|8DMG|9DUR
275	23552 22252	9	   	245.77	DCR|3VULN|1DMG|1TLV|1DUR	1TLV|2CGEN|3LIT|46aVULN|5LWND|7RCR|8DMG|9DUR
276	23552 22324	10	   	245.77	DCR|3VULN|1DMG|1TLV|1DUR	1TLV|2CGEN|3LIT|468VULN|5LWND|7RCR|9DMG|aDUR
277	25121 23236	7	   	245.76	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|479VULN|5LWND|6RCR|8ERES|aDMG
278	25121 23236	6	   	245.76	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|489VULN|5LWND|6RCR|7ERES|aDMG
279	25121 23513	9	   	245.76	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|478VULN|5LWND|6RCR|9DMG|aMBVNT
280	25121 23516	9	   	245.76	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD|1NUKE	1TLV|2CDMG|3ASPD|478VULN|5LWND|6RCR|9DMG|aNUKE
281	25121 23551	8	   	245.76	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|478VULN|5LWND|6RCR|9BBNT|aDMG
282	25123 23331	6	   	245.76	DCR|3VULN|2TLV|1DUR|1CDMG|1ASPD	19TLV|2CDMG|3ASPD|458VULN|6MLV|7DUR|aRCR
283	25123 33331	6	   	245.76	DCR|3VULN|2TLV|1DUR|1CDMG|1ASPD	19TLV|2CDMG|3ASPD|458VULN|6CGEN|7DUR|aRCR
284	25123 43331	5	   	245.76	DCR|3VULN|2TLV|1DUR|1CDMG|1ASPD	19TLV|2CDMG|3ASPD|458VULN|6CGEN|7DUR|aRCR
285	25123 63331	6	   	245.76	DCR|3VULN|2TLV|1DUR|1CDMG|1ASPD	19TLV|2CDMG|3ASPD|458VULN|6ZMB|7DUR|aRCR
286	25123 63331	5	   	245.76	DCR|3VULN|2TLV|1DUR|1CDMG|1ASPD	19TLV|2CDMG|3ASPD|458VULN|6ZMB|7DUR|aRCR
287	35126 23331	6	   	245.76	DCR|3VULN|2TLV|1DUR|1CDMG|1ASPD	1ZMB|2CDMG|3ASPD|458VULN|69TLV|7DUR|aRCR
288	45121 23236	7	   	245.76	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1ERES|2CDMG|3ASPD|489VULN|5LWND|6RCR|7TLV|aDMG
289	21252 33421	7	   	245.75	DCR|4VULN|1TLV|1CDMG	1TLV|2LIT|3FEWX|4RPLT|5689VULN|7RCR|aCDMG
290	21533 23425	2	   	245.75	DCR|4VULN|1TLV|1CDMG	1TLV|2LIT|389aVULN|4LWND|5CDMG|6LHND|7RCR
291	23533 23425	1	   	245.75	DCR|4VULN|1TLV|1CDMG	1TLV|2LIT|389aVULN|4LWND|5CDMG|6LHND|7RCR
292	25335 13421	2	   	245.67	DCR|3VULN|2CDMG|1DUR|1TLV	1TLV|2aCDMG|3DUR|489VULN|5LIT|6LHND|7RCR
293	25335 23421	2	   	245.67	DCR|3VULN|2CDMG|1DUR|1TLV	1TLV|2aCDMG|3DUR|489VULN|5LIT|6BEXP|7RCR
294	21313 21742	6	   	245.67	DCR|3VULN|1DMG|1TLV|1DUR	1TLV|2LIT|3MBVNT|4MLV|56aVULN|7DMG|8DUR|9RCR
295	21313 28742	7	   	245.67	DCR|3VULN|1DMG|1TLV|1DUR	1TLV|2LIT|3MBVNT|4MLV|56aVULN|7DMG|8DUR|9RCR
296	21552 22234	10	   	245.67	DCR|3VULN|1DMG|1TLV|1DUR	1TLV|2LIT|3ERES|469VULN|5LWND|7RCR|8DMG|aDUR
297	21552 22251	10	   	245.67	DCR|3VULN|1DMG|1TLV|1DUR	1TLV|2LIT|3ERES|46aVULN|5LWND|7RCR|8DMG|9DUR
298	21552 22252	9	   	245.67	DCR|3VULN|1DMG|1TLV|1DUR	1TLV|2LIT|3ERES|46aVULN|5LWND|7RCR|8DMG|9DUR
299	21552 22262	8	   	245.67	DCR|3VULN|1DMG|1TLV|1DUR	1TLV|2LIT|3ERES|46aVULN|5LWND|7RCR|8DMG|9DUR
300	21552 22324	10	   	245.67	DCR|3VULN|1DMG|1TLV|1DUR	1TLV|2LIT|3ERES|468VULN|5LWND|7RCR|9DMG|aDUR
301	21452 33421	7	   	245.65	DCR|4VULN|1TLV|1CDMG	1TLV|2LIT|3DUST|4RPLT|5689VULN|7RCR|aCDMG
302	41522 63113	4	   	245.65	DCR|4VULN|1DUR|1CDMG	1ERES|2LIT|357aVULN|4CDMG|6RCR|8RCVC|9DUR
303	21333 47426	3	   	245.65	DCR|4VULN|1TLV|1CDMG	1TLV|2LIT|3MBVNT|4LWND|5CDMG|6RCR|789aVULN
304	21533 13425	2	   	245.65	DCR|4VULN|1TLV|1CDMG	1TLV|2LIT|389aVULN|4LWND|5CDMG|6LEGI|7RCR
305	23533 13425	1	   	245.65	DCR|4VULN|1TLV|1CDMG	1TLV|2LIT|389aVULN|4LWND|5CDMG|6LEGI|7RCR
306	24232 51216	1	   	245.63	DCR|3VULN|2DUR|1TLV|1CDMG	1TLV|23DUR|478VULN|5BEXP|6RCR|9FEWX|aCDMG
307	25231 51221	7	   	245.63	DCR|3VULN|2DUR|1TLV|1CDMG	1TLV|2CDMG|3FEWX|49aVULN|56DUR|7RCR|8RCVC
308	25231 51351	7	   	245.63	DCR|3VULN|2DUR|1TLV|1CDMG	1TLV|2CDMG|3FEWX|49aVULN|56DUR|7RCR|8MLV
309	25531 51121	8	   	245.63	DCR|3VULN|2DUR|1TLV|1CDMG	1TLV|2CDMG|38LHND|49aVULN|56DUR|7RCR
310	25531 51221	7	   	245.63	DCR|3VULN|2DUR|1TLV|1CDMG	1TLV|2CDMG|3LHND|49aVULN|56DUR|7RCR|8RCVC
311	25132 15121	8	   	245.62	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD|1SELL	1TLV|2CDMG|3ASPD|4SELL|5FEWX|6RCR|7DMG|89aVULN
312	25133 15121	8	   	245.62	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD|1SELL	1TLV|2CDMG|3ASPD|4SELL|5BEXP|6RCR|7DMG|89aVULN
313	35136 15121	8	   	245.62	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD|1SELL	1ZMB|2CDMG|3ASPD|4SELL|5DUR|6RCR|7DMG|89aVULN
314	21134 32562	4	   	245.59	DCR|3VULN|3LIT|2TLV|1ASPD|1AART	19TLV|279LIT|3CGEN|4ASPD|589VULN|6RCR|9BPWR|aAART
315	51532 41132	2	   	245.56	DCR|2VULN|2DMG|2ASPD|2LIT|1CDMG	18ASPD|26LIT|38VULN|4LWND|5ZMB|78DMG|8BPWR|9CDMG|aRCR
316	53532 41132	1	   	245.56	DCR|2VULN|2DMG|2ASPD|2LIT|1CDMG	18ASPD|26LIT|38VULN|4LWND|5ZMB|78DMG|8BPWR|9CDMG|aRCR
317	24631 51221	7	   	245.53	DCR|3VULN|2DUR|1TLV|1CDMG	1TLV|2DUST|3CDMG|49aVULN|56DUR|7RCR|8RCVC
318	25231 51151	7	   	245.53	DCR|3VULN|2DUR|1TLV|1CDMG	1TLV|2CDMG|3FEWX|49aVULN|56DUR|7RCR|8ERES
319	25131 15121	8	   	245.52	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD|1SELL	1TLV|2CDMG|3ASPD|4SELL|5DUST|6RCR|7DMG|89aVULN
320	23642 23331	5	   	245.50	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	19TLV|2CGEN|38VULN|46DMG|5CDMG|7DUR|aRCR
321	51313 21132	6	   	245.46	DCR|2VULN|2DMG|2ASPD|2LIT|1CDMG	18ASPD|28LIT|3MBVNT|4MLV|56VULN|78DMG|8BPWR|9CDMG|aRCR
322	51341 51132	4	   	245.46	DCR|2VULN|2DMG|2ASPD|2LIT|1CDMG	18ASPD|26LIT|3MBVNT|48VULN|5RMIN|78DMG|8BPWR|9CDMG|aRCR
323	51343 11132	6	   	245.46	DCR|2VULN|2DMG|2ASPD|2LIT|1CDMG	18ASPD|25LIT|3MBVNT|48VULN|6RMIN|78DMG|8BPWR|9CDMG|aRCR
324	51343 31132	5	   	245.46	DCR|2VULN|2DMG|2ASPD|2LIT|1CDMG	18ASPD|25LIT|3MBVNT|48VULN|6RMIN|78DMG|8BPWR|9CDMG|aRCR
