0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36323 43362	7	 * 	274.54	DCR|2VULN|3DMG|2DUR|1TLV|2LIT	1LEGI|28aDMG|3aLIT|4TLV|59DUR|6aVULN|7RCR|aBPWR
171	32531 31282	2	   	248.87	ACR|3VULN|3DMG|3DUR|1AART	1LEGI|2MBVNT|3RPLT|489VULN|5RCR|689DMG|789DUR|89BPWR|aAART
172	21215 31162	2	   	248.79	DCR|4VULN|2DMG|1DUR	1LHND|2579VULN|3LEGI|48DMG|6RCR|aDUR
173	13463 32221	2	   	248.71	DCR|3VULN|1TLV|1DMG|2LIT|1CDMG	13LIT|2TLV|469VULN|5CGEN|7DMG|8CDMG|aRCR
174	13464 22221	2	   	248.71	DCR|3VULN|1TLV|1DMG|2LIT|1CDMG	13LIT|2TLV|459VULN|6RMIN|7DMG|8CDMG|aRCR
175	13466 12121	2	   	248.71	DCR|3VULN|1TLV|1DMG|2LIT|1CDMG	13LIT|2TLV|479VULN|5DMG|6CDMG|8RMIN|aRCR
176	11413 46221	3	   	248.71	DCR|3VULN|1TLV|1DMG|2LIT|1CDMG	12LIT|379VULN|4DMG|5CGEN|6TLV|8CDMG|aRCR
177	11613 46221	2	   	248.71	DCR|3VULN|1TLV|1DMG|2LIT|1CDMG	12LIT|379VULN|4DMG|5CGEN|6TLV|8CDMG|aRCR
178	12613 46221	1	   	248.71	DCR|3VULN|1TLV|1DMG|2LIT|1CDMG	12LIT|379VULN|4DMG|5CGEN|6TLV|8CDMG|aRCR
179	11411 23254	8	   	248.61	DCR|3VULN|1TLV|1DMG|2LIT|1CDMG	12LIT|358VULN|4CDMG|6DMG|7ERES|9RCR|aTLV
180	11411 23254	9	   	248.61	DCR|3VULN|1TLV|1DMG|2LIT|1CDMG	12LIT|358VULN|4CDMG|6DMG|7ERES|9RCR|aTLV
181	11411 23255	10	   	248.61	DCR|3VULN|1TLV|1DMG|2LIT|1CDMG	12LIT|358VULN|4CDMG|6DMG|7ERES|9RCR|aTLV
182	13464 32221	2	   	248.61	DCR|3VULN|1TLV|1DMG|2LIT|1CDMG	13LIT|2TLV|459VULN|6ERES|7DMG|8CDMG|aRCR
183	13466 12321	2	   	248.61	DCR|3VULN|1TLV|1DMG|2LIT|1CDMG	13LIT|2TLV|479VULN|5DMG|6CDMG|8ERES|aRCR
184	13214 12432	3	   	248.47	DCR|3VULN|1TLV|1DMG|2CDMG	1LIT|2TLV|3RPLT|45aVULN|68CDMG|7RCR|9DMG
185	44342 32231	5	   	248.47	DCR|3VULN|1TLV|1DMG|2CDMG	1TLV|246VULN|3LIT|5MLV|7DMG|89CDMG|aRCR
186	44343 32231	4	   	248.47	DCR|3VULN|1TLV|2CDMG|1DMG	1TLV|246VULN|3LIT|5CGEN|7DMG|89CDMG|aRCR
187	45142 11313	9	   	248.30	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1TLV|28DUR|3CDMG|4ASPD|5FEWX|6RCR|7aVULN|9DMG
188	21611 21633	9	   	248.30	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1LHND|27VULN|3aDUR|4DMG|5TLV|6CDMG|8LIT|9RCR
189	44353 32122	10	   	248.30	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1TLV|2aVULN|3LIT|4ZMB|57DUR|6RCR|8DMG|9CDMG
190	61611 53323	7	   	248.27	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	17LWND|27VULN|36DUR|4DMG|57TLV|7BPWR|8RCR|9LHND|aCDMG
191	61611 53333	7	   	248.27	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	17LWND|27VULN|36DUR|4DMG|57TLV|7BPWR|8RCR|9BEXP|aCDMG
192	36333 11636	7	   	248.24	DCR|2VULN|3DMG|2DUR|2LIT	1LEGI|246DMG|34LIT|4BPWR|57DUR|89VULN|aRCR
193	45143 11313	9	   	248.20	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1TLV|28DUR|3CDMG|4ASPD|5DUST|6RCR|7aVULN|9DMG
194	61611 53313	7	   	248.17	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	17LWND|27VULN|36DUR|4DMG|57TLV|7BPWR|8RCR|9DUST|aCDMG
195	11522 55313	3	   	247.90	DCR|3VULN|2DMG|3LIT|1DUR	127LIT|37DMG|4RCVC|567VULN|7BPWR|8DUR|9ZMB|aRCR
196	11522 55323	3	   	247.90	DCR|3VULN|2DMG|3LIT|1DUR	127LIT|37DMG|4RCVC|567VULN|7BPWR|8DUR|9RMIN|aRCR
197	11522 55333	3	   	247.90	DCR|3VULN|2DMG|3LIT|1DUR	127LIT|37DMG|4RCVC|567VULN|7BPWR|8DUR|9CGEN|aRCR
198	45333 25233	8	   	247.38	DCR|2VULN|2TLV|2DUR|2LIT|1AART	19TLV|29DUR|36LIT|4CGEN|5AART|79VULN|8RCR|9BPWR|aASPD
199	44143 31133	2	   	247.19	DCR|2VULN|2DMG|2TLV|2ASPD|1AART	1aTLV|27VULN|3aASPD|4MLV|5LHND|6RCR|8aDMG|9AART|aBPWR
200	23534 23412	9	   	247.10	DCR|4VULN|1TLV|1DUR|1AART	1LHND|2TLV|3BEXP|4AART|589aVULN|6DUR|7RCR
201	44232 23412	9	   	247.10	DCR|4VULN|1TLV|1DUR|1AART	1TLV|289aVULN|3LHND|4AART|5BEXP|6DUR|7RCR
202	23335 62512	9	   	247.00	DCR|4VULN|1TLV|1DUR|1AART	1LHND|2TLV|3MBVNT|4AART|589aVULN|6DUR|7RCR
203	23335 68212	9	   	247.00	DCR|4VULN|1TLV|1DUR|1AART	1LHND|2TLV|3MBVNT|4AART|579aVULN|6DUR|8RCR
204	43163 44283	1	 * 	246.99	DCR|2VULN|2DMG|3TLV|2ASPD|1AART	156TLV|2MBVNT|3aASPD|4AART|7RCR|8aVULN|9aDMG|aBPWR
205	36323 33133	9	   	246.22	DCR|3DMG|1VULN|2TLV|2DUR	1LEGI|278DMG|3LIT|47TLV|57DUR|6RCR|7BPWR|9LWND|aVULN
206	36323 33153	9	   	246.22	DCR|3DMG|1VULN|2TLV|2DUR	1LEGI|278DMG|3LIT|47TLV|57DUR|6RCR|7BPWR|9BEXP|aVULN
207	36323 33163	8	   	246.22	DCR|3DMG|1VULN|2TLV|2DUR	1LEGI|278DMG|3LIT|47TLV|57DUR|6RCR|7BPWR|9LHND|aVULN
208	36323 33635	9	   	246.12	DCR|3DMG|1VULN|2TLV|2DUR	1LEGI|27aDMG|3LIT|47TLV|57DUR|6RCR|7BPWR|8DUST|9VULN
209	21311 64523	10	   	245.97	DCR|3VULN|2DMG|2TLV	18LHND|28aVULN|3FEWX|49DMG|58TLV|6RCR|7LEGI|8BPWR
210	44343 11121	9	   	245.96	DCR|2VULN|2DMG|1TLV|1DUR	1TLV|24VULN|3LIT|5DUR|6aDMG|7BELT|8ASPD|9RCR
211	45341 11121	9	   	245.96	DCR|2VULN|2DMG|1TLV|1DUR	1TLV|2DUR|3LIT|45VULN|6aDMG|7BELT|8ASPD|9RCR
212	13244 31523	7	   	245.96	DCR|2VULN|2DMG|1TLV|1DUR	1LIT|2TLV|3RPLT|4ASPD|58DMG|6RCR|79VULN|aDUR
213	44211 31252	9	   	245.93	DCR|2VULN|2DMG|2TLV|1DUR	1aTLV|25VULN|34aLHND|6DUR|7LIT|8aDMG|9RCR|aBPWR
214	11455 31112	9	   	245.93	DCR|3VULN|2DUR|1TLV|2LIT	12LIT|357VULN|45DUR|5BPWR|6DMSP|8TLV|9CGEN|aRCR
215	11455 31113	10	   	245.93	DCR|3VULN|2DUR|1TLV|2LIT	12LIT|357VULN|45DUR|5BPWR|6DMSP|8TLV|9CGEN|aRCR
216	21612 31266	5	   	245.90	DCR|3VULN|2DMG|1DUR|1AART	15LHND|279VULN|3DUR|45DMG|5BPWR|6RCR|8ASPD|aAART
217	21211 64523	10	   	245.87	DCR|3VULN|2DMG|2TLV	18LHND|28aVULN|3DUST|49DMG|58TLV|6RCR|7LEGI|8BPWR
218	32241 34653	5	   	245.77	DCR|3VULN|2DMG|2TLV	1LEGI|2MBVNT|3RCVC|49TLV|59aVULN|6RCR|79DMG|8BBNT|9BPWR
219	44211 31522	9	   	245.75	DCR|4VULN|1TLV|1DUR	1TLV|2589VULN|34LHND|6DUR|7LIT|aRCR
220	61521 61213	10	   	245.75	DCR|4VULN|1TLV|1DUR	1LWND|289aVULN|3ASPD|4BEXP|5TLV|6RCR|7DUR
221	21541 61213	10	   	245.65	DCR|4VULN|1TLV|1DUR	1LHND|289aVULN|3ASPD|4DUST|5TLV|6RCR|7DUR
222	31341 24342	5	   	245.65	DCR|4VULN|1TLV|1DUR	1LEGI|2TLV|3LIT|458aVULN|6RCVC|7RCR|9DUR
223	21612 31163	5	   	245.10	DCR|2VULN|3DMG|1TLV|1DUR	15LHND|27VULN|3DUR|458DMG|5BPWR|6RCR|9ZMB|aTLV
224	11411 22121	8	   	245.07	DCR|3VULN|2CDMG|1DMG|1DUR|2LIT	12LIT|359VULN|48CDMG|6DMG|7DUR|aRCR
225	44612 12131	3	   	244.89	DCR|3VULN|2TLV|2CDMG	13TLV|237VULN|3BPWR|4ASPD|5LIT|69CDMG|8RMIN|aRCR
226	44612 12331	3	   	244.79	DCR|3VULN|2TLV|2CDMG	13TLV|237VULN|3BPWR|4ASPD|5LIT|69CDMG|8ERES|aRCR
227	21615 31251	3	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1LHND|257VULN|3DUR|4DMG|6RCR|8ASPD|9TLV|aRMIN
228	21615 31251	4	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1LHND|257VULN|3DUR|4DMG|6RCR|8ASPD|9TLV|aRMIN
229	21615 31252	3	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1LHND|257VULN|3DUR|4DMG|6RCR|8ASPD|9TLV|aZMB
230	21615 31252	4	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1LHND|257VULN|3DUR|4DMG|6RCR|8ASPD|9TLV|aZMB
231	21615 31253	4	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1LHND|257VULN|3DUR|4DMG|6RCR|8ASPD|9TLV|aCGEN
232	21615 31253	3	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1LHND|257VULN|3DUR|4DMG|6RCR|8ASPD|9TLV|aCGEN
233	24315 31251	2	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1LHND|2DUR|357VULN|4DMG|6RCR|8ASPD|9TLV|aRMIN
234	24315 31252	2	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1LHND|2DUR|357VULN|4DMG|6RCR|8ASPD|9TLV|aZMB
235	24315 31253	2	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1LHND|2DUR|357VULN|4DMG|6RCR|8ASPD|9TLV|aCGEN
236	26315 31251	1	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1LHND|2DUR|357VULN|4DMG|6RCR|8ASPD|9TLV|aRMIN
237	26315 31252	1	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1LHND|2DUR|357VULN|4DMG|6RCR|8ASPD|9TLV|aZMB
238	26315 31253	1	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1LHND|2DUR|357VULN|4DMG|6RCR|8ASPD|9TLV|aCGEN
239	21615 11251	4	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1LHND|257VULN|3DUR|4DMG|6LWND|8ASPD|9TLV|aRCR
240	21615 11251	3	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1LHND|257VULN|3DUR|4DMG|6LWND|8ASPD|9TLV|aRCR
241	21615 13151	4	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1LHND|259VULN|3DUR|4DMG|6LWND|7ASPD|8TLV|aRCR
242	21615 13151	3	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1LHND|259VULN|3DUR|4DMG|6LWND|7ASPD|8TLV|aRCR
243	24315 11251	2	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1LHND|2DUR|357VULN|4DMG|6LWND|8ASPD|9TLV|aRCR
244	24315 13151	2	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1LHND|2DUR|359VULN|4DMG|6LWND|7ASPD|8TLV|aRCR
245	26315 11251	1	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1LHND|2DUR|357VULN|4DMG|6LWND|8ASPD|9TLV|aRCR
246	26315 13151	1	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1LHND|2DUR|359VULN|4DMG|6LWND|7ASPD|8TLV|aRCR
247	44342 12132	8	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1TLV|24aVULN|3LIT|5MLV|6DUR|7RCVC|8RCR|9DMG
248	21665 31212	4	 * 	244.63	DCR|5VULN|1DUR|2LIT	19LHND|2579aVULN|3DUR|4ZMB|6RCR|89LIT|9BPWR
249	21611 33151	8	   	244.63	DCR|3VULN|2TLV|1DMG|1DUR	17LHND|279VULN|3DUR|4DMG|57TLV|6LEGI|7BPWR|8CGEN|aRCR
250	21611 33161	9	   	244.63	DCR|3VULN|2TLV|1DMG|1DUR	17LHND|279VULN|3DUR|4DMG|57TLV|6LEGI|7BPWR|8CGEN|aRCR
251	21611 33251	8	   	244.63	DCR|3VULN|2TLV|1DMG|1DUR	17LHND|279VULN|3DUR|4DMG|57TLV|6LEGI|7BPWR|8MLV|aRCR
252	61611 33151	8	   	244.63	DCR|3VULN|2TLV|1DMG|1DUR	17LWND|279VULN|3DUR|4DMG|57TLV|6LEGI|7BPWR|8CGEN|aRCR
253	61611 33161	9	   	244.63	DCR|3VULN|2TLV|1DMG|1DUR	17LWND|279VULN|3DUR|4DMG|57TLV|6LEGI|7BPWR|8CGEN|aRCR
254	61611 33251	8	   	244.63	DCR|3VULN|2TLV|1DMG|1DUR	17LWND|279VULN|3DUR|4DMG|57TLV|6LEGI|7BPWR|8MLV|aRCR
255	21615 13115	8	   	244.60	DCR|2VULN|3DUR|2DMG|1CDMG	1LHND|2aVULN|369DUR|48DMG|5CDMG|7RCR
256	21615 13361	8	   	244.60	DCR|2VULN|3DUR|2DMG|1CDMG	1LHND|29VULN|368DUR|4aDMG|5CDMG|7RCR
257	21615 13511	8	   	244.60	DCR|2VULN|3DUR|2DMG|1CDMG	1LHND|28VULN|369DUR|4aDMG|5CDMG|7RCR
258	61615 13113	8	   	244.60	DCR|2VULN|3DUR|2DMG|1CDMG	1LWND|2aVULN|369DUR|48DMG|5CDMG|7RCR
