0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23143 63513	1	 * 	274.90	DCR|3VULN|2DMG|2DUR|2ASPD	17aLWND|2aASPD|367VULN|47DUR|5DLOT|7aBPWR|8RCR|9aDMG
173	12232 24123	1	   	245.65	DCR|4VULN|1DUR|1CDMG	1BELT|249aVULN|3LIT|5DUR|6CDMG|7ERES|8RCR
174	22323 41312	4	   	245.46	DCR|3VULN|2DUR|1DMG|1AART	1LWND|2RMIN|38DUR|4DMG|59aVULN|6RCR|7AART
175	15384 54211	8	   	245.36	DCR|3VULN|2DUR|1DMG|1AART	1BELT|25DUR|3MBVNT|4DMG|6RCR|789VULN|aAART
176	15384 54411	7	   	245.36	DCR|3VULN|2DUR|1DMG|1AART	1BELT|25DUR|3MBVNT|4DMG|6RCR|789VULN|aAART
177	35123 11136	7	   	245.29	DCR|4VULN|2DMG	127BEXP|3ERES|47DMG|5678VULN|7BPWR|9RCR|aCGEN
178	35223 12131	7	   	245.29	DCR|4VULN|2DMG	128BEXP|3RMIN|49DMG|569aVULN|7RCR|9BPWR
179	35223 12324	7	   	245.29	DCR|4VULN|2DMG|1NUKE	12aBEXP|3RMIN|4aDMG|568aVULN|7RCR|9NUKE|aBPWR
180	43123 61131	7	   	245.29	DCR|4VULN|2DMG	1RCVC|267LWND|3ERES|47DMG|578aVULN|7BPWR|9RCR
181	43123 61231	8	   	245.29	DCR|4VULN|2DMG	1RCVC|267LWND|3ERES|47DMG|578aVULN|7BPWR|9RCR
182	35123 11135	7	   	245.19	DCR|4VULN|2DMG	127BEXP|3ERES|47DMG|5678VULN|7BPWR|9RCR|aDUST
183	32142 11414	8	   	245.09	DCR|4VULN|2DMG	1BEXP|27DMG|3DUST|468aVULN|5LWND|9RCR
184	32143 11414	8	   	245.09	DCR|4VULN|2DMG	1BEXP|27DMG|3DUST|468aVULN|5FEWX|9RCR
185	32644 86442	4	   	245.09	DCR|4VULN|2DMG|1NUKE	1BEXP|26DMG|3MBVNT|4689VULN|5NUKE|6BPWR|7LHND|aRCR
