0	Index      	 *	Score 	Summary	Detail	
1	31514 43322	 * 	223.92	ACR|1BASARM|3BEXP|1ASPD|1DMG	14DUST|2RCR|3VENFST|5ASPD|678BEXP|9BASARM|aDMG
159	21522 25226	   	199.91	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	1FEWX|2RCR|3VENFST|4BEXP|5DMSP|6AAC|7ASPD|8DUR|9BASARM|aCDMG
160	31431 76221	   	199.83	ACR|1BASARM|2BEXP|1AART|1CDMG	16DUST|2RCR|3AART|4MLV|5MBVNT|7BASARM|89BEXP|aCDMG
161	21152 33616	   	199.81	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1FEWX|2RCR|3RMIN|4AAC|5BEXP|6DMG|7LEGI|8CDMG|9MULARM|aBASARM
162	21413 36611	   	199.81	ACR|1BASARM|1DMG|1BEXP|1AART|1AAC	1FEWX|2RCR|3AART|4FLTFST|5DUST|6DMG|7LIT|8AAC|9BEXP|aBASARM
163	31152 32616	   	199.81	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1DUST|2RCR|3RMIN|4AAC|5BEXP|6DMG|7DUR|8CDMG|9MULARM|aBASARM
164	21325 32216	   	199.73	ACR|1BASARM|2BEXP|1DMG	1FEWX|2RCR|3VULN|4LHND|5LIT|6DMG|7SNIFST|8aBEXP|9BASARM
165	21563 13235	   	199.71	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	1FEWX|2RCR|3VENFST|4NUKE|5CDMG|6BEXP|7TLV|8BASARM|9ASPD|aAAC
166	31152 33616	   	199.71	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1DUST|2RCR|3RMIN|4AAC|5BEXP|6DMG|7LEGI|8CDMG|9MULARM|aBASARM
167	51233 52135	   	199.69	ACR|2ASPD|2DMG|2BEXP	19LHND|2RCR|3LWND|49DMG|5MDPS|6aASPD|7DUST|89BEXP|9BPWR
168	31321 54316	   	199.63	ACR|1BASARM|2BEXP|1DMG	1DUST|2RCR|3VULN|4LHND|5aBEXP|6LIT|7LSRICY|8DMG|9BASARM
169	31563 13235	   	199.61	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	1DUST|2RCR|3VENFST|4NUKE|5CDMG|6BEXP|7TLV|8BASARM|9ASPD|aAAC
170	54613 31321	   	199.23	ACR|1BASARM|2VULN|1ASPD|1DMG	1LHND|29VULN|3RCR|4ERES|5MDPS|6DMG|7BASARM|8ASPD|aMLV
171	54633 21321	   	199.23	ACR|1BASARM|2VULN|1ASPD|1DMG	1LHND|29VULN|3RCR|4DMG|5MDPS|6AME|7BASARM|8ASPD|aMLV
172	54613 31323	   	199.13	ACR|1BASARM|2VULN|1ASPD|1DMG	1LHND|29VULN|3RCR|4ERES|5MDPS|6DMG|7BASARM|8ASPD|aTLV
173	54633 21323	   	199.13	ACR|1BASARM|2VULN|1ASPD|1DMG	1LHND|29VULN|3RCR|4DMG|5MDPS|6AME|7BASARM|8ASPD|aTLV
174	51313 31161	 * 	198.75	ACR|2BASARM|2VULN|1DMG	1LHND|2RCR|38VULN|4ERES|5MDPS|6DMG|7aBASARM|9CGEN
175	51313 51161	 * 	198.75	ACR|2BASARM|2VULN|1ASPD	1LHND|2RCR|38VULN|4ERES|5MDPS|6ASPD|7aBASARM|9CGEN
176	51333 21161	   	198.75	ACR|2BASARM|2VULN|1DMG	1LHND|2RCR|38VULN|4DMG|5MDPS|6AME|7aBASARM|9CGEN
177	31431 86222	   	198.73	ACR|1BASARM|2BEXP|2AART	1DUST|2RCR|36AART|4MLV|5MBVNT|7BASARM|89BEXP|aCGEN
178	31431 86223	   	198.73	ACR|1BASARM|2BEXP|2AART	1DUST|2RCR|36AART|4MLV|5MBVNT|7BASARM|89BEXP|aDUR
179	31431 86224	   	198.73	ACR|1BASARM|2BEXP|2AART	1DUST|2RCR|36AART|4MLV|5MBVNT|7BASARM|89BEXP|aDMSP
180	31431 86231	   	198.73	ACR|1BASARM|2BEXP|2AART	1DUST|2RCR|36AART|4MLV|5MBVNT|7BASARM|8aBEXP|9DUR
181	31431 86421	   	198.73	ACR|1BASARM|2BEXP|2AART	1DUST|2RCR|36AART|4MLV|5MBVNT|7BASARM|8DUR|9aBEXP
182	21131 64224	   	198.66	ACR|2BASARM|2VULN|1DMG|2SELL	1aFEWX|2RCR|3RMIN|4RCVC|59SELL|6DMG|7aVULN|8aBASARM|aBPWR
183	21353 23353	   	198.64	ACR|1ASPD|1DMG|1BASICY|1BEXP|1AART|1AAC	14FEWX|2RCR|3VULN|5BASICY|6AAC|7ASPD|8DMG|9AART|aBEXP
184	51323 23353	   	198.64	ACR|1ASPD|1DMG|1BASICY|1BEXP|1AART|1AAC	14LHND|2RCR|3VULN|5BASICY|6AAC|7ASPD|8DMG|9AART|aBEXP
185	21126 26261	   	198.55	ACR|1BASARM|1DMG|1CDMG|1AART	15FEWX|2RCR|3RMIN|4VULN|6CDMG|7DMG|8BASARM|9AEFBLL|aAART
186	21136 26261	   	198.55	ACR|1BASARM|1DMG|1CDMG|1AART	1FEWX|2RCR|3RMIN|4RCVC|5VULN|6CDMG|7DMG|8BASARM|9AEFBLL|aAART
187	21353 42314	 * 	198.55	ACR|1BASARM|1BASICY|1BEXP|1CDMG	14FEWX|2RCR|3VULN|5BASICY|6LHND|7MSLREG|8BASARM|9CDMG|aBEXP
188	51113 26236	   	198.55	ACR|1BASARM|1DMG|1BEXP|1CDMG	1LHND|2RCR|3RMIN|4AME|5MLV|6CDMG|7DMG|8BASARM|9VULN|aBEXP
189	51323 12314	   	198.55	ACR|1BASARM|1BASICY|1BEXP|1CDMG	14LHND|2RCR|3VULN|5BASICY|6LWND|7MSLREG|8BASARM|9CDMG|aBEXP
190	61232 26114	   	198.50	ACR|2ASPD|2DMG|1CDMG|1BEXP	1DUR|2RCR|34LWND|58DMG|6CDMG|7BEXP|9aASPD
191	31131 64224	   	198.46	ACR|2BASARM|2VULN|1DMG|2SELL	1aDUST|2RCR|3RMIN|4RCVC|59SELL|6DMG|7aVULN|8aBASARM|aBPWR
192	31631 15141	   	198.45	ACR|1BASARM|1DMG|1AART|1CDMG	13DUST|2RCR|4DMG|5CDMG|6CGEN|7DMSP|8VULN|9AART|aBASARM
193	31136 26261	   	198.45	ACR|1BASARM|1DMG|1CDMG|1AART	1DUST|2RCR|3RMIN|4RCVC|5VULN|6CDMG|7DMG|8BASARM|9AEFBLL|aAART
194	31352 23364	   	198.45	ACR|1BASARM|1ASPD|1BEXP|1AART	1DUST|2RCR|3VULN|4FEWX|5MLV|6AME|7BEXP|8AART|9ASPD|aBASARM
195	51312 26141	   	198.45	ACR|1BASARM|1DMG|1AART|1CDMG	15LHND|2RCR|3VULN|48ERES|6CDMG|7DMG|9AART|aBASARM
196	51313 31611	   	198.45	ACR|1BASARM|1DMG|1AART|1BEXP	1LHND|2RCR|3VULN|4ERES|5MDPS|6DMG|7BASARM|8AART|9FEWX|aBEXP
197	51313 31626	   	198.45	ACR|1BASARM|1DMG|1AART|1BEXP	1LHND|2RCR|3VULN|4ERES|5MDPS|6DMG|7BASARM|8AART|9CGEN|aBEXP
198	51313 51611	   	198.45	ACR|1BASARM|1ASPD|1AART|1BEXP	1LHND|2RCR|3VULN|4ERES|5MDPS|6ASPD|7BASARM|8AART|9FEWX|aBEXP
199	51333 21611	   	198.45	ACR|1BASARM|1DMG|1BEXP|1AART	1LHND|2RCR|3VULN|4DMG|5MDPS|6AME|7BASARM|8AART|9FEWX|aBEXP
200	51333 21626	   	198.45	ACR|1BASARM|1DMG|1AART|1BEXP	1LHND|2RCR|3VULN|4DMG|5MDPS|6AME|7BASARM|8AART|9CGEN|aBEXP
201	21523 33315	   	198.45	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1FEWX|2RCR|3VENFST|4BEXP|5VENICY|6DMSP|7VULN|8BASARM|9CDMG|aASPD
202	21523 43315	   	198.45	ACR|1BASARM|1ASPD|1BEXP|1CDMG	16FEWX|2RCR|3VENFST|4BEXP|5VENICY|7VULN|8BASARM|9CDMG|aASPD
203	61523 33315	   	198.45	ACR|1BASARM|1ASPD|1CDMG|1BEXP	1DUR|2RCR|3VENFST|4BEXP|5VENICY|6DMSP|7VULN|8BASARM|9CDMG|aASPD
204	61414 12232	   	198.40	ACR|2ASPD|2DMG|1CDMG|1AART	1DUR|2RCR|3AART|4FLTFST|59ASPD|67DMG|8CDMG|aLIT
205	31631 25141	   	198.35	ACR|1BASARM|1DMG|1CDMG|1AART	13DUST|2RCR|4DMG|5CDMG|6TLV|7DMSP|8VULN|9AART|aBASARM
206	21523 23315	   	198.35	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1FEWX|2RCR|3VENFST|4BEXP|5VENICY|6AEMAG|7VULN|8BASARM|9CDMG|aASPD
207	21563 13233	   	198.35	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1FEWX|2RCR|3VENFST|4NUKE|5CDMG|6BEXP|7TLV|8BASARM|9ASPD|aVULN
208	51313 31661	   	198.35	ACR|1BASARM|1DMG|1AART|1BEXP	1LHND|2RCR|3VULN|4ERES|5MDPS|6DMG|7BASARM|8AART|9DUST|aBEXP
209	51333 21661	   	198.35	ACR|1BASARM|1DMG|1BEXP|1AART	1LHND|2RCR|3VULN|4DMG|5MDPS|6AME|7BASARM|8AART|9DUST|aBEXP
210	61523 23315	   	198.35	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1DUR|2RCR|3VENFST|4BEXP|5VENICY|6AEMAG|7VULN|8BASARM|9CDMG|aASPD
211	61563 12233	   	198.35	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1DUR|2RCR|3VENFST|4NUKE|5CDMG|6BEXP|7TLV|8BASARM|9ASPD|aVULN
212	31442 35131	   	198.25	ACR|1BASARM|1DMG|1BEXP|1AART	1DUST|2RCR|3AART|4BEXP|568ERES|7BASARM|9DMG|aVULN
213	31563 13233	   	198.25	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1DUST|2RCR|3VENFST|4NUKE|5CDMG|6BEXP|7TLV|8BASARM|9ASPD|aVULN
214	31414 13226	   	198.20	ACR|2ASPD|2DMG|1CDMG|1AART	1DUST|2RCR|3AART|4FLTFST|59ASPD|6aDMG|7VENICY|8CDMG
215	21321 45633	   	198.13	ACR|2BEXP|2VULN|1ASPD|1DMG|1CDMG	1FEWX|2RCR|36VULN|4LHND|5aBEXP|7DMG|8CDMG|9ASPD
216	21461 32162	   	198.12	ACR|1BASARM|1ASPD|1DMG|1AART	1FEWX|2RCR|3AART|4DMG|5RPLT|6DUR|7CGEN|8ASPD|9RMIN|aBASARM
217	21424 53311	 * 	198.03	ACR|2BEXP|2VULN|1ASPD|1BASICY|1AART	1FEWX|2RCR|3AART|4MDPS|56BEXP|7ASPD|89VULN|aBASICY
218	31321 45633	   	198.03	ACR|2BEXP|2VULN|1ASPD|1DMG|1CDMG	1DUST|2RCR|36VULN|4LHND|5aBEXP|7DMG|8CDMG|9ASPD
219	31461 32162	   	198.02	ACR|1BASARM|1ASPD|1DMG|1AART	1DUST|2RCR|3AART|4DMG|5RPLT|6DUR|7CGEN|8ASPD|9RMIN|aBASARM
220	21462 33162	   	198.02	ACR|1BASARM|1ASPD|1DMG|1AART	1FEWX|2RCR|3AART|4DMG|5ERES|6RPLT|7LWND|8ASPD|9RMIN|aBASARM
221	51632 15121	   	198.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	15LHND|2RCR|3BEXP|4DMG|6SPLARM|7ASPD|8LIT|9BASARM|aLWND
222	51632 15122	   	198.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	15LHND|2RCR|3BEXP|4DMG|6SPLARM|7ASPD|8LIT|9BASARM|aRMIN
223	51632 15223	   	198.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	15LHND|2RCR|3BEXP|4DMG|6SPLARM|7ASPD|8DUR|9BASARM|aCGEN
224	51632 21326	   	198.02	ACR|1BASARM|1DMG|2CDMG|1BEXP	15LHND|2RCR|3BEXP|4DMG|6aCDMG|7RPLT|8VENTOX|9BASARM
225	21126 26233	   	198.02	ACR|1BASARM|2VULN|1DMG|1CDMG	15FEWX|2RCR|3RMIN|49VULN|6CDMG|7DMG|8BASARM|aLHND
226	21126 26234	   	198.02	ACR|1BASARM|2VULN|1DMG|1CDMG	15FEWX|2RCR|3RMIN|49VULN|6CDMG|7DMG|8BASARM|aMLV
227	21136 26233	   	198.02	ACR|1BASARM|2VULN|1DMG|1CDMG	1FEWX|2RCR|3RMIN|4RCVC|59VULN|6CDMG|7DMG|8BASARM|aLHND
228	21136 26234	   	198.02	ACR|1BASARM|2VULN|1DMG|1CDMG	1FEWX|2RCR|3RMIN|4RCVC|59VULN|6CDMG|7DMG|8BASARM|aMLV
229	21146 26233	   	198.02	ACR|1BASARM|2VULN|1DMG|1CDMG	1FEWX|2RCR|34RMIN|59VULN|6CDMG|7DMG|8BASARM|aLHND
230	21346 26233	   	198.02	ACR|1BASARM|2VULN|1DMG|1CDMG	15FEWX|2RCR|39VULN|4ZMB|6CDMG|7DMG|8BASARM|aLHND
231	21431 47172	   	198.02	ACR|1BASARM|1ASPD|1DMG|1AART	1FEWX|2RCR|3AART|4MLV|5MBVNT|6RPLT|7ASPD|8DMG|9RMIN|aBASARM
232	51121 52135	   	198.02	ACR|1BASARM|2VULN|1DMG|1BEXP	1LHND|2RCR|3RMIN|4aVULN|5CGEN|6LIT|7DMG|8BEXP|9BASARM
233	51122 26231	   	198.02	ACR|1BASARM|2VULN|1DMG|1CDMG	15LHND|2RCR|3RMIN|49VULN|6CDMG|7DMG|8BASARM|aDUR
234	51122 26232	   	198.02	ACR|1BASARM|2VULN|1DMG|1CDMG	15LHND|2RCR|3RMIN|49VULN|6CDMG|7DMG|8BASARM|aRPLT
235	51122 26234	   	198.02	ACR|1BASARM|2VULN|1DMG|1CDMG	15LHND|2RCR|3RMIN|49VULN|6CDMG|7DMG|8BASARM|aMLV
236	51136 26231	   	198.02	ACR|1BASARM|2VULN|1DMG|1CDMG	1LHND|2RCR|3RMIN|4RCVC|59VULN|6CDMG|7DMG|8BASARM|aDUR
237	51136 26232	   	198.02	ACR|1BASARM|2VULN|1DMG|1CDMG	1LHND|2RCR|3RMIN|4RCVC|59VULN|6CDMG|7DMG|8BASARM|aRPLT
238	51331 25135	   	198.02	ACR|1BASARM|2VULN|1DMG|1BEXP	1LHND|2RCR|3aVULN|4DMG|5CGEN|6RMIN|7LIT|8BEXP|9BASARM
239	51342 26231	   	198.02	ACR|1BASARM|2VULN|1DMG|1CDMG	15LHND|2RCR|39VULN|4ZMB|6CDMG|7DMG|8BASARM|aDUR
240	51342 26232	   	198.02	ACR|1BASARM|2VULN|1DMG|1CDMG	15LHND|2RCR|39VULN|4ZMB|6CDMG|7DMG|8BASARM|aRPLT
241	51323 23356	   	198.01	ACR|2VULN|1ASPD|1DMG|1BASICY|1AART|1AAC	14LHND|2RCR|3aVULN|5BASICY|6AAC|7ASPD|8DMG|9AART
242	31462 33162	   	197.92	ACR|1BASARM|1ASPD|1DMG|1AART	1DUST|2RCR|3AART|4DMG|5ERES|6RPLT|7LWND|8ASPD|9RMIN|aBASARM
243	21413 32121	   	197.92	ACR|1BASARM|1ASPD|1DMG|1AART	1FEWX|2RCR|3AART|4FLTFST|5DUST|6DMG|7LWND|8LIT|9ASPD|aBASARM
244	21453 32121	   	197.92	ACR|1BASARM|1ASPD|1DMG|1AART	1FEWX|2RCR|3AART|4VENFST|5DUST|6DMG|7LWND|8LIT|9ASPD|aBASARM
245	21561 35222	   	197.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1FEWX|2RCR|3VENFST|4NUKE|5DMG|6ZMB|7ASPD|8DUR|9BASARM|aBEXP
246	31136 26233	   	197.92	ACR|1BASARM|2VULN|1DMG|1CDMG	1DUST|2RCR|3RMIN|4RCVC|59VULN|6CDMG|7DMG|8BASARM|aLHND
247	31136 26234	   	197.92	ACR|1BASARM|2VULN|1DMG|1CDMG	1DUST|2RCR|3RMIN|4RCVC|59VULN|6CDMG|7DMG|8BASARM|aMLV
248	31146 26233	   	197.92	ACR|1BASARM|2VULN|1DMG|1CDMG	1DUST|2RCR|34RMIN|59VULN|6CDMG|7DMG|8BASARM|aLHND
249	31431 47172	   	197.92	ACR|1BASARM|1ASPD|1DMG|1AART	1DUST|2RCR|3AART|4MLV|5MBVNT|6RPLT|7ASPD|8DMG|9RMIN|aBASARM
250	51233 33321	   	197.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1LHND|2RCR|3LWND|4DMG|5MDPS|6BEXP|7SNIHEL|8FEWX|9BASARM|aASPD
251	51332 23234	   	197.92	ACR|1BASARM|2VULN|1DMG|1CDMG	15LHND|2RCR|39VULN|4DMG|6CDMG|7MLV|8SNIHEL|aBASARM
252	51433 43321	   	197.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1LHND|2RCR|3DUR|4DMG|5MDPS|6BEXP|7SNIHEL|8FEWX|9BASARM|aASPD
253	51632 15123	   	197.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	15LHND|2RCR|3BEXP|4DMG|6SPLARM|7ASPD|8LIT|9BASARM|aDUST
254	51632 15221	   	197.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	15LHND|2RCR|3BEXP|4DMG|6SPLARM|7ASPD|8DUR|9BASARM|aNUKE
255	61413 32121	   	197.92	ACR|1BASARM|1ASPD|1DMG|1AART	1DUR|2RCR|3AART|4FLTFST|5DUST|6DMG|7LWND|8LIT|9ASPD|aBASARM
256	61453 32121	   	197.92	ACR|1BASARM|1ASPD|1DMG|1AART	1DUR|2RCR|3AART|4VENFST|5DUST|6DMG|7LWND|8LIT|9ASPD|aBASARM
257	21113 26211	   	197.92	ACR|1BASARM|2CDMG|1DMG|1AART	1FEWX|2RCR|3RMIN|4AME|5MLV|69CDMG|7DMG|8BASARM|aAART
258	21126 26232	   	197.92	ACR|1BASARM|2VULN|1DMG|1CDMG	15FEWX|2RCR|3RMIN|49VULN|6CDMG|7DMG|8BASARM|aMDPS
259	21126 26235	   	197.92	ACR|1BASARM|2VULN|1DMG|1CDMG	15FEWX|2RCR|3RMIN|49VULN|6CDMG|7DMG|8BASARM|aTLV
260	21126 26236	   	197.92	ACR|1BASARM|2VULN|1DMG|1CDMG	15FEWX|2RCR|3RMIN|49VULN|6CDMG|7DMG|8BASARM|aDUST
261	21136 26232	   	197.92	ACR|1BASARM|2VULN|1DMG|1CDMG	1FEWX|2RCR|3RMIN|4RCVC|59VULN|6CDMG|7DMG|8BASARM|aMDPS
262	21136 26235	   	197.92	ACR|1BASARM|2VULN|1DMG|1CDMG	1FEWX|2RCR|3RMIN|4RCVC|59VULN|6CDMG|7DMG|8BASARM|aTLV
263	21136 26236	   	197.92	ACR|1BASARM|2VULN|1DMG|1CDMG	1FEWX|2RCR|3RMIN|4RCVC|59VULN|6CDMG|7DMG|8BASARM|aDUST
264	21146 26232	   	197.92	ACR|1BASARM|2VULN|1DMG|1CDMG	1FEWX|2RCR|34RMIN|59VULN|6CDMG|7DMG|8BASARM|aMDPS
265	21346 26232	   	197.92	ACR|1BASARM|2VULN|1DMG|1CDMG	15FEWX|2RCR|39VULN|4ZMB|6CDMG|7DMG|8BASARM|aMDPS
266	21353 42333	 * 	197.92	ACR|1BASARM|2VULN|1BASICY|1BEXP	14FEWX|2RCR|39VULN|5BASICY|6LHND|7MSLREG|8BASARM|aBEXP
267	51122 26235	   	197.92	ACR|1BASARM|2VULN|1DMG|1CDMG	15LHND|2RCR|3RMIN|49VULN|6CDMG|7DMG|8BASARM|aTLV
268	51122 26236	   	197.92	ACR|1BASARM|2VULN|1DMG|1CDMG	15LHND|2RCR|3RMIN|49VULN|6CDMG|7DMG|8BASARM|aDUST
269	51632 25133	 * 	197.86	ACR|3DMG|2BEXP|2CDMG	157LHND|2RCR|3aBEXP|479DMG|67CDMG|7BPWR|8RMIN
270	31561 35222	   	197.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1DUST|2RCR|3VENFST|4NUKE|5DMG|6ZMB|7ASPD|8DUR|9BASARM|aBEXP
271	31631 44233	   	197.82	ACR|1BASARM|2VULN|1DMG|1CDMG	13DUST|2RCR|4DMG|5CDMG|6ZMB|79VULN|8BASARM|aLHND
272	21421 24214	   	197.82	ACR|1BASARM|2VULN|1ASPD|1AART	1FEWX|2RCR|3AART|4MDPS|5TLV|69VULN|7ASPD|8CGEN|aBASARM
273	21421 63314	   	197.82	ACR|1BASARM|2VULN|1ASPD|1AART	1FEWX|2RCR|3AART|4MDPS|5TLV|6CGEN|7ASPD|89VULN|aBASARM
274	21422 24214	   	197.82	ACR|1BASARM|2VULN|1ASPD|1AART	1FEWX|2RCR|3AART|4MDPS|5ERES|69VULN|7ASPD|8CGEN|aBASARM
275	21422 63314	   	197.82	ACR|1BASARM|2VULN|1ASPD|1AART	1FEWX|2RCR|3AART|4MDPS|5ERES|6CGEN|7ASPD|89VULN|aBASARM
276	31113 26211	   	197.82	ACR|1BASARM|2CDMG|1DMG|1AART	1DUST|2RCR|3RMIN|4AME|5MLV|69CDMG|7DMG|8BASARM|aAART
277	31136 26232	   	197.82	ACR|1BASARM|2VULN|1DMG|1CDMG	1DUST|2RCR|3RMIN|4RCVC|59VULN|6CDMG|7DMG|8BASARM|aMDPS
278	31136 26235	   	197.82	ACR|1BASARM|2VULN|1DMG|1CDMG	1DUST|2RCR|3RMIN|4RCVC|59VULN|6CDMG|7DMG|8BASARM|aTLV
279	31136 26236	   	197.82	ACR|1BASARM|2VULN|1DMG|1CDMG	1aDUST|2RCR|3RMIN|4RCVC|59VULN|6CDMG|7DMG|8BASARM
280	31146 26232	   	197.82	ACR|1BASARM|2VULN|1DMG|1CDMG	1DUST|2RCR|34RMIN|59VULN|6CDMG|7DMG|8BASARM|aMDPS
281	51123 21322	   	197.82	ACR|1BASARM|2VULN|1ASPD|1AART	1LHND|2RCR|3RMIN|49VULN|5MDPS|6AME|7BASARM|8ASPD|aAART
282	51123 21422	   	197.82	ACR|1BASARM|2VULN|1DMG|1AART	1LHND|2RCR|3RMIN|49VULN|5MDPS|6AME|7BASARM|8DMG|aAART
283	51313 31114	   	197.82	ACR|1BASARM|2VULN|1DMG|1BEXP	1LHND|2RCR|38VULN|4ERES|5MDPS|6DMG|7BASARM|9FEWX|aBEXP
284	51313 31123	   	197.82	ACR|1BASARM|2VULN|1DMG|1BEXP	1LHND|2RCR|38VULN|4ERES|5MDPS|6DMG|7BASARM|9LIT|aBEXP
285	51313 31633	   	197.82	ACR|1BASARM|2VULN|1DMG|1AART	1LHND|2RCR|3aVULN|4ERES|5MDPS|6DMG|7BASARM|8AART|9DMSP
286	51313 33614	   	197.82	ACR|1BASARM|2VULN|1DMG|1AART	1LHND|2RCR|39VULN|4ERES|5MDPS|6DMG|7MLV|8AART|aBASARM
287	51313 36214	   	197.82	ACR|1BASARM|2VULN|1DMG|1AART	1LHND|2RCR|39VULN|4ERES|5MDPS|6DMG|7AART|8CGEN|aBASARM
288	51313 51114	   	197.82	ACR|1BASARM|2VULN|1ASPD|1BEXP	1LHND|2RCR|38VULN|4ERES|5MDPS|6ASPD|7BASARM|9FEWX|aBEXP
289	51313 51123	   	197.82	ACR|1BASARM|2VULN|1ASPD|1BEXP	1LHND|2RCR|38VULN|4ERES|5MDPS|6ASPD|7BASARM|9LIT|aBEXP
290	51313 51633	   	197.82	ACR|1BASARM|2VULN|1ASPD|1AART	1LHND|2RCR|3aVULN|4ERES|5MDPS|6ASPD|7BASARM|8AART|9DMSP
291	51313 61322	   	197.82	ACR|1BASARM|2VULN|1ASPD|1AART	1LHND|2RCR|39VULN|4ERES|5MDPS|6RMIN|7BASARM|8ASPD|aAART
292	51313 61422	   	197.82	ACR|1BASARM|2VULN|1DMG|1AART	1LHND|2RCR|39VULN|4ERES|5MDPS|6RMIN|7BASARM|8DMG|aAART
293	51333 21114	   	197.82	ACR|1BASARM|2VULN|1DMG|1BEXP	1LHND|2RCR|38VULN|4DMG|5MDPS|6AME|7BASARM|9FEWX|aBEXP
294	51333 21123	   	197.82	ACR|1BASARM|2VULN|1DMG|1BEXP	1LHND|2RCR|38VULN|4DMG|5MDPS|6AME|7BASARM|9LIT|aBEXP
295	51333 21633	   	197.82	ACR|1BASARM|2VULN|1DMG|1AART	1LHND|2RCR|3aVULN|4DMG|5MDPS|6AME|7BASARM|8AART|9DMSP
296	51333 23614	   	197.82	ACR|1BASARM|2VULN|1DMG|1AART	1LHND|2RCR|39VULN|4DMG|5MDPS|6AME|7MLV|8AART|aBASARM
297	51333 26214	   	197.82	ACR|1BASARM|2VULN|1DMG|1AART	1LHND|2RCR|39VULN|4DMG|5MDPS|6AME|7AART|8CGEN|aBASARM
298	51343 21322	   	197.82	ACR|1BASARM|2VULN|1ASPD|1AART	1LHND|2RCR|39VULN|4ZMB|5MDPS|6AME|7BASARM|8ASPD|aAART
299	51343 21422	   	197.82	ACR|1BASARM|2VULN|1DMG|1AART	1LHND|2RCR|39VULN|4ZMB|5MDPS|6AME|7BASARM|8DMG|aAART
300	21131 64215	   	197.78	ACR|1BASARM|2VULN|1DMG|1CDMG|1SELL	1FEWX|2RCR|3RMIN|4RCVC|5SELL|6DMG|7aVULN|8BASARM|9CDMG
301	51123 33452	 * 	197.76	ACR|3DMG|2BEXP|2VULN	1aLHND|2RCR|3RMIN|48VULN|5MDPS|69aDMG|7aBEXP|aBPWR
302	51632 25323	   	197.76	ACR|3DMG|2BEXP|2CDMG	157LHND|2RCR|3aBEXP|479DMG|67CDMG|7BPWR|8ERES
303	31421 24214	   	197.72	ACR|1BASARM|2VULN|1ASPD|1AART	1DUST|2RCR|3AART|4MDPS|5TLV|69VULN|7ASPD|8CGEN|aBASARM
304	31421 63314	   	197.72	ACR|1BASARM|2VULN|1ASPD|1AART	1DUST|2RCR|3AART|4MDPS|5TLV|6CGEN|7ASPD|89VULN|aBASARM
305	31422 24214	   	197.72	ACR|1BASARM|2VULN|1ASPD|1AART	1DUST|2RCR|3AART|4MDPS|5ERES|69VULN|7ASPD|8CGEN|aBASARM
306	31422 63314	   	197.72	ACR|1BASARM|2VULN|1ASPD|1AART	1DUST|2RCR|3AART|4MDPS|5ERES|6CGEN|7ASPD|89VULN|aBASARM
307	31631 14234	   	197.72	ACR|1BASARM|2VULN|1DMG|1CDMG	13DUST|2RCR|4DMG|5CDMG|6CGEN|79VULN|8SNIHEL|aBASARM
308	31631 44232	   	197.72	ACR|1BASARM|2VULN|1DMG|1CDMG	13DUST|2RCR|4DMG|5CDMG|6ZMB|79VULN|8BASARM|aMDPS
309	31636 23234	   	197.72	ACR|1BASARM|2VULN|1DMG|1CDMG	13DUST|2RCR|4DMG|59VULN|6CDMG|7MLV|8SNIHEL|aBASARM
310	21421 33314	   	197.72	ACR|1BASARM|2VULN|1ASPD|1AART	1FEWX|2RCR|3AART|4MDPS|5TLV|6ERES|7ASPD|89VULN|aBASARM
311	21514 35221	   	197.68	ACR|1BASARM|1ASPD|1DMG|1CDMG|1SELL	1FEWX|2RCR|3VENFST|4DUST|5SELL|6CDMG|7ASPD|8DUR|9BASARM|aDMG
312	31524 35221	   	197.68	ACR|1BASARM|1ASPD|1DMG|1CDMG|1SELL	1DUST|2RCR|3VENFST|4FEWX|5SELL|6CDMG|7ASPD|8DUR|9BASARM|aDMG
313	31131 64215	   	197.68	ACR|1BASARM|2VULN|1DMG|1CDMG|1SELL	1DUST|2RCR|3RMIN|4RCVC|5SELL|6DMG|7aVULN|8BASARM|9CDMG
314	61414 32223	   	197.64	ACR|3BEXP|1ASPD|1DMG|1AART|1AAC	1DUR|2RCR|3AART|4FLTFST|5ASPD|6AAC|7DMG|89aBEXP
