0	Index      	 *	Score 	Summary	Detail	
1	51323 53243	 * 	220.92	ACR|1BASARM|2BEXP|1ASPD|1DMG|1AAC|1SELL	1SELL|2RCR|39BEXP|4LIT|5DUST|6AAC|7DMG|8BASARM|aASPD
150	44283 32413	   	192.69	ACR|1BASARM|2BEXP|1DMG	14CGEN|2RCR|3MBVNT|5AEMAG|6BASARM|78BEXP|9DMG|aRPLT
151	44283 32414	   	192.69	ACR|1BASARM|2BEXP|1DMG	14CGEN|2RCR|3MBVNT|5AEMAG|6BASARM|78BEXP|9DMG|aLHND
152	51333 32623	   	192.65	ACR|1BASARM|2BEXP|1DMG|1SELL	1SELL|2RCR|39BEXP|49CGEN|5DUST|6DMG|7MDPS|89FEWX|9BPWR|aBASARM
153	51212 41423	   	192.65	ACR|1BASARM|2BEXP|1DMG|1SELL	1SELL|2RCR|3CGEN|469LWND|57BEXP|8DMG|aBASARM
154	23438 64125	   	192.58	ACR|2DMG|3VULN|2BEXP|1CDMG	19DMG|2MBVNT|36DUST|469VULN|5RCR|69BPWR|79BEXP|8RPLT|aCDMG
155	51132 62322	   	192.55	ACR|1BASARM|2BEXP|2VULN|1SELL	1SELL|2RCR|3RCVC|46BEXP|57VULN|8LHND|9LWND|aBASARM
156	51212 31562	   	192.55	ACR|1BASARM|2BEXP|1DMG|1SELL	1SELL|2RCR|3CGEN|4LWND|58BEXP|6DMG|7ERES|9ZMB|aBASARM
157	51312 62322	   	192.55	ACR|1BASARM|2BEXP|2VULN|1SELL	1SELL|2RCR|36BEXP|4RCVC|57VULN|8LHND|9LWND|aBASARM
158	51133 34524	 * 	192.55	ACR|1BASARM|2BEXP|1ASPD|1SELL	1SELL|2RCR|3RCVC|46BEXP|5LWND|7MBVNT|8DUR|9BASARM|aASPD
159	51313 34524	 * 	192.55	ACR|1BASARM|2BEXP|1ASPD|1SELL	1SELL|2RCR|36BEXP|4RCVC|5LWND|7MBVNT|8DUR|9BASARM|aASPD
160	51132 24322	   	192.45	ACR|1BASARM|2BEXP|2VULN|1SELL	1SELL|2RCR|3RCVC|48BEXP|56VULN|7MBVNT|9LWND|aBASARM
161	51132 24382	   	192.45	ACR|1BASARM|2BEXP|2VULN|1SELL	1SELL|2RCR|3RCVC|48BEXP|56VULN|7MBVNT|9FEWX|aBASARM
162	51132 26152	   	192.45	ACR|1BASARM|2BEXP|2VULN|1SELL	1SELL|2RCR|39RCVC|48BEXP|56VULN|7MDPS|aBASARM
163	51312 24322	   	192.45	ACR|1BASARM|2BEXP|2VULN|1SELL	1SELL|2RCR|38BEXP|4RCVC|56VULN|7MBVNT|9LWND|aBASARM
164	51312 24382	   	192.45	ACR|1BASARM|2BEXP|2VULN|1SELL	1SELL|2RCR|38BEXP|4RCVC|56VULN|7MBVNT|9FEWX|aBASARM
165	51312 26152	   	192.45	ACR|1BASARM|2BEXP|2VULN|1SELL	1SELL|2RCR|38BEXP|49RCVC|56VULN|7MDPS|aBASARM
166	51343 22323	   	192.45	ACR|1BASARM|2BEXP|2CDMG|1SELL	1SELL|2RCR|39BEXP|4RPLT|5CGEN|69DUST|7MDPS|89CDMG|9BPWR|aBASARM
167	51353 35323	   	192.35	ACR|1BASARM|2BEXP|1DMG|1SELL	1SELL|2RCR|38BEXP|4ERES|5DUST|6DMG|7MDPS|9LWND|aBASARM
168	44311 22643	 * 	192.34	ACR|2BASARM|2VULN|1CDMG	1CGEN|2RCR|3SPLREG|4CDMG|57VULN|6MBVNT|8aBASARM|9RMIN
169	22113 55261	   	191.92	ACR|3ASPD|2DMG|2CDMG	18DMG|28CDMG|3AEMAG|4aRCVC|5RCR|6LIT|789ASPD|8BPWR
170	23438 41724	 * 	191.92	ACR|3BEXP|2DMG|2VULN|1CDMG	19DMG|2MBVNT|3DUST|49VULN|5RCR|6CDMG|7LWND|89aBEXP|9BPWR
171	23828 84444	   	191.86	ACR|1BASARM|2DMG|1ASPD	19DMG|2MBVNT|3LHND|4RCR|5BELT|6BASARM|7DUST|8LWND|aASPD
172	22113 55262	   	191.82	ACR|3ASPD|2DMG|2CDMG	18DMG|28CDMG|3AEMAG|4RCVC|5RCR|6LIT|789ASPD|8BPWR|aERES
173	51351 12226	   	191.79	ACR|1BASARM|1BEXP|1CDMG|1AART|1SELL	1SELL|2RCR|3BEXP|4ERES|5MLV|6AEFBLL|7VULN|8AART|9BASARM|aCDMG
174	51351 21226	   	191.79	ACR|1BASARM|1BEXP|1CDMG|1AART|1SELL	1SELL|2RCR|3BEXP|47ERES|5MLV|6VULN|8AART|9BASARM|aCDMG
175	51351 32226	   	191.79	ACR|1BASARM|1BEXP|1CDMG|1AART|1SELL	1SELL|2RCR|3BEXP|46ERES|5MLV|7VULN|8AART|9BASARM|aCDMG
176	22113 23262	   	191.75	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1DMG|2CDMG|3AEMAG|4RCVC|5RCR|6BEXP|7DUST|8AAC|9VULN|aBASARM
177	44623 32323	   	191.61	ACR|1BASARM|1DMG|1BEXP|1AART	13CGEN|2RCR|4FEWX|5AEMAG|6BASARM|7BEXP|8ZMB|9DMG|aAART
178	44242 32472	   	191.51	ACR|1BASARM|1DMG|1CDMG|1AART	1CGEN|2RCR|3MBVNT|4ERES|5LIT|6LWND|7DMG|8CDMG|9BASARM|aAART
179	44251 42112	   	191.51	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1CGEN|2RCR|3MBVNT|4CDMG|5MLV|6LWND|7MDPS|8ASPD|9BEXP|aBASARM
180	51322 12563	   	191.46	ACR|1BASARM|1DMG|1BEXP|1CDMG|1SELL	1SELL|2RCR|3BEXP|4LIT|5DMG|6MLV|7CGEN|8LWND|9BASARM|aCDMG
181	44253 21112	   	191.41	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1CGEN|2RCR|3MBVNT|4CDMG|5DUR|6MDPS|7TLV|8ASPD|9BEXP|aBASARM
182	44311 22621	   	191.41	ACR|1BASARM|2VULN|1BEXP|1CDMG	1CGEN|2RCR|3SPLREG|4CDMG|57VULN|6MBVNT|8BASARM|9BEXP|aRPLT
183	44311 22622	   	191.41	ACR|1BASARM|2VULN|1BEXP|1CDMG	1CGEN|2RCR|3SPLREG|4CDMG|57VULN|6MBVNT|8BASARM|9BEXP|aZMB
184	44311 22641	   	191.41	ACR|1BASARM|2VULN|1BEXP|1CDMG	1CGEN|2RCR|3SPLREG|4CDMG|57VULN|6MBVNT|8BASARM|9RMIN|aBEXP
185	51322 22562	   	191.36	ACR|1BASARM|1DMG|1AART|1BEXP|1SELL	1SELL|2RCR|3BEXP|4LIT|5DMG|6AME|7CGEN|8LWND|9BASARM|aAART
186	44252 21132	   	191.31	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1CGEN|2RCR|3MBVNT|4CDMG|5BEXP|6MDPS|7TLV|8ASPD|9DUST|aBASARM
187	44311 22614	   	191.31	ACR|1BASARM|2VULN|1BEXP|1CDMG	1CGEN|2RCR|3SPLREG|4CDMG|57VULN|6MBVNT|8BASARM|9DUST|aBEXP
188	51141 23421	   	191.26	ACR|1BASARM|2VULN|1BEXP|1AART|1SELL	1SELL|2RCR|3RCVC|4AART|5BEXP|6aVULN|7ERES|8MLV|9BASARM
189	51141 23521	   	191.26	ACR|1BASARM|2VULN|1BEXP|1AART|1SELL	1SELL|2RCR|3RCVC|4AART|5BEXP|6aVULN|7ERES|8CGEN|9BASARM
190	51326 35241	   	191.16	ACR|1BASARM|2VULN|1BEXP|1CDMG|1SELL	1SELL|2RCR|3BEXP|4LIT|5MBVNT|6CDMG|7aVULN|8VENFST|9BASARM
191	51351 12221	   	191.16	ACR|1BASARM|2VULN|1BEXP|1AART|1SELL	1SELL|2RCR|3BEXP|4ERES|5MLV|6AEFBLL|7aVULN|8AART|9BASARM
192	51351 21221	   	191.16	ACR|1BASARM|2VULN|1BEXP|1AART|1SELL	1SELL|2RCR|3BEXP|47ERES|5MLV|6aVULN|8AART|9BASARM
193	51351 32221	   	191.16	ACR|1BASARM|2VULN|1BEXP|1AART|1SELL	1SELL|2RCR|3BEXP|46ERES|5MLV|7aVULN|8AART|9BASARM
194	51122 26232	   	191.02	ACR|2ASPD|2DMG|2CDMG|1SELL	1SELL|2RCR|3RCVC|4aCDMG|5CGEN|6aASPD|7DUST|8FEWX|9aDMG|aBPWR
