0	Index      	 *	Score 	Summary	Detail	
1	31231 21263	 * 	213.47	DCR|4VULN|1AART|1ASPD|1CDMG	1RPLT|24DUST|347aVULN|4BPWR|5ASPD|6CDMG|8RCR|9AART
158	12341 61263	   	192.83	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1ZMB|25DUR|3RCVC|4DMG|6aVULN|7RCR|8BEXP|9AART
159	12361 61263	   	192.83	DCR|2VULN|1AART|1ASPD|2DUR|1ZMB	1ZMB|25DUR|3RCVC|4ASPD|6aVULN|7RCR|8BEXP|9AART
160	12361 61513	   	192.83	DCR|2VULN|1AART|1ASPD|2DUR|1ZMB	1ZMB|25DUR|3RCVC|4ASPD|6aVULN|7RCR|8CGEN|9AART
161	11311 26414	   	192.77	DCR|2VULN|2DMG|1AART|1ZMB	1ZMB|2FEWX|3RCVC|4AART|57DMG|6aVULN|8ERES|9RCR
162	12341 61163	   	192.73	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1ZMB|25DUR|3RCVC|4DMG|6aVULN|7RCR|8DUST|9AART
163	12361 61163	   	192.73	DCR|2VULN|1AART|1ASPD|2DUR|1ZMB	1ZMB|25DUR|3RCVC|4ASPD|6aVULN|7RCR|8DUST|9AART
164	13632 62362	   	192.59	DCR|2VULN|2ASPD|3ZMB|1DUR	13aZMB|2LHND|4aASPD|5LIT|6RCR|7DUR|8aVULN|9RPLT|aBPWR
165	11311 23616	   	192.55	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1ZMB|28FEWX|3RCVC|4AART|5aDMG|6VULN|7ASPD|9RCR
166	43311 23516	   	192.55	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	18BEXP|2ZMB|3RCVC|4AART|5aDMG|6VULN|7ASPD|9RCR
167	63311 23616	   	192.55	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	18FEWX|2ZMB|3RCVC|4AART|5aDMG|6VULN|7ASPD|9RCR
168	12341 61236	   	192.52	DCR|1VULN|1AART|1ASPD|1DMG|2DUR|1ZMB	1ZMB|25DUR|3RCVC|4DMG|6VULN|7RCR|8BEXP|9ASPD|aAART
169	12341 61512	   	192.52	DCR|1AART|1VULN|1ASPD|1DMG|2DUR|1ZMB	1ZMB|25DUR|3RCVC|4DMG|6VULN|7RCR|8CGEN|9AART|aASPD
170	11311 26412	   	192.45	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1ZMB|2FEWX|3RCVC|4AART|57DMG|6VULN|8ERES|9RCR|aASPD
171	43311 26412	   	192.45	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1BEXP|2ZMB|3RCVC|4AART|57DMG|6VULN|8ERES|9RCR|aASPD
172	63311 26412	   	192.45	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1FEWX|2ZMB|3RCVC|4AART|57DMG|6VULN|8ERES|9RCR|aASPD
173	12341 61136	   	192.42	DCR|1VULN|1AART|1ASPD|1DMG|2DUR|1ZMB	1ZMB|25DUR|3RCVC|4DMG|6VULN|7RCR|8DUST|9ASPD|aAART
174	11311 23412	   	192.40	DCR|2ASPD|1VULN|1AART|1DMG|2ZMB	18ZMB|2FEWX|3RCVC|4AART|5DMG|6VULN|7aASPD|9RCR
175	23343 53412	   	192.40	DCR|2ASPD|1VULN|1AART|1DMG|2ZMB	1VULN|28ZMB|3RCVC|4DMG|5BEXP|6AART|7aASPD|9RCR
176	43311 23412	   	192.40	DCR|2ASPD|1VULN|1AART|1DMG|2ZMB	1BEXP|28ZMB|3RCVC|4AART|5DMG|6VULN|7aASPD|9RCR
177	63311 23412	   	192.40	DCR|2ASPD|1VULN|1AART|1DMG|2ZMB	1FEWX|28ZMB|3RCVC|4AART|5DMG|6VULN|7aASPD|9RCR
178	23363 31233	 * 	192.21	DCR|3ASPD|2VULN|1MDPS|1ZMB	19VULN|2ZMB|3RCVC|469ASPD|589BEXP|7RCR|9BPWR|aMDPS
179	23663 31233	   	192.12	DCR|3ASPD|2VULN|1MDPS|2ZMB	19VULN|23ZMB|469ASPD|589BEXP|7RCR|9BPWR|aMDPS
180	31231 22234	   	191.90	DCR|2VULN|2ASPD|1DMG|1CDMG	1RPLT|24DUST|34VULN|4BPWR|59ASPD|6CDMG|7RCVC|8RCR|aDMG
181	31231 22236	   	191.90	DCR|2VULN|2ASPD|1NUKE|1CDMG	1RPLT|24DUST|34VULN|4BPWR|59ASPD|6CDMG|7RCVC|8RCR|aNUKE
182	21433 43152	   	191.84	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	14VULN|234DUST|4BPWR|5DMG|6ZMB|7AART|8RPLT|9RCR|aASPD
183	23362 61342	   	191.79	DCR|2VULN|2ASPD|1DMG|1ZMB	19VULN|2ZMB|3RCVC|48ASPD|5LIT|6RCR|7DMG|aBEXP
184	23362 61341	   	191.69	DCR|2VULN|2ASPD|1DMG|1ZMB	19VULN|2ZMB|3RCVC|48ASPD|5LIT|6RCR|7DMG|aDUST
185	31231 21231	   	191.40	DCR|3VULN|2ASPD|1CDMG|1AAC	1RPLT|24DUST|347VULN|4BPWR|59ASPD|6CDMG|8RCR|aAAC
186	12133 34616	 * 	191.28	DCR|2DMG|1MDPS|1VULN|1ASPD|3DUR|2ZMB	14ZMB|248DUR|3MDPS|4BPWR|5VULN|6ASPD|7RCR|9aDMG
187	23516 53313	   	191.08	DCR|3VULN|1AART|1ASPD|1ZMB	15aVULN|2ZMB|3FEWX|45CGEN|5BPWR|6AART|7ASPD|8RCVC|9RCR
188	32311 26241	 * 	191.05	DCR|1SPLARM|2DMG|1VULN|1AART|2CDMG	1RPLT|28CDMG|3RCVC|4AART|57DMG|6VULN|9SPLARM|aRCR
189	43621 31352	   	190.97	DCR|2VULN|2ASPD|1CDMG|1ZMB|1DUR	14BEXP|2ZMB|36ASPD|5DUR|7RCR|89VULN|aCDMG
190	43361 31331	   	190.96	DCR|3ASPD|2VULN|1ZMB|1DUR	1BEXP|2ZMB|3RCVC|469ASPD|5DUR|7RCR|8aVULN
191	12153 34611	   	190.76	DCR|2VULN|1MDPS|1ASPD|1DMG|3DUR|1ZMB	1ZMB|248DUR|3MDPS|5aVULN|6ASPD|7RCR|9DMG
192	31231 22262	   	190.76	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1RPLT|24DUST|34VULN|4BPWR|5ASPD|6CDMG|7RCVC|8RCR|9AART|aMDPS
193	23342 61334	 * 	190.75	DCR|3DMG|2VULN|1ZMB	1aVULN|2ZMB|3RCVC|478DMG|5LIT|6RCR|9AELBLL
194	11535 51213	 * 	190.71	DCR|3ASPD|2DMG|1AART|1ZMB	1ZMB|25FEWX|3BELT|457ASPD|5BPWR|6AART|89DMG|aRCR
195	23342 61324	   	190.65	DCR|3DMG|2VULN|1ZMB	1aVULN|2ZMB|3RCVC|478DMG|5LIT|6RCR|9ERES
196	43651 31331	   	190.53	DCR|3ASPD|2VULN|1ZMB|1DUR	1BEXP|2ZMB|369ASPD|4RCVC|5DUR|7RCR|8aVULN
197	23342 61623	 * 	190.33	DCR|3DMG|1VULN|1ASPD|1ZMB	1VULN|2ZMB|3RCVC|47aDMG|5LIT|6RCR|8ASPD|9BASARM
198	11311 23312	   	190.33	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB	1ZMB|2FEWX|38RCVC|4AART|5DMG|6VULN|7aASPD|9RCR
199	23343 53312	   	190.33	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB	1VULN|2ZMB|38RCVC|4DMG|5BEXP|6AART|7aASPD|9RCR
200	23363 56312	   	190.33	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB	1VULN|2ZMB|38RCVC|4aASPD|5BEXP|6AART|7DMG|9RCR
201	43311 23312	   	190.33	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB	1BEXP|2ZMB|38RCVC|4AART|5DMG|6VULN|7aASPD|9RCR
202	63311 23312	   	190.33	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB	1FEWX|2ZMB|38RCVC|4AART|5DMG|6VULN|7aASPD|9RCR
203	23643 53312	   	190.27	DCR|2ASPD|1VULN|1AART|1DMG|2ZMB	1VULN|23ZMB|4DMG|5BEXP|6AART|7aASPD|8RCVC|9RCR
204	23361 53412	 * 	190.25	DCR|3ASPD|1VULN|1AART|1ZMB|1DUR	1VULN|2ZMB|3RCVC|47aASPD|5DUR|6AART|8ERES|9RCR
205	23344 53312	   	190.23	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB	1VULN|2ZMB|38RCVC|4DMG|5DUST|6AART|7aASPD|9RCR
206	23161 41124	   	190.22	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1ZMB	16VULN|2ZMB|3MDPS|4CDMG|56MULFIG|6BPWR|7DMG|8RCR|9RPLT|aAART
207	11622 31363	   	190.19	DCR|2VULN|2ASPD|1AART|1ZMB	1ZMB|25FEWX|36ASPD|4BEXP|7RCR|8aVULN|9AART
208	63622 31363	   	190.19	DCR|2VULN|2ASPD|1AART|1ZMB	15FEWX|2ZMB|36ASPD|4BEXP|7RCR|8aVULN|9AART
209	23161 11124	   	190.12	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1ZMB	16VULN|2ZMB|3MDPS|4CDMG|5MULFIG|7DMG|8RCR|9RPLT|aAART
210	23165 11124	   	190.12	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1ZMB	16VULN|2ZMB|3MDPS|4CDMG|5MULARM|7DMG|8RCR|9RPLT|aAART
211	31242 21236	   	190.12	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1RPLT|2DUST|37VULN|4ZMB|5DMSP|6CDMG|8RCR|9ASPD|aAART
212	31244 21236	   	190.12	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1RPLT|2DUST|37VULN|4ZMB|5AELBLL|6CDMG|8RCR|9ASPD|aAART
213	13132 21362	 * 	190.06	DCR|2VULN|2DMG|1MDPS|3ZMB|1DUR	145ZMB|245aLHND|3MDPS|45aBPWR|6DUR|7aDMG|8aVULN|9RCR
214	25632 61321	   	190.03	DCR|2VULN|3ZMB|1ASPD|1DMG	14VULN|2RMIN|34aZMB|4BPWR|5LIT|6RCR|7DMG|8ASPD|9FEWX
215	21112 53442	   	189.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	19VULN|2DUST|3AELBLL|4DMG|5RMIN|6AART|7ASPD|8ZMB|aRCR
216	21212 53452	   	189.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	13VULN|2DUST|4DMG|59RMIN|6AART|7ASPD|8ZMB|aRCR
217	23161 41163	 * 	189.84	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1AAC|1ZMB	16VULN|2ZMB|3MDPS|4CDMG|56MULFIG|6BPWR|7DMG|8RCR|9ASPD|aAAC
218	21433 23625	   	189.84	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	14VULN|234DUST|4BPWR|5DMG|6ASPD|7CGEN|8ZMB|9AART|aRCR
219	21433 31625	   	189.84	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	14VULN|234DUST|4BPWR|5DMG|6CGEN|7ASPD|8ZMB|9AART|aRCR
220	21113 53442	   	189.84	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	19VULN|2DUST|3AELBLL|4DMG|5TLV|6AART|7ASPD|8ZMB|aRCR
221	21433 41125	   	189.84	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	14VULN|234DUST|4BPWR|5DMG|6ZMB|7ASPD|8AME|9AART|aRCR
222	11363 31354	   	189.79	DCR|2VULN|2ASPD|1DMG|1ZMB	1ZMB|2FEWX|3RCVC|46ASPD|5BEXP|7RCR|89VULN|aDMG
223	11363 31356	   	189.79	DCR|2VULN|2ASPD|1NUKE|1ZMB	1ZMB|2FEWX|3RCVC|46ASPD|5BEXP|7RCR|89VULN|aNUKE
224	23161 11163	   	189.74	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1AAC|1ZMB	16VULN|2ZMB|3MDPS|4CDMG|5MULFIG|7DMG|8RCR|9ASPD|aAAC
225	23165 11163	   	189.74	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1AAC|1ZMB	16VULN|2ZMB|3MDPS|4CDMG|5MULARM|7DMG|8RCR|9ASPD|aAAC
226	21433 41225	   	189.74	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	14VULN|234DUST|4BPWR|5DMG|6ZMB|7ASPD|8ERES|9AART|aRCR
227	11633 31354	   	189.69	DCR|2VULN|2ASPD|1DMG|2ZMB	14ZMB|2FEWX|36ASPD|5BEXP|7RCR|89VULN|aDMG
228	11633 31356	   	189.69	DCR|2VULN|2ASPD|1NUKE|2ZMB	14ZMB|2FEWX|36ASPD|5BEXP|7RCR|89VULN|aNUKE
229	31231 21253	   	189.69	DCR|4VULN|1ASPD|1CDMG	1RPLT|24DUST|3479VULN|4BPWR|5ASPD|6CDMG|8RCR|aLWND
230	23363 31154	   	189.69	DCR|2VULN|2ASPD|1DMG|1ZMB	19VULN|2ZMB|3RCVC|46ASPD|5BEXP|7RCR|8DUST|aDMG
231	23363 31156	   	189.69	DCR|2VULN|2ASPD|1NUKE|1ZMB	19VULN|2ZMB|3RCVC|46ASPD|5BEXP|7RCR|8DUST|aNUKE
232	21213 53316	   	189.62	DCR|2VULN|1AART|1ASPD|1DMG	13VULN|2DUST|4DMG|5TLV|6AART|7ASPD|8RCVC|9RCR|aSPLREG
233	31233 21253	   	189.59	DCR|4VULN|1ASPD|1CDMG|1AAC	1RPLT|24DUST|3479VULN|4BPWR|5AAC|6CDMG|8RCR|aASPD
234	31233 21254	   	189.59	DCR|4VULN|1DMG|1CDMG|1AAC	1RPLT|24DUST|3479VULN|4BPWR|5AAC|6CDMG|8RCR|aDMG
235	23341 31263	   	189.56	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1aVULN|2ZMB|36RCVC|4DMG|5DUR|7RCR|8BEXP|9AART
236	23341 31463	   	189.56	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1aVULN|2ZMB|36RCVC|4DMG|5DUR|7RCR|8FEWX|9AART
237	23341 31514	   	189.56	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1aVULN|2ZMB|36RCVC|4DMG|5DUR|7RCR|8CGEN|9AART
238	23361 31263	   	189.56	DCR|2VULN|1AART|1ASPD|1ZMB|1DUR	1aVULN|2ZMB|36RCVC|4ASPD|5DUR|7RCR|8BEXP|9AART
239	23361 31356	   	189.56	DCR|2VULN|1AART|1ASPD|1ZMB|1DUR	19VULN|2ZMB|36RCVC|4ASPD|5DUR|7RCR|8LWND|aAART
240	23361 31463	   	189.56	DCR|2VULN|1AART|1ASPD|1ZMB|1DUR	1aVULN|2ZMB|36RCVC|4ASPD|5DUR|7RCR|8FEWX|9AART
241	23361 31513	   	189.56	DCR|2VULN|1AART|1ASPD|1ZMB|1DUR	1aVULN|2ZMB|36RCVC|4ASPD|5DUR|7RCR|8CGEN|9AART
242	32311 21443	   	189.53	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RPLT|2CDMG|3RCVC|4AART|5DMG|69VULN|7MLV|8ZMB|aRCR
243	23641 31263	   	189.53	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	1aVULN|23ZMB|4DMG|5DUR|6RCVC|7RCR|8BEXP|9AART
244	23661 31263	   	189.53	DCR|2VULN|1AART|1ASPD|2ZMB|1DUR	1aVULN|23ZMB|4ASPD|5DUR|6RCVC|7RCR|8BEXP|9AART
245	23661 31513	   	189.53	DCR|2VULN|1AART|1ASPD|2ZMB|1DUR	1aVULN|23ZMB|4ASPD|5DUR|6RCVC|7RCR|8CGEN|9AART
246	23363 53112	   	189.50	DCR|2VULN|2ASPD|1AART|1ZMB	1aVULN|2ZMB|3RCVC|47ASPD|5BEXP|6AART|8RMIN|9RCR
247	41123 13563	   	189.46	DCR|4VULN|1AART|1DUR	1BEXP|2DUST|378aVULN|4AELBLL|5DUR|6RCR|9AART
248	61123 13563	   	189.46	DCR|4VULN|1AART|1DUR	1FEWX|2DUST|378aVULN|4AELBLL|5DUR|6RCR|9AART
249	23341 31163	   	189.46	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1aVULN|2ZMB|36RCVC|4DMG|5DUR|7RCR|8DUST|9AART
250	23341 31673	   	189.46	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1aVULN|2ZMB|36RCVC|4DMG|5DUR|7RCR|8MBVNT|9AART
251	23361 31163	   	189.46	DCR|2VULN|1AART|1ASPD|1ZMB|1DUR	1aVULN|2ZMB|36RCVC|4ASPD|5DUR|7RCR|8DUST|9AART
252	23361 31673	   	189.46	DCR|2VULN|1AART|1ASPD|1ZMB|1DUR	1aVULN|2ZMB|36RCVC|4ASPD|5DUR|7RCR|8MBVNT|9AART
253	23641 31163	   	189.43	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	1aVULN|23ZMB|4DMG|5DUR|6RCVC|7RCR|8DUST|9AART
254	23661 31163	   	189.43	DCR|2VULN|1AART|1ASPD|2ZMB|1DUR	1aVULN|23ZMB|4ASPD|5DUR|6RCVC|7RCR|8DUST|9AART
255	23663 53112	   	189.41	DCR|2VULN|2ASPD|1AART|2ZMB	1aVULN|23ZMB|47ASPD|5BEXP|6AART|8RMIN|9RCR
256	23363 53413	   	189.40	DCR|2VULN|2ASPD|1AART|1ZMB	1aVULN|2ZMB|3RCVC|47ASPD|5BEXP|6AART|8ERES|9RCR
257	23364 53112	   	189.40	DCR|2VULN|2ASPD|1AART|1ZMB	1aVULN|2ZMB|3RCVC|47ASPD|5DUST|6AART|8RMIN|9RCR
258	23363 31333	   	189.39	DCR|2VULN|2ASPD|1CDMG|2ZMB	19VULN|29ZMB|3RCVC|46ASPD|5BEXP|7RCR|89AELBLL|9BPWR|aCDMG
259	25332 61312	   	189.27	DCR|1AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1VULN|2RMIN|3RCVC|4ZMB|5LIT|6RCR|7DMG|8ASPD|9DUR|aAART
260	12311 54613	   	189.24	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ZMB|2DUR|36RCVC|4AART|5DMG|7RCR|8BEXP|9ASPD|aVULN
261	23341 31236	   	189.24	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1VULN|2ZMB|36RCVC|4DMG|5DUR|7RCR|8BEXP|9ASPD|aAART
262	23341 31436	   	189.24	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1VULN|2ZMB|36RCVC|4DMG|5DUR|7RCR|8FEWX|9ASPD|aAART
263	23341 31512	   	189.24	DCR|1AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1VULN|2ZMB|36RCVC|4DMG|5DUR|7RCR|8CGEN|9AART|aASPD
264	23361 31516	   	189.24	DCR|1AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1VULN|2ZMB|36RCVC|4ASPD|5DUR|7RCR|8CGEN|9AART|aDMG
265	23641 31236	   	189.21	DCR|1VULN|1AART|1ASPD|1DMG|2ZMB|1DUR	1VULN|23ZMB|4DMG|5DUR|6RCVC|7RCR|8BEXP|9ASPD|aAART
266	23641 31512	   	189.21	DCR|1AART|1VULN|1ASPD|1DMG|2ZMB|1DUR	1VULN|23ZMB|4DMG|5DUR|6RCVC|7RCR|8CGEN|9AART|aASPD
267	11311 23612	   	189.18	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB	1ZMB|28FEWX|3RCVC|4AART|5DMG|6VULN|7aASPD|9RCR
268	23343 53512	   	189.18	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB	1VULN|2ZMB|3RCVC|4DMG|58BEXP|6AART|7aASPD|9RCR
269	23363 53116	   	189.18	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB	1VULN|2ZMB|3RCVC|47ASPD|5BEXP|6AART|8RMIN|9RCR|aDMG
270	43311 23512	   	189.18	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB	18BEXP|2ZMB|3RCVC|4AART|5DMG|6VULN|7aASPD|9RCR
271	63311 23612	   	189.18	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB	18FEWX|2ZMB|3RCVC|4AART|5DMG|6VULN|7aASPD|9RCR
272	12311 54513	   	189.14	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ZMB|2DUR|36RCVC|4AART|5DMG|7RCR|8DUST|9ASPD|aVULN
273	23341 31136	   	189.14	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1VULN|2ZMB|36RCVC|4DMG|5DUR|7RCR|8DUST|9ASPD|aAART
274	23341 31637	   	189.14	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1VULN|2ZMB|36RCVC|4DMG|5DUR|7RCR|8MBVNT|9ASPD|aAART
275	23641 31136	   	189.11	DCR|1VULN|1AART|1ASPD|1DMG|2ZMB|1DUR	1VULN|23ZMB|4DMG|5DUR|6RCVC|7RCR|8DUST|9ASPD|aAART
276	23342 64323	 * 	188.89	DCR|2DMG|2ASPD|1VULN|1ZMB	1VULN|2ZMB|3RCVC|4aDMG|5LIT|6RCR|78ASPD|9BASARM
277	23362 61323	   	188.89	DCR|2DMG|2ASPD|1VULN|1ZMB	1VULN|2ZMB|3RCVC|48ASPD|5LIT|6RCR|7aDMG|9BASARM
278	23362 64323	   	188.89	DCR|2DMG|2ASPD|1VULN|1ZMB	1VULN|2ZMB|3RCVC|47ASPD|5LIT|6RCR|8aDMG|9BASARM
279	21231 63364	   	188.81	DCR|4VULN|2CDMG|2DUR	134aVULN|24DUST|4aBPWR|5aDUR|6CGEN|7MLV|8aCDMG|9RCR
280	23662 61323	   	188.80	DCR|2DMG|2ASPD|1VULN|2ZMB	1VULN|23ZMB|48ASPD|5LIT|6RCR|7aDMG|9BASARM
281	21231 43364	   	188.71	DCR|4VULN|2CDMG|2DUR	134aVULN|24DUST|4aBPWR|5aDUR|6ERES|7MLV|8aCDMG|9RCR
282	24236 21335	   	188.68	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	134VULN|24LWND|4BPWR|5ZMB|6DUR|7CGEN|8CDMG|9DMG|aRCR
283	24236 23335	   	188.68	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	134VULN|24LWND|4BPWR|5ZMB|6DUR|7MLV|8CDMG|9DMG|aRCR
284	32532 56111	   	188.51	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1RPLT|2CDMG|3BELT|4ASPD|5aVULN|6ZMB|7RCR|8AME|9DMG
285	41123 13343	 * 	188.38	DCR|2VULN|1DMG|1NUKE|1CDMG|1DUR	1BEXP|2DUST|37VULN|4AELBLL|5DUR|6RCR|8CDMG|9DMG|aNUKE
286	41123 13344	   	188.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1BEXP|2DUST|37VULN|4AELBLL|5DUR|6RCR|8CDMG|9DMG|aASPD
287	61123 13343	   	188.38	DCR|2VULN|1DMG|1NUKE|1CDMG|1DUR	1FEWX|2DUST|37VULN|4AELBLL|5DUR|6RCR|8CDMG|9DMG|aNUKE
288	61123 13344	   	188.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1FEWX|2DUST|37VULN|4AELBLL|5DUR|6RCR|8CDMG|9DMG|aASPD
289	11311 26116	   	188.14	DCR|3DMG|1VULN|1AART|1ZMB	1ZMB|2FEWX|3RCVC|4AART|57aDMG|6VULN|8RMIN|9RCR
290	43311 26116	   	188.14	DCR|3DMG|1VULN|1AART|1ZMB	1BEXP|2ZMB|3RCVC|4AART|57aDMG|6VULN|8RMIN|9RCR
291	63311 26116	   	188.14	DCR|3DMG|1VULN|1AART|1ZMB	1FEWX|2ZMB|3RCVC|4AART|57aDMG|6VULN|8RMIN|9RCR
292	23663 21333	   	188.13	DCR|2VULN|3ZMB|1ASPD|1DMG	19VULN|239ZMB|4ASPD|56BEXP|7RCR|89AELBLL|9BPWR|aDMG
293	23153 31133	 * 	188.10	DCR|3VULN|1MDPS|3ZMB|1ASPD|1DUR	178VULN|279ZMB|3MDPS|4DUR|5ASPD|67CGEN|7BPWR|aRCR
294	21236 33223	   	188.08	DCR|4VULN|1DMG|1ZMB|1DUR	1347VULN|24DUST|4BPWR|5ZMB|6CGEN|8DUR|9DMG|aRCR
295	21235 53223	   	188.08	DCR|4VULN|1DMG|1ZMB|1DUR	1347VULN|24DUST|4BPWR|5AME|6ZMB|8DUR|9DMG|aRCR
296	31231 21233	   	188.06	DCR|3VULN|2ASPD|1CDMG	1RPLT|24DUST|347VULN|4BPWR|59ASPD|6CDMG|8RCR|aLWND
297	11311 26416	   	188.04	DCR|3DMG|1VULN|1AART|1ZMB	1ZMB|2FEWX|3RCVC|4AART|57aDMG|6VULN|8ERES|9RCR
298	23131 24356	   	188.02	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1ZMB	17VULN|2ZMB|3MDPS|4VENFST|5DUST|6DMG|8AART|9RCR|aCDMG
299	21236 63223	   	187.98	DCR|4VULN|1DMG|1ZMB|1DUR	1347VULN|24DUST|4BPWR|5ZMB|6ERES|8DUR|9DMG|aRCR
300	23153 21133	   	187.90	DCR|3VULN|1MDPS|3ZMB|1ASPD|1DUR	178VULN|279ZMB|3MDPS|4DUR|5ASPD|67TLV|7BPWR|aRCR
301	31242 21263	   	187.89	DCR|3VULN|1AART|1CDMG|1ZMB	1RPLT|2DUST|37aVULN|4ZMB|5DMSP|6CDMG|8RCR|9AART
302	31244 21263	   	187.89	DCR|3VULN|1AART|1CDMG|1ZMB	1RPLT|2DUST|37aVULN|4ZMB|5AELBLL|6CDMG|8RCR|9AART
303	16311 34613	   	187.70	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ZMB|2RCVC|3DUR|4AART|5DMG|6DMSP|7RCR|8BEXP|9ASPD|aVULN
304	43621 31331	   	187.64	DCR|3ASPD|2VULN|1ZMB|1DUR	14BEXP|2ZMB|369ASPD|5DUR|7RCR|8aVULN
305	23632 35531	 * 	187.64	DCR|2VULN|3ZMB|2CDMG|1ASPD	1aVULN|234ZMB|5aLWND|6ASPD|7ERES|8aCDMG|9RCR|aBPWR
306	24215 31512	   	187.63	DCR|2VULN|1AART|1ASPD|1DMG|1AAC	13VULN|2LWND|4DMG|5AAC|6RCVC|7RCR|8CGEN|9AART|aASPD
307	16311 34513	   	187.60	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ZMB|2RCVC|3DUR|4AART|5DMG|6DMSP|7RCR|8DUST|9ASPD|aVULN
308	12311 34643	   	187.59	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|2DUR|3RCVC|4AART|5DMG|6DMSP|7RCR|8BEXP|9aVULN
309	43341 21363	   	187.59	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	16BEXP|2ZMB|3RCVC|4DMG|5DUR|7RCR|8aVULN|9AART
310	43361 21363	   	187.59	DCR|2VULN|1AART|1ASPD|1ZMB|1DUR	16BEXP|2ZMB|3RCVC|4ASPD|5DUR|7RCR|8aVULN|9AART
311	32535 13114	 * 	187.59	DCR|2ASPD|1VULN|1AART|2CDMG|1ZMB	1RPLT|25CDMG|3BELT|45ASPD|5BPWR|6LHND|7ZMB|8AART|9VULN|aRCR
312	21215 31436	   	187.53	DCR|2VULN|1AART|1ASPD|1DMG|1AAC	13VULN|2DUST|4DMG|5AAC|6RCVC|7RCR|8FEWX|9ASPD|aAART
313	21215 31512	   	187.53	DCR|2VULN|1AART|1ASPD|1DMG|1AAC	13VULN|2DUST|4DMG|5AAC|6RCVC|7RCR|8CGEN|9AART|aASPD
