0	Index      	 *	Score 	Summary	Detail	
1	26433 14212	 * 	268.59	DCR|DCR|2VULN|1TLV|1CDMG	1AEPOI|2ERES|39VULN|4TLV|5BBNT|6aRCR|7AME|8CDMG
164	13214 35522	   	239.85	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1TLV|2CDMG|3RMIN|4DUR|5ZMB|68RCR|7MLV|9BOSS|aERES
165	13214 35531	   	239.85	DCR|DCR|1TLV|1MLV|1DUR|1CDMG|1MSE	1TLV|2CDMG|3RMIN|4DUR|5ZMB|68RCR|7MLV|9LWND|aMSE
166	13213 42326	   	239.75	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1TLV|2CDMG|3RMIN|4DUR|5BEXP|6MLV|7MDPS|8MBVNT|9aRCR
167	13215 42326	   	239.75	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1TLV|2CDMG|3RMIN|4DUR|5MLV|6BEXP|7MDPS|8MBVNT|9aRCR
168	13215 52326	   	239.75	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1TLV|2CDMG|3RMIN|4DUR|5MLV|6FEWX|7MDPS|8MBVNT|9aRCR
169	13521 46332	   	239.75	DCR|DCR|1TLV|1MLV|1AART|1CDMG	1TLV|2CDMG|3BEXP|4AART|5MDPS|6BBNT|7MLV|8ZMB|9aRCR
170	13215 22326	   	239.65	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1TLV|2CDMG|3RMIN|4DUR|5MLV|6DUST|7MDPS|8MBVNT|9aRCR
171	23824 41726	   	239.65	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1AEPOI|2MBVNT|3DUR|4CDMG|5BBNT|6MLV|7RMIN|8TLV|9aRCR
172	12221 14325	   	239.27	DCR|DCR|2TLV|1VULN	18TLV|2LWND|3RPLT|4VULN|5MDPS|6CGEN|7AME|9aRCR
173	12255 22225	   	239.27	DCR|DCR|2TLV|1VULN	15TLV|24LWND|3RPLT|6DUST|7MDPS|8VULN|9aRCR
174	12221 65325	   	239.17	DCR|DCR|2TLV|1VULN	18TLV|2LWND|3RPLT|4VULN|5MDPS|67AEWIND|9aRCR
175	23426 38235	   	238.73	DCR|DCR|1VULN|1MLV|1CDMG	1AEPOI|2MBVNT|3LEGI|4CDMG|5MLV|68RCR|7MDPS|9VULN|aASPD
176	15125 33315	 * 	238.66	DCR|DCR|3CDMG|1TLV|1MLV|1AAC	1TLV|2LHND|3AAC|479CDMG|5MLV|6aRCR|8RAT
177	32453 63213	 * 	238.61	DCR|3VULN|2DUR|1TLV|1DMG	19DUR|29LIT|3BOSS|4TLV|5DMG|6MBVNT|789VULN|9BPWR|aRCR
