0	Index      	 *	Score 	Summary	Detail	
1	36233 21621	 * 	213.65	ACR|4VULN|2DMG|1AART|2CDMG	168aVULN|25DMG|3RCR|45CDMG|5BPWR|7LHND|9AART
181	36232 42531	   	194.71	ACR|3VULN|2AART|1DMG|2CDMG	18aVULN|2DMG|3RCR|48CDMG|568LHND|79AART|8BPWR
182	36241 12411	   	194.69	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	168VULN|2DMG|3RCR|4LWND|5CDMG|7AART|9ASPD|aZMB
183	36261 12411	   	194.69	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	168VULN|2DMG|3RCR|4LHND|5CDMG|7AART|9ASPD|aZMB
184	56221 12411	   	194.69	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|2DMG|3RCR|468VULN|5CDMG|7AART|9ASPD|aZMB
185	36232 12411	   	194.69	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	168VULN|2DMG|3RCR|4CDMG|5LHND|7AART|9ASPD|aZMB
186	36232 12535	   	194.61	ACR|3VULN|2AART|1DMG|2CDMG	168VULN|2DMG|3RCR|48CDMG|58LHND|79AART|8BPWR|aERES
187	36223 16631	   	194.59	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	145VULN|2DMG|3RCR|6ERES|7AART|8CDMG|9DUR|aZMB
188	36222 13332	   	194.44	ACR|3VULN|3DMG|1AART	148VULN|257DMG|3RCR|6ERES|9DMSP|aAART
189	36225 16113	   	194.34	ACR|3VULN|2DMG|1AART|1CDMG	145VULN|25DMG|3RCR|5BPWR|6ERES|7AART|8CGEN|9RMIN|aCDMG
190	36232 12451	   	194.34	ACR|3VULN|2DMG|1AART|1CDMG	168VULN|2aDMG|3RCR|4CDMG|5LHND|7AART|9LWND
191	36241 12421	   	194.24	ACR|3VULN|2DMG|1AART|1CDMG	168VULN|2aDMG|3RCR|4LWND|5CDMG|7AART|9DUST
192	36261 12421	   	194.24	ACR|3VULN|2DMG|1AART|1CDMG	168VULN|2aDMG|3RCR|4LHND|5CDMG|7AART|9DUST
193	56221 12421	   	194.24	ACR|3VULN|2DMG|1AART|1CDMG	1LWND|2aDMG|3RCR|468VULN|5CDMG|7AART|9DUST
194	36225 16233	   	194.24	ACR|3VULN|2DMG|1AART|1CDMG	145VULN|25DMG|3RCR|5BPWR|6ERES|7AART|8DMSP|9LEGI|aCDMG
195	36232 12421	   	194.24	ACR|3VULN|2DMG|1AART|1CDMG	168VULN|2aDMG|3RCR|4CDMG|5LHND|7AART|9DUST
196	36223 23264	   	194.20	ACR|3VULN|3DMG|1AART|1SELL	145VULN|289DMG|3RCR|6SELL|7BASHEA|aAART
197	36233 53133	   	194.02	ACR|3VULN|2DMG|3CDMG|2DUR	18aVULN|25DMG|3RCR|457CDMG|5aBPWR|6aERES|9aDUR
198	36225 12611	   	193.74	ACR|3VULN|2DMG|1AART|1CDMG	145VULN|25DMG|3RCR|5BPWR|6ERES|7LIT|8AART|9CDMG|aLWND
199	36225 12612	   	193.74	ACR|3VULN|2DMG|1AART|1CDMG	145VULN|25DMG|3RCR|5BPWR|6ERES|7LIT|8AART|9CDMG|aRMIN
200	36225 12613	   	193.74	ACR|3VULN|2DMG|1AART|1CDMG	145VULN|25DMG|3RCR|5BPWR|6ERES|7LIT|8AART|9CDMG|aLHND
201	36233 61533	   	193.69	ACR|3VULN|2DMG|2CDMG|1ZMB	18aVULN|25DMG|3RCR|45CDMG|5BPWR|6ZMB|7LIT|9ASPD
202	36233 64123	   	193.69	ACR|3DMG|2VULN|2CDMG|1ZMB	18VULN|258DMG|3RCR|45CDMG|58BPWR|6ZMB|78ERES|9RMIN|aASPD
203	36224 12122	   	193.69	ACR|4VULN|2DMG|1AART	1468VULN|28DMG|3RCR|5RPLT|7DMSP|8BPWR|9AART|aLWND
204	36224 12123	   	193.69	ACR|4VULN|2DMG|1AART	1468VULN|28DMG|3RCR|5RPLT|7DMSP|8BPWR|9AART|aLIT
205	36224 12124	   	193.69	ACR|4VULN|2DMG|1AART	1468VULN|28DMG|3RCR|5RPLT|7DMSP|8BPWR|9AART|aLHND
206	36224 12125	   	193.69	ACR|4VULN|2DMG|1AART	1468VULN|28DMG|3RCR|5RPLT|7DMSP|8BPWR|9AART|aMLV
207	13113 55121	   	193.67	DCR|4VULN|1AART|1DMG|1CDMG	1TLV|2CDMG|346aVULN|5DMG|7RCR|8ASPD|9AART
208	36222 13436	   	193.64	ACR|3DMG|2VULN|1AART|1CDMG	14VULN|257DMG|3RCR|6ERES|8AART|9CDMG|aRPLT
209	36222 43432	   	193.64	ACR|3DMG|2VULN|1AART|1CDMG	14VULN|257DMG|3RCR|6RMIN|8AART|9CDMG|aAIRHEL
210	36233 23224	   	193.59	ACR|3DMG|2VULN|2CDMG|1ZMB	16VULN|258DMG|3RCR|45CDMG|5BPWR|7BASHEA|9DUR|aZMB
211	36233 31224	   	193.59	ACR|3DMG|2VULN|2CDMG|1ZMB	17VULN|258DMG|3RCR|45CDMG|5BPWR|6AIRHEL|9DUR|aZMB
212	36224 12126	   	193.59	ACR|4VULN|2DMG|1AART	1468VULN|28DMG|3RCR|5RPLT|7DMSP|8BPWR|9AART|aDUST
213	36223 21122	   	193.54	ACR|4VULN|2DMG|1AART|1SELL	1458VULN|28DMG|3RCR|6SELL|78LHND|8BPWR|9AART|aLWND
214	36223 21123	   	193.54	ACR|4VULN|2DMG|1AART|1SELL	1458VULN|28DMG|3RCR|6SELL|78LHND|8BPWR|9AART|aLIT
215	36223 21124	   	193.54	ACR|4VULN|2DMG|1AART|1SELL	1458VULN|28DMG|3RCR|6SELL|78aLHND|8BPWR|9AART
216	36222 13432	   	193.54	ACR|3DMG|2VULN|1AART|1CDMG	14VULN|257DMG|3RCR|6ERES|8AART|9CDMG|aLSRREG
217	36222 13435	   	193.54	ACR|3DMG|2VULN|1AART|1CDMG	14VULN|257DMG|3RCR|6ERES|8AART|9CDMG|aAIRHEA
218	36233 46333	   	193.47	ACR|3DMG|1AART|1VULN|2CDMG|1ZMB	1VULN|25aDMG|3RCR|45CDMG|5BPWR|6LIT|7VENICY|8AART|9ZMB
219	36223 21125	   	193.44	ACR|4VULN|2DMG|1AART|1SELL	1458VULN|28DMG|3RCR|6SELL|78LHND|8BPWR|9AART|aERES
220	36225 21622	   	193.44	ACR|4VULN|2DMG|1AART|1SELL	1458VULN|25DMG|3RCR|5BPWR|6SELL|7LHND|9AART|aLWND
221	36225 21623	   	193.44	ACR|4VULN|2DMG|1AART|1SELL	1458VULN|25DMG|3RCR|5BPWR|6SELL|7LHND|9AART|aLIT
222	36532 63133	   	193.39	DCR|5VULN|3ZMB|1DMG	1478aVULN|2DMG|38aLIT|58aZMB|6RCR|8aBPWR|9DMSP
223	36225 61333	   	193.36	ACR|3VULN|2DMG|1AART	145VULN|25DMG|3RCR|5BPWR|6LHND|7ASPD|8LEGI|9AART|aDUR
224	36222 21621	   	193.34	ACR|4VULN|2DMG|1AART|1SELL	148aVULN|25DMG|3RCR|6SELL|7LHND|9AART
225	36221 22121	   	193.34	ACR|4VULN|2DMG|1AART|1SELL	148aVULN|28DMG|3RCR|58DUST|6SELL|7DMSP|8BPWR|9AART
226	36225 52323	   	193.24	ACR|3VULN|2DMG|1AART|1CDMG	145VULN|25DMG|3RCR|5BPWR|6FEWX|7MLV|8LHND|9AART|aCDMG
227	36223 43123	   	193.14	ACR|3VULN|2DMG|1AART|1CDMG	145VULN|27DMG|3RCR|6RMIN|8BEXP|9AART|aCDMG
228	36225 11522	   	193.14	ACR|3VULN|2DMG|1AART|1CDMG	145VULN|25DMG|3RCR|5BPWR|6ERES|7CGEN|8CDMG|9AART|aLWND
229	36225 11523	   	193.14	ACR|3VULN|2DMG|1AART|1CDMG	145VULN|25DMG|3RCR|5BPWR|6ERES|7CGEN|8CDMG|9AART|aLIT
230	36225 31121	   	193.09	ACR|4VULN|2DMG|1AART	1457VULN|25DMG|3RCR|5BPWR|6BELT|8BEXP|9CGEN|aAART
231	36225 31136	   	193.09	ACR|4VULN|2DMG|1AART	1457VULN|25DMG|3RCR|5BPWR|6BELT|8BEXP|9LIT|aAART
232	36225 31326	   	193.09	ACR|4VULN|2DMG|1AART	1457VULN|25DMG|3RCR|5BPWR|6BELT|8LIT|9BEXP|aAART
233	36225 31421	   	193.09	ACR|4VULN|2DMG|1AART	1457VULN|25DMG|3RCR|5BPWR|6BELT|8FEWX|9CGEN|aAART
234	36222 11521	   	193.04	ACR|3VULN|2DMG|1AART|1CDMG	14aVULN|25DMG|3RCR|6ERES|7CGEN|8CDMG|9AART
235	36223 13123	   	193.04	ACR|3VULN|2DMG|1AART|1CDMG	145VULN|27DMG|3RCR|6ERES|8BEXP|9AART|aCDMG
236	36231 15321	   	193.04	ACR|3VULN|2DMG|1AART|1CDMG	16aVULN|28DMG|3RCR|4CDMG|5ERES|7CGEN|9AART
237	36232 11432	   	193.04	ACR|3VULN|2DMG|1AART|1CDMG	168VULN|2aDMG|3RCR|4CDMG|5LHND|7DLOT|9AART
238	36241 11432	   	193.04	ACR|3VULN|2DMG|1AART|1CDMG	168VULN|2aDMG|3RCR|4LWND|5CDMG|7DLOT|9AART
239	36261 11432	   	193.04	ACR|3VULN|2DMG|1AART|1CDMG	168VULN|2aDMG|3RCR|4LHND|5CDMG|7DLOT|9AART
240	56221 11432	   	193.04	ACR|3VULN|2DMG|1AART|1CDMG	1LWND|2aDMG|3RCR|468VULN|5CDMG|7DLOT|9AART
241	36233 21163	   	192.99	ACR|3VULN|2DMG|3CDMG|1ZMB	168VULN|25DMG|3RCR|458CDMG|58BPWR|78LHND|9MGNLIT|aZMB
242	36225 31261	   	192.99	ACR|4VULN|2DMG|1AART	1457VULN|25DMG|3RCR|5BPWR|6BELT|8ERES|9FEWX|aAART
243	36233 61253	   	192.97	ACR|3DMG|1AART|1VULN|2CDMG|1ZMB	1VULN|25aDMG|3RCR|45CDMG|5BPWR|6ZMB|7LIT|8LHND|9AART
244	36233 52121	   	192.94	ACR|2VULN|2DMG|1AART|2CDMG	1aVULN|25DMG|3RCR|45CDMG|5BPWR|6ERES|7RCVC|8ASPD|9AART
245	36225 23112	   	192.89	ACR|3VULN|2DMG|1AART|1CDMG|1SELL	145VULN|25DMG|3RCR|5BPWR|6SELL|7BASHEA|8CGEN|9AART|aCDMG
246	33233 55334	   	192.89	ACR|3VULN|2DMG|3CDMG|1ZMB	159VULN|2RMIN|3RCR|459CDMG|59BPWR|6ERES|7CGEN|89DMG|aZMB
247	33233 63133	   	192.79	ACR|3VULN|2DMG|3CDMG|1ZMB	15aVULN|2RMIN|3RCR|457CDMG|5aBPWR|6ZMB|8aERES|9aDMG
248	36233 64121	   	192.79	ACR|3DMG|2VULN|3CDMG|1ZMB	18VULN|258DMG|3RCR|45aCDMG|58BPWR|6ZMB|78ERES|9RMIN
249	33211 63114	   	192.74	ACR|3VULN|2DMG|1AART|1CDMG	178VULN|2RMIN|3RCR|48LIT|5DMSP|68DMG|8BPWR|9CDMG|aAART
250	33213 62114	   	192.74	ACR|3VULN|2DMG|1AART|1CDMG	158VULN|27RMIN|3RCR|48LIT|68DMG|8BPWR|9CDMG|aAART
251	36211 23114	   	192.74	ACR|3VULN|2DMG|1AART|1CDMG	178VULN|28DMG|3RCR|48LIT|5DMSP|6RMIN|8BPWR|9CDMG|aAART
252	36213 22114	   	192.74	ACR|3VULN|2DMG|1AART|1CDMG	158VULN|28DMG|3RCR|48LIT|67RMIN|8BPWR|9CDMG|aAART
253	36225 13122	   	192.48	ACR|4VULN|3DMG	1459VULN|257DMG|3RCR|59BPWR|69ERES|89BEXP|aDUR
254	36236 21621	   	192.46	ACR|4VULN|1AART|1DMG|1CDMG	168aVULN|2DMG|3RCR|4CDMG|5RCVC|7LHND|9AART
255	36213 62214	   	192.44	ACR|3VULN|2DMG|1AART|1CDMG	157VULN|26DMG|3RCR|4LIT|8TLV|9CDMG|aAART
256	36223 13344	   	192.44	ACR|3VULN|2DMG|1AART|1CDMG	145VULN|27DMG|3RCR|6ERES|8DMSP|9CDMG|aAART
257	36223 43411	   	192.38	ACR|4VULN|3DMG	1459VULN|27aDMG|3RCR|6RMIN|8DUR
258	36225 13314	   	192.38	ACR|4VULN|3DMG	1458VULN|257DMG|3RCR|5BPWR|6ERES|9MLV|aDUR
259	36225 13316	   	192.38	ACR|4VULN|3DMG	1458VULN|257DMG|3RCR|5BPWR|6ERES|9MLV|aASPD
260	36225 13353	   	192.38	ACR|4VULN|3DMG	1458VULN|257DMG|3RCR|5BPWR|6ERES|9ASPD|aBELT
261	36225 13362	   	192.38	ACR|4VULN|3DMG	1458VULN|257DMG|3RCR|5BPWR|6ERES|9LWND|aDUR
262	36225 43332	   	192.38	ACR|4VULN|3DMG	1458VULN|257DMG|3RCR|5BPWR|6RMIN|9LEGI|aDUR
263	36225 21141	   	192.33	ACR|4VULN|3DMG|1SELL	1458VULN|258DMG|3RCR|58BPWR|6SELL|78LHND|9DUR|aDUST
264	36225 21143	   	192.33	ACR|4VULN|3DMG|1SELL	1458VULN|258DMG|3RCR|58BPWR|6SELL|78LHND|9DUR|aERES
265	36223 13411	   	192.28	ACR|4VULN|3DMG	1459VULN|27aDMG|3RCR|6ERES|8DUR
266	36225 13342	   	192.28	ACR|4VULN|3DMG	1458VULN|257DMG|3RCR|5BPWR|6ERES|9LEGI|aDUR
267	36225 13351	   	192.28	ACR|4VULN|3DMG	1458VULN|257DMG|3RCR|5BPWR|6ERES|9ASPD|aTLV
268	36225 24132	   	192.23	ACR|4VULN|3DMG|1SELL	145aVULN|259DMG|3RCR|5BPWR|6SELL|7CGEN|8ASPD
269	33233 21133	   	192.15	ACR|4VULN|3CDMG|1DMG|1FLTHEA	1568VULN|2RMIN|3RCR|458CDMG|58BPWR|78LHND|9DMG|aFLTHEA
270	36225 25132	   	192.13	ACR|4VULN|3DMG|1SELL	145aVULN|259DMG|3RCR|5BPWR|6SELL|7ERES|8ASPD
271	36233 34161	   	192.02	ACR|3DMG|1AART|1VULN|2CDMG|1ZMB|1SELL	1VULN|257DMG|3RCR|45CDMG|5BPWR|6AIRHEL|8ZMB|9SELL|aAART
272	36225 13262	   	191.93	ACR|3VULN|3DMG|1FLTHEA	145VULN|257DMG|3RCR|5BPWR|6ERES|8LHND|9FLTHEA|aDUR
273	36222 21142	   	191.88	ACR|3VULN|3DMG|1CDMG|1SELL	148VULN|258DMG|3RCR|6SELL|78LHND|8BPWR|9DUR|aCDMG
274	36223 63521	   	191.86	ACR|4VULN|1AART|1DMG|1CDMG	145aVULN|2DMG|3RCR|6LHND|7RCVC|8CDMG|9AART
275	36222 13352	   	191.83	ACR|3VULN|3DMG|1CDMG	148VULN|257DMG|3RCR|6ERES|9ASPD|aCDMG
276	36225 16131	   	191.69	ACR|3VULN|2DMG|1AART|1ZMB	145VULN|25DMG|3RCR|5BPWR|6ERES|7AART|8CGEN|9ZMB|aBEXP
277	36225 16132	   	191.69	ACR|3VULN|2DMG|1AART|1ZMB	145VULN|25DMG|3RCR|5BPWR|6ERES|7AART|8CGEN|9ZMB|aLWND
278	36225 23223	   	191.68	ACR|3VULN|3DMG|1CDMG|1SELL	145VULN|258DMG|3RCR|5BPWR|6SELL|7BASHEA|9DUR|aCDMG
279	36223 13425	   	191.62	ACR|3VULN|2DMG|1AART|2DUR	145VULN|27DMG|3RCR|6ERES|8aDUR|9AART
280	36152 25121	 * 	191.48	DCR|3VULN|2DMG|1AART|2ZMB|1SELL	18aVULN|25DMG|38ZMB|48CGEN|6SELL|7RCR|8BPWR|9AART
281	36233 21631	   	191.40	ACR|3VULN|3DMG|2CDMG	168VULN|259DMG|3RCR|45CDMG|5BPWR|7LHND|aLIT
282	36233 21633	   	191.40	ACR|3VULN|3DMG|2CDMG	168VULN|259DMG|3RCR|45CDMG|5BPWR|7aLHND
283	36233 21634	   	191.40	ACR|3VULN|3DMG|2CDMG	168VULN|259DMG|3RCR|45CDMG|5BPWR|7LHND|aFEWX
284	36233 21635	   	191.40	ACR|3VULN|3DMG|2CDMG	168VULN|259DMG|3RCR|45CDMG|5BPWR|7LHND|aMLV
285	36233 21636	   	191.40	ACR|3VULN|3DMG|2CDMG	168VULN|259DMG|3RCR|45CDMG|5BPWR|7LHND|aCGEN
286	36222 13453	 * 	191.33	ACR|3DMG|2VULN|2AART	14VULN|257DMG|3RCR|69ERES|8aAART
287	36225 12622	   	191.09	ACR|3VULN|2DMG|1AART|1ZMB	145VULN|25DMG|3RCR|5BPWR|6ERES|7LIT|8AART|9ZMB|aDMSP
288	36225 12623	   	191.09	ACR|3VULN|2DMG|1AART|1ZMB	145VULN|25DMG|3RCR|5BPWR|6ERES|7LIT|8AART|9ZMB|aRMIN
289	36222 34242	   	191.03	ACR|2VULN|2DMG|1AART|2ASPD|1FLTHEA	14VULN|25DMG|3RCR|6BELT|7aASPD|8FLTHEA|9AART
290	23225 31133	 * 	191.01	ACR|3VULN|2DMG|3ZMB	1aERES|2DUR|3RCR|47aVULN|568ZMB|9aDMG|aBPWR
291	36225 12621	   	190.99	ACR|3VULN|2DMG|1AART|1ZMB	145VULN|25DMG|3RCR|5BPWR|6ERES|7LIT|8AART|9ZMB|aDUST
292	36232 62141	   	190.92	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	19VULN|2aDMG|3RCR|4CDMG|5LHND|68DUR|7AART
293	36162 63111	   	190.91	DCR|3VULN|2DMG|2ZMB|1CDMG	178VULN|25DMG|38ZMB|48LIT|6RCR|8BPWR|9CDMG|aASPD
294	33233 64121	 * 	190.86	ACR|4VULN|1AART|2CDMG|2ZMB	158aVULN|2RMIN|3RCR|45CDMG|58BPWR|68ZMB|78ERES|9AART
295	36232 12441	   	190.85	ACR|4VULN|1AART|1DMG|1CDMG	168aVULN|2DMG|3RCR|4CDMG|59LHND|7AART
296	36233 14253	   	190.83	ACR|2VULN|2DMG|1AART|2CDMG	18VULN|25DMG|3RCR|45CDMG|5BPWR|6BEXP|7BELT|9AART|aASPD
297	36233 22253	   	190.83	ACR|2VULN|2DMG|1AART|2CDMG	16VULN|25DMG|3RCR|45CDMG|5BPWR|7BELT|8BEXP|9AART|aASPD
298	36233 22353	   	190.83	ACR|2VULN|2DMG|1AART|2CDMG	16VULN|25DMG|3RCR|45CDMG|5BPWR|7BELT|8FEWX|9AART|aASPD
299	36233 24122	   	190.83	ACR|2VULN|2DMG|1AART|2CDMG	16VULN|25DMG|3RCR|45CDMG|5BPWR|7CGEN|8ASPD|9AART|aLWND
300	36233 24123	   	190.83	ACR|2VULN|2DMG|1AART|2CDMG	16VULN|25DMG|3RCR|45CDMG|5BPWR|7CGEN|8ASPD|9AART|aLIT
301	36233 24124	   	190.83	ACR|2VULN|2DMG|1AART|2CDMG	16VULN|25DMG|3RCR|45CDMG|5BPWR|7CGEN|8ASPD|9AART|aLHND
302	36233 24125	   	190.83	ACR|2VULN|2DMG|1AART|2CDMG	16VULN|25DMG|3RCR|45CDMG|5BPWR|7CGEN|8ASPD|9AART|aMLV
303	36222 16633	   	190.82	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	14VULN|25DMG|3RCR|6ERES|7AART|8CDMG|9aDUR
304	36233 23116	   	190.73	ACR|2VULN|2DMG|1AART|2CDMG	16VULN|25DMG|3RCR|45CDMG|5BPWR|7BASHEA|8CGEN|9AART|aASPD
305	36233 31116	   	190.73	ACR|2VULN|2DMG|1AART|2CDMG	17VULN|25DMG|3RCR|45CDMG|5BPWR|6AIRHEL|8CGEN|9AART|aASPD
306	36233 24126	   	190.73	ACR|2VULN|2DMG|1AART|2CDMG	16VULN|25DMG|3RCR|45CDMG|5BPWR|7CGEN|8ASPD|9AART|aDUST
307	36233 25122	   	190.73	ACR|2VULN|2DMG|1AART|2CDMG	16VULN|25DMG|3RCR|45CDMG|5BPWR|7ERES|8ASPD|9AART|aLWND
308	36233 25123	   	190.73	ACR|2VULN|2DMG|1AART|2CDMG	16VULN|25DMG|3RCR|45CDMG|5BPWR|7ERES|8ASPD|9AART|aLIT
309	36233 25124	   	190.73	ACR|2VULN|2DMG|1AART|2CDMG	16VULN|25DMG|3RCR|45CDMG|5BPWR|7ERES|8ASPD|9AART|aLHND
310	36233 25125	   	190.73	ACR|2VULN|2DMG|1AART|2CDMG	16VULN|25DMG|3RCR|45CDMG|5BPWR|7ERES|8ASPD|9AART|aMLV
311	36233 25126	   	190.63	ACR|2VULN|2DMG|1AART|2CDMG	16VULN|25DMG|3RCR|45CDMG|5BPWR|7ERES|8ASPD|9AART|aDUST
312	36233 54121	   	190.63	ACR|2VULN|2DMG|1AART|2CDMG	1aVULN|25DMG|3RCR|45CDMG|5BPWR|67ERES|8ASPD|9AART
313	33213 63111	   	190.57	ACR|4VULN|2DMG|1CDMG	1578VULN|2RMIN|3RCR|48LIT|68DMG|8BPWR|9CDMG|aASPD
314	33213 63113	   	190.57	ACR|4VULN|2DMG|1CDMG	1578VULN|2RMIN|3RCR|48LIT|68DMG|8BPWR|9CDMG|aDUR
315	36213 23111	   	190.57	ACR|4VULN|2DMG|1CDMG	1578VULN|28DMG|3RCR|48LIT|6RMIN|8BPWR|9CDMG|aASPD
316	36213 23113	   	190.57	ACR|4VULN|2DMG|1CDMG	1578VULN|28DMG|3RCR|48LIT|6RMIN|8BPWR|9CDMG|aDUR
317	36223 42111	   	190.57	ACR|4VULN|2DMG|1CDMG	1458VULN|28DMG|3RCR|6RMIN|78LIT|8BPWR|9CDMG|aASPD
318	36223 42113	   	190.57	ACR|4VULN|2DMG|1CDMG	1458VULN|28DMG|3RCR|6RMIN|78LIT|8BPWR|9CDMG|aDUR
319	36222 31625	   	190.37	ACR|4VULN|2DMG|1CDMG	1478VULN|25DMG|3RCR|6BELT|9CDMG|aASPD
320	36235 23235	   	190.27	ACR|4VULN|2DMG|1CDMG	156aVULN|28DMG|3RCR|4CDMG|7BASHEA|9DUR
321	36235 31235	   	190.27	ACR|4VULN|2DMG|1CDMG	157aVULN|28DMG|3RCR|4CDMG|6AIRHEL|9DUR
322	36241 12512	   	190.20	ACR|3VULN|1AART|1DMG|2CDMG	168VULN|2DMG|3RCR|48LWND|58CDMG|7AART|8BPWR|9ASPD|aBELT
323	36241 12513	   	190.20	ACR|3VULN|1AART|1DMG|2CDMG	168VULN|2DMG|3RCR|48LWND|58CDMG|7AART|8BPWR|9ASPD|aCGEN
324	36261 12512	   	190.20	ACR|3VULN|1AART|1DMG|2CDMG	168VULN|2DMG|3RCR|48LHND|58CDMG|7AART|8BPWR|9ASPD|aBELT
325	36261 12513	   	190.20	ACR|3VULN|1AART|1DMG|2CDMG	168VULN|2DMG|3RCR|48LHND|58CDMG|7AART|8BPWR|9ASPD|aCGEN
326	56221 12512	   	190.20	ACR|3VULN|1AART|1DMG|2CDMG	18LWND|2DMG|3RCR|468VULN|58CDMG|7AART|8BPWR|9ASPD|aBELT
327	56221 12513	   	190.20	ACR|3VULN|1AART|1DMG|2CDMG	18LWND|2DMG|3RCR|468VULN|58CDMG|7AART|8BPWR|9ASPD|aCGEN
328	36232 12512	   	190.20	ACR|3VULN|1AART|1DMG|2CDMG	168VULN|2DMG|3RCR|48CDMG|58LHND|7AART|8BPWR|9ASPD|aBELT
329	36232 12513	   	190.20	ACR|3VULN|1AART|1DMG|2CDMG	168VULN|2DMG|3RCR|48CDMG|58LHND|7AART|8BPWR|9ASPD|aCGEN
330	36232 12514	   	190.20	ACR|3VULN|1AART|1DMG|2CDMG	168VULN|2DMG|3RCR|48CDMG|58LHND|7AART|8BPWR|9ASPD|aRPLT
331	36232 12553	   	190.20	ACR|3VULN|1AART|1DMG|2CDMG	168VULN|2DMG|3RCR|48CDMG|58LHND|7AART|8BPWR|9LWND|aDUR
332	36632 25121	 * 	190.17	DCR|3VULN|2DMG|1AART|2ASPD|1SELL	18aVULN|25DMG|38ASPD|48CGEN|6SELL|7RCR|8BPWR|9AART
333	33232 12461	   	190.13	ACR|5VULN|1AART|2CDMG	1689aVULN|2RMIN|3RCR|49CDMG|59LHND|7AART|9BPWR
334	33261 12461	   	190.13	ACR|5VULN|1AART|2CDMG	1689aVULN|2RMIN|3RCR|49LHND|59CDMG|7AART|9BPWR
335	63221 12461	   	190.13	ACR|5VULN|1AART|2CDMG	19LHND|2RMIN|3RCR|4689aVULN|59CDMG|7AART|9BPWR
336	36233 26621	   	190.11	ACR|4VULN|2DMG|1AART|2CDMG|1MSE	168aVULN|25DMG|3RCR|45CDMG|5BPWR|7MSE|9AART
337	36232 12516	   	190.10	ACR|3VULN|1AART|1DMG|2CDMG	168VULN|2DMG|3RCR|48CDMG|58LHND|7AART|8BPWR|9ASPD|aDUST
338	36232 12524	   	190.10	ACR|3VULN|1AART|1DMG|2CDMG	168VULN|2DMG|3RCR|48CDMG|58LHND|7AART|8BPWR|9DUST|aDUR
339	36225 52112	   	189.99	ACR|3VULN|2DMG|1AART|1ZMB	145VULN|25DMG|3RCR|5BPWR|6FEWX|7MLV|8ZMB|9CGEN|aAART
340	36235 21133	   	189.95	ACR|4VULN|2DMG|2CDMG	1568VULN|29DMG|3RCR|48CDMG|78LHND|8BPWR|aLIT
341	36235 21134	   	189.95	ACR|4VULN|2DMG|2CDMG	1568VULN|29DMG|3RCR|48CDMG|78LHND|8BPWR|aBEXP
342	36235 21136	   	189.95	ACR|4VULN|2DMG|2CDMG	1568VULN|29DMG|3RCR|48CDMG|78LHND|8BPWR|aRMIN
343	36233 24512	 * 	189.94	ACR|2VULN|2DMG|3CDMG|1AART	16VULN|25DMG|3RCR|45aCDMG|5BPWR|7CGEN|8MGNLIT|9AART
344	36221 11636	   	189.93	ACR|3VULN|1AART|1DMG|1CDMG	146VULN|2DMG|3RCR|5DUST|7ASPD|8AART|9DUR|aCDMG
345	33233 23231	   	189.85	ACR|4VULN|2DMG|2CDMG	156aVULN|2RMIN|3RCR|45CDMG|5aBPWR|7aBASHEA|8aDMG|9RPLT
346	33233 31231	   	189.85	ACR|4VULN|2DMG|2CDMG	157aVULN|2RMIN|3RCR|45CDMG|5aBPWR|6aAIRHEL|8aDMG|9RPLT
347	36233 16632	   	189.85	ACR|4VULN|2DMG|2CDMG	189aVULN|25DMG|3RCR|45CDMG|5BPWR|6BEXP|7FEWX
348	36233 21332	   	189.85	ACR|4VULN|2DMG|2CDMG	169aVULN|25DMG|3RCR|45CDMG|5BPWR|7LHND|8BEXP
349	36235 21131	   	189.85	ACR|4VULN|2DMG|2CDMG	1568VULN|29DMG|3RCR|48CDMG|78LHND|8BPWR|aERES
350	36235 21132	   	189.85	ACR|4VULN|2DMG|2CDMG	1568VULN|29DMG|3RCR|48CDMG|78LHND|8BPWR|aLEGI
351	36233 23112	   	189.84	ACR|2VULN|2DMG|3CDMG|1AART	16VULN|25DMG|3RCR|45aCDMG|5BPWR|7BASHEA|8CGEN|9AART
352	36233 31112	   	189.84	ACR|2VULN|2DMG|3CDMG|1AART	17VULN|25DMG|3RCR|45aCDMG|5BPWR|6AIRHEL|8CGEN|9AART
353	36225 14112	   	189.79	ACR|3VULN|2DMG|1AART|1ZMB	145VULN|25DMG|3RCR|5BPWR|6ERES|7DUST|8ZMB|9CGEN|aAART
354	36225 31632	   	189.65	ACR|5VULN|2DMG	14578VULN|25DMG|3RCR|5BPWR|6BELT|9LWND|aDUR
355	36235 21622	   	189.65	ACR|4VULN|1AART|1DMG|1CDMG	1568VULN|2DMG|3RCR|4CDMG|7LHND|9AART|aLWND
356	36235 21623	   	189.65	ACR|4VULN|1AART|1DMG|1CDMG	1568VULN|2DMG|3RCR|4CDMG|7LHND|9AART|aLIT
