0	Index      	 *	Score 	Summary	Detail	
1	13413 41154	 * 	295.31	ACR|DCR|2VULN|1TLV|1AEFBLL	1MLV|2LHND|39VULN|4MBVNT|57RCR|6CGEN|8TLV|aAEFBLL
153	42123 32312	   	266.66	DCR|2TLV|1VULN|2ASPD|1DMG|1CDMG	14ASPD|24TLV|3RMIN|4BPWR|5ZMB|6TSLHEL|7RCR|8VULN|9DMG|aCDMG
154	42123 32324	   	266.66	DCR|2TLV|1VULN|2ASPD|1AEFBLL|1CDMG	14ASPD|24TLV|3RMIN|4BPWR|5ZMB|6TSLHEL|7RCR|8VULN|9AEFBLL|aCDMG
155	36113 34115	   	266.52	DCR|2TLV|2VULN|1CDMG|2RAT|1DUR	1MDPS|26TLV|3CDMG|4aRAT|56VULN|6BPWR|7RCR|8DUR|9RPLT
156	63141 23314	   	266.16	DCR|3VULN|1TLV|1DMG|1AART	1TLV|2LHND|3ZMB|479VULN|5DMG|6AART|8FEWX|aRCR
157	42123 32346	   	266.10	DCR|2TLV|2VULN|2ASPD|2ZMB	14ASPD|24TLV|3RMIN|4BPWR|59ZMB|6TSLHEL|7RCR|8aVULN
158	54412 22313	 * 	266.06	ACR|3VULN|1TLV|1AEPOI|1AART	1AART|2RCR|35aVULN|4ZMB|6AEPOI|7AME|8LSRREG|9TLV
159	63141 21214	   	266.06	DCR|3VULN|1TLV|1DMG|1AART	1TLV|2LHND|3ZMB|489VULN|5DMG|6AART|7DUST|aRCR
160	62132 12214	 * 	266.03	DCR|2TLV|1VULN|2ASPD|1DMG|2CDMG	17TLV|2AME|3RMIN|4AETHUN|57CDMG|67ASPD|7BPWR|8RCR|9DMG|aVULN
161	66132 12214	   	266.03	DCR|2TLV|1VULN|2ASPD|1DMG|2CDMG	17TLV|2MLV|3RMIN|4AETHUN|57CDMG|67ASPD|7BPWR|8RCR|9DMG|aVULN
162	13413 41135	   	265.98	ACR|DCR|1TLV|1VULN|1ASPD	1MLV|2LHND|3VULN|4MBVNT|57RCR|6CGEN|8TLV|9ASPD|aRAT
163	53331 54333	   	265.66	DCR|3VULN|2TLV|1AART	1AART|235LIT|35aBPWR|45aCGEN|6RCR|7aTLV|89aVULN
164	63414 13281	 * 	265.60	DCR|3VULN|1TLV|2DMG	1TLV|2LHND|379VULN|4MBVNT|5MDPS|68DMG|aRCR
165	13413 41147	 * 	265.45	ACR|DCR|1TLV|1VULN|1AEBURN	1MLV|2LHND|3VULN|4MBVNT|57RCR|6CGEN|8TLV|9LIT|aAEBURN
166	13413 41184	   	265.45	ACR|DCR|1TLV|1VULN|1AEFBLL	1MLV|29LHND|3VULN|4MBVNT|57RCR|6CGEN|8TLV|aAEFBLL
167	63461 23313	   	265.36	DCR|3VULN|2TLV|1AART	14TLV|2LHND|379VULN|5BEXP|6AART|8FEWX|aRCR
168	13413 41174	   	265.35	ACR|DCR|1TLV|1VULN|1AEFBLL	1MLV|2LHND|3VULN|4MBVNT|57RCR|6CGEN|8TLV|9AEFRZ|aAEFBLL
