0	Index      	 *	Score 	Summary	Detail	
1	31634 62333	 * 	218.84	DCR|2VULN|2DMG|1AART|1ASPD|2DUR	1aMSLFST|2aDUR|3ASPD|48DMG|5BELT|6RCR|7aVULN|9AART|aBPWR
155	53332 12452	 * 	190.61	DCR|2ASPD|1VULN|1DMG|3DUR|1CDMG	14ASPD|2CDMG|3DMG|569DUR|7RCR|8VULN|aRMIN
156	53332 12532	 * 	190.61	DCR|2ASPD|1AART|1DMG|3DUR|1CDMG	14ASPD|2CDMG|3DMG|56aDUR|7RCR|8CGEN|9AART
157	53332 12632	   	190.61	DCR|2ASPD|1AART|1DMG|3DUR|1CDMG	14ASPD|2CDMG|3DMG|56aDUR|7RCR|8AME|9AART
158	15612 52331	   	190.56	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1AAC	1FEWX|2CDMG|3DMG|47VULN|5MDPS|6RCR|8CGEN|9AART|aAAC
159	53112 52331	   	190.56	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1AAC	1ASPD|2CDMG|3BEXP|47VULN|5MDPS|6RCR|8CGEN|9AART|aAAC
160	53112 55131	   	190.56	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1AAC	1ASPD|2CDMG|3BEXP|48VULN|5MDPS|6RCR|7RMIN|9AART|aAAC
161	53366 31121	   	190.56	DCR|2VULN|3CDMG|1ASPD|1DMG	1ASPD|247CDMG|3DMG|5RMIN|6ERES|8RCR|9aVULN
162	53332 12322	   	190.51	DCR|2ASPD|1VULN|1DMG|3DUR|1CDMG	14ASPD|2CDMG|3DMG|56aDUR|7RCR|8LEGI|9VULN
163	53332 12451	   	190.51	DCR|2ASPD|1VULN|1DMG|3DUR|1CDMG	14ASPD|2CDMG|3DMG|569DUR|7RCR|8VULN|aERES
164	53332 12453	   	190.51	DCR|2ASPD|1VULN|1DMG|3DUR|1CDMG	14ASPD|2CDMG|3DMG|569DUR|7RCR|8VULN|aDUST
165	53112 54131	   	190.46	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1AAC	1ASPD|2CDMG|3BEXP|48VULN|5MDPS|6RCR|7ERES|9AART|aAAC
166	53155 11112	 * 	190.37	DCR|2VULN|1MDPS|3CDMG|1AART|1ASPD	1ASPD|246CDMG|34BEXP|4BPWR|5MDPS|7AART|89VULN|aRCR
167	61112 13462	   	190.37	DCR|2ASPD|1VULN|1AART|1CDMG|1ZMB|1DUR	1ZMB|2LIT|3AART|4LWND|58ASPD|6VULN|7CDMG|9RCR|aDUR
168	61122 13462	   	190.37	DCR|2ASPD|1VULN|1AART|1CDMG|1ZMB|1DUR	1ZMB|2LIT|3AART|4LHND|58ASPD|6VULN|7CDMG|9RCR|aDUR
169	61332 13462	   	190.37	DCR|2ASPD|1VULN|1AART|1CDMG|1ZMB|1DUR	1ZMB|2LIT|3LWND|4AART|58ASPD|6VULN|7CDMG|9RCR|aDUR
170	51122 11335	   	190.21	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2aLIT|3AART|4LHND|5DMG|6aVULN|7DUR|8aCGEN|9RCR|aBPWR
171	15252 44342	   	190.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1FEWX|2CDMG|3MBVNT|45VULN|6RMIN|7RCR|8AART|9DUR|aDMG
172	51122 11336	   	190.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2LIT|3AART|4LHND|5DMG|6aVULN|7DUR|8CGEN|9RCR
173	32431 11133	   	189.96	DCR|3VULN|2ASPD|1CDMG|1AAC	18MSLFST|2TLV|38aVULN|48ASPD|5RMIN|6AAC|7RCR|8BPWR|9CDMG
174	23331 46152	   	189.90	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AME|2CDMG|3DMG|4ASPD|5FEWX|6RPLT|7ZMB|8RCR|9AART|aVULN
175	23333 14131	   	189.86	DCR|2VULN|2CDMG|1ASPD|1DMG|1DUR|1SELL	1AME|2aCDMG|3DMG|4ASPD|5aCGEN|6DUR|7SELL|8aVULN|9RCR|aBPWR
176	53353 14131	   	189.86	DCR|2VULN|2CDMG|1ASPD|1DMG|1DUR|1SELL	1ASPD|2aCDMG|3DMG|4MLV|5aCGEN|6DUR|7SELL|8aVULN|9RCR|aBPWR
177	33365 32132	   	189.75	DCR|2ASPD|1VULN|1AART|1DMG|1DUR	1MSLFST|2BELT|3AART|4DUR|5VULN|6RCR|7CGEN|8aASPD|9DMG
178	23235 26411	   	189.68	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AME|2CDMG|3ERES|4ASPD|5MDPS|6DUR|7RCR|8VULN|9AART|aDMG
179	53362 24132	   	189.66	DCR|2VULN|2CDMG|1ASPD|1DMG|1DUR|1SELL	1ASPD|24CDMG|3DMG|5DUR|6LWND|7SELL|8aVULN|9RCR
180	53363 14132	   	189.66	DCR|2VULN|2CDMG|1ASPD|1DMG|1DUR|1SELL	1ASPD|24CDMG|3DMG|5BEXP|6DUR|7SELL|8aVULN|9RCR
181	23332 14131	   	189.66	DCR|2VULN|2CDMG|1ASPD|1DMG|1DUR|1SELL	1AME|2aCDMG|3DMG|4ASPD|5aERES|6DUR|7SELL|8aVULN|9RCR|aBPWR
182	53352 14131	   	189.66	DCR|2VULN|2CDMG|1ASPD|1DMG|1DUR|1SELL	1ASPD|2aCDMG|3DMG|4MLV|5aERES|6DUR|7SELL|8aVULN|9RCR|aBPWR
183	15287 24131	   	189.22	DCR|2VULN|1AART|2CDMG|1ASPD	1FEWX|29CDMG|3MBVNT|4LHND|5AART|6aVULN|7RCR|8ASPD
184	51122 11436	   	189.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1ASPD|2LIT|3AART|4LHND|5aDMG|6VULN|7DUR|8RCR|9DUST
185	15287 24132	 * 	188.90	DCR|1AART|1VULN|2CDMG|1ASPD|1DMG	1FEWX|29CDMG|3MBVNT|4LHND|5AART|6VULN|7RCR|8ASPD|aDMG
