0	Index      	 *	Score 	Summary	Detail	
1	62543 32123	 * 	229.72	3VULN|1SPLARM|2DMG|1MDPS|1ASPD|1CDMG	17DMG|27DUST|3CDMG|4ASPD|5RMIN|678VULN|7BPWR|9SPLARM|aMDPS
158	13362 84384	   	201.52	DCR|3VULN|1AART|1DMG|1CDMG	1TLV|2DMG|3AART|4MBVNT|57aVULN|6RCR|8BEXP|9CDMG
159	62323 52612	   	201.45	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	19DMG|2DUST|3DUR|4VULN|5ASPD|6AART|7RCR|8AELBLL|aZMB
160	62323 52214	 * 	201.41	DCR|2DMG|1VULN|1AART|1ASPD|3DUR	19DMG|2DUST|38aDUR|4VULN|5ASPD|6AART|7RCR
161	13345 33161	   	201.33	DCR|3VULN|1AART|1ASPD|1DMG	1TLV|2DMG|3AART|469VULN|5DMSP|7LEGI|8RCR|aASPD
162	13362 84318	 * 	201.28	DCR|2VULN|2DMG|1AART|1CDMG	1TLV|29DMG|3AART|4MBVNT|57VULN|6RCR|8BEXP|aCDMG
163	13341 53631	   	201.27	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1ZMB	1TLV|2DMG|3AART|49VULN|5AME|6RCR|7ZMB|8ASPD|aAAC
164	61142 21332	   	201.22	DCR|3ASPD|2VULN|1MDPS|1DMG|1CDMG	1DMG|2LHND|3MDPS|4CDMG|56aASPD|78VULN|9RCR
165	13343 53631	   	201.17	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1ZMB	1TLV|2DMG|3AART|49VULN|5ERES|6RCR|7ZMB|8ASPD|aAAC
166	62323 42132	   	201.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1DMG|2DUST|37DUR|4aVULN|5ASPD|6RCR|8FEWX|9AART
167	62323 42532	   	201.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1DMG|2DUST|37DUR|4aVULN|5ASPD|6RCR|8LWND|9AART
168	13362 84814	   	201.12	DCR|4VULN|1AART|1DMG	1TLV|2DMG|3AART|4MBVNT|579aVULN|6RCR|8RPLT
169	13362 84522	   	201.10	DCR|2VULN|2AART|2DMG	1TLV|28DMG|39AART|4MBVNT|57VULN|6RCR|aRPLT
170	13341 51421	   	200.78	DCR|2AART|2DMG|1VULN|1ASPD|1AAC	1TLV|28DMG|39AART|4VULN|5AME|6RCR|7AAC|aASPD
171	13362 81521	   	200.78	DCR|2AART|2DMG|1VULN|1ASPD	1TLV|28DMG|39AART|4MBVNT|5VULN|6RCR|7AELBLL|aASPD
172	62323 52352	   	200.72	DCR|2DMG|1VULN|1AART|1ASPD|2DUR	1aDMG|2DUST|3aDUR|4VULN|5ASPD|6AART|7RCR|8aBEXP|9RMIN|aBPWR
173	13343 51421	   	200.68	DCR|2AART|2DMG|1VULN|1ASPD|1AAC	1TLV|28DMG|39AART|4VULN|5ERES|6RCR|7AAC|aASPD
174	13362 84317	   	200.68	DCR|3DMG|2VULN|1AART	1TLV|29aDMG|3AART|4MBVNT|57VULN|6RCR|8BEXP
175	61423 43122	   	200.38	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	1DMG|2aLHND|3DUR|4VULN|5aASPD|6RCR|7ZMB|8AART|9aBEXP|aBPWR
176	64323 41222	   	200.15	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR|1SELL	1DMG|2BEXP|3DUR|47aVULN|5ASPD|6RCR|8ZMB|9SELL
177	62323 41222	   	200.05	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR|1SELL	1DMG|2DUST|3DUR|47aVULN|5ASPD|6RCR|8ZMB|9SELL
178	26323 52315	   	200.03	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	18BEXP|2ZMB|3DUR|4VULN|5ASPD|6aAART|7RCR|9DMG
179	62213 52335	   	199.93	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1DMG|2DUST|3LHND|4DUR|5ASPD|6aAART|7RCR|8ZMB|9VULN
180	13342 33122	   	199.91	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1TLV|2DMG|3AART|456VULN|7LEGI|8RCR|9DUR|aZMB
181	62213 43413	   	199.90	DCR|2DMG|2ASPD|1VULN|1CDMG|1DUR	17DMG|27DUST|3LHND|4DUR|57ASPD|6RCR|7BPWR|8CGEN|9VULN|aCDMG
182	62213 43422	   	199.90	DCR|2DMG|2ASPD|1VULN|1CDMG|1DUR	17DMG|27DUST|3LHND|4DUR|57ASPD|6RCR|7BPWR|8CGEN|9CDMG|aVULN
183	13516 11132	 * 	199.84	DCR|3VULN|2DMG|1CDMG|1DUR	1TLV|25DMG|357VULN|4RPLT|5BPWR|6LWND|8RCR|9CDMG|aDUR
184	13516 21132	   	199.84	DCR|3VULN|2DMG|1CDMG|1DUR	1TLV|25DMG|357VULN|4RPLT|5BPWR|6FEWX|8RCR|9CDMG|aDUR
185	26113 41352	   	199.82	DCR|2VULN|2DMG|1MDPS|1AART|1ZMB	17aBEXP|2ZMB|3MDPS|4aVULN|5aDMG|6RCR|8AART|9RMIN|aBPWR
