0	Index      	 *	Score 	Summary	Detail	
1	25531 31336	 * 	192.73	ACR|3DMG|2VULN|2AART	1LEGI|27VULN|3RCR|47aDMG|5BELT|68AART|7BPWR|9CGEN
165	42621 25223	   	173.04	ACR|3VULN|1AART|1DMG|1DUR	1RCVC|2RCR|34aVULN|59MLV|6AART|7DUR|8DMG
166	13532 24261	   	172.97	ACR|2VULN|2DMG|1AART|1DUR	1DUST|2LHND|3RCR|48DMG|5AART|6ERES|79VULN|aDUR
167	12532 23263	   	172.97	ACR|2VULN|2DMG|1AART|1DUR	1DUST|29VULN|3RCR|48DMG|5AART|6ERES|7DUR|aBEXP
168	12532 23264	   	172.97	ACR|2VULN|2DMG|1AART|1DUR	1DUST|29VULN|3RCR|48DMG|5AART|6ERES|7DUR|aMLV
169	12532 23266	   	172.97	ACR|2VULN|2DMG|1AART|1DUR	1DUST|29VULN|3RCR|48DMG|5AART|6ERES|7DUR|aLWND
170	12532 34361	   	172.97	ACR|2VULN|2DMG|1AART|1DUR	1DUST|26VULN|3RCR|49DMG|5AART|7LSRHEA|8DUR|aBELT
171	12532 34363	   	172.97	ACR|2VULN|2DMG|1AART|1DUR	1DUST|26VULN|3RCR|49DMG|5AART|7LSRHEA|8DUR|aLHND
172	25532 32352	   	172.97	ACR|2VULN|2DMG|1AART|1DUR	1LEGI|29VULN|3RCR|49DMG|5AART|6DUR|7CGEN|89aERES|9BPWR
173	12532 24641	   	172.87	ACR|2VULN|2DMG|1AART|1DUR	19DUST|27VULN|3RCR|49DMG|5AART|69ERES|8MBVNT|9BPWR|aDUR
174	12532 23262	   	172.87	ACR|2VULN|2DMG|1AART|1DUR	1DUST|29VULN|3RCR|48DMG|5AART|6aERES|7DUR
175	42621 16333	   	172.81	ACR|4VULN|1AART|1DUR|1ASPD	1RCVC|2RCR|347aVULN|5MLV|6ASPD|8AART|9DUR
176	42626 21311	 * 	172.64	ACR|3VULN|1AART|2ASPD|1FLTHEA	1RCVC|2RCR|349VULN|5LSRICY|68ASPD|7AART|aFLTHEA
177	25531 31231	   	172.47	ACR|2VULN|2DMG|1AART|1ASPD	1LEGI|27VULN|3RCR|47DMG|5BELT|6AART|7BPWR|8ERES|9ASPD|aRMIN
178	25531 31232	   	172.47	ACR|2VULN|2DMG|1AART|1ASPD	1LEGI|27VULN|3RCR|47DMG|5BELT|6AART|7BPWR|8ERES|9ASPD|aFEWX
179	25531 31233	   	172.47	ACR|2VULN|2DMG|1AART|1ASPD	1LEGI|27VULN|3RCR|47DMG|5BELT|6AART|7BPWR|8ERES|9ASPD|aLWND
180	25531 31235	   	172.47	ACR|2VULN|2DMG|1AART|1ASPD	1LEGI|27VULN|3RCR|47DMG|5BELT|6AART|7BPWR|8ERES|9ASPD|aCGEN
181	25531 31236	   	172.47	ACR|2VULN|2DMG|1AART|1ASPD	1LEGI|27VULN|3RCR|47DMG|5BELT|6AART|7BPWR|8ERES|9ASPD|aRPLT
182	25531 31242	   	172.47	ACR|2VULN|2DMG|1AART|1ASPD	1LEGI|27VULN|3RCR|47DMG|5BELT|6AART|7BPWR|8ERES|9RPLT|aASPD
183	42543 31121	 * 	172.39	ACR|3VULN|1AART|1CDMG|1ZMB	1RCVC|2RCR|3AART|4CANSTR|5BELT|6CDMG|7ZMB|89aVULN
184	42331 36322	 * 	172.34	ACR|4VULN|1AART|1CDMG|1SELL	1RCVC|2RCR|3MLV|4CDMG|579aVULN|6SELL|8AART
185	42621 35322	 * 	172.34	ACR|4VULN|1AART|1CDMG|1SELL	1RCVC|2RCR|349aVULN|5MLV|6CDMG|7SELL|8AART
186	12424 34314	   	172.29	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1DUST|24aVULN|3DMG|5AART|6CDMG|7SELL|8RCR|9MBVNT
187	15232 25413	   	172.28	DCR|2AART|2VULN|1DMG|1ZMB	1DUST|2aAART|38VULN|4BASHEA|5ZMB|6RCR|7RPLT|9DMG
188	25532 31216	   	172.23	ACR|2VULN|2AART|1DMG|2DUR	1LEGI|27VULN|3RCR|4DMG|59AART|6aDUR|8FEWX
189	42623 31631	 * 	172.14	ACR|4VULN|2DMG|1SELL	1RCVC|2RCR|3489VULN|59LWND|6SELL|79DMG|9BPWR|aFEWX
190	15234 25111	   	172.13	DCR|2VULN|3ZMB|1AART|1DUR|1ASPD	18DUST|2AART|38VULN|4BASHEA|5ASPD|6RCR|78aZMB|8BPWR|9DUR
191	21262 62252	   	172.03	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1LEGI|2LHND|39CDMG|45VULN|6RCR|7DUR|8DMG|aAART
192	14333 25132	   	172.02	DCR|3DMG|1AART|1VULN|1DUR	17DUST|2RPLT|3AART|47LHND|578DMG|6RCR|7BPWR|9DUR|aVULN
193	14363 23223	   	171.92	DCR|3VULN|1AART|1DMG|1DUR	1DUST|2RPLT|3AART|48aVULN|5DMG|6RCR|7BELT|9DUR
194	15243 12133	   	171.79	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1DUST|2AART|358VULN|4SELL|6CDMG|7LHND|9RCR|aDMG
195	15234 25131	   	171.72	DCR|2VULN|1AART|1DMG|2ZMB|1ASPD	18DUST|2AART|38VULN|4BASHEA|5ASPD|6RCR|78ZMB|8BPWR|9DMG|aRCVC
196	12261 24314	   	171.69	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1DUST|24aVULN|3CDMG|5DMG|6AART|7SELL|8RCR|9MBVNT
197	25261 24314	   	171.69	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1LEGI|24aVULN|3CDMG|5DMG|6AART|7SELL|8RCR|9MBVNT
198	15234 25132	   	171.62	DCR|2VULN|1AART|1DMG|2ZMB|1ASPD	18DUST|2AART|38VULN|4BASHEA|5ASPD|6RCR|78ZMB|8BPWR|9DMG|aTLV
199	15232 21361	   	171.62	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	1DUST|2AART|37VULN|4BASHEA|5aZMB|6RCR|8DUR|9DMG
200	25532 33123	   	171.53	ACR|2VULN|1AART|1DMG|3DUR|1ASPD	1LEGI|29VULN|3RCR|4DMG|5AART|678DUR|aASPD
201	25532 31131	   	171.53	ACR|2VULN|1AART|1DMG|3DUR|1ASPD	1LEGI|27VULN|3RCR|4DMG|5AART|68aDUR|9ASPD
202	25532 33531	   	171.53	ACR|2VULN|1AART|1DMG|3DUR|1ASPD	1LEGI|28VULN|3RCR|4DMG|5AART|67aDUR|9ASPD
203	41361 24331	   	171.31	DCR|2VULN|3ZMB|1AART|1DMG	1RCVC|249ZMB|34VULN|4BPWR|5aBEXP|6AART|7DMG|8RCR
204	41361 24332	   	171.31	DCR|2VULN|3ZMB|1AART|1DMG	1RCVC|249ZMB|34VULN|4BPWR|5BEXP|6AART|7DMG|8RCR|aFEWX
205	13421 31461	   	171.27	DCR|3VULN|2DMG|1AART	17DUST|2LHND|37DMG|479VULN|5BELT|6AART|7BPWR|8BEXP|aRCR
206	13421 31661	   	171.27	DCR|3VULN|2DMG|1AART	17DUST|2LHND|37DMG|478VULN|5BELT|6AART|7BPWR|9BEXP|aRCR
207	41363 24331	   	171.21	DCR|2VULN|3ZMB|1AART|1DMG	1RCVC|249ZMB|34VULN|4BPWR|5DUST|6AART|7DMG|8RCR|aBEXP
208	12431 31461	   	171.17	DCR|3VULN|2DMG|1AART	17DUST|279VULN|37DMG|4LEGI|5BELT|6AART|7BPWR|8BEXP|aRCR
209	12431 31661	   	171.17	DCR|3VULN|2DMG|1AART	17DUST|278VULN|37DMG|4LEGI|5BELT|6AART|7BPWR|9BEXP|aRCR
210	12532 31135	   	171.14	ACR|3VULN|1AART|1DMG|1DUR	1DUST|26aVULN|3RCR|4DMG|5AART|7BEXP|8DUR|9LWND
211	12532 31142	   	171.14	ACR|3VULN|1AART|1DMG|1DUR	1DUST|26aVULN|3RCR|4DMG|5AART|7BEXP|8DUR|9FEWX
212	12532 33142	   	171.14	ACR|3VULN|1AART|1DMG|1DUR	1DUST|26aVULN|3RCR|4DMG|5AART|7LHND|8DUR|9FEWX
213	12532 35232	   	171.14	ACR|3VULN|1AART|1DMG|1DUR	1DUST|26aVULN|3RCR|4DMG|5AART|7DUR|8FEWX|9LWND
214	12532 35511	   	171.14	ACR|3VULN|1AART|1DMG|1DUR	1DUST|268VULN|3RCR|4DMG|5AART|7DUR|9LHND|aLIT
215	12532 35513	   	171.14	ACR|3VULN|1AART|1DMG|1DUR	1DUST|268VULN|3RCR|4DMG|5AART|7DUR|9LHND|aLWND
216	13532 31142	   	171.14	ACR|3VULN|1AART|1DMG|1DUR	1DUST|2LHND|3RCR|4DMG|5AART|67aVULN|8DUR|9FEWX
217	13532 34352	   	171.14	ACR|3VULN|1AART|1DMG|1DUR	1DUST|2LHND|3RCR|4DMG|5AART|68aVULN|7FEWX|9DUR
218	16532 31142	   	171.14	ACR|3VULN|1AART|1DMG|1DUR	1DUST|2LWND|3RCR|4DMG|5AART|67aVULN|8DUR|9FEWX
219	12532 31541	   	171.14	ACR|3VULN|1AART|1DMG|1DUR	1DUST|268VULN|3RCR|4DMG|5AART|7BEXP|9CGEN|aDUR
220	12532 33531	   	171.14	ACR|3VULN|1AART|1DMG|1DUR	1DUST|268VULN|3RCR|4DMG|5AART|7LHND|9RMIN|aDUR
221	12532 33541	   	171.14	ACR|3VULN|1AART|1DMG|1DUR	1DUST|268VULN|3RCR|4DMG|5AART|7LHND|9CGEN|aDUR
222	13532 31531	   	171.14	ACR|3VULN|1AART|1DMG|1DUR	1DUST|2LHND|3RCR|4DMG|5AART|678VULN|9RMIN|aDUR
223	13532 31541	   	171.14	ACR|3VULN|1AART|1DMG|1DUR	1DUST|2LHND|3RCR|4DMG|5AART|678VULN|9CGEN|aDUR
224	12532 51232	   	171.14	ACR|3VULN|1AART|1DMG|1DUR	1DUST|27aVULN|3RCR|4DMG|5AART|6DUR|8FEWX|9LWND
225	12532 51511	   	171.14	ACR|3VULN|1AART|1DMG|1DUR	1DUST|278VULN|3RCR|4DMG|5AART|6DUR|9LHND|aLIT
226	12532 51513	   	171.14	ACR|3VULN|1AART|1DMG|1DUR	1DUST|278VULN|3RCR|4DMG|5AART|6DUR|9LHND|aLWND
227	12532 54332	   	171.14	ACR|3VULN|1AART|1DMG|1DUR	1DUST|28aVULN|3RCR|4DMG|5AART|6DUR|7FEWX|9LWND
228	13532 33342	   	171.14	ACR|3VULN|1AART|1DMG|1DUR	1DUST|2LHND|3RCR|4DMG|5AART|68aVULN|7DUR|9FEWX
229	13532 51342	   	171.14	ACR|3VULN|1AART|1DMG|1DUR	1DUST|2LHND|3RCR|4DMG|5AART|6DUR|78aVULN|9FEWX
230	16532 33342	   	171.14	ACR|3VULN|1AART|1DMG|1DUR	1DUST|2LWND|3RCR|4DMG|5AART|68aVULN|7DUR|9FEWX
231	21532 31345	   	171.14	ACR|3VULN|1AART|1DMG|1DUR	1LEGI|2LHND|3RCR|4DMG|5AART|6DUR|78aVULN|9BEXP
232	25532 31242	   	171.14	ACR|3VULN|1AART|1DMG|1DUR	1LEGI|27aVULN|3RCR|4DMG|5AART|6DUR|8FEWX|9BEXP
233	25532 31433	   	171.14	ACR|3VULN|1AART|1DMG|1DUR	1LEGI|27aVULN|3RCR|4DMG|5AART|6DUR|8LIT|9CGEN
234	25532 31511	   	171.14	ACR|3VULN|1AART|1DMG|1DUR	1LEGI|278VULN|3RCR|4DMG|5AART|6DUR|9LHND|aLIT
235	25532 31513	   	171.14	ACR|3VULN|1AART|1DMG|1DUR	1LEGI|278VULN|3RCR|4DMG|5AART|6DUR|9LHND|aLWND
236	12532 35512	   	171.04	ACR|3VULN|1AART|1DMG|1DUR	1DUST|268VULN|3RCR|4DMG|5AART|7DUR|9LHND|aERES
237	12532 35521	   	171.04	ACR|3VULN|1AART|1DMG|1DUR	19DUST|268VULN|3RCR|4DMG|5AART|7DUR|aLHND
238	12532 35522	   	171.04	ACR|3VULN|1AART|1DMG|1DUR	19DUST|268VULN|3RCR|4DMG|5AART|7DUR|aBEXP
239	12532 36514	   	171.04	ACR|3VULN|1AART|1DMG|1ASPD	1DUST|26aVULN|3RCR|4DMG|5AART|7ASPD|8DMSP|9MBVNT
240	13532 36346	   	171.04	ACR|3VULN|1AART|1DMG|1DUR	1DUST|2LHND|3RCR|4DMG|5AART|68aVULN|7MBVNT|9DUR
241	25532 11142	   	171.04	ACR|3VULN|1AART|1DMG|1DUR	1LEGI|27aVULN|3RCR|4DMG|5AART|6DUST|8DUR|9FEWX
242	12532 24261	   	171.04	ACR|3VULN|1AART|1DMG|1DUR	1DUST|279VULN|3RCR|4DMG|5AART|6ERES|8LHND|aDUR
243	12532 23463	   	171.04	ACR|3VULN|1AART|1DMG|1DUR	1DUST|289VULN|3RCR|4DMG|5AART|6ERES|7DUR|aBEXP
244	12532 51512	   	171.04	ACR|3VULN|1AART|1DMG|1DUR	1DUST|278VULN|3RCR|4DMG|5AART|6DUR|9LHND|aERES
245	12532 51521	   	171.04	ACR|3VULN|1AART|1DMG|1DUR	19DUST|278VULN|3RCR|4DMG|5AART|6DUR|aLHND
246	12532 51522	   	171.04	ACR|3VULN|1AART|1DMG|1DUR	19DUST|278VULN|3RCR|4DMG|5AART|6DUR|aBEXP
247	25532 13342	   	171.04	ACR|3VULN|1AART|1DMG|1DUR	1LEGI|28aVULN|3RCR|4DMG|5AART|6DUST|7DUR|9FEWX
248	25532 31342	   	171.04	ACR|3VULN|1AART|1DMG|1DUR	1LEGI|27aVULN|3RCR|4DMG|5AART|6DUR|8DUST|9FEWX
249	25532 31512	   	171.04	ACR|3VULN|1AART|1DMG|1DUR	1LEGI|278VULN|3RCR|4DMG|5AART|6DUR|9LHND|aERES
250	25532 31521	   	171.04	ACR|3VULN|1AART|1DMG|1DUR	1LEGI|278VULN|3RCR|4DMG|5AART|6DUR|9DUST|aLIT
251	25532 31523	   	171.04	ACR|3VULN|1AART|1DMG|1DUR	1LEGI|278VULN|3RCR|4DMG|5AART|6DUR|9DUST|aLWND
252	42251 21623	   	171.03	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|3LWND|4CDMG|5DMG|6AART|7FEWX|89VULN|aDUR
253	42251 23623	   	171.03	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|3LWND|4CDMG|5DMG|6AART|7BEXP|89VULN|aDUR
254	42651 21323	   	171.03	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|39VULN|4CDMG|5DMG|6AART|7FEWX|8LWND|aDUR
255	42651 23323	   	171.03	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|39VULN|4CDMG|5DMG|6AART|7BEXP|8LWND|aDUR
256	63433 21262	   	171.02	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	18AIRHEL|28ZMB|3AART|4DUR|5DUST|6RCR|78VULN|8BPWR|9DMG|aTLV
257	25632 21361	   	171.02	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	1LEGI|27VULN|3AART|4BASHEA|5aZMB|6RCR|8DUR|9DMG
258	21532 43226	   	171.00	ACR|2AART|2DMG|1VULN|1ZMB	1LEGI|2LHND|3RCR|48DMG|5aAART|6CGEN|7VULN|9ZMB
259	12532 34215	   	170.94	ACR|3VULN|1AART|1DMG|1DUR	1DUST|26aVULN|3RCR|4DMG|5AART|7LSRHEA|8TLV|9DUR
260	12532 36634	   	170.94	ACR|3VULN|1AART|1DMG|1ASPD	19DUST|26aVULN|3RCR|4DMG|5AART|7ASPD|8MBVNT
261	12532 23462	   	170.94	ACR|3VULN|1AART|1DMG|1DUR	1DUST|289VULN|3RCR|4DMG|5AART|6aERES|7DUR
262	25532 31522	   	170.94	ACR|3VULN|1AART|1DMG|1DUR	1LEGI|278VULN|3RCR|4DMG|5AART|6DUR|9DUST|aERES
263	25424 22131	   	170.68	DCR|4VULN|1AART|1DMG	1LEGI|2468VULN|3DMG|5AART|7FEWX|9RCR|aLHND
264	25424 22133	   	170.68	DCR|4VULN|1AART|1DMG	1LEGI|2468VULN|3DMG|5AART|7FEWX|9RCR|aBEXP
265	12531 41632	   	170.67	ACR|2VULN|2DMG|1AART|1DUR	1DUST|28VULN|3RCR|4aDMG|5RCVC|6DUR|7LIT|9AART
266	12522 54131	   	170.44	ACR|3VULN|1AART|1DMG|1DUR	17DUST|278VULN|3RCR|47ERES|5DMSP|6AART|7BPWR|9DMG|aDUR
267	42651 22131	   	170.41	ACR|2VULN|1AART|1DMG|2CDMG	1RCVC|2RCR|39VULN|48CDMG|5DMG|6AART|7MLV|aFEWX
268	42651 22133	   	170.31	ACR|2VULN|1AART|1DMG|2CDMG	1RCVC|2RCR|39VULN|48CDMG|5DMG|6AART|7MLV|aTLV
269	25531 51322	   	170.20	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1LEGI|27VULN|3RCR|4DMG|5BELT|6ZMB|8FLTHEA|9CGEN|aAART
270	25531 22362	   	170.07	ACR|2VULN|2DMG|1AART|1DUR	1LEGI|29VULN|3RCR|47DMG|5BELT|6DUR|8CGEN|aAART
271	12424 26321	   	169.98	DCR|3VULN|1AART|1DMG|1ZMB	1DUST|247VULN|3DMG|5AART|6ZMB|8RCR|9MLV|aLHND
272	12424 26322	   	169.98	DCR|3VULN|1AART|1DMG|1ZMB	1DUST|247VULN|3DMG|5AART|6ZMB|8RCR|9MLV|aBEXP
273	41324 24314	   	169.98	DCR|3VULN|1AART|1DMG|1ZMB	1RCVC|2ZMB|36aVULN|4LWND|5AART|7DMG|8RCR|9MBVNT
274	12521 21122	   	169.97	ACR|2VULN|2DMG|1AART|1DUR	1DUST|28VULN|3RCR|4ERES|5BELT|6DUR|79DMG|aAART
275	14363 23224	   	169.91	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2RPLT|3AART|48VULN|5DMG|6RCR|7BELT|9DUR|aCDMG
276	12424 26312	   	169.88	DCR|3VULN|1AART|1DMG|1ZMB	1DUST|247VULN|3DMG|5AART|6ZMB|8RCR|9MBVNT|aBEXP
277	12225 61236	   	169.76	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|28VULN|3CDMG|4LWND|5AART|6BELT|79DMG|aRCR
278	15243 31123	   	169.74	DCR|4VULN|1AART|1DMG|1SELL	1DUST|2AART|3569VULN|4SELL|7SNIHEL|8DMG|aRCR
279	25516 21233	   	169.66	ACR|2VULN|1AART|1CDMG|1FLTHEA|1ASPD|1DUR	1LEGI|29VULN|3RCR|4RPLT|5AART|6FLTHEA|7DUR|8CDMG|aASPD
280	15243 14331	   	169.53	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1DUST|2AART|35VULN|4SELL|6CDMG|7DMG|8RCR|9ZMB|aLHND
281	15243 14332	   	169.53	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1DUST|2AART|35VULN|4SELL|6CDMG|7DMG|8RCR|9ZMB|aBEXP
282	12536 21613	   	169.46	ACR|3VULN|2DMG|1ASPD|1DUR	1DUST|28aVULN|3RCR|47DMG|5DUR|6ASPD|9CGEN
283	62332 23122	   	169.42	DCR|3DMG|1AART|1VULN|1DUR	1AIRHEL|2LEGI|348DMG|5MGNSTR|6RCR|7AART|9DUR|aVULN
284	12511 36612	   	169.34	ACR|3VULN|1AART|1DMG|1DUR	1DUST|26aVULN|3RCR|4RPLT|5DUR|7BEXP|8AART|9DMG
285	25533 31252	 * 	169.23	ACR|3DMG|2VULN|1CDMG	1LEGI|29VULN|3RCR|479DMG|5CGEN|6LHND|89ERES|9BPWR|aCDMG
286	42651 13313	   	169.21	ACR|2VULN|1AART|2CDMG|1DMG	1RCVC|2RCR|39VULN|46CDMG|5DMG|7LIT|8AART|aMLV
287	25531 31352	   	169.19	ACR|3VULN|2DMG|2AART|1MSE	1LEGI|279VULN|3RCR|47DMG|5BELT|68AART|7BPWR|aMSE
288	12422 31124	   	169.16	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|24VULN|37DMG|5MLV|6CDMG|8LHND|9RCR|aAART
289	25261 61123	   	169.16	DCR|2VULN|2DMG|1AART|1CDMG	1LEGI|24VULN|3CDMG|57DMG|6CGEN|8LHND|9RCR|aAART
290	25422 31123	   	169.16	DCR|2VULN|2DMG|1AART|1CDMG	1LEGI|24VULN|37DMG|5MLV|6CDMG|8LHND|9RCR|aAART
291	25643 31123	   	169.14	DCR|4VULN|1AART|1DMG|1SELL	1LEGI|2569VULN|3AART|4SELL|7SNIHEL|8DMG|aRCR
292	12532 31155	   	169.13	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1DUST|26VULN|3RCR|4DMG|5AART|7BEXP|8DUR|9FLTHEA|aLWND
293	12532 31353	   	169.13	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1DUST|26VULN|3RCR|4DMG|5AART|7BEXP|8LWND|9FLTHEA|aASPD
294	12532 33155	   	169.13	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1DUST|26VULN|3RCR|4DMG|5AART|7LHND|8DUR|9FLTHEA|aLWND
295	12532 33353	   	169.13	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1DUST|26VULN|3RCR|4DMG|5AART|7LHND|8LWND|9FLTHEA|aASPD
296	13532 31155	   	169.13	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1DUST|2LHND|3RCR|4DMG|5AART|67VULN|8DUR|9FLTHEA|aLWND
297	13532 31353	   	169.13	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1DUST|2LHND|3RCR|4DMG|5AART|67VULN|8LWND|9FLTHEA|aASPD
298	13532 33242	   	169.13	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2LHND|3RCR|4DMG|5AART|6aVULN|7DUR|8BEXP|9CDMG
299	13532 33355	   	169.13	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1DUST|2LHND|3RCR|4DMG|5AART|68VULN|7DUR|9FLTHEA|aLWND
300	13532 33442	   	169.13	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2LHND|3RCR|4DMG|5AART|6aVULN|7DUR|8LWND|9CDMG
301	13532 33653	   	169.13	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2LHND|3RCR|4DMG|5AART|6aVULN|7DUR|8BELT|9CDMG
302	13532 51242	   	169.13	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2LHND|3RCR|4DMG|5AART|6DUR|7aVULN|8BEXP|9CDMG
303	13532 52521	   	169.13	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2LHND|3RCR|4aDMG|5AART|6DUR|7CGEN|8CDMG|9VULN
304	16532 33242	   	169.13	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2LWND|3RCR|4DMG|5AART|6aVULN|7DUR|8BEXP|9CDMG
305	21532 31355	   	169.13	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1LEGI|2LHND|3RCR|4DMG|5AART|6DUR|78VULN|9FLTHEA|aLWND
306	21532 31442	   	169.13	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LEGI|2LHND|3RCR|4DMG|5AART|6DUR|7aVULN|8LWND|9CDMG
307	21532 31642	   	169.13	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LEGI|2LHND|3RCR|4DMG|5AART|6DUR|7aVULN|8FEWX|9CDMG
308	21532 32521	   	169.13	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1LEGI|2LHND|3RCR|4aDMG|5AART|6DUR|7CGEN|8CDMG|9VULN
309	21532 34342	   	169.13	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LEGI|2LHND|3RCR|4DMG|5AART|6DUR|7FEWX|8aVULN|9CDMG
310	21546 21121	   	169.13	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1LEGI|2LHND|3RCR|4DUR|5AART|6CDMG|7CGEN|8aDMG|9VULN
311	42651 13312	   	169.11	ACR|2VULN|1AART|1DMG|2CDMG	1RCVC|2RCR|39VULN|46CDMG|5DMG|7LIT|8AART|aERES
312	25422 31324	   	169.06	DCR|2VULN|2DMG|1AART|1CDMG	1LEGI|24VULN|37DMG|5MLV|6CDMG|8DUST|9RCR|aAART
313	13532 36363	   	169.03	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1DUST|2LHND|3RCR|4DMG|5AART|68VULN|7MBVNT|9FLTHEA|aASPD
314	21532 11353	   	169.03	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1LEGI|2LHND|3RCR|4DMG|5AART|6DUST|78VULN|9FLTHEA|aASPD
315	25532 11353	   	169.03	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1LEGI|27VULN|3RCR|4DMG|5AART|6DUST|8LWND|9FLTHEA|aASPD
316	13532 23521	   	169.03	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2LHND|3RCR|4aDMG|5AART|6ERES|7DUR|8CDMG|9VULN
317	16532 23521	   	169.03	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2LWND|3RCR|4aDMG|5AART|6ERES|7DUR|8CDMG|9VULN
318	21532 15342	   	169.03	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LEGI|2LHND|3RCR|4DMG|5AART|6DUST|7DUR|8aVULN|9CDMG
319	21532 33342	   	169.03	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LEGI|2LHND|3RCR|4DMG|5AART|6DUR|7DUST|8aVULN|9CDMG
320	21546 23121	   	169.03	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1LEGI|2LHND|3RCR|4DUR|5AART|6CDMG|7ERES|8aDMG|9VULN
321	25532 13242	   	169.03	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LEGI|2aVULN|3RCR|4DMG|5AART|6DUST|7DUR|8BEXP|9CDMG
322	12532 35325	   	168.93	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	189DUST|26VULN|3RCR|4DMG|5AART|7DUR|aCDMG
323	12532 14362	   	168.93	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	16DUST|2VULN|3RCR|49DMG|5AART|7LSRHEA|8DUR|aCDMG
324	12532 51325	   	168.93	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	189DUST|27VULN|3RCR|4DMG|5AART|6DUR|aCDMG
325	42634 22214	   	168.89	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1RCVC|2RCR|3aVULN|4ASPD|5AART|6ZMB|7MLV|8DMG|9MBVNT
326	12511 32242	   	168.74	ACR|3VULN|1AART|1DMG|1DUR	1DUST|26aVULN|3RCR|4RPLT|5DUR|7DMG|8BEXP|9AART
327	12511 33365	   	168.74	ACR|3VULN|1AART|1DMG|1DUR	1DUST|26aVULN|3RCR|4RPLT|5DUR|7LIT|8DMG|9AART
328	12512 62242	   	168.74	ACR|3VULN|1AART|1DMG|1DUR	1DUST|25aVULN|3RCR|4RPLT|6DUR|7DMG|8BEXP|9AART
329	63412 31226	   	168.72	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	1AIRHEL|29ZMB|3AART|4LIT|5aVULN|6DUR|7RCR|8DMG
330	42632 31135	   	168.63	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RCVC|2RCR|39VULN|4ASPD|5MLV|6CDMG|7DMG|8LIT|aAART
331	12342 66211	   	168.61	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2VULN|3BASHEA|4CDMG|5AART|6RCR|7aDMG|8CGEN|9DUR
332	12342 66212	   	168.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2aVULN|3BASHEA|4CDMG|5AART|6RCR|7DMG|8CGEN|9DUR
