0	Code 	Date      	Index      	 *	Score 	Summary	Detail	
1	LV4RO	65053_10_23	33526 16312	 * 	286.06	ACR|5VULN|3DMG|3ZMB|1AART|3CDMG	1RCR|2AART|379ZMB|47aDMG|5679aVULN|79aBPWR|89aCDMG
144	4ZIAA	13504_12_26	21111 12532	   	268.31	ACR|5VULN|3DMG|2AART|3ZMB	14789VULN|2RCR|3aAART|579ZMB|679DMG|79BPWR
145	467KI	14013_05_03	11324 22144	   	268.31	ACR|5VULN|3DMG|2AART|3ZMB	1789aVULN|2RCR|36AART|489ZMB|589DMG|89BPWR
146	GTOZS	50573_07_30	33366 52122	   	268.31	ACR|5VULN|3DMG|2AART|3ZMB	189DMG|2RCR|3aAART|45789VULN|689ZMB|89BPWR
147	88PIP	25726_09_10	66222 32422	   	268.29	DCR|5VULN|3DMG|3ZMB|1AART|1CDMG	178ZMB|2AART|378DMG|45789VULN|6RCR|78BPWR|aCDMG
148	GL487	49800_06_04	26112 53263	   	268.29	DCR|5VULN|3DMG|3ZMB|1AART|1CDMG	179DMG|2AART|35789VULN|479ZMB|6RCR|79BPWR|aCDMG
149	R1F9O	79617_01_08	42231 14342	   	268.29	DCR|5VULN|3DMG|3ZMB|1AART|1CDMG	19aDMG|2AART|3CDMG|4789aVULN|59aZMB|6RCR|9aBPWR
150	1NC9V	6938_11_19	32114 22653	   	268.21	ACR|4VULN|3DMG|3ZMB|1AART|1CDMG|2DUR	178DMG|2RCR|39DUR|4789VULN|578ZMB|6AART|789BPWR|aCDMG
151	AA9HP	31602_12_26	13121 11225	   	268.12	ACR|5VULN|3DMG|1AART|3CDMG|1FLTHEA	15689VULN|2RCR|3AART|458CDMG|589BPWR|789DMG|aFLTHEA
152	VFF4N	92356_03_20	52361 14311	   	268.10	ACR|4VULN|3DMG|1AART|3CDMG|1FLTHEA|1ZMB	1RCR|278DMG|378CDMG|4AART|5678VULN|78BPWR|9ZMB|aFLTHEA
153	PRVNO	76253_11_28	16131 16111	   	268.08	ACR|3VULN|3DMG|2AART|3ZMB|1FLTHEA|1CDMG	189ZMB|2RCR|389VULN|4aAART|5CDMG|6FLTHEA|789DMG|89BPWR
154	29C9K	8553_09_26	33153 13126	   	267.94	ACR|4VULN|3DMG|2AART|3CDMG|1FLTHEA	1RCR|247DMG|3478VULN|478BPWR|59AART|678CDMG|aFLTHEA
155	35ORV	11101_01_11	42116 24121	   	267.94	ACR|4VULN|3DMG|2AART|3CDMG|1FLTHEA	1aAART|2RCR|3689VULN|4FLTHEA|589DMG|789CDMG|89BPWR
156	7BTOA	23136_08_20	15314 14231	   	267.94	ACR|4VULN|3DMG|2AART|3CDMG|1FLTHEA	19AART|2RCR|38aCDMG|4FLTHEA|578aVULN|68aDMG|8aBPWR
157	CJL3L	38184_08_21	23411 12551	   	267.93	ACR|4VULN|3DMG|2AART|3ZMB|1CDMG	19AART|28aDMG|3RCR|4CDMG|568aVULN|78aZMB|8aBPWR
158	CN5AS	38499_04_11	23224 32323	   	267.93	ACR|4VULN|3DMG|2AART|3ZMB|1CDMG	148aVULN|2RCR|3CDMG|59AART|68aDMG|78aZMB|8aBPWR
159	IS2N5	56165_12_10	32325 21461	   	267.93	ACR|4VULN|3DMG|2AART|3ZMB|1CDMG	178DMG|2RCR|3478VULN|5aAART|678ZMB|78BPWR|9CDMG
160	RDT32	80732_04_11	26215 23213	 * 	267.91	DCR|4VULN|3DMG|3ZMB|1AART|3CDMG	179ZMB|2AART|357aVULN|479CDMG|6RCR|79aBPWR|89aDMG
161	7HVF2	23679_09_22	23123 25354	   	267.90	DCR|5VULN|3DMG|1AART|3CDMG|3DUR	179CDMG|27aDUR|3AART|4579aVULN|6RCR|79aBPWR|89aDMG
162	434LL	13735_11_16	33435 25211	   	267.90	ACR|4VULN|3DMG|1AART|2CDMG|3ASPD|2DUR	178ASPD|2RCR|3AART|4aCDMG|578DMG|678aVULN|78aBPWR|9aDUR
163	OQ1FO	73208_06_24	11143 21612	   	267.88	ACR|5VULN|3DMG|1AART|3CDMG|1ZMB	1RCR|279CDMG|3AART|46789VULN|579DMG|79BPWR|aZMB
164	TZMTL	85290_06_25	43125 22153	   	267.88	ACR|5VULN|3DMG|1AART|3CDMG|1ZMB	1RCR|2789aVULN|3AART|4ZMB|58aDMG|68aCDMG|8aBPWR
165	7ZRG3	22143_06_08	31512 41324	   	267.88	ACR|5VULN|3DMG|1AART|3CDMG|1ZMB	1RCR|26789VULN|3AART|479CDMG|579DMG|79BPWR|aZMB
166	CHZGT	37947_06_30	32323 11514	   	267.88	ACR|5VULN|3DMG|1AART|3CDMG|1ZMB	1RCR|24789VULN|3AART|579CDMG|679DMG|79BPWR|aZMB
167	CHZGT	37947_06_30	32353 11514	   	267.88	ACR|5VULN|3DMG|1AART|3CDMG|1ZMB	1RCR|25789VULN|3AART|479CDMG|679DMG|79BPWR|aZMB
168	N998N	68834_03_22	15342 16131	   	267.83	ACR|4VULN|3DMG|2AART|3CDMG|2DUR	1RCR|279aVULN|38AART|4aDUR|579CDMG|679DMG|79aBPWR
169	5T2I8	18933_06_25	53623 15122	   	267.81	DCR|5VULN|3DMG|1AART|3CDMG|2ZMB	1AART|28aCDMG|358DMG|4578aVULN|58aBPWR|6RCR|9aZMB
170	BSEVP	36104_01_07	53132 26611	   	267.81	DCR|5VULN|3DMG|1AART|3CDMG|2ZMB	1AART|2789aVULN|3aZMB|478CDMG|578DMG|6RCR|78aBPWR
171	1J6HO	6563_11_18	63331 26132	   	267.73	ACR|4VULN|3DMG|1AART|3ZMB|1FLTHEA|1CDMG	1AART|279ZMB|3FLTHEA|4RCR|579DMG|6789VULN|79BPWR|aCDMG
172	2TQJ1	10388_02_16	66221 15133	   	267.72	ACR|5VULN|3DMG|2AART|3CDMG	1RCR|27aCDMG|3578aVULN|49AART|67aDMG|7aBPWR
173	6C2QO	20279_12_18	34223 24116	   	267.72	ACR|5VULN|3DMG|2AART|3CDMG	1RCR|29aDMG|39aCDMG|46AART|5789aVULN|9aBPWR
174	KEV6P	60731_08_08	51212 13363	   	267.72	ACR|5VULN|3DMG|2AART|3CDMG	1RCR|29aDMG|3589aVULN|46AART|79aCDMG|9aBPWR
175	KRS28	61889_02_04	61132 12434	   	267.72	ACR|5VULN|3DMG|2AART|3CDMG	1RCR|2689aVULN|368DMG|45AART|689BPWR|789CDMG
176	U399M	88392_05_03	52236 22511	   	267.72	ACR|5VULN|3DMG|2AART|3CDMG	1RCR|289CDMG|389DMG|4aAART|56789VULN|89BPWR
177	V52TF	91424_10_12	22122 61314	   	267.72	ACR|5VULN|3DMG|2AART|3CDMG	1RCR|2678aVULN|37aCDMG|49AART|57aDMG|7aBPWR
178	6QTQL	21611_09_03	64223 23221	   	267.71	ACR|5VULN|3DMG|2AART|3ZMB	179DMG|2RCR|379ZMB|48AART|5679aVULN|79BPWR
179	D6IHH	39882_01_16	15133 21355	   	267.71	ACR|5VULN|3DMG|2AART|3ZMB	1379aVULN|2RCR|46AART|59aZMB|89aDMG|9aBPWR
180	HD7G6	51962_09_17	63311 11365	   	267.71	ACR|5VULN|3DMG|2AART|3ZMB	15789VULN|2RCR|379ZMB|4aAART|679DMG|79BPWR
181	JJESI	58263_07_10	43233 21324	   	267.71	ACR|5VULN|3DMG|2AART|3ZMB	1RCR|247ZMB|34579VULN|479BPWR|679DMG|8aAART
182	6E8IO	20475_07_07	33142 12342	   	267.69	DCR|5VULN|3DMG|3ZMB|1AART|1CDMG	14789VULN|278ZMB|3AART|578DMG|6RCR|78BPWR|aCDMG
183	C3EN1	36731_04_06	31333 24521	   	267.69	DCR|5VULN|3DMG|3ZMB|1AART|1FLTHEA	18aZMB|2FLTHEA|3AART|4789aVULN|58aDMG|6RCR|8aBPWR
184	ZUFKL	4705_05_04	63353 23336	   	267.63	ACR|5VULN|3DMG|3CDMG|1AART|2ZMB	1RCR|25789VULN|39ZMB|478DMG|678CDMG|789BPWR|aAART
185	6S3AR	21716_10_28	32353 33512	   	267.62	ACR|4VULN|3DMG|3ZMB|1AART|1CDMG	1RCR|2AART|3789VULN|4DUR|589DMG|689ZMB|89BPWR|aCDMG
186	HG7EE	52231_09_15	54612 33233	   	267.62	ACR|4VULN|3DMG|3ZMB|1AART|1CDMG	1RCR|2AART|378ZMB|4ASPD|578DMG|6789VULN|78BPWR|aCDMG
187	NHDTC	69564_12_21	11224 24152	   	267.62	ACR|4VULN|3DMG|3ZMB|1AART|1FLTHEA	1RCR|2AART|38aZMB|48aDMG|5DUR|6FLTHEA|789aVULN|8aBPWR
188	Q8THT	77414_02_04	13114 34243	   	267.62	ACR|4VULN|3DMG|3ZMB|1AART|1CDMG	1RCR|2AART|3678VULN|478ZMB|578DMG|78BPWR|9ASPD|aCDMG
189	M5HL7	65627_12_24	32153 15151	 * 	267.52	ACR|5VULN|3DMG|3FLTHEA|1AART|1CDMG	1RCR|247DMG|34579VULN|479BPWR|679FLTHEA|8AART|aCDMG
190	IVV8A	56515_02_04	13111 22651	 * 	267.51	DCR|4VULN|3DMG|2AART|3ZMB|1CDMG	14AART|2789VULN|389ZMB|589DMG|6RCR|89BPWR|aCDMG
191	3NETE	12688_01_02	15511 12212	   	267.51	ACR|5VULN|3DMG|3ZMB|1AART|1CDMG	1289aVULN|3RCR|4AART|5CDMG|68aDMG|78aZMB|8aBPWR
192	G5O4S	48420_10_01	32163 11125	   	267.51	ACR|5VULN|3DMG|3ZMB|1AART|1CDMG	1789aVULN|2CDMG|3RCR|4AART|59aZMB|69aDMG|9aBPWR
193	6F9JR	20568_02_17	12326 32463	   	267.51	ACR|5VULN|3DMG|3ZMB|1AART|1CDMG	178ZMB|2CDMG|3RCR|4AART|578DMG|6789aVULN|78BPWR
194	IFEIO	55032_11_23	31212 33531	   	267.51	ACR|5VULN|3DMG|3ZMB|1AART|1CDMG	1679aVULN|2RCR|3CDMG|49aZMB|59aDMG|8AART|9aBPWR
195	ORNV2	73361_03_20	32221 66135	   	267.50	DCR|5VULN|3DMG|3ZMB|1AART|2CDMG	15689VULN|29CDMG|389ZMB|468DMG|689BPWR|7RCR|aAART
196	35ORV	11101_01_11	42116 24122	   	267.50	ACR|4VULN|3DMG|1AART|3CDMG|1FLTHEA|1ZMB	1AART|2RCR|3689VULN|4FLTHEA|589DMG|789CDMG|89BPWR|aZMB
197	H7CFI	51438_05_19	31215 52314	   	267.50	ACR|4VULN|3DMG|1AART|3CDMG|1FLTHEA|1ZMB	1AART|2RCR|389aVULN|489DMG|5ZMB|6FLTHEA|789CDMG|89BPWR
198	UACZ4	89027_12_03	32336 32354	   	267.41	ACR|5VULN|3DMG|3CDMG|1AART|2DUR	1RCR|247DMG|3479aVULN|47aBPWR|57aCDMG|6AART|8aDUR
199	VH83U	92515_12_15	12533 53135	   	267.39	ACR|5VULN|3DMG|3ZMB|1AART|2DUR	1578aVULN|2AART|3RCR|457DMG|57aBPWR|67aZMB|9aDUR
200	E9UIV	43055_11_12	63621 22241	   	267.33	ACR|4VULN|3DMG|2AART|3ZMB|1CDMG	178DMG|26AART|3RCR|478ZMB|5789VULN|78BPWR|aCDMG
201	U6HCL	88684_03_04	62235 61122	   	267.33	ACR|4VULN|3DMG|2AART|3ZMB|1CDMG	19aZMB|25AART|3RCR|4CDMG|679aVULN|89aDMG|9aBPWR
202	N4R25	68435_07_14	52363 21312	   	267.33	ACR|4VULN|3DMG|2AART|3ZMB|1CDMG	178DMG|26AART|3RCR|4789VULN|578ZMB|78BPWR|aCDMG
203	6683F	19756_06_13	15533 35321	   	267.32	DCR|4VULN|3DMG|1AART|3CDMG|2ZMB|2DUR	1AART|289CDMG|389aVULN|4aDUR|5aZMB|6RCR|789DMG|89aBPWR
204	Q243M	76804_06_18	24333 31611	   	267.31	DCR|4VULN|3DMG|3ZMB|1AART|3CDMG	1479VULN|247ZMB|3AART|479BPWR|579DMG|6RCR|89aCDMG
205	U399M	88392_05_03	52236 22513	   	267.28	ACR|5VULN|3DMG|1AART|3CDMG|1ZMB	1RCR|289CDMG|389DMG|4AART|56789VULN|89BPWR|aZMB
206	RBFV6	80516_01_22	13115 41135	   	267.25	ACR|4VULN|3DMG|3CDMG|1AART|2ZMB|2ASPD	179aVULN|2RCR|379CDMG|4aASPD|5aZMB|679DMG|79aBPWR|8AART
207	AC7SK	31777_10_04	13226 11462	   	267.20	ACR|5VULN|3DMG|1AART|2CDMG|3ASPD	1AART|2578aVULN|3RCR|458DMG|58aBPWR|68aASPD|9aCDMG
208	IAFR5	54587_11_09	21254 62212	   	267.13	ACR|4VULN|3DMG|3ZMB|1AART|1FLTHEA|1CDMG	1789VULN|2RCR|389ZMB|4FLTHEA|5CDMG|689DMG|89BPWR|aAART
209	L9CT7	63102_08_16	13641 33131	   	267.12	ACR|5VULN|3DMG|2AART|3CDMG	17AART|2RCR|38aCDMG|4689aVULN|58aDMG|8aBPWR
210	ZHZQS	3497_07_10	12252 14112	   	267.12	ACR|5VULN|3DMG|2AART|3CDMG	17AART|2RCR|3589aVULN|49aDMG|69aCDMG|9aBPWR
211	83SMF	25286_11_05	23152 56121	 * 	267.12	ACR|5VULN|3DMG|2AART|3FLTHEA	1RCR|249DMG|3489aVULN|49aBPWR|57AART|69aFLTHEA
212	9K8ON	29627_01_16	13133 41443	   	267.12	ACR|5VULN|3DMG|2AART|3CDMG	16AART|2RCR|37aCDMG|47aDMG|5789aVULN|7aBPWR
213	BP4FR	35805_06_09	22126 13643	   	267.12	ACR|5VULN|3DMG|2AART|3CDMG	17AART|2RCR|3489aVULN|58aDMG|68aCDMG|8aBPWR
214	DR6FK	41732_04_06	61212 64123	   	267.12	ACR|5VULN|3DMG|2AART|3CDMG	1aAART|2RCR|35689VULN|489DMG|789CDMG|89BPWR
215	G5NSZ	48419_12_22	41221 33151	   	267.12	ACR|5VULN|3DMG|2AART|3CDMG	16AART|2RCR|3459aVULN|79aCDMG|89aDMG|9aBPWR
216	GTIUH	50559_05_10	32536 53121	   	267.12	ACR|5VULN|3DMG|2AART|3CDMG	1aAART|2RCR|358CDMG|45689VULN|589BPWR|789DMG
217	JRGK9	58986_02_16	21241 14633	   	267.12	ACR|5VULN|3DMG|2AART|3CDMG	14AART|2RCR|3579aVULN|69aCDMG|89aDMG|9aBPWR
218	KPNQQ	61697_10_18	15232 62136	   	267.12	ACR|5VULN|3DMG|2AART|3CDMG	1aAART|2RCR|36789VULN|478DMG|578CDMG|78BPWR
219	SBUEM	83427_07_28	63231 65232	   	267.12	ACR|5VULN|3DMG|2AART|3CDMG	14AART|2RCR|3569aVULN|79aDMG|89aCDMG|9aBPWR
220	UFZIJ	89444_06_22	65213 21633	   	267.12	ACR|5VULN|3DMG|2AART|3CDMG	17AART|2RCR|3689aVULN|48aDMG|58aCDMG|8aBPWR
221	VPVO5	93299_12_07	63621 31216	   	267.12	ACR|5VULN|3DMG|2AART|3CDMG	1RCR|289DMG|3489aVULN|56AART|789CDMG|89BPWR
222	4SL1E	16024_08_28	23362 61512	   	267.11	DCR|5VULN|3DMG|1AART|3ZMB|3DUR	1AART|2479aVULN|37aZMB|5RCR|679DMG|79aBPWR|89aDUR
223	2I8LR	9351_01_13	21432 24161	   	267.11	ACR|5VULN|3DMG|2AART|3ZMB	18AART|29aDMG|3RCR|4679aVULN|569ZMB|69aBPWR
224	9RVTP	30319_12_25	22215 63263	   	267.11	ACR|5VULN|3DMG|2AART|3ZMB	1aAART|278ZMB|3RCR|478DMG|56789VULN|78BPWR
225	HCESM	51893_09_18	61316 22152	   	267.11	ACR|5VULN|3DMG|2AART|3ZMB	13789VULN|2RCR|489DMG|5aAART|689ZMB|89BPWR
226	OU3Q3	73573_11_09	12633 12135	   	267.11	ACR|5VULN|3DMG|2AART|3ZMB	1RCR|247DMG|34678VULN|478BPWR|578ZMB|9aAART
227	ONRAV	73011_10_23	44122 23433	   	267.11	ACR|5VULN|3DMG|2AART|3ZMB	1679aVULN|2RCR|37aZMB|47aDMG|58AART|7aBPWR
228	ZFDIR	3353_11_01	21332 65231	 * 	267.11	DCR|4VULN|3DMG|1AART|2FLTHEA|3ASPD|2ZMB	178DMG|2aZMB|378aVULN|4AART|578ASPD|6RCR|78aBPWR|9aFLTHEA
229	292GN	8526_04_28	11241 23221	   	267.10	ACR|4VULN|3DMG|2AART|3CDMG|1ZMB	1RCR|28AART|379DMG|4ZMB|579aVULN|679CDMG|79BPWR
230	AMUSZ	32739_05_07	14243 31236	   	267.10	ACR|4VULN|3DMG|2AART|3CDMG|1ZMB	1RCR|2aAART|378DMG|4ZMB|5789VULN|678CDMG|78BPWR
231	U7SS5	88806_02_01	11351 21524	   	267.10	ACR|4VULN|3DMG|2AART|3CDMG|1ZMB	1RCR|28AART|379DMG|479CDMG|5679VULN|79BPWR|aZMB
232	7G933	23527_04_14	51332 22643	   	267.09	DCR|5VULN|3DMG|3ZMB|1AART|1CDMG	15789VULN|279ZMB|379DMG|4AART|6RCR|79BPWR|aCDMG
233	NDP2T	69237_06_07	52311 16521	   	267.09	DCR|5VULN|3DMG|3ZMB|1AART|1CDMG	1289aVULN|3CDMG|4AART|58aZMB|6RCR|78aDMG|8aBPWR
234	8AHQ7	25884_05_06	24126 61121	 * 	267.08	ACR|3DMG|2VULN|3ZMB|3FLTHEA|3CDMG|1AART	1RCR|279DMG|39aCDMG|47VULN|57aFLTHEA|6AART|79aBPWR|89aZMB
235	Z27ZB	2169_02_01	63351 15113	   	267.02	ACR|4VULN|3DMG|3ZMB|1AART|1CDMG	1RCR|289ZMB|3AART|4CDMG|5789VULN|689DMG|89BPWR|aDUR
236	31O2A	10739_12_02	23363 33525	   	267.02	ACR|4VULN|3DMG|3ZMB|1AART|1FLTHEA	1RCR|2578VULN|3AART|457ZMB|578BPWR|678DMG|9FLTHEA|aDUR
237	O9LTV	71740_08_18	22116 33313	   	267.02	ACR|4VULN|3DMG|3ZMB|1AART|1FLTHEA	1RCR|2789VULN|3AART|4DUR|578ZMB|678DMG|78BPWR|aFLTHEA
238	HI62H	52407_04_16	21216 31133	   	267.01	ACR|4VULN|3DMG|3ZMB|1AART|1CDMG|2DUR	179ZMB|2679VULN|3RCR|4AART|567DMG|679BPWR|89DUR|aCDMG
239	RRSLO	81987_02_17	41121 23111	   	266.99	ACR|4VULN|3DMG|3ZMB|1AART|2CDMG	1RCR|2AART|389ZMB|46CDMG|5689VULN|689BPWR|789DMG|aRMIN
240	RRSLO	81987_02_17	41121 23112	   	266.99	ACR|4VULN|3DMG|3ZMB|1AART|2CDMG	1RCR|2AART|389ZMB|46CDMG|5689VULN|689BPWR|789DMG|aCGEN
241	RRSLO	81987_02_17	41121 23113	   	266.99	ACR|4VULN|3DMG|3ZMB|1AART|2CDMG	1RCR|2AART|389ZMB|46CDMG|5689VULN|689BPWR|789DMG|aFEWX
242	RRSLO	81987_02_17	41121 23114	   	266.99	ACR|4VULN|3DMG|3ZMB|1AART|2CDMG	1RCR|2AART|389ZMB|46CDMG|5689VULN|689BPWR|789DMG|aDUST
243	RRSLO	81987_02_17	41121 23115	   	266.99	ACR|4VULN|3DMG|3ZMB|1AART|2CDMG	1RCR|2AART|389ZMB|46CDMG|5689VULN|689BPWR|789DMG|aMLV
244	ZS7OR	4503_11_05	21422 63633	   	266.99	ACR|4VULN|3DMG|3ZMB|1AART|2CDMG	1RCR|2AART|347DMG|579aVULN|679ZMB|79BPWR|89CDMG
245	9JMV8	29577_02_24	31262 23336	   	266.99	ACR|4VULN|3DMG|3ZMB|1AART|2CDMG	1RCR|2AART|389DMG|4BELT|5aCDMG|689aVULN|789ZMB|89aBPWR
246	FPSJR	47356_09_08	63631 21163	   	266.99	ACR|4VULN|3DMG|3ZMB|1AART|2CDMG	1RCR|2AART|357ZMB|479aVULN|679DMG|79BPWR|89CDMG
247	PJOL6	75516_05_02	11251 15222	   	266.99	ACR|4VULN|3DMG|3ZMB|1AART|2CDMG	1RCR|2AART|379DMG|467aVULN|579ZMB|79BPWR|89CDMG
248	V91FF	91779_08_12	45311 32132	   	266.99	ACR|4VULN|3DMG|3ZMB|1AART|2CDMG	1RCR|2AART|389aVULN|4aCDMG|579ZMB|69aDMG|9aBPWR
249	4CVK3	14618_11_17	42112 41612	   	266.99	ACR|4VULN|3DMG|3ZMB|1AART|3ASPD	1RCR|2AART|389ASPD|47aZMB|589DMG|689aVULN|89aBPWR
250	NITTG	69699_07_22	61111 21641	   	266.99	ACR|4VULN|3DMG|3ZMB|1AART|2CDMG	1RCR|2AART|378aVULN|47aDMG|567ZMB|7aBPWR|9aCDMG
251	CB3ZA	37416_02_27	22134 33423	   	266.92	ACR|5VULN|3DMG|1AART|3CDMG|2ASPD	1AART|278DMG|3RCR|49ASPD|5789aVULN|678CDMG|789BPWR
252	BAQJ5	34521_09_02	11361 14215	   	266.91	DCR|4VULN|3DMG|2AART|3ZMB|1CDMG	178DMG|24AART|378ZMB|5789VULN|6RCR|78BPWR|aCDMG
253	ZRODS	4460_10_29	16122 12425	   	266.91	ACR|5VULN|3DMG|1AART|3ZMB|1CDMG	1AART|26789VULN|389DMG|4RCR|589ZMB|89BPWR|aCDMG
254	233E3	7990_08_08	25262 33152	   	266.91	ACR|5VULN|3DMG|3ZMB|1AART|1CDMG	1678aVULN|2RCR|3CDMG|47aDMG|57aZMB|7aBPWR|9AART
255	6QMOJ	21591_11_13	34261 43332	   	266.91	ACR|5VULN|3DMG|3ZMB|1AART|1CDMG	178ZMB|2678aVULN|3RCR|478DMG|5AART|78BPWR|9CDMG
256	1J6HO	6563_11_18	63331 26134	   	266.91	ACR|5VULN|3DMG|1AART|3ZMB|1FLTHEA	1AART|279ZMB|3FLTHEA|4RCR|579DMG|6789aVULN|79BPWR
257	K6HMJ	59976_01_04	21341 24251	   	266.91	ACR|5VULN|3DMG|1AART|3ZMB|1CDMG	1AART|25789VULN|389ZMB|4RCR|689DMG|89BPWR|aCDMG
258	V1SLM	91138_02_17	31311 55122	   	266.91	ACR|5VULN|3DMG|1AART|3ZMB|1CDMG	1AART|278ZMB|367DMG|4RCR|5678aVULN|678BPWR|9CDMG
259	1H7A5	6386_08_03	31332 26543	   	266.91	ACR|5VULN|3DMG|1AART|3ZMB|2ASPD	1AART|279ZMB|3aASPD|4RCR|579DMG|6789aVULN|79aBPWR
260	995IU	28631_04_03	45133 22242	   	266.85	ACR|4VULN|3DMG|3ZMB|1AART|2CDMG|1SELL	1RCR|2AART|3SELL|489aVULN|5aCDMG|689ZMB|789DMG|89aBPWR
261	2Z19H	7715_06_13	23142 31361	   	266.80	ACR|5VULN|3DMG|3ZMB|1AART	1RCR|2AART|36789VULN|479DMG|579ZMB|79BPWR|aASPD
262	2DBOK	8911_02_10	23621 62533	   	266.80	ACR|5VULN|3DMG|3ZMB|1AART	1RCR|2AART|379ZMB|45789VULN|679DMG|79BPWR|aDUR
263	BZH1G	33597_09_25	21136 61224	   	266.80	ACR|5VULN|3DMG|3ZMB|1AART	1RCR|2AART|378ZMB|4578aVULN|678DMG|78BPWR|9DUR
264	BZH1G	33597_09_25	21136 61262	   	266.80	ACR|5VULN|3DMG|3ZMB|1AART	1RCR|2AART|378ZMB|4578aVULN|678DMG|78BPWR|9ASPD
265	GF2HB	49257_04_27	31311 14233	   	266.80	ACR|5VULN|3DMG|3ZMB|1AART	1RCR|2AART|36789VULN|489ZMB|589DMG|89BPWR|aASPD
266	LGJQ7	63749_12_29	34224 52231	   	266.80	ACR|5VULN|3DMG|3ZMB|1AART	1RCR|2AART|38aZMB|4DUR|5789aVULN|68aDMG|8aBPWR
267	M8CHL	65882_10_18	22321 45412	   	266.80	ACR|5VULN|3DMG|3ZMB|1AART	1RCR|2AART|38aZMB|4DUR|58aDMG|6789aVULN|8aBPWR
268	35ORV	11101_01_11	31116 24121	   	266.74	ACR|4VULN|3DMG|2AART|3CDMG|1FLTHEA	1689VULN|2RCR|3aAART|4FLTHEA|589DMG|789CDMG|89BPWR
269	LUIR6	65003_04_19	62334 21211	   	266.71	DCR|4VULN|3DMG|3ZMB|1AART|1FLTHEA|1CDMG	19aDMG|2AART|369aVULN|4CDMG|5FLTHEA|7RCR|89aZMB|9aBPWR
270	861Q6	25480_08_15	22213 13615	 * 	266.69	DCR|5VULN|3DMG|2AART|3ZMB	19AART|27aZMB|3578aVULN|47aDMG|6RCR|7aBPWR
271	CMUE1	38479_12_05	36212 14221	   	266.69	DCR|5VULN|3DMG|2AART|3ZMB	15AART|2389aVULN|489ZMB|6RCR|789DMG|89BPWR
272	HPVIO	53106_10_24	42311 11516	   	266.69	DCR|5VULN|3DMG|2AART|3ZMB	13AART|28aZMB|4589aVULN|6RCR|78aDMG|8aBPWR
273	DL9VQ	41203_10_19	16332 32143	   	266.68	ACR|5VULN|3DMG|1AART|3CDMG|1ZMB	1RCR|2379aVULN|4ZMB|5AART|69aDMG|89aCDMG|9aBPWR
274	ZQ2JC	4309_12_01	43121 36113	   	266.68	ACR|5VULN|3DMG|1AART|3CDMG|1ZMB	1AART|2RCR|34689VULN|589CDMG|789DMG|89BPWR|aZMB
275	KPNQQ	61697_10_18	15232 62133	   	266.68	ACR|5VULN|3DMG|1AART|3CDMG|1ZMB	1AART|2RCR|36789VULN|478DMG|578CDMG|78BPWR|aZMB
276	NMLHB	70034_12_04	13113 12356	   	266.68	ACR|5VULN|3DMG|1AART|3CDMG|1ZMB	1RCR|289DMG|36789VULN|489CDMG|5AART|89BPWR|aZMB
277	NMLHB	70034_12_04	16113 12356	   	266.68	ACR|5VULN|3DMG|1AART|3CDMG|1ZMB	1RCR|26789VULN|389DMG|489CDMG|5AART|89BPWR|aZMB
278	IF5P3	55008_03_21	21633 21533	   	266.68	ACR|5VULN|3DMG|1AART|3CDMG|1ZMB	1AART|2RCR|378CDMG|478DMG|5678aVULN|78BPWR|9ZMB
279	SZR6S	82431_08_08	54132 11335	   	266.68	ACR|5VULN|3DMG|1AART|3CDMG|1ZMB	1AART|2RCR|3589aVULN|4ZMB|68aCDMG|78aDMG|8aBPWR
280	S9APF	83193_01_04	46162 33321	   	266.68	ACR|5VULN|3DMG|1AART|3CDMG|1ZMB	1RCR|278DMG|378CDMG|4678aVULN|5AART|78BPWR|9ZMB
281	D6U3G	39914_06_17	25216 12433	   	266.63	ACR|4VULN|3DMG|2AART|3CDMG|2DUR	17AART|2RCR|358DMG|458aVULN|58aBPWR|68aCDMG|9aDUR
282	T1TMB	85399_03_08	12223 25426	   	266.55	ACR|4VULN|3DMG|1AART|3FLTHEA|3CDMG	1AART|279CDMG|3RCR|467aVULN|579FLTHEA|79aBPWR|89aDMG
283	OOZCR	73025_12_28	51242 33511	   	266.54	ACR|3VULN|3DMG|3ZMB|1AART|2FLTHEA|1CDMG	1RCR|2AART|379VULN|467DMG|579ZMB|79BPWR|89FLTHEA|aCDMG
284	GLS5M	49867_06_28	21122 66352	   	266.53	ACR|4VULN|3DMG|3ZMB|1AART|3CDMG	179aVULN|28aDMG|3RCR|479ZMB|5AART|679CDMG|79aBPWR
285	N67Z3	68558_09_17	51216 33341	   	266.53	ACR|4VULN|3DMG|3ZMB|1AART|3CDMG	179DMG|267ZMB|3RCR|4679VULN|5AART|679BPWR|89aCDMG
286	254M7	8173_07_19	31142 32132	   	266.52	ACR|5VULN|3DMG|2AART|3CDMG	1RCR|278CDMG|3578aVULN|478DMG|69AART|78aBPWR
287	4LSRV	15418_08_07	53313 12126	   	266.52	ACR|5VULN|3DMG|2AART|3CDMG	1RCR|2358aVULN|48aDMG|69AART|78aCDMG|8aBPWR
288	D5AUU	39771_01_27	33424 11314	   	266.51	ACR|5VULN|3DMG|2AART|3ZMB	1578aVULN|29AART|3RCR|48aDMG|68aZMB|8aBPWR
