0	Index      	 *	Score 	Summary	Detail	
1	33464 31312	 * 	197.97	ACR|4VULN|3DMG|2DUR	17aMLV|28DUR|3RCR|47aDMG|579aVULN|6LEGI|7aBPWR
166	52836 34314	   	170.68	DCR|3VULN|1AART|1DMG|1ZMB	1MBVNT|2DMG|35aVULN|45LIT|5BPWR|6ZMB|7RCR|8AART|9DMSP
167	33433 31224	   	170.68	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	1MLV|2aDUR|3RCR|4LIT|58VULN|6DMG|7AART|9ZMB
168	42318 41215	 * 	170.62	DCR|3VULN|1AART|2CDMG|1DUR	1BEXP|2MBVNT|378VULN|4DUR|5AART|6RCR|9aCDMG
169	51318 41215	   	170.62	DCR|3VULN|1AART|2CDMG|1DUR	1MBVNT|2BEXP|378VULN|4DUR|5AART|6RCR|9aCDMG
170	52833 34314	   	170.58	DCR|3VULN|1AART|1DMG|1ZMB	1MBVNT|2DMG|35aVULN|4LIT|6ZMB|7RCR|8AART|9DMSP
171	33433 36313	   	170.53	ACR|2VULN|2AART|1DMG|2DUR	1MLV|2aDUR|3RCR|4LIT|57VULN|6DMG|89AART
172	52846 41441	   	170.35	DCR|2VULN|2DMG|1AART|2DUR	1MBVNT|27DMG|37VULN|4FEWX|5TLV|67DUR|7BPWR|8AART|9RCR|aRCVC
173	42318 41812	   	170.32	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1BEXP|2MBVNT|37VULN|4DUR|5AART|6RCR|8DMG|9RCVC|aFLTHEA
174	51318 41812	   	170.32	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1MBVNT|2BEXP|37VULN|4DUR|5AART|6RCR|8DMG|9RCVC|aFLTHEA
175	54583 44224	   	170.28	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	1MBVNT|2BASICY|36DMG|46ASPD|5AART|6BPWR|7RCR|8ZMB|9FEWX|aVULN
176	54583 44434	   	170.28	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	1MBVNT|2BASICY|36DMG|46ASPD|5AART|6BPWR|7RCR|8FEWX|9ZMB|aVULN
177	42318 41221	   	170.25	DCR|4VULN|1AART|2DUR	19BEXP|2MBVNT|3789VULN|49DUR|5AART|6RCR|9BPWR|aRMIN
178	42318 41226	   	170.25	DCR|4VULN|1AART|2DUR	19BEXP|2MBVNT|3789VULN|49DUR|5AART|6RCR|9BPWR|aLWND
179	51318 41221	   	170.25	DCR|4VULN|1AART|2DUR	1MBVNT|29BEXP|3789VULN|49DUR|5AART|6RCR|9BPWR|aRMIN
180	51318 41226	   	170.25	DCR|4VULN|1AART|2DUR	1MBVNT|29BEXP|3789VULN|49DUR|5AART|6RCR|9BPWR|aLWND
181	13141 26232	   	170.22	DCR|3DMG|2VULN|1AART|1SELL	1SELL|238DMG|469DUST|59VULN|7AART|9BPWR|aRCR
182	22412 25361	   	170.20	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1ERES|2LWND|3RCR|4DMSP|5FLTHEA|68VULN|7DMG|9ZMB|aAART
183	52383 44134	   	170.18	DCR|2VULN|1AART|1DMG|2ASPD|1ZMB	1MBVNT|2DMG|36AIRHEL|46ASPD|5AART|6BPWR|7RCR|8aVULN|9ZMB
184	52383 44264	   	170.18	DCR|2VULN|1AART|1DMG|2ASPD|1ZMB	1MBVNT|2DMG|36AIRHEL|46ASPD|5AART|6BPWR|7RCR|8ZMB|9aVULN
185	54583 44131	   	170.18	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	1MBVNT|2BASICY|36DMG|46ASPD|5AART|6BPWR|7RCR|8VULN|9ZMB|aERES
186	54583 44133	   	170.18	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	1MBVNT|2BASICY|36DMG|46ASPD|5AART|6BPWR|7RCR|8VULN|9ZMB|aDUST
187	42318 41222	   	170.15	DCR|4VULN|1AART|2DUR	19BEXP|2MBVNT|3789VULN|49DUR|5AART|6RCR|9BPWR|aERES
188	42318 41223	   	170.15	DCR|4VULN|1AART|2DUR	19BEXP|2MBVNT|3789VULN|49DUR|5AART|6RCR|9BPWR|aDUST
189	42318 41225	   	170.15	DCR|4VULN|1AART|2DUR	19BEXP|2MBVNT|3789VULN|49DUR|5AART|6RCR|9BPWR|aTLV
190	51318 41222	   	170.15	DCR|4VULN|1AART|2DUR	1MBVNT|29BEXP|3789VULN|49DUR|5AART|6RCR|9BPWR|aERES
191	51318 41223	   	170.15	DCR|4VULN|1AART|2DUR	1MBVNT|29BEXP|3789VULN|49DUR|5AART|6RCR|9BPWR|aDUST
192	51318 41225	   	170.15	DCR|4VULN|1AART|2DUR	1MBVNT|29BEXP|3789VULN|49DUR|5AART|6RCR|9BPWR|aTLV
193	33433 36324	   	170.08	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	1MLV|2aDUR|3RCR|4LIT|57VULN|6DMG|8AART|9ZMB
194	63333 53163	   	170.05	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1aDUST|2LWND|3aVULN|4DMG|5RCR|6AART|7MBVNT|8DUR|9aCDMG|aBPWR
195	33433 31253	   	170.04	ACR|3VULN|1AART|1DMG|1DUR	1MLV|2DUR|3RCR|4LIT|58aVULN|6DMG|7AART|9RPLT
196	52314 53624	   	170.02	DCR|3DMG|2VULN|1CDMG	1MBVNT|258DMG|3AIRHEL|48VULN|6RCR|78TLV|8BPWR|9CDMG|aRCVC
197	33411 52522	 * 	169.93	ACR|2VULN|1AART|1DMG|3DUR|1ASPD	1aMLV|27aDUR|3RCR|4LEGI|5ASPD|6DMG|8AART|9aVULN|aBPWR
198	43333 55232	   	169.90	ACR|3VULN|1AART|1DMG|1ZMB	1aBEXP|2LWND|38aVULN|4DMG|5RCR|6AART|7ZMB|9aTLV|aBPWR
199	52181 41832	   	169.87	DCR|3VULN|2DMG|1AART	1MBVNT|29DMG|3RPLT|479DUST|569VULN|8AART|9BPWR|aRCR
200	53812 23182	   	169.86	DCR|2VULN|2DMG|1AART|2ASPD	1MBVNT|239LHND|47DMG|5AART|69VULN|89ASPD|9BPWR|aRCR
201	22432 25331	   	169.84	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1ERES|2LWND|3RCR|4RCVC|5FLTHEA|68VULN|7DMG|9AART|aDUR
202	23411 52522	   	169.73	ACR|2VULN|1AART|1DMG|3DUR|1ASPD	1aERES|27aDUR|3RCR|4LEGI|5ASPD|6DMG|8AART|9aVULN|aBPWR
203	54553 44212	 * 	169.70	DCR|3DMG|3ZMB|1AART	1MBVNT|2BASICY|36aDMG|468ZMB|5AART|6BPWR|7RCR|9RMIN
204	63333 55232	   	169.70	ACR|3VULN|1AART|1DMG|1ZMB	1aDUST|2LWND|38aVULN|4DMG|5RCR|6AART|7ZMB|9aTLV|aBPWR
205	22432 43332	   	169.49	ACR|3VULN|1AART|1FLTHEA|1ZMB	1ERES|2LWND|3RCR|4RCVC|5FLTHEA|6ZMB|78aVULN|9AART
206	66341 13122	   	169.47	ACR|2VULN|2DMG|1AART|1DUR	1DUST|23VULN|4RCR|5BELT|6RMIN|7AART|89DMG|aDUR
207	66341 33123	   	169.47	ACR|2VULN|2DMG|1AART|1DUR	1DUST|23VULN|4RCR|5BELT|6CGEN|7AART|89DMG|aDUR
208	33433 36353	   	169.44	ACR|3VULN|1AART|1DMG|1DUR	1MLV|2DUR|3RCR|4LIT|57aVULN|6DMG|8AART|9RPLT
209	52181 22244	   	169.42	DCR|2VULN|2DMG|1AART|1ZMB	1MBVNT|2aDMG|3RPLT|46DUST|56VULN|6BPWR|7ZMB|8RCR|9AART
210	52181 42244	   	169.42	DCR|2VULN|2DMG|1AART|1ZMB	1MBVNT|2aDMG|3RPLT|4DUST|56VULN|7ZMB|8RCR|9AART
211	62354 52244	   	169.42	DCR|2VULN|2DMG|1AART|1ZMB	1DUST|2MBVNT|34VULN|5aDMG|6RPLT|7ZMB|8RCR|9AART
212	66334 52244	   	169.42	DCR|2VULN|2DMG|1AART|1ZMB	1DUST|23VULN|4MBVNT|5aDMG|6RPLT|7ZMB|8RCR|9AART
213	52762 21224	 * 	169.33	ACR|3VULN|2DMG|3DUR	1MBVNT|29DMG|3DLOT|4RCR|5CGEN|689VULN|79aDUR|9BPWR
214	12131 51325	 * 	169.29	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1SELL|2BEXP|3RCVC|4DMG|567VULN|8AART|9CDMG|aRCR
215	52871 13422	 * 	169.25	ACR|3DMG|2AART|1VULN	1MBVNT|249DMG|3VULN|5RCR|69CGEN|79FEWX|8aAART|9BPWR
216	33433 31226	 * 	169.24	ACR|2VULN|1AART|1DMG|2ZMB|1DUR	1MLV|2DUR|3RCR|4LIT|58VULN|6DMG|7AART|9aZMB
217	43333 53323	   	169.23	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1aBEXP|2LWND|3aVULN|4DMG|5RCR|6AART|7MBVNT|8CDMG|9aDUR|aBPWR
218	13161 51241	   	169.12	DCR|3VULN|2DMG|1AART|1SELL	1SELL|23DMG|4FEWX|567VULN|8AIRHEA|9AART|aRCR
219	52871 14422	   	169.05	ACR|3DMG|2AART|1VULN	1MBVNT|249DMG|3VULN|5RCR|69CGEN|79DUST|8aAART|9BPWR
220	52871 33422	   	169.05	ACR|3DMG|2AART|1VULN	1MBVNT|249DMG|3VULN|5RCR|69ERES|79FEWX|8aAART|9BPWR
221	12131 51366	   	169.04	DCR|3VULN|1AART|1DMG|1ZMB|1SELL	1SELL|2BEXP|3RCVC|4DMG|567VULN|8AART|9RCR|aZMB
222	63333 53323	   	169.03	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1aDUST|2LWND|3aVULN|4DMG|5RCR|6AART|7MBVNT|8CDMG|9aDUR|aBPWR
223	13141 51241	   	169.02	DCR|3VULN|2DMG|1AART|1SELL	1SELL|23DMG|4DUST|567VULN|8AIRHEA|9AART|aRCR
224	23543 32312	 * 	169.02	ACR|2VULN|2DMG|2ASPD|1ZMB|1DUR	16aERES|2DUR|3aASPD|4RCR|5ZMB|79VULN|8aDMG|aBPWR
225	52846 41443	   	168.95	DCR|2VULN|2DMG|1AART|2DUR	1MBVNT|27DMG|37VULN|4FEWX|5TLV|67DUR|7BPWR|8AART|9RCR|aDUST
226	52671 14212	   	168.93	ACR|3DMG|2VULN|1ZMB|1ASPD	1MBVNT|24aDMG|3BEXP|5RCR|6aCGEN|7ZMB|8ASPD|9aVULN|aBPWR
227	66341 31323	   	168.87	ACR|2VULN|2DMG|1AART|1DUR	1DUST|23VULN|4RCR|5BELT|6CGEN|79DMG|8AART|aDUR
228	22432 25352	 * 	168.85	ACR|4VULN|1DMG|1FLTHEA	1ERES|2LWND|3RCR|4RCVC|5FLTHEA|689aVULN|7DMG
229	52871 34422	   	168.85	ACR|3DMG|2AART|1VULN	1MBVNT|249DMG|3VULN|5RCR|69ERES|79DUST|8aAART|9BPWR
230	52853 41112	 * 	168.84	ACR|3DMG|2VULN|3DUR	1MBVNT|27aDMG|39VULN|47aERES|5RCR|67aDUR|7aBPWR|8RCVC
231	53334 68323	   	168.81	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1MBVNT|2aLHND|3VULN|4aDMG|5BEXP|6AART|7CDMG|8RCR|9aDUR|aBPWR
232	52671 34212	   	168.73	ACR|3DMG|2VULN|1ZMB|1ASPD	1MBVNT|24aDMG|3BEXP|5RCR|6aERES|7ZMB|8ASPD|9aVULN|aBPWR
233	52472 44142	   	168.72	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1MBVNT|24DMG|3DUST|5AART|6RCVC|7RCR|8ASPD|9VULN|aCDMG
234	52314 53621	   	168.71	DCR|3DMG|2VULN|1CDMG	1MBVNT|258DMG|3AIRHEL|48VULN|6RCR|78TLV|8BPWR|9CDMG|aCGEN
235	52314 53622	   	168.71	DCR|3DMG|2VULN|1CDMG	1MBVNT|258DMG|3AIRHEL|48VULN|6RCR|78TLV|8BPWR|9CDMG|aBEXP
236	52832 34261	   	168.70	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD	1MBVNT|26DMG|3aVULN|4LIT|5ZMB|7RCR|8CDMG|9ASPD
237	52833 34274	   	168.70	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1MBVNT|29DMG|35VULN|4LIT|6ZMB|7RCR|8CDMG|aDUR
238	42354 17424	   	168.65	DCR|2VULN|2DMG|1AART|1DUR	19BEXP|2MBVNT|34VULN|59DMG|69CGEN|7RCR|8AART|9BPWR|aDUR
239	51354 17424	   	168.65	DCR|2VULN|2DMG|1AART|1DUR	1MBVNT|29BEXP|34VULN|59DMG|69CGEN|7RCR|8AART|9BPWR|aDUR
240	33433 36326	   	168.64	ACR|2VULN|1AART|1DMG|2ZMB|1DUR	1MLV|2DUR|3RCR|4LIT|57VULN|6DMG|8AART|9aZMB
241	42318 43382	 * 	168.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2MBVNT|3aVULN|4DUR|5AART|6RCR|7CDMG|8ERES|9DMG
242	51318 43382	   	168.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2BEXP|3aVULN|4DUR|5AART|6RCR|7CDMG|8ERES|9DMG
243	52314 52228	   	168.61	DCR|3DMG|2VULN|1CDMG	1MBVNT|25aDMG|3aAIRHEL|49VULN|6RCR|7CDMG|8aERES|aBPWR
244	52314 52543	   	168.61	DCR|3DMG|2VULN|1CDMG	1MBVNT|25aDMG|3AIRHEL|48VULN|6RCR|7CDMG|9DUST
245	52314 53623	   	168.61	DCR|3DMG|2VULN|1CDMG	1MBVNT|258DMG|3AIRHEL|48VULN|6RCR|78TLV|8BPWR|9CDMG|aERES
246	52811 24227	   	168.56	DCR|2VULN|2DMG|1AART|2ASPD	1MBVNT|29DMG|38VULN|4LEGI|59ASPD|69BEXP|7AART|9BPWR|aRCR
247	52841 34227	   	168.56	DCR|2VULN|2DMG|1AART|2ASPD	1MBVNT|29DMG|38VULN|49FEWX|59ASPD|6LEGI|7AART|9BPWR|aRCR
248	52853 43431	   	168.48	ACR|2VULN|2DMG|1AART|1DUR	1MBVNT|29DMG|39VULN|4ERES|5RCR|6DUR|7AART|89FEWX|9BPWR|aRCVC
249	52883 34314	   	168.45	DCR|2VULN|2DMG|1AART|1ASPD	1MBVNT|25DMG|3aVULN|4ASPD|6LIT|7RCR|8AART|9DMSP
250	52846 21443	   	168.26	DCR|2VULN|2DMG|2AART	1MBVNT|27DMG|37VULN|4FEWX|5TLV|67BEXP|7BPWR|8aAART|9RCR
251	11111 36266	   	168.17	DCR|2VULN|2DMG|1AART|1ZMB|1SELL	1SELL|26MLV|38DMG|4ERES|56VULN|6BPWR|7AART|9RCR|aZMB
252	53334 74227	 * 	168.04	DCR|3VULN|1AART|1DMG|2ZMB	1MBVNT|29LHND|389VULN|4DMG|5BEXP|69ZMB|7AART|9BPWR|aRCR
253	33433 31233	   	168.03	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1MLV|2DUR|3RCR|4LIT|58VULN|6DMG|7AART|9LSRICY|aCDMG
254	33464 23211	   	168.03	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1MLV|2DUR|3RCR|4DMG|58VULN|6BEXP|7AART|9CDMG|aCGEN
255	33464 23213	   	168.03	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1MLV|2DUR|3RCR|4DMG|58VULN|6BEXP|7AART|9CDMG|aRMIN
