0	Index      	 *	Score 	Summary	Detail	
1	42331 33143	 * 	185.73	DCR|3VULN|2AART|1DMG|1CDMG|1SELL	1CDMG|29AART|3SELL|4DMG|56aVULN|7LSRICY|8RCR
157	23313 11127	   	162.59	ACR|1AART|1DMG|1VULN|2ASPD|1FLTHEA|2DUR	12ASPD|2BPWR|3MBVNT|47DUR|5RCR|6FLTHEA|8DMG|9VULN|aAART
158	12313 61436	 * 	162.58	DCR|2AART|1DMG|2CDMG|2ZMB|1DUR	1RMIN|2DUR|38CDMG|45ZMB|6RCR|7aAART|9DMG
159	24423 44631	 * 	162.48	DCR|3DMG|1VULN|2ASPD|1CDMG	18ASPD|25LIT|3MBVNT|456DMG|5BPWR|7RCR|9VULN|aCDMG
160	42323 33482	 * 	162.44	DCR|2VULN|1AART|1DMG|2CDMG|1SELL	17CDMG|2AART|3SELL|4CGEN|57DUST|67VULN|7BPWR|8MBVNT|9RCR|aDMG
161	12313 61632	   	162.41	DCR|2DMG|1AART|2ZMB|1CDMG|1DUR	1RMIN|2DUR|3CDMG|45ZMB|6RCR|7AART|89DMG|aLWND
162	12313 61633	   	162.41	DCR|2DMG|1AART|2ZMB|1CDMG|1DUR	1RMIN|2DUR|3CDMG|45ZMB|6RCR|7AART|89DMG|aMLV
163	12313 61634	   	162.41	DCR|2DMG|1AART|2ZMB|1CDMG|1DUR	1RMIN|2DUR|3CDMG|45ZMB|6RCR|7AART|89DMG|aCGEN
164	14313 61632	   	162.41	DCR|2DMG|1AART|2ZMB|1CDMG|1DUR	1RMIN|2CDMG|3DUR|45ZMB|6RCR|7AART|89DMG|aLWND
165	14313 61633	   	162.41	DCR|2DMG|1AART|2ZMB|1CDMG|1DUR	1RMIN|2CDMG|3DUR|45ZMB|6RCR|7AART|89DMG|aMLV
166	24424 44631	   	162.38	DCR|3DMG|1VULN|2ASPD|1CDMG	18ASPD|2LIT|3MBVNT|456DMG|7RCR|9VULN|aCDMG
167	12313 61635	   	162.31	DCR|2DMG|1AART|2ZMB|1CDMG|1DUR	1RMIN|2DUR|3CDMG|45ZMB|6RCR|7AART|89DMG|aDUST
168	24323 41235	   	162.20	DCR|2DMG|1AART|2ASPD|1CDMG|2DUR	15ASPD|2LIT|3DUST|45DMG|5BPWR|6AART|7CDMG|8RCR|9aDUR
169	24323 65231	 * 	162.08	DCR|3DMG|1VULN|3ASPD|1DUR	156ASPD|2LIT|3DUST|456DMG|56BPWR|7RCR|8ERES|9DUR|aVULN
170	23125 45312	 * 	162.05	DCR|2VULN|3ASPD|1DMG|2CDMG	128ASPD|28BPWR|37VULN|48CDMG|58LIT|6RCR|9DMG|aBELT
171	23125 45311	   	161.95	DCR|2VULN|3ASPD|1DMG|2CDMG	128ASPD|28BPWR|37VULN|48CDMG|58LIT|6RCR|9DMG|aTLV
172	23125 45313	   	161.95	DCR|2VULN|3ASPD|1DMG|2CDMG	128ASPD|28BPWR|37VULN|48CDMG|58LIT|6RCR|9DMG|aDUST
173	21353 24256	 * 	161.93	ACR|2DMG|1AART|2CDMG|2ASPD|1DUR	1aASPD|2aFEWX|3MBVNT|47DMG|5RCR|6DUR|8aCDMG|9AART|aBPWR
174	21353 14458	   	161.93	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2FEWX|3MBVNT|4DMG|5RCR|6RCVC|7CDMG|8aVULN|9AART
175	24623 41233	   	161.88	DCR|1AART|1VULN|1DMG|3DUR|1CDMG|1ASPD	1ASPD|2LIT|359DUR|4DMG|6AART|7CDMG|8RCR|aVULN
176	23112 62662	   	161.87	DCR|3VULN|1DMG|2ASPD|1ZMB|1DUR	12ASPD|2BPWR|35aVULN|4DUR|6ZMB|7ERES|8DMG|9RCR
177	15223 32614	   	161.86	DCR|2VULN|1AART|1DMG|2DUR	1RMIN|2RPLT|3AART|4aFEWX|5aVULN|6RCR|7BEXP|8DMG|9aDUR|aBPWR
178	42532 33235	   	161.81	DCR|2AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1CDMG|24AART|3BELT|5ASPD|6DMG|7DUR|8VULN|9BEXP|aRCR
179	23313 67243	   	161.74	ACR|1AART|1VULN|1DMG|2ASPD|2DUR|1ZMB	12ASPD|2BPWR|3MBVNT|46DUR|5RCR|7AART|8ZMB|9DMG|aVULN
180	42532 33225	   	161.71	DCR|2AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1CDMG|24AART|3BELT|5ASPD|6DMG|7DUR|8VULN|9DUST|aRCR
181	41632 33312	   	161.57	DCR|2VULN|1AART|3DUR|1CDMG|1ZMB	1CDMG|2DUST|37aDUR|46VULN|5AART|8ZMB|9RCR
182	24611 27144	   	161.50	DCR|4VULN|1AART|1ASPD|1DUR	1ASPD|2LIT|3DUR|4578VULN|6MBVNT|9RCR|aAART
183	41631 22431	   	161.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DUST|3DUR|4aVULN|5DMG|6TLV|7RPLT|8RCR|9AART
184	52163 33512	   	161.41	DCR|2VULN|2DMG|1AART	1MLV|2CGEN|36ERES|4AART|57VULN|8RCR|9aDMG
185	42321 16232	   	161.39	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1SELL	1CDMG|2AART|3SELL|4CGEN|5VULN|6MLV|7RCR|8DUR|9ZMB|aDMG
186	42311 33113	   	161.16	DCR|3VULN|1AART|1CDMG|1ASPD|1SELL	1CDMG|2AART|3SELL|4ASPD|56aVULN|7LSRICY|8RCR|9DMSP
187	24611 21252	   	161.16	DCR|3VULN|1DMG|2ASPD|2DUR	19ASPD|28LIT|39DUR|459VULN|6MBVNT|7RCR|9BPWR|aDMG
188	42321 16122	   	161.03	DCR|2DMG|1AART|1VULN|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|5VULN|69MLV|7RCR|8aDMG
189	42321 16161	   	161.03	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|59VULN|6MLV|7RCR|8DMG|aLWND
190	42321 36122	   	161.03	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|48CGEN|56VULN|7RCR|9FEWX|aDMG
191	42321 36142	   	161.03	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|48CGEN|56VULN|7RCR|9LHND|aDMG
192	42321 36152	   	161.03	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|48CGEN|56VULN|7RCR|9BEXP|aDMG
193	42321 36162	   	161.03	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|48CGEN|56VULN|7RCR|9DMG|aFEWX
194	42321 36236	   	161.03	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|56VULN|7RCR|8LWND|9LIT|aDMG
195	42321 36261	   	161.03	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|56VULN|7RCR|8LWND|9DMG|aRMIN
196	42321 36262	   	161.03	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|56VULN|7RCR|8LWND|9DMG|aLSRICY
197	42321 36521	   	161.03	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|56VULN|7RCR|8DMG|9FEWX|aRMIN
198	42321 36522	   	161.03	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|56VULN|7RCR|8DMG|9FEWX|aLSRICY
199	42322 16512	   	161.03	DCR|2DMG|1AART|1VULN|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|5RCVC|6VULN|7RCR|89DMG|aFEWX
200	42321 66322	   	161.03	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|58VULN|6DMSP|7RCR|9FEWX|aDMG
201	42322 16322	   	161.03	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|5RCVC|68VULN|7RCR|9FEWX|aDMG
202	42322 16342	   	161.03	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|5RCVC|68VULN|7RCR|9LHND|aDMG
203	42322 16352	   	161.03	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|5RCVC|68VULN|7RCR|9BEXP|aDMG
204	42322 16362	   	161.03	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|5RCVC|68VULN|7RCR|9DMG|aFEWX
205	42363 16112	   	161.03	DCR|2DMG|1AART|1VULN|1CDMG|1SELL	1CDMG|2AART|3SELL|4VULN|56MLV|7RCR|8CGEN|9aDMG
206	23232 14434	   	160.99	DCR|2VULN|1AART|3ASPD|1DMG	126ASPD|26BPWR|3LHND|4FEWX|56VULN|7DMSP|8RCR|9AART|aDMG
207	42321 16112	   	160.93	DCR|2DMG|1AART|1VULN|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|5VULN|6MLV|7RCR|8aDMG|9DUST
208	42321 36132	   	160.93	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|48CGEN|56VULN|7RCR|9DUST|aDMG
209	42321 36161	   	160.93	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|48CGEN|56VULN|7RCR|9DMG|aERES
210	42321 36212	   	160.93	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|56VULN|7RCR|8LWND|9DUST|aDMG
211	42321 36442	   	160.93	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|56VULN|7RCR|8MBVNT|9DMG|aRMIN
212	42321 36444	   	160.93	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|56VULN|7RCR|8MBVNT|9DMG|aBEXP
213	42321 36531	   	160.93	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|56VULN|7RCR|8DMG|9DUST|aRMIN
214	42321 36532	   	160.93	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|56VULN|7RCR|8DMG|9DUST|aLSRICY
215	42322 16511	   	160.93	DCR|2DMG|1AART|1VULN|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|5RCVC|6VULN|7RCR|89DMG|aERES
216	42362 36111	   	160.93	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|46VULN|5ERES|7RCR|8CGEN|9DMG|aLWND
217	42362 36322	   	160.93	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|46VULN|5ERES|7RCR|8RCVC|9FEWX|aDMG
218	42321 66332	   	160.93	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|58VULN|6DMSP|7RCR|9DUST|aDMG
219	42322 16332	   	160.93	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|5RCVC|68VULN|7RCR|9DUST|aDMG
220	42322 16361	   	160.93	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|5RCVC|68VULN|7RCR|9DMG|aERES
221	42321 36412	   	160.83	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|56VULN|7RCR|8MBVNT|9DUST|aDMG
222	42321 36441	   	160.83	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|56VULN|7RCR|8MBVNT|9DMG|aDUST
223	42321 36443	   	160.83	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4CGEN|56VULN|7RCR|8MBVNT|9DMG|aTLV
224	42362 36122	   	160.83	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|46VULN|5ERES|7RCR|8CGEN|9NUKE|aDMG
225	42362 36332	   	160.83	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|46VULN|5ERES|7RCR|8RCVC|9DUST|aDMG
226	42321 36163	   	160.79	DCR|2VULN|1AART|1DMG|1CDMG|2SELL	1CDMG|2AART|3aSELL|48CGEN|56VULN|7RCR|9DMG
227	42322 16513	   	160.79	DCR|2DMG|1AART|1VULN|1CDMG|2SELL	1CDMG|2AART|3aSELL|4CGEN|5RCVC|6VULN|7RCR|89DMG
228	42322 16363	   	160.79	DCR|2VULN|1AART|1DMG|1CDMG|2SELL	1CDMG|2AART|3aSELL|4CGEN|5RCVC|68VULN|7RCR|9DMG
229	21353 27273	 * 	160.72	ACR|3DMG|1VULN|1CDMG|1ASPD|1DUR	1ASPD|2FEWX|3MBVNT|49aDMG|5RCR|6DUR|7VULN|8CDMG
230	42432 31142	   	160.57	DCR|3VULN|1AART|1CDMG|1ZMB	1CDMG|2AART|3BEXP|4LHND|5CANSTR|678VULN|9ZMB|aRCR
231	42632 31142	   	160.57	DCR|3VULN|1AART|1CDMG|1ZMB	1CDMG|2AART|3FEWX|4LHND|5CANSTR|678VULN|9ZMB|aRCR
232	46113 24333	 * 	160.48	ACR|2AART|2VULN|1CDMG|1ZMB	1CDMG|2LWND|36RCVC|4aAART|5RCR|79VULN|8ZMB
233	46113 35333	   	160.48	ACR|2AART|2VULN|1CDMG|1ZMB	1CDMG|2LWND|37RCVC|4aAART|5RCR|69VULN|8ZMB
234	46213 24333	   	160.48	ACR|2AART|2VULN|1CDMG|1ZMB	1CDMG|23LWND|4aAART|5RCR|6RCVC|79VULN|8ZMB
235	46213 35333	   	160.48	ACR|2AART|2VULN|1CDMG|1ZMB	1CDMG|23LWND|4aAART|5RCR|69VULN|7RCVC|8ZMB
236	23313 62253	 * 	160.37	ACR|1AART|1VULN|3ASPD|1DMG|3DUR	127ASPD|27BPWR|3MBVNT|467DUR|5RCR|8AART|9DMG|aVULN
237	24141 63123	   	160.33	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2LIT|3ERES|4AART|5CDMG|6DMG|7RCR|8VULN|9CGEN|aZMB
238	31241 63533	   	160.33	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2CGEN|3ASPD|4AART|5CDMG|6DMG|7RCR|8ERES|9VULN|aZMB
239	44216 31333	   	160.27	DCR|2DMG|1AART|2CDMG|1ZMB|1ASPD	1aCDMG|2ASPD|3aFEWX|4ZMB|5LHND|6RCVC|7AART|8RCR|9aDMG|aBPWR
240	11531 24224	   	160.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1RMIN|2ZMB|36RPLT|4aVULN|5DMG|7AART|8RCR|9DUR
241	11531 44212	   	160.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1RMIN|2ZMB|3RPLT|46VULN|5DMG|7AART|8RCR|9RCVC|aDUR
242	11531 44221	   	160.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1RMIN|2ZMB|3RPLT|46VULN|5DMG|7AART|8RCR|9DUR|aMLV
243	11531 44223	   	160.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1RMIN|2ZMB|3RPLT|46VULN|5DMG|7AART|8RCR|9DUR|aBEXP
244	23322 31735	 * 	160.12	DCR|3DMG|1AART|2ASPD|1CDMG	12ASPD|2BPWR|3MBVNT|4CDMG|5FEWX|689DMG|7AART|aRCR
245	23325 31735	   	160.12	DCR|3DMG|1AART|2ASPD|1CDMG	12ASPD|2BPWR|3MBVNT|4CDMG|5BEXP|689DMG|7AART|aRCR
246	23312 83782	   	160.11	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	12ASPD|2BPWR|3MBVNT|4DUR|58VULN|6TLV|7AART|9RCR|aDMG
247	31241 13246	   	159.98	DCR|2VULN|1AART|3ASPD|1CDMG	1aLIT|2CGEN|38aASPD|4AART|5CDMG|6ERES|7RCR|9aVULN|aBPWR
248	24323 65112	 * 	159.83	DCR|3DMG|3ASPD|1CDMG|1ZMB	156ASPD|28LIT|3DUST|456DMG|56BPWR|7RCR|9CDMG|aZMB
249	21353 24255	   	159.81	ACR|2DMG|1AART|1CDMG|1ZMB|1ASPD|1DUR	1ASPD|2FEWX|3MBVNT|47DMG|5RCR|6DUR|8CDMG|9AART|aZMB
250	24323 62512	   	159.78	DCR|3DMG|1VULN|3ASPD|1DUR	156ASPD|2LIT|3DUST|456DMG|56BPWR|7VULN|8RCR|9DUR|aCGEN
251	24116 63123	   	159.73	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|2LIT|3ERES|4CDMG|5AART|6DMG|7RCR|8VULN|9CGEN|aZMB
252	24323 62511	   	159.68	DCR|3DMG|1VULN|3ASPD|1DUR	156ASPD|2LIT|3DUST|456DMG|56BPWR|7VULN|8RCR|9DUR|aERES
253	24323 62513	   	159.68	DCR|3DMG|1VULN|3ASPD|1DUR	156ASPD|2LIT|3aDUST|456DMG|56BPWR|7VULN|8RCR|9DUR
254	21335 34538	   	159.67	DCR|2AART|1VULN|1DMG|1ZMB|1ASPD|1DUR	1ASPD|2FEWX|3MBVNT|4VULN|5DUR|6ZMB|7DMG|8RCR|9aAART
255	42211 44133	 * 	159.60	DCR|2AART|2VULN|1CDMG|1DUR	1CDMG|2aAART|3CGEN|48RCVC|5DUR|69VULN|7RCR
256	42211 44333	   	159.60	DCR|2AART|2VULN|1CDMG|1DUR	1CDMG|2aAART|38CGEN|4RCVC|5DUR|69VULN|7RCR
257	42332 13146	   	159.43	DCR|2AART|1VULN|1DMG|1CDMG|1DUR|1SELL	1CDMG|29AART|3SELL|4DMG|5RCVC|6VULN|7LSRICY|8RCR|aDUR
258	33335 81382	   	158.88	DCR|3VULN|1AART|1DMG	14LIT|2DUST|38aVULN|5MBVNT|6DMG|7RCR|9AART
259	31266 42133	   	158.88	DCR|2VULN|1AART|1DMG|2ASPD	19LIT|24CGEN|34ASPD|4BPWR|5DMG|6RCR|78VULN|aAART
260	42125 11251	   	158.88	DCR|2VULN|1AART|1DMG|1CDMG	1CDMG|2AART|3MLV|4LIT|59VULN|6DMG|7RCVC|8RCR|aLWND
261	42125 11252	   	158.88	DCR|2VULN|1AART|1DMG|1CDMG	1CDMG|2AART|3MLV|4aLIT|59VULN|6DMG|7RCVC|8RCR
262	42225 11251	   	158.88	DCR|2VULN|1AART|1DMG|1CDMG	1CDMG|2AART|3CGEN|4LIT|59VULN|6DMG|7RCVC|8RCR|aLWND
263	42225 11252	   	158.88	DCR|2VULN|1AART|1DMG|1CDMG	1CDMG|2AART|3CGEN|4aLIT|59VULN|6DMG|7RCVC|8RCR
264	42422 35211	   	158.88	DCR|2VULN|1AART|1DMG|1CDMG	1CDMG|2AART|3BEXP|4RMIN|5LWND|6aVULN|7RPLT|8RCR|9DMG
265	24216 42133	   	158.78	DCR|2VULN|1AART|1DMG|2ASPD	13ASPD|29LIT|4CGEN|5DMG|6RCR|78VULN|aAART
266	42311 33156	   	158.76	DCR|2VULN|1AART|2CDMG|1DUR|1ASPD|1SELL	19CDMG|2AART|3SELL|4ASPD|56VULN|7LSRICY|8RCR|aDUR
267	12313 62526	 * 	158.71	DCR|3ZMB|1VULN|1DMG|1CDMG|2DUR	1RMIN|29DUR|3CDMG|45aZMB|6RCR|7VULN|8DMG
268	53363 31631	   	158.69	ACR|2DMG|1AART|1VULN|1CDMG	12MLV|2BPWR|3CDMG|4RCR|5RMIN|6BEXP|7AART|89DMG|aVULN
269	12133 66331	 * 	158.69	DCR|2VULN|3ZMB|1AART|1DUR	1RMIN|2DUR|3CGEN|456ZMB|7RCR|8aVULN|9AART
270	12233 66531	   	158.69	DCR|2VULN|3ZMB|1AART|1DUR	1RMIN|2DUR|3MLV|456ZMB|7RCR|8aVULN|9AART
271	42331 33111	   	158.63	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4DMG|56VULN|7LSRICY|8RCR|9DMSP|aBELT
272	42331 33121	   	158.63	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4DMG|56VULN|7LSRICY|8RCR|9CGEN|aRMIN
273	42331 33123	   	158.63	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4DMG|56VULN|7LSRICY|8RCR|9CGEN|aFEWX
274	42331 33124	   	158.63	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4DMG|56VULN|7LSRICY|8RCR|9CGEN|aBEXP
275	42331 33131	   	158.63	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4DMG|56VULN|7LSRICY|8RCR|9BEXP|aRCVC
276	42331 33134	   	158.63	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4DMG|56VULN|7LSRICY|8RCR|9BEXP|aCGEN
277	42331 33161	   	158.63	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4DMG|56VULN|7LSRICY|8RCR|9LHND|aBELT
278	42331 33164	   	158.63	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4DMG|56VULN|7LSRICY|8RCR|9LHND|aCGEN
279	42125 11225	   	158.63	DCR|2DMG|1AART|1VULN|1CDMG|1SELL	1CDMG|2AART|3MLV|4LIT|5VULN|6aDMG|7RCVC|8RCR|9SELL
280	42125 11226	   	158.63	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3MLV|4LIT|5aVULN|6DMG|7RCVC|8RCR|9SELL
281	42225 11225	   	158.63	DCR|2DMG|1AART|1VULN|1CDMG|1SELL	1CDMG|2AART|3CGEN|4LIT|5VULN|6aDMG|7RCVC|8RCR|9SELL
282	42331 63113	   	158.63	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4DMG|5aVULN|69DMSP|7LSRICY|8RCR
283	42332 13113	   	158.63	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4DMG|5RCVC|6aVULN|7LSRICY|8RCR|9DMSP
284	34511 27144	   	158.62	DCR|4VULN|1AART|1ZMB	1LIT|2LHND|3ZMB|4578VULN|6MBVNT|9RCR|aAART
285	35511 27144	   	158.62	DCR|4VULN|1AART|1ZMB	1LIT|2LWND|3ZMB|4578VULN|6MBVNT|9RCR|aAART
286	36511 27144	   	158.62	DCR|4VULN|1AART|1ZMB	1LIT|2FEWX|3ZMB|4578VULN|6MBVNT|9RCR|aAART
287	23333 61383	 * 	158.59	ACR|2DMG|1AART|3ASPD|3DUR	129ASPD|29BPWR|3MBVNT|4FEWX|5RCR|69aDUR|7AART|89DMG
288	23313 67811	   	158.59	ACR|2DMG|1AART|3ASPD|3DUR	12aASPD|2aBPWR|3MBVNT|46aDUR|5RCR|7AART|8RCVC|9aDMG
289	42331 33112	   	158.53	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4DMG|56VULN|7LSRICY|8RCR|9DMSP|aERES
290	42331 33115	   	158.53	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4DMG|56VULN|7LSRICY|8RCR|9DMSP|aTLV
291	42331 33122	   	158.53	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4DMG|56VULN|7LSRICY|8RCR|9CGEN|aERES
292	42331 33133	   	158.53	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4DMG|56VULN|7LSRICY|8RCR|9BEXP|aCANHEL
293	42331 33163	   	158.53	DCR|2VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2AART|3SELL|4DMG|56VULN|7LSRICY|8RCR|9LHND|aTLV
294	33351 27144	   	158.52	DCR|4VULN|1AART|1ZMB	1LIT|2DUST|3578VULN|4ZMB|6MBVNT|9RCR|aAART
295	33511 27144	   	158.52	DCR|4VULN|1AART|1ZMB	1LIT|2DUST|3ZMB|4578VULN|6MBVNT|9RCR|aAART
296	23313 67147	   	158.49	ACR|2DMG|1AART|3ASPD|3DUR	12aASPD|2aBPWR|3MBVNT|46aDUR|5RCR|7AART|8NUKE|9aDMG
297	42232 36315	 * 	158.48	DCR|3DMG|1AART|2CDMG	1aCDMG|2AART|3CGEN|4aLHND|5LWND|6ERES|78aDMG|9RCR|aBPWR
298	24611 36122	   	158.46	DCR|4VULN|1DMG|1ASPD|1DUR	1ASPD|2LIT|3DUR|4578VULN|6LHND|9RCR|aDMG
299	21345 51345	   	158.38	DCR|3VULN|1AART|3ASPD	159ASPD|2FEWX|3MBVNT|49LIT|689VULN|7RCR|9BPWR|aAART
300	24611 27142	   	158.36	DCR|4VULN|1DMG|1ASPD|1DUR	1ASPD|2LIT|3DUR|4578VULN|6MBVNT|9RCR|aDMG
301	46113 61332	   	158.35	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2LWND|3RCVC|4AART|5RCR|6DMG|7ERES|8ZMB|9VULN|aDUR
302	46213 61332	   	158.35	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1CDMG|23LWND|4AART|5RCR|6DMG|7ERES|8ZMB|9VULN|aDUR
303	23125 64184	 * 	158.31	DCR|2VULN|2AART|2ASPD|1CDMG	12ASPD|2BPWR|38VULN|4CDMG|5LIT|6MBVNT|7aAART|9RCR
304	12313 61322	 * 	158.25	DCR|3ZMB|1AART|1DMG|1CDMG|1DUR	1RMIN|2DUR|3CDMG|458ZMB|6RCR|7AART|9AIRHEA|aDMG
305	12313 61344	 * 	158.25	DCR|3ZMB|1AART|1VULN|1CDMG|1DUR	1RMIN|2DUR|3CDMG|458ZMB|6RCR|7AART|9TLV|aVULN
306	12313 61345	   	158.25	DCR|3ZMB|1AART|1DMG|1CDMG|1DUR	1RMIN|2DUR|3CDMG|458ZMB|6RCR|7AART|9TLV|aDMG
307	14313 61322	   	158.25	DCR|3ZMB|1AART|1DMG|1CDMG|1DUR	1RMIN|2CDMG|3DUR|458ZMB|6RCR|7AART|9AIRHEA|aDMG
308	43313 61342	   	158.25	DCR|3ZMB|1AART|1VULN|1CDMG|1DUR	1CDMG|2ERES|3DUR|458ZMB|6RCR|7AART|9MLV|aVULN
309	21334 15731	 * 	158.23	DCR|4VULN|2CDMG|2ASPD	1aASPD|256FEWX|3MBVNT|468aVULN|6aBPWR|7aCDMG|9RCR
310	21323 27741	 * 	158.20	ACR|3DMG|1AART|3ASPD	16aASPD|2aFEWX|3MBVNT|4DMSP|5RCR|7AART|89aDMG|aBPWR
311	43313 61322	   	158.15	DCR|3ZMB|1AART|1DMG|1CDMG|1DUR	1CDMG|2ERES|3DUR|458ZMB|6RCR|7AART|9LSRREG|aDMG
312	24423 54124	   	158.12	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD|1SELL	1ASPD|25LIT|3MBVNT|45DMG|5BPWR|6AART|7ZMB|8SELL|9RCR|aVULN
313	12133 66352	   	158.09	DCR|2VULN|3ZMB|1AART|1DUR	1RMIN|2DUR|3CGEN|456ZMB|7RCR|89VULN|aAART
314	21323 14278	 * 	158.07	ACR|1AART|1DMG|1VULN|2FLTHEA|2ASPD	17ASPD|27FEWX|3MBVNT|4DMSP|5RCR|67FLTHEA|7BPWR|8AART|9DMG|aVULN
