0	Index      	 *	Score 	Summary	Detail	
1	41312 27327	 * 	208.40	DCR|4VULN|3DMG|3CDMG|2RCVC	15RCVC|279DMG|3MBVNT|479CDMG|6789VULN|79BPWR|aRCR
167	16122 35161	   	180.14	ACR|2VULN|2DMG|1AART|1ZMB	1DUST|2RCR|39VULN|4AART|5DMSP|6MLV|7ZMB|8aDMG
168	31362 25212	   	180.09	ACR|3VULN|3DMG|1FLTHEA	1CGEN|267VULN|368DMG|4LEGI|5RCR|6BPWR|9FLTHEA|aTLV
169	31362 25224	   	180.09	ACR|3VULN|3DMG|1CDMG	1CGEN|267VULN|368DMG|4LEGI|5RCR|6BPWR|9CDMG|aDUST
170	16121 35161	   	180.04	ACR|2VULN|2DMG|1AART|1ZMB	15DUST|2RCR|39VULN|4AART|6MLV|7ZMB|8aDMG
171	41114 31421	   	179.99	DCR|3DMG|1AART|1VULN|1ZMB	1RCVC|27aDMG|3AART|4LHND|5ZMB|6RCR|8VULN|9ERES
172	41134 31421	   	179.99	DCR|3DMG|1AART|1VULN|1ZMB	1RCVC|27aDMG|3AART|4LWND|5ZMB|6RCR|8VULN|9ERES
173	41151 13238	   	179.99	DCR|3DMG|1AART|1VULN|1ZMB	1RCVC|24aDMG|3AART|5MBVNT|6RCR|7FEWX|8VULN|9ZMB
174	41151 12238	   	179.89	DCR|3DMG|1AART|1VULN|1ZMB	1RCVC|24aDMG|3AART|5MBVNT|6RCR|7DUST|8VULN|9ZMB
175	41151 11134	   	179.63	DCR|2AART|2DMG|1VULN|2ZMB	1RCVC|24DMG|37AART|5MBVNT|6RCR|8aZMB|9VULN
176	65312 31221	   	179.56	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1DMSP|2AART|348VULN|5ASPD|6RCR|7DUR|9LWND|aDMG
177	65312 31261	   	179.56	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1DMSP|2AART|348VULN|5ASPD|6RCR|7DUR|9BEXP|aDMG
178	65321 31221	   	179.56	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1DMSP|2AART|358VULN|4ASPD|6RCR|7DUR|9LWND|aDMG
179	65321 31261	   	179.56	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1DMSP|2AART|358VULN|4ASPD|6RCR|7DUR|9BEXP|aDMG
180	65312 31211	   	179.46	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1DMSP|2AART|348VULN|5ASPD|6RCR|7DUR|9LEGI|aDMG
181	65321 31211	   	179.46	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1DMSP|2AART|358VULN|4ASPD|6RCR|7DUR|9LEGI|aDMG
182	16126 11162	   	179.43	ACR|3VULN|1AART|1DMG|2DUR	1DUST|2RCR|369VULN|4AART|57DUR|8DMG|aMLV
183	65142 31131	   	179.42	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	1DMSP|27AART|3DMG|4RMIN|5ASPD|6RCR|8ZMB|9aVULN
184	16262 11261	   	179.34	ACR|2VULN|2DMG|1AART|1ZMB	14DUST|2RCR|3ZMB|5AART|6ERES|7aDMG|89VULN
185	16126 11163	   	179.33	ACR|3VULN|1AART|1DMG|2DUR	1DUST|2RCR|369VULN|4AART|57DUR|8DMG|aTLV
186	65312 36321	   	179.23	DCR|3VULN|1AART|1DMG|2ASPD	1DMSP|2AART|347VULN|57ASPD|6RCR|7BPWR|8DUST|9LWND|aDMG
187	65321 36321	   	179.23	DCR|3VULN|1AART|1DMG|2ASPD	1DMSP|2AART|357VULN|47ASPD|6RCR|7BPWR|8DUST|9LWND|aDMG
188	41343 31342	   	179.13	DCR|3DMG|2AART|1VULN	1RCVC|278DMG|3MBVNT|48ERES|5aAART|6RCR|8BPWR|9VULN
189	65312 36311	   	179.13	DCR|3VULN|1AART|1DMG|2ASPD	1DMSP|2AART|347VULN|57ASPD|6RCR|7BPWR|8DUST|9LEGI|aDMG
190	65321 36311	   	179.13	DCR|3VULN|1AART|1DMG|2ASPD	1DMSP|2AART|357VULN|47ASPD|6RCR|7BPWR|8DUST|9LEGI|aDMG
191	21242 31126	   	179.12	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1BASHEA|2AART|3CDMG|49VULN|5BELT|6DUR|7RCR|8DMG|aZMB
192	41383 23332	   	178.97	DCR|3VULN|3DMG|1CDMG	1RCVC|256DMG|3MBVNT|469VULN|6BPWR|7CDMG|8CGEN|aRCR
193	65151 11231	   	178.86	DCR|2AART|2VULN|2DMG	1DMSP|27AART|34DMG|5MBVNT|6RCR|8TLV|9aVULN
194	61142 31131	   	178.82	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	1DMSP|2DMG|37AART|4RMIN|5ASPD|6RCR|8ZMB|9aVULN
195	64152 31131	   	178.82	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	1DMSP|2CGEN|37AART|4DMG|5ASPD|6RCR|8ZMB|9aVULN
196	41223 31351	   	178.81	DCR|2DMG|1AART|1VULN|2ASPD|2DUR	1RCVC|29DMG|3DMSP|4AART|5LWND|6RCR|79DUR|89ASPD|9BPWR|aVULN
197	21268 84113	   	178.76	DCR|2VULN|2DMG|1AART|1CDMG	19BASHEA|2AART|3CDMG|4MBVNT|59VULN|6BELT|7RCR|89DMG|9BPWR|aMLV
198	61151 13363	   	178.73	DCR|3DMG|1AART|1VULN|2ASPD	1DMSP|249DMG|3AART|5MBVNT|6RCR|79FEWX|89ASPD|9BPWR|aVULN
199	61151 11136	   	178.72	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	1DMSP|24DMG|37AART|5MBVNT|6RCR|8ZMB|9VULN|aDUR
200	61151 11734	   	178.72	DCR|2AART|2DMG|1VULN|1ZMB|1ASPD	1DMSP|24DMG|37AART|5MBVNT|6RCR|8ASPD|9VULN|aZMB
201	21268 84112	   	178.66	DCR|2VULN|2DMG|1AART|1CDMG	19BASHEA|2AART|3CDMG|4MBVNT|59VULN|6BELT|7RCR|89DMG|9BPWR|aDUST
202	21268 84114	   	178.66	DCR|2VULN|2DMG|1AART|1CDMG	19BASHEA|2AART|3CDMG|4MBVNT|59VULN|6BELT|7RCR|89DMG|9BPWR|aLEGI
203	16124 14133	 * 	178.65	ACR|3VULN|2AART|1DMG	1DUST|2RCR|36aVULN|47AART|5FEWX|8DMG|9RPLT
204	16325 14133	   	178.65	ACR|3VULN|2AART|1DMG	1DUST|2RCR|3FEWX|47AART|56aVULN|8DMG|9RPLT
205	31312 53633	 * 	178.60	ACR|2VULN|2DMG|1AART|2CDMG	179CGEN|27VULN|39DMG|4LWND|5RCR|67ERES|79BPWR|89CDMG|aAART
206	16125 15123	   	178.55	ACR|3VULN|2AART|1DMG	15DUST|2RCR|359VULN|4aAART|5BPWR|6CANSTR|7RPLT|8DMG
207	16123 14121	 * 	178.55	ACR|3DMG|2AART|1VULN	1DUST|2RCR|3VULN|47AART|5MLV|68aDMG|9ERES
208	61151 12363	   	178.53	DCR|3DMG|1AART|1VULN|2ASPD	1DMSP|249DMG|3AART|5MBVNT|6RCR|79DUST|89ASPD|9BPWR|aVULN
209	62313 62135	   	178.53	DCR|3VULN|3DMG|1ZMB	1DMSP|279VULN|3RPLT|4ZMB|579DMG|679ERES|79BPWR|8RCR|aRCVC
210	31312 55633	   	178.50	ACR|2VULN|2DMG|1AART|2CDMG	19CGEN|27VULN|39DMG|4LWND|5RCR|6ERES|89CDMG|9BPWR|aAART
211	31362 53633	   	178.50	ACR|2VULN|2DMG|1AART|2CDMG	179CGEN|29VULN|37DMG|4LEGI|5RCR|67ERES|79BPWR|89CDMG|aAART
212	21242 41116	   	178.49	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	19BASHEA|2AART|39CDMG|4VULN|5BELT|6DUST|7RCR|89DMG|9BPWR|aZMB
213	65312 31242	   	178.44	DCR|3VULN|1AART|1CDMG|2DUR|1ASPD	1DMSP|2AART|348VULN|5ASPD|6RCR|7aDUR|9CDMG
214	65312 33322	   	178.44	DCR|3VULN|1AART|1CDMG|2DUR|1ASPD	1DMSP|2AART|349VULN|5ASPD|6RCR|7CDMG|8aDUR
215	65321 31242	   	178.44	DCR|3VULN|1AART|1CDMG|2DUR|1ASPD	1DMSP|2AART|358VULN|4ASPD|6RCR|7aDUR|9CDMG
216	65321 33322	   	178.44	DCR|3VULN|1AART|1CDMG|2DUR|1ASPD	1DMSP|2AART|359VULN|4ASPD|6RCR|7CDMG|8aDUR
217	62242 42131	   	178.42	DCR|4VULN|2DMG|1FLTHEA	1DMSP|237aVULN|47LWND|57DMG|6RPLT|7BPWR|8RCR|9FLTHEA
