0	Index      	Bounty	 *	Score 	Summary	Detail	
1	43221 41141	2	 * 	275.02	DCR|3VULN|3DUR|2DMG	1RMIN|25aVULN|34aDUR|6LIT|7DUST|8RCR|9aDMG|aBPWR
166	53621 32311	4	   	246.60	DCR|3VULN|2DUR|1DMG|1ASPD|1NUKE	1NUKE|235VULN|3BPWR|49DUR|6ASPD|7DUST|8DMG|aRCR
167	53622 32311	5	   	246.60	DCR|3VULN|2DUR|1DMG|1ASPD|1NUKE	1NUKE|235VULN|3BPWR|49DUR|6ASPD|7DUST|8DMG|aRCR
168	53622 32341	4	   	246.60	DCR|3VULN|2DUR|1DMG|1ASPD|1NUKE	1NUKE|239VULN|3BPWR|45DUR|6ASPD|7DUST|8DMG|aRCR
169	53626 13311	7	   	246.60	DCR|3VULN|2DUR|1DMG|1ASPD|1NUKE	1NUKE|237VULN|3BPWR|49DUR|5LEGI|6ASPD|8DMG|aRCR
170	53651 33311	4	   	246.60	DCR|3VULN|2DUR|1DMG|1ASPD|1NUKE	1NUKE|234VULN|3BPWR|5LEGI|6ASPD|79DUR|8DMG|aRCR
171	53622 62231	7	   	246.58	DCR|4VULN|2DUR|1NUKE	1NUKE|2356VULN|36BPWR|46DUR|7LIT|8BEXP|9RCR|aDUST
172	53622 62233	7	   	246.58	DCR|4VULN|2DUR|1NUKE	1NUKE|2356VULN|36BPWR|46DUR|7LIT|8BEXP|9RCR|aTBNT
173	43234 22611	2	   	246.54	DCR|2VULN|2DMG|2DUR|2TLV	18RMIN|27VULN|39DUR|47DMG|57TLV|6MBVNT|7BPWR|aRCR
174	53115 33211	5	   	246.50	ACR|3VULN|3DMG|2DUR|1NUKE|1AART	1NUKE|26aVULN|3DMSP|4RCR|58aDMG|7AART|9aDUR|aBPWR
175	53115 53211	6	   	246.50	ACR|3VULN|3DMG|2DUR|1NUKE|1AART	1NUKE|26aVULN|3DMSP|4RCR|58aDMG|7AART|9aDUR|aBPWR
176	53331 14421	8	   	245.88	DCR|2VULN|2DMG|2DUR|1ASPD|1NUKE	1NUKE|2aVULN|3LIT|4RCVC|5aDUR|6ZMB|7ASPD|8RCR|9aDMG|aBPWR
177	21133 63163	6	   	245.86	DCR|3VULN|2DMG|1CDMG|1AART	1LHND|2CGEN|3AART|4aDMG|569VULN|7RCR|8CDMG
178	42321 16611	1	   	245.63	DCR|3VULN|2DUR|1TLV|1CDMG	1RMIN|2RPLT|368VULN|4TLV|59DUR|7CDMG|aRCR
179	43221 16611	3	   	245.63	DCR|3VULN|2DUR|1TLV|1CDMG	1RMIN|268VULN|3RPLT|4TLV|59DUR|7CDMG|aRCR
180	43331 16213	5	   	245.59	DCR|3VULN|3LIT|1DMG|1ASPD|1AART	1RMIN|257VULN|357LIT|4DLOT|57BPWR|6AART|8RCR|9ASPD|aDMG
181	52321 12441	1	   	245.53	DCR|3VULN|2DUR|1TLV|1CDMG|1NUKE	1NUKE|2RPLT|369VULN|4TLV|57DUR|8CDMG|aRCR
182	53122 64131	7	   	245.53	DCR|3VULN|2DUR|1TLV|1CDMG|1NUKE	1NUKE|256VULN|3DMSP|46DUR|6BPWR|7CDMG|8TBNT|9TLV|aRCR
183	53122 64331	6	   	245.53	DCR|3VULN|2DUR|1TLV|1CDMG|1NUKE	1NUKE|256VULN|3DMSP|46DUR|6BPWR|7TBNT|8CDMG|9TLV|aRCR
184	53221 12441	3	   	245.53	DCR|3VULN|2DUR|1TLV|1CDMG|1NUKE	1NUKE|269VULN|3RPLT|4TLV|57DUR|8CDMG|aRCR
185	62113 33746	2	   	245.47	DCR|4VULN|1DMG|1AART	1CGEN|2AART|347aVULN|5MBVNT|6LIT|8RCR|9DMG
186	43316 32321	2	   	245.45	DCR|3VULN|2DUR|2ASPD	1RMIN|23aVULN|3aBPWR|4aBEXP|5LIT|68DUR|7RCR|9aASPD
187	43616 32321	3	   	245.45	DCR|3VULN|2DUR|2ASPD	1RMIN|23aVULN|3aBPWR|4aBEXP|5LIT|68DUR|7RCR|9aASPD
188	25335 53112	10	   	245.39	DCR|4VULN|2DMG	1aLHND|2DMSP|3RMIN|467aVULN|5aDMG|8RCR|9RCVC|aBPWR
189	25335 53132	10	   	245.39	DCR|4VULN|2DMG	19aLHND|2DMSP|3RMIN|467aVULN|5aDMG|8RCR|aBPWR
190	43125 53112	10	   	245.39	DCR|4VULN|2DMG	1RMIN|267aVULN|3DMSP|4aFEWX|5aDMG|8RCR|9RCVC|aBPWR
191	43625 23112	10	   	245.39	DCR|4VULN|2DMG	16RMIN|237aVULN|3aBPWR|4aFEWX|5aDMG|8RCR|9RCVC
192	62661 31211	10	 * 	245.36	DCR|3VULN|2DUR|3LIT|1AART	1CGEN|2AART|359LIT|45DUR|5BPWR|67aVULN|8RCR
193	62661 31213	9	   	245.36	DCR|3VULN|2DUR|3LIT|1AART	1CGEN|2AART|359LIT|45DUR|5BPWR|67aVULN|8RCR
194	43161 41121	4	   	245.35	DCR|3VULN|2DUR|2ASPD	1RMIN|25aVULN|3DMSP|4aDUR|6LIT|7DUST|8RCR|9aASPD|aBPWR
195	43162 41121	5	   	245.35	DCR|3VULN|2DUR|2ASPD	1RMIN|25aVULN|3DMSP|4aDUR|6LIT|7DUST|8RCR|9aASPD|aBPWR
196	43162 41121	6	   	245.35	DCR|3VULN|2DUR|2ASPD	1RMIN|25aVULN|3DMSP|4aDUR|6LIT|7DUST|8RCR|9aASPD|aBPWR
197	43622 62232	9	   	245.29	DCR|4VULN|2DMG	1RMIN|2356VULN|36BPWR|46FEWX|7RCR|8RPLT|9aDMG
198	43632 62232	9	   	245.29	DCR|4VULN|2DMG	1RMIN|2346VULN|36BPWR|56FEWX|7RCR|8RPLT|9aDMG
199	43633 62232	9	   	245.29	DCR|4VULN|2DMG	1RMIN|2346VULN|36BPWR|56LWND|7RCR|8RPLT|9aDMG
200	22352 55323	1	   	245.21	DCR|3VULN|3DUR|1TLV	18LHND|268VULN|347DUR|5BBNT|8BPWR|9RCR|aTLV
201	43631 53132	9	   	245.19	DCR|4VULN|2DMG	1RMIN|2347VULN|3BPWR|5RPLT|6RCR|8FEWX|9aDMG
202	43631 53232	9	   	245.19	DCR|4VULN|2DMG	1RMIN|2347VULN|3BPWR|5RPLT|6RCR|8BEXP|9aDMG
203	43631 53312	9	   	245.19	DCR|4VULN|2DMG	1RMIN|2347VULN|3BPWR|5RPLT|6RCR|8aDMG|9BEXP
204	43631 53332	8	   	245.19	DCR|4VULN|2DMG	1RMIN|2347VULN|3BPWR|5RPLT|6RCR|8aDMG|9FEWX
205	43135 23112	10	   	245.19	DCR|4VULN|2DMG	1RMIN|247aVULN|3DMSP|5aDMG|6aDUST|8RCR|9RCVC|aBPWR
206	43135 23162	10	   	245.19	DCR|4VULN|2DMG	19RMIN|247aVULN|3DMSP|5aDMG|6aDUST|8RCR|aBPWR
207	42652 11112	1	   	245.09	DCR|4VULN|2DMG	1RMIN|2RPLT|3DLOT|49DMG|59ERES|679aVULN|8RCR|9BPWR
208	43635 23111	10	   	245.09	DCR|4VULN|2DMG	1RMIN|2347VULN|3BPWR|5aDMG|6DUST|8RCR|9RCVC
209	43135 23152	10	   	245.09	DCR|4VULN|2DMG	1RMIN|247aVULN|3DMSP|5aDMG|69aDUST|8RCR|aBPWR
210	43323 44131	10	 * 	245.09	DCR|3VULN|3LIT|2TLV|1DMG	16RMIN|259VULN|359LIT|4DMSP|59BPWR|79TLV|8RCR|aDMG
211	62162 62111	10	   	245.05	DCR|5VULN|1AART	1CGEN|2AART|3RPLT|4568aVULN|7LIT|9RCR
