0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21353 13636	1	 * 	293.93	DCR|3VULN|3DMG|2CDMG|1TLV|1ASPD	18aDMG|2TLV|3aCDMG|4ASPD|5LIT|6RCR|79aVULN|aBPWR
165	12244 47446	7	   	266.76	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	179VULN|2MBVNT|3ASPD|49DUR|59TLV|6RCR|8BBNT|9BPWR|aDMG
166	62274 42246	6	   	266.76	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	19DUR|2MBVNT|3ASPD|489VULN|59TLV|6RCR|7TBNT|9BPWR|aDMG
167	62274 44246	6	   	266.76	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	19DUR|2MBVNT|3ASPD|489VULN|59TLV|6RCR|7BBNT|9BPWR|aDMG
168	23343 13636	2	   	266.67	DCR|3VULN|3DMG|2CDMG	18aDMG|2ZMB|3aCDMG|4CGEN|5LIT|6RCR|79aVULN|aBPWR
169	12222 62874	3	 * 	266.63	DCR|3VULN|3ASPD|2DUR|1DMG	14aVULN|2MBVNT|39aASPD|5DMG|6FEWX|7aDUR|8RCR|aBPWR
170	12325 34361	2	 * 	266.61	DCR|3VULN|3DUR|2DMG	14aVULN|2MBVNT|36aDUR|5TBNT|7RCR|8aDMG|9RMIN|aBPWR
171	14335 24361	1	   	266.61	DCR|3VULN|3DUR|2DMG	15aVULN|23aDUR|4TBNT|6MBVNT|7RCR|8aDMG|9RMIN|aBPWR
172	12222 12874	3	   	266.53	DCR|3VULN|3ASPD|2DUR|1DMG	14aVULN|2MBVNT|39aASPD|5DMG|6DUST|7aDUR|8RCR|aBPWR
173	12273 83325	6	 * 	266.50	DCR|2VULN|2DMG|3ASPD|2TLV|2CDMG	1aVULN|2MBVNT|356ASPD|45TLV|5aBPWR|7RCR|8aDMG|9aCDMG
174	36652 31321	7	   	265.97	DCR|3VULN|1DMG|1DUR|1TLV|2LIT|1CDMG	18LIT|25aVULN|3CDMG|4DUR|6RCR|7TLV|9DMG
175	36652 31321	6	   	265.97	DCR|3VULN|1DMG|1DUR|1TLV|2LIT|1CDMG	18LIT|25aVULN|3CDMG|4DUR|6RCR|7TLV|9DMG
176	11263 22131	7	   	265.93	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG|1ASPD	157VULN|2BEXP|3ASPD|45TLV|5BPWR|6DMG|8CDMG|9DUR|aRCR
177	16263 22131	7	   	265.93	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG|1ASPD	157VULN|2FEWX|3ASPD|45TLV|5BPWR|6DMG|8CDMG|9DUR|aRCR
178	16263 22331	8	   	265.93	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG|1ASPD	157VULN|2FEWX|3ASPD|45TLV|5BPWR|6DMG|8CDMG|9DUR|aRCR
179	22233 11556	8	   	265.82	DCR|3VULN|2DMG|2ASPD|1CDMG	1aDMG|2LIT|3RCVC|46aVULN|5CDMG|7ERES|8aASPD|9RCR|aBPWR
180	14212 34112	1	   	265.71	DCR|4VULN|2TLV|1DUR|1CDMG	168aVULN|2DUR|3CDMG|4BBNT|56TLV|6BPWR|7LIT|9RCR
181	14232 34112	1	   	265.71	DCR|4VULN|2TLV|1DUR|1CDMG	168aVULN|2DUR|3CDMG|4TBNT|56TLV|6BPWR|7LIT|9RCR
182	36652 33221	6	   	265.71	DCR|4VULN|1DMG|1DUR|1CDMG	1LIT|257aVULN|3CDMG|4DUR|6RCR|8ERES|9DMG
183	12327 55332	2	   	265.60	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	14aVULN|2MBVNT|36DUR|5CDMG|7TLV|8DMG|9RCR
184	12361 77332	2	   	265.60	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	16aVULN|2MBVNT|35DUR|4TLV|7CDMG|8DMG|9RCR
185	12371 77332	2	   	265.60	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	16aVULN|2MBVNT|34DUR|5TLV|7CDMG|8DMG|9RCR
186	12372 77332	2	   	265.60	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	15aVULN|2MBVNT|34DUR|6TLV|7CDMG|8DMG|9RCR
187	12244 46212	6	   	265.53	DCR|4VULN|2DUR|1TLV|1ASPD	178aVULN|2MBVNT|3ASPD|49DUR|5TLV|6RCR
188	12244 47212	7	   	265.53	DCR|4VULN|2DUR|1TLV|1ASPD	178aVULN|2MBVNT|3ASPD|49DUR|5TLV|6RCR
189	12244 47522	8	   	265.53	DCR|4VULN|2DUR|1TLV|1ASPD	179aVULN|2MBVNT|3ASPD|48DUR|5TLV|6RCR
190	62274 46212	6	   	265.53	DCR|4VULN|2DUR|1TLV|1ASPD	19DUR|2MBVNT|3ASPD|478aVULN|5TLV|6RCR
191	62274 47212	7	   	265.53	DCR|4VULN|2DUR|1TLV|1ASPD	19DUR|2MBVNT|3ASPD|478aVULN|5TLV|6RCR
192	12244 46225	6	   	265.53	DCR|4VULN|2DUR|1TLV|1ASPD	1789VULN|2MBVNT|3ASPD|4aDUR|5TLV|6RCR
193	12244 47225	7	   	265.53	DCR|4VULN|2DUR|1TLV|1ASPD	1789VULN|2MBVNT|3ASPD|4aDUR|5TLV|6RCR
194	25632 13316	8	 * 	265.41	ACR|4VULN|2DMG|2ASPD|1DUR|2LIT	19DMG|2RCR|35LIT|459aVULN|59BPWR|6DUR|7ERES|89ASPD
195	15212 23422	9	   	265.35	DCR|4VULN|2DMG|2CDMG	1349VULN|2RPLT|49BPWR|5MLV|69DMG|79CDMG|8RCR|aRCVC
196	15212 23423	9	   	265.35	DCR|4VULN|2DMG|2CDMG	1349VULN|2RPLT|49BPWR|5MLV|69DMG|79CDMG|8RCR|aLWND
197	15212 23424	9	   	265.35	DCR|4VULN|2DMG|2CDMG	1349VULN|2RPLT|49BPWR|5MLV|69DMG|79CDMG|8RCR|aFEWX
198	15212 23424	10	   	265.35	DCR|4VULN|2DMG|2CDMG	1349VULN|2RPLT|49BPWR|5MLV|69DMG|79CDMG|8RCR|aLWND
199	15212 23425	9	   	265.35	DCR|4VULN|2DMG|2CDMG	1349VULN|2RPLT|49BPWR|5MLV|69DMG|79CDMG|8RCR|aBEXP
200	15212 23426	10	   	265.35	DCR|4VULN|2DMG|2CDMG	1349VULN|2aRPLT|49BPWR|5MLV|69DMG|79CDMG|8RCR
201	15212 23426	9	   	265.35	DCR|4VULN|2DMG|2CDMG	1349VULN|2RPLT|49BPWR|5MLV|69DMG|79CDMG|8RCR|aRMIN
202	12844 46114	8	   	265.27	DCR|3VULN|3DUR|3LIT|1TLV	189VULN|2MBVNT|3ERES|4RCVC|589LIT|6RCR|789DUR|89BPWR|aTLV
203	12883 46114	8	   	265.27	DCR|3VULN|3DUR|3LIT|1TLV	189VULN|2MBVNT|3ERES|489LIT|5RCVC|6RCR|789DUR|89BPWR|aTLV
204	11142 23261	5	   	265.25	DCR|4VULN|2DMG|2CDMG	168aVULN|2BEXP|3RPLT|4aDMG|5aCDMG|7RCR|9TBNT|aBPWR
205	11142 23324	5	   	265.25	DCR|4VULN|2DMG|2CDMG	169aVULN|2BEXP|3RPLT|4aDMG|5aCDMG|7RCR|8MBVNT|aBPWR
206	12126 31744	2	   	265.25	DCR|4VULN|2DMG|2CDMG	147aVULN|2MBVNT|3LHND|5RPLT|6aDMG|8RCR|9aCDMG|aBPWR
207	12526 31744	3	   	265.25	DCR|4VULN|2DMG|2CDMG	147aVULN|2MBVNT|3LHND|5RPLT|6aDMG|8RCR|9aCDMG|aBPWR
208	12626 31744	3	   	265.25	DCR|4VULN|2DMG|2CDMG	147aVULN|2MBVNT|3FEWX|5RPLT|6aDMG|8RCR|9aCDMG|aBPWR
209	12726 31744	3	   	265.25	DCR|4VULN|2DMG|2CDMG	147aVULN|2MBVNT|3BEXP|5RPLT|6aDMG|8RCR|9aCDMG|aBPWR
210	13563 23422	9	   	265.25	DCR|4VULN|2DMG|2CDMG	1359VULN|2ERES|4RPLT|69DMG|79CDMG|8RCR|9BPWR|aRCVC
211	13563 23423	9	   	265.25	DCR|4VULN|2DMG|2CDMG	1359VULN|2ERES|4RPLT|69DMG|79CDMG|8RCR|9BPWR|aLWND
212	16142 63324	5	   	265.25	DCR|4VULN|2DMG|2CDMG	169aVULN|2FEWX|3RPLT|4aDMG|5aCDMG|7RCR|8MBVNT|aBPWR
213	12115 31744	2	   	265.25	DCR|4VULN|2DMG|2CDMG	157aVULN|2MBVNT|3LHND|4RPLT|6aDMG|8RCR|9aCDMG|aBPWR
214	12125 31744	4	   	265.25	DCR|4VULN|2DMG|2CDMG	157aVULN|2MBVNT|3RPLT|4LHND|6aDMG|8RCR|9aCDMG|aBPWR
215	12165 31744	4	   	265.25	DCR|4VULN|2DMG|2CDMG	157aVULN|2MBVNT|3RPLT|4BEXP|6aDMG|8RCR|9aCDMG|aBPWR
216	12515 31744	3	   	265.25	DCR|4VULN|2DMG|2CDMG	157aVULN|2MBVNT|3LHND|4RPLT|6aDMG|8RCR|9aCDMG|aBPWR
217	12615 31744	3	   	265.25	DCR|4VULN|2DMG|2CDMG	157aVULN|2MBVNT|3FEWX|4RPLT|6aDMG|8RCR|9aCDMG|aBPWR
218	12715 31744	3	   	265.25	DCR|4VULN|2DMG|2CDMG	157aVULN|2MBVNT|3BEXP|4RPLT|6aDMG|8RCR|9aCDMG|aBPWR
219	12826 31744	2	   	265.25	DCR|4VULN|2DMG|2CDMG	137aVULN|2MBVNT|4FEWX|5RPLT|6aDMG|8RCR|9aCDMG|aBPWR
220	12322 68352	2	   	265.17	DCR|3VULN|3DUR|1DMG|1TLV	145VULN|2MBVNT|369DUR|7TLV|8DMG|aRCR
221	12315 31744	3	   	265.15	DCR|4VULN|2DMG|2CDMG	157aVULN|2MBVNT|3LEGI|4RPLT|6aDMG|8RCR|9aCDMG|aBPWR
222	12326 31744	3	   	265.15	DCR|4VULN|2DMG|2CDMG	147aVULN|2MBVNT|3LEGI|5RPLT|6aDMG|8RCR|9aCDMG|aBPWR
223	12816 31744	2	   	265.15	DCR|4VULN|2DMG|2CDMG	137aVULN|2MBVNT|4DUST|5RPLT|6aDMG|8RCR|9aCDMG|aBPWR
224	12863 26224	9	   	265.15	DCR|4VULN|2DMG|2CDMG	1589VULN|2MBVNT|3ERES|49CDMG|69DMG|7RPLT|9BPWR|aRCR
225	12863 27214	8	   	265.15	DCR|4VULN|2DMG|2CDMG	1579VULN|2MBVNT|3ERES|47CDMG|67DMG|7BPWR|8RPLT|aRCR
226	13363 23422	10	   	265.15	DCR|4VULN|2DMG|2CDMG	159aVULN|23ERES|4RPLT|69DMG|79CDMG|8RCR|9BPWR
227	13561 23422	10	   	265.15	DCR|4VULN|2DMG|2CDMG	139aVULN|25ERES|4RPLT|69DMG|79CDMG|8RCR|9BPWR
228	15132 22415	9	   	265.11	DCR|4VULN|2DMG|2CDMG|1SELL	147aVULN|2RPLT|3CGEN|5SELL|6aDMG|8RCR|9aCDMG|aBPWR
229	15222 22415	9	   	265.11	DCR|4VULN|2DMG|2CDMG|1SELL	137aVULN|2RPLT|4MLV|5SELL|6aDMG|8RCR|9aCDMG|aBPWR
230	12248 32511	8	   	264.96	DCR|4VULN|2ASPD|1DMG|1DUR	1579VULN|2MBVNT|36ASPD|4DUR|8RCR|aDMG
231	12273 72222	6	   	264.96	DCR|4VULN|2ASPD|2TLV|1DUR	189aVULN|2MBVNT|35ASPD|45TLV|5BPWR|6RCR|7DUR
232	12863 47332	8	 * 	264.96	DCR|4VULN|2ASPD|2CDMG|1DUR	157aVULN|2MBVNT|3ERES|47CDMG|67ASPD|7BPWR|8DUR|9RCR
233	12462 82522	10	   	264.82	DCR|4VULN|2ASPD|2CDMG|1TLV|1SELL	179aVULN|2MBVNT|3TLV|49CDMG|5SELL|69ASPD|8RCR|9BPWR
234	12452 35164	5	   	264.81	DCR|3VULN|2DMG|1TLV|1DUR|1AART	179VULN|2MBVNT|3TLV|49MLV|59DMG|6RCR|8AART|9BPWR|aDUR
235	12863 27331	7	 * 	264.80	DCR|3VULN|2DMG|3CDMG|1DUR	157VULN|2MBVNT|3ERES|47aCDMG|67DMG|7BPWR|8DUR|9RCR
236	12863 27331	8	   	264.80	DCR|3VULN|2DMG|3CDMG|1DUR	157VULN|2MBVNT|3ERES|47aCDMG|67DMG|7BPWR|8DUR|9RCR
237	12462 22528	10	   	264.66	DCR|3VULN|2DMG|3CDMG|1TLV|1SELL	179VULN|2MBVNT|3TLV|49aCDMG|5SELL|69DMG|8RCR|9BPWR
238	36622 31522	8	   	264.57	DCR|3VULN|2DMG|2TLV|1CDMG	1LIT|28aVULN|3CDMG|4ERES|5aTLV|6RCR|7MLV|9aDMG|aBPWR
239	36131 33543	5	   	264.51	DCR|3VULN|2DMG|1DUR|2LIT|1ASPD|1AART|1SELL	18LIT|248VULN|3ASPD|5DUR|6AART|78DMG|8BPWR|9SELL|aRCR
240	12154 43477	10	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	15aVULN|2MBVNT|3RPLT|4aDMG|6FEWX|7ASPD|8RCR|9aDUR|aBPWR
241	23321 53141	1	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	1aDMG|24aVULN|36DUR|5ASPD|7RCR|8BBNT|9aLWND|aBPWR
242	12248 32725	10	 * 	264.44	DCR|5VULN|2ASPD|1DUR	15789VULN|2MBVNT|36ASPD|4DUR|aRCR
243	23321 53411	1	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	1aDMG|249VULN|36DUR|5ASPD|7RCR|8MLV
244	23321 53611	1	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	1aDMG|249VULN|36DUR|5ASPD|7RCR|8CGEN
245	65313 22216	6	   	264.28	DCR|4VULN|2DUR|1TLV|1AART	17DUR|2RPLT|3AART|4569VULN|8TLV|aRCR
246	65313 23226	6	   	264.28	DCR|4VULN|2DUR|1TLV|1AART	19DUR|2RPLT|3AART|4567VULN|8TLV|aRCR
247	36222 34422	10	   	264.27	DCR|3VULN|2DUR|1DMG|2CDMG	1LIT|29aVULN|3LWND|4DMG|5aDUR|6ZMB|7RCR|8aCDMG|aBPWR
248	22111 13636	2	   	264.02	DCR|3VULN|3DMG|2LIT|1ASPD|1SELL	18aDMG|2aLIT|3ASPD|4CGEN|5SELL|6RCR|79aVULN|aBPWR
249	23412 11156	1	   	264.02	DCR|3VULN|3DMG|2LIT|1ASPD|1SELL	15aDMG|24aVULN|3SELL|6ASPD|7CGEN|8aLIT|9RCR|aBPWR
250	23635 21212	1	   	264.01	DCR|3VULN|3DMG|1TLV|1AART	168DMG|289VULN|38ERES|4TBNT|5AART|7RCR|8BPWR|aTLV
251	23635 21215	1	   	264.01	DCR|3VULN|3DMG|1DUR|1AART	168DMG|289VULN|38ERES|4TBNT|5AART|7RCR|8BPWR|aDUR
252	13511 21133	9	   	263.98	DCR|3VULN|3DUR|1DMG|2LIT	139VULN|2ERES|479DUR|5CGEN|6DMG|89LIT|9BPWR|aRCR
