0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62135 21432	10	 * 	302.43	DCR|3VULN|3DMG|3DUR|3LIT	149DUR|234LIT|49BPWR|589DMG|69aVULN|7RCR
167	53133 62311	9	   	275.44	DCR|3VULN|2DMG|2DUR|1CDMG	137VULN|2CDMG|47DUR|57DMG|6RMIN|7BPWR|8DUST|9RCR|aLIT
168	53142 12121	9	   	275.44	DCR|3VULN|2DMG|2DUR|1CDMG|1NUKE	137VULN|2CDMG|47DMG|5NUKE|67DUR|7BPWR|8LWND|9LIT|aRCR
169	53142 12221	9	   	275.44	DCR|3VULN|2DMG|2DUR|1CDMG|1NUKE	137VULN|2CDMG|47DMG|5NUKE|67DUR|7BPWR|8FEWX|9LIT|aRCR
170	53523 62311	9	   	275.44	DCR|3VULN|2DMG|2DUR|1CDMG	147VULN|2CDMG|37DUR|57DMG|6RMIN|7BPWR|8DUST|9RCR|aLIT
171	53612 12121	9	   	275.44	DCR|3VULN|2DMG|2DUR|1CDMG|1NUKE	147VULN|2CDMG|3NUKE|57DMG|67DUR|7BPWR|8LWND|9LIT|aRCR
172	53612 12221	9	   	275.44	DCR|3VULN|2DMG|2DUR|1CDMG|1NUKE	147VULN|2CDMG|3NUKE|57DMG|67DUR|7BPWR|8FEWX|9LIT|aRCR
173	63123 62311	9	   	275.44	DCR|3VULN|2DMG|2DUR|1CDMG	17DUR|2CDMG|347VULN|57DMG|6RMIN|7BPWR|8DUST|9RCR|aLIT
174	62135 21433	9	   	275.42	DCR|2VULN|3DMG|3DUR|3LIT	149DUR|234LIT|49BPWR|589DMG|69VULN|7RCR|aTBNT
175	63123 21424	5	   	275.42	DCR|2VULN|3DMG|3DUR|2CDMG	169DUR|2aCDMG|34VULN|567DMG|6BPWR|8RCR
176	53142 12321	9	   	275.34	DCR|3VULN|2DMG|2DUR|1CDMG|1NUKE	137VULN|2CDMG|47DMG|5NUKE|67DUR|7BPWR|8DUST|9LIT|aRCR
177	53612 12321	9	   	275.34	DCR|3VULN|2DMG|2DUR|1CDMG|1NUKE	147VULN|2CDMG|3NUKE|57DMG|67DUR|7BPWR|8DUST|9LIT|aRCR
178	63133 21346	4	   	275.23	DCR|3VULN|3DUR|3CDMG|1DMG	149DUR|256CDMG|356VULN|56BPWR|7RCR|8LHND|aDMG
179	53223 22366	5	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	1468VULN|2CDMG|3LHND|56DMG|6BPWR|7DUR|9BEXP|aRCR
180	53233 22366	3	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	1568VULN|2CDMG|3LHND|46DMG|6BPWR|7DUR|9BEXP|aRCR
181	53132 25623	5	   	275.11	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR	13aVULN|2aCDMG|4DUR|5RPLT|6TLV|7RCR|8aDMG|9BBNT|aBPWR
182	53132 25623	4	   	275.11	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR	13aVULN|2aCDMG|4DUR|5RPLT|6TLV|7RCR|8aDMG|9BBNT|aBPWR
183	53132 25633	5	   	275.11	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR	13aVULN|2aCDMG|4DUR|5RPLT|6TLV|7RCR|8aDMG|9TBNT|aBPWR
184	53132 25633	4	   	275.11	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR	13aVULN|2aCDMG|4DUR|5RPLT|6TLV|7RCR|8aDMG|9TBNT|aBPWR
185	53153 22326	5	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	1368VULN|2CDMG|4LHND|56DMG|6BPWR|7DUR|9DUST|aRCR
186	53223 22326	5	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	1468VULN|2CDMG|3LHND|56DMG|6BPWR|7DUR|9DUST|aRCR
187	53233 22326	3	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	1568VULN|2CDMG|3LHND|46DMG|6BPWR|7DUR|9DUST|aRCR
188	52165 12232	2	   	274.92	DCR|4VULN|3LIT|1DMG|1TLV|1ASPD	1349VULN|234LIT|34BPWR|5ASPD|6LHND|7RCR|8DMG|aTLV
189	52165 22232	2	   	274.92	DCR|4VULN|3LIT|1DMG|1TLV|1ASPD	1349VULN|234LIT|34BPWR|5ASPD|6LWND|7RCR|8DMG|aTLV
190	53133 22413	4	   	274.47	DCR|3VULN|3DUR|3CDMG|1ASPD	137VULN|256CDMG|456DUR|56BPWR|8RCR|9LIT|aASPD
191	53523 22413	4	   	274.47	DCR|3VULN|3DUR|3CDMG|1ASPD	147VULN|256CDMG|356DUR|56BPWR|8RCR|9LIT|aASPD
192	31312 42462	1	   	274.16	DCR|5VULN|2DUR|1TLV	1RMIN|2349aVULN|58DUR|6TLV|7RCR
193	31363 22462	1	   	274.16	DCR|5VULN|2DUR|1TLV	1RMIN|2359aVULN|4TLV|68DUR|7RCR
194	63123 21654	4	   	274.14	DCR|4VULN|2DUR|3CDMG	19DUR|256CDMG|3456VULN|56BPWR|7RCR|8MBVNT|aAART
195	63133 21614	4	   	274.14	DCR|4VULN|2DUR|3CDMG	14DUR|256CDMG|3569VULN|56BPWR|7RCR|8MBVNT|aAART
196	53533 22226	5	   	274.12	DCR|2VULN|3DUR|2DMG|1CDMG|1ASPD	16VULN|2CDMG|347DUR|56DMG|6BPWR|8ASPD|9RCR|aAART
197	63123 22226	5	   	274.12	DCR|2VULN|3DUR|2DMG|1CDMG|1ASPD	167DUR|2CDMG|34VULN|56DMG|6BPWR|8ASPD|9RCR|aAART
198	63113 34163	7	   	273.81	DCR|3VULN|3DUR|1TLV|2LIT|1CDMG	16aDUR|2CDMG|38aVULN|4DUST|5TLV|7RCR|9aLIT|aBPWR
199	52224 13153	9	   	273.68	DCR|3VULN|3DUR|2CDMG|1TLV	14aVULN|2LIT|35aDUR|6TLV|7LHND|8aCDMG|9RCR|aBPWR
200	63132 25224	4	   	273.51	DCR|2VULN|3DUR|2DMG|2TLV|1CDMG	148DUR|2CDMG|38VULN|5RPLT|68TLV|7RCR|8BPWR|9aDMG
201	63132 25224	5	   	273.51	DCR|2VULN|3DUR|2DMG|2TLV|1CDMG	148DUR|2CDMG|38VULN|5RPLT|68TLV|7RCR|8BPWR|9aDMG
202	23312 42164	1	   	273.23	DCR|5VULN|1TLV|1DUR|1CDMG	1CGEN|23489VULN|5DUR|6TLV|7RCR|aCDMG
203	31312 42164	1	   	273.23	DCR|5VULN|1TLV|1DUR|1CDMG	1RMIN|23489VULN|5DUR|6TLV|7RCR|aCDMG
204	31363 22164	1	   	273.23	DCR|5VULN|1TLV|1DUR|1CDMG	1RMIN|23589VULN|4TLV|6DUR|7RCR|aCDMG
205	53133 22415	4	   	273.13	DCR|3VULN|3DUR|3CDMG	137VULN|256CDMG|456DUR|56BPWR|8RCR|9LIT|aAART
206	63133 21422	4	   	273.00	DCR|3VULN|2DUR|3CDMG|1DMG|1ASPD	14DUR|256CDMG|356VULN|56BPWR|7RCR|8RPLT|9DMG|aASPD
207	52163 21112	6	   	272.51	DCR|3VULN|2DMG|3LIT|1DUR|1CDMG	17aVULN|23aLIT|4RCVC|5CDMG|6RCR|8DUR|9aDMG|aBPWR
208	53232 13461	6	   	272.48	DCR|3VULN|1DMG|2CDMG|1DUR|1TLV|2LIT	157VULN|27CDMG|3LHND|4DUR|67LIT|7BPWR|8TLV|9DMG|aRCR
