0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12611 46112	9	 * 	286.56	DCR|3VULN|2DMG|2TLV|2DUR|1AART	17DMG|278VULN|3RCVC|47TLV|5AART|6RCR|7BPWR|9aDUR
165	14213 13161	5	   	257.68	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	18DMG|24FEWX|34DUR|4BPWR|57VULN|6TLV|9CDMG|aRCR
166	52242 11212	8	   	257.64	DCR|4VULN|2TLV|2CDMG	18TLV|2678VULN|3ASPD|4ERES|58CDMG|8BPWR|9CGEN|aRCR
167	52242 11232	9	   	257.64	DCR|4VULN|2TLV|2CDMG	18TLV|2678VULN|3ASPD|4ERES|58CDMG|8BPWR|9CGEN|aRCR
168	52242 11242	9	   	257.64	DCR|4VULN|2TLV|2CDMG	18TLV|2678VULN|3ASPD|4ERES|58CDMG|8BPWR|9ZMB|aRCR
169	12223 31122	3	   	257.64	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	14DMG|289VULN|37ASPD|5DUR|6CDMG|aRCR
170	54221 23161	4	   	257.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1TLV|2FEWX|35DUR|48DMG|67VULN|9CDMG|aRCR
171	52213 43162	7	   	257.54	DCR|2VULN|3DUR|1TLV|1DMG|1AART	1TLV|25VULN|3ASPD|4AART|6RCR|789DUR|aDMG
172	32543 36121	8	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1CGEN|238aVULN|4TLV|5DMG|6RPLT|7RCR|9DUR
173	16612 23413	6	   	257.39	DCR|4VULN|2DMG|1DUR	19DMG|2LIT|3679VULN|4RCVC|59MLV|8RCR|9BPWR|aDUR
174	12223 22112	3	   	257.19	DCR|4VULN|2DMG|1DUR	14DMG|269aVULN|3ASPD|5DUR|7RPLT|8RCR
175	12225 51412	3	   	257.19	DCR|4VULN|2DMG|1DUR	14DMG|289aVULN|3ASPD|5RPLT|6RCR|7DUR
176	12223 52154	3	 * 	257.16	DCR|2VULN|3DMG|2DUR|3ASPD	149DMG|2aVULN|369ASPD|59DUR|7RPLT|8RCR|9BPWR
177	12432 21253	9	   	257.07	DCR|3VULN|3DMG|2CDMG|1AART	168DMG|278VULN|3ZMB|4CGEN|58CDMG|8BPWR|9AART|aRCR
178	12442 21253	9	   	256.97	DCR|3VULN|3DMG|2CDMG|1AART	168DMG|278VULN|3ZMB|4ERES|58CDMG|8BPWR|9AART|aRCR
179	16332 43411	5	   	256.90	DCR|4VULN|3DMG	159DMG|2LIT|39CGEN|4579VULN|59BPWR|6RCVC|8RCR|aFEWX
180	16332 43412	5	   	256.90	DCR|4VULN|3DMG	159DMG|2LIT|39CGEN|4579VULN|59BPWR|6RCVC|8RCR|aBEXP
181	52213 43122	8	   	256.78	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	1TLV|258VULN|39ASPD|4AART|6RCR|7aDUR
182	52213 45112	9	   	256.78	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	1TLV|258VULN|37ASPD|4AART|6RCR|9aDUR
