0	Index      	Bounty	 *	Score 	Summary	Detail	
1	43161 33121	2	 * 	269.76	DCR|4VULN|2TLV|2DUR|1AART	19ERES|2AART|3478VULN|59DUR|69TLV|9BPWR|aRCR
165	21221 15511	10	   	241.04	ACR|4VULN|2DMG|2DUR|1AART	1RCR|2AART|3579VULN|4DMSP|59BPWR|69DMG|89DUR|aMLV
166	21221 15512	10	   	241.04	ACR|4VULN|2DMG|2DUR|1AART	1RCR|2AART|3579VULN|4DMSP|59BPWR|69DMG|89DUR|aFEWX
167	21221 15514	10	   	241.04	ACR|4VULN|2DMG|2DUR|1AART	1RCR|2AART|3579VULN|4DMSP|59BPWR|69DMG|89DUR|aRMIN
168	21221 15514	9	   	241.04	ACR|4VULN|2DMG|2DUR|1AART	1RCR|2AART|3579VULN|4DMSP|59BPWR|69DMG|89DUR|aBEXP
169	21221 15515	9	   	241.04	ACR|4VULN|2DMG|2DUR|1AART	1RCR|2AART|3579VULN|4DMSP|59BPWR|69DMG|89DUR|aLHND
170	21221 15516	10	   	241.04	ACR|4VULN|2DMG|2DUR|1AART	1RCR|2AART|3579VULN|4DMSP|59BPWR|69DMG|89DUR|aLWND
171	21421 15511	10	   	241.04	ACR|4VULN|2DMG|2DUR|1AART	1RCR|2AART|3RCVC|4579VULN|59BPWR|69DMG|89DUR|aMLV
172	21421 15511	9	   	241.04	ACR|4VULN|2DMG|2DUR|1AART	1RCR|2AART|3RCVC|4579VULN|59BPWR|69DMG|89DUR|aLWND
173	21421 15512	10	   	241.04	ACR|4VULN|2DMG|2DUR|1AART	1RCR|2AART|3RCVC|4579VULN|59BPWR|69DMG|89DUR|aFEWX
174	52155 32122	10	   	240.98	DCR|4VULN|2DUR|2LIT	19LHND|259aVULN|35LIT|4RPLT|59BPWR|6RCR|7FEWX|89DUR
175	52155 33122	10	   	240.98	DCR|4VULN|2DUR|2LIT	19LHND|259aVULN|35LIT|4RPLT|59BPWR|6RCR|7LWND|89DUR
176	21221 15513	9	   	240.94	ACR|4VULN|2DMG|2DUR|1AART	1RCR|2AART|3579VULN|4DMSP|59BPWR|69DMG|89DUR|aDUST
177	21221 15515	10	   	240.94	ACR|4VULN|2DMG|2DUR|1AART	1RCR|2AART|3579VULN|4DMSP|59BPWR|69DMG|89DUR|aERES
178	21421 15513	9	   	240.94	ACR|4VULN|2DMG|2DUR|1AART	1RCR|2AART|3RCVC|4579VULN|59BPWR|69DMG|89DUR|aDUST
179	13247 24822	7	   	240.81	DCR|4VULN|1TLV|2CDMG|1SELL	1SELL|28CDMG|356aVULN|4MBVNT|7TLV|9RCR
180	42623 61133	6	   	240.72	DCR|2VULN|3DUR|2DMG|1AART	19ERES|259DUR|35DMG|4RMIN|59BPWR|6RCR|7BEXP|89VULN|aAART
181	42623 61133	7	   	240.72	DCR|2VULN|3DUR|2DMG|1AART	19ERES|259DUR|35DMG|4RMIN|59BPWR|6RCR|7BEXP|89VULN|aAART
182	42623 61233	8	   	240.72	DCR|2VULN|3DUR|2DMG|1AART	19ERES|259DUR|35DMG|4RMIN|59BPWR|6RCR|7BEXP|89VULN|aAART
183	12213 22332	3	   	240.69	DCR|3VULN|2DUR|1TLV|1AART|1SELL	1SELL|28DUR|35LWND|458VULN|58BPWR|6RCR|78CGEN|9TLV|aAART
184	12313 22332	2	   	240.69	DCR|3VULN|2DUR|1TLV|1AART|1SELL	1SELL|28DUR|35LHND|458VULN|58BPWR|6RCR|78CGEN|9TLV|aAART
185	52113 22332	1	   	240.69	DCR|3VULN|2DUR|1TLV|1AART|1SELL	18LHND|25DUR|3SELL|458VULN|58BPWR|6RCR|78CGEN|9TLV|aAART
186	55113 22332	2	   	240.69	DCR|3VULN|2DUR|1TLV|1AART|1SELL	18LHND|25DUR|3SELL|458VULN|58BPWR|6RCR|78CGEN|9TLV|aAART
187	42223 23244	9	   	240.65	DCR|2VULN|3DMG|1DUR|1CDMG	1ERES|2DUR|3LIT|458DMG|6RCR|7CDMG|9aVULN
188	42623 62133	7	   	240.62	DCR|2VULN|3DUR|2DMG|1AART	19ERES|259DUR|35DMG|4RMIN|59BPWR|6RCR|7DUST|89VULN|aAART
189	42623 62233	8	   	240.62	DCR|2VULN|3DUR|2DMG|1AART	19ERES|259DUR|35DMG|4RMIN|59BPWR|6RCR|7DUST|89VULN|aAART
190	52113 22532	1	   	240.49	DCR|3VULN|2DUR|1TLV|1AART|1SELL	1LHND|25DUR|3SELL|458VULN|5BPWR|6RCR|7CGEN|9TLV|aAART
191	52113 24532	1	   	240.49	DCR|3VULN|2DUR|1TLV|1AART|1SELL	1LHND|25DUR|3SELL|458VULN|5BPWR|6RCR|7RMIN|9TLV|aAART
192	55113 22532	2	   	240.49	DCR|3VULN|2DUR|1TLV|1AART|1SELL	1LHND|25DUR|3SELL|458VULN|5BPWR|6RCR|7CGEN|9TLV|aAART
193	43161 31161	2	   	240.43	DCR|3VULN|2DUR|1TLV|1AART	19ERES|2AART|348VULN|57DUR|6TLV|aRCR
194	12112 21511	5	   	240.29	DCR|3VULN|2DUR|1TLV|1AART|1SELL	1SELL|29DUR|3TLV|4AART|57aVULN|6TBNT|8RCR
195	12112 61511	5	   	240.29	DCR|3VULN|2DUR|1TLV|1AART|1SELL	1SELL|29DUR|3TLV|4AART|57aVULN|6BBNT|8RCR
196	11341 32112	3	 * 	239.92	DCR|3VULN|1TLV|3LIT|1DMG|1SELL	1SELL|2DMG|36aLIT|469VULN|5RMIN|6BPWR|7TLV|8RCR
197	52223 22332	5	   	239.90	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	18LHND|238VULN|4CDMG|5DUR|6RCR|78CGEN|8BPWR|9TLV|aAART
198	22156 21232	8	   	239.79	ACR|4VULN|2DUR|1TLV|1DMG	1RCR|2RCVC|356aVULN|4DMG|79DUR|8TLV
