0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31273 43627	5	 * 	289.68	DCR|4VULN|3DUR|2TLV|2ASPD	1478VULN|24ASPD|3MBVNT|47BPWR|579DUR|67TLV|aRCR
159	33633 11166	5	   	260.70	DCR|3VULN|2DUR|1TLV|2CDMG|1AART	136VULN|26CDMG|4RCVC|5AART|6BPWR|7RCR|8aDUR|9TLV
160	31233 43627	5	   	260.69	DCR|3VULN|3DUR|2TLV	178VULN|2ASPD|3MBVNT|4DMSP|579DUR|67TLV|7BPWR|aRCR
161	31233 53627	6	   	260.69	DCR|3VULN|3DUR|2TLV	178VULN|2ASPD|3MBVNT|4DMSP|579DUR|67TLV|7BPWR|aRCR
162	31238 43627	3	   	260.69	DCR|3VULN|3DUR|2TLV	178VULN|2ASPD|3MBVNT|479DUR|5RCVC|67TLV|7BPWR|aRCR
163	32523 13135	5	   	260.68	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR	147VULN|27TLV|3DUST|5DUR|67ASPD|7BPWR|8MBVNT|9RCR|aDMG
164	33233 11352	7	   	260.68	ACR|4VULN|3DMG|2DUR|1CDMG	178aVULN|2CDMG|39aDMG|4BELT|5RCR|6aDUR|aBPWR
165	31241 48727	10	 * 	260.68	DCR|3VULN|3DMG|3ASPD|1AART	17aVULN|27aASPD|3MBVNT|4LHND|5DUST|67aDMG|7aBPWR|8AART|9RCR
166	33623 51326	5	   	260.65	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1346VULN|2CDMG|5AART|7RCR|8DUST|9TLV|aDUR
167	33623 51163	5	   	260.65	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1346VULN|2CDMG|5AART|7RCR|8DUR|9TLV|aERES
168	33623 21166	6	   	260.60	DCR|3VULN|2DUR|1TLV|2CDMG|1AART	134VULN|26CDMG|5AART|7RCR|8aDUR|9TLV
169	35163 33315	9	   	260.56	DCR|2VULN|3DMG|3DUR|1CDMG	17VULN|246FEWX|347DMG|47BPWR|579DUR|8RCR|aCDMG
170	35163 33335	9	   	260.56	DCR|2VULN|3DMG|3DUR|1CDMG	17VULN|246FEWX|347DMG|47BPWR|57aDUR|8RCR|9CDMG
171	33334 23561	8	   	260.45	DCR|3VULN|3DUR|3CDMG|2ASPD	17aVULN|247CDMG|349DUR|47BPWR|5LHND|67ASPD|8RCR
172	33332 28651	9	   	260.35	DCR|3VULN|3DUR|3CDMG|2ASPD	19aVULN|249CDMG|348DUR|49BPWR|5MBVNT|69ASPD|7RCR
173	33332 28652	10	   	260.35	DCR|3VULN|3DUR|3CDMG|2ASPD	19aVULN|249CDMG|348DUR|49BPWR|5MBVNT|69ASPD|7RCR
174	33332 67351	9	   	260.35	DCR|3VULN|3DUR|3CDMG|2ASPD	19aVULN|249CDMG|346DUR|49BPWR|5MBVNT|79ASPD|8RCR
175	33332 67352	10	   	260.35	DCR|3VULN|3DUR|3CDMG|2ASPD	19aVULN|249CDMG|346DUR|49BPWR|5MBVNT|79ASPD|8RCR
176	32651 33141	4	   	260.34	DCR|2VULN|3DMG|2TLV|1CDMG|1AART	17VULN|27TLV|3BEXP|4LWND|567DMG|7BPWR|8CDMG|9AART|aRCR
177	32651 33141	3	   	260.34	DCR|2VULN|3DMG|2TLV|1CDMG|1AART	17VULN|27TLV|3BEXP|4LWND|567DMG|7BPWR|8CDMG|9AART|aRCR
178	32661 33141	4	   	260.34	DCR|2VULN|3DMG|2TLV|1CDMG|1AART	17VULN|27TLV|3BEXP|4LHND|567DMG|7BPWR|8CDMG|9AART|aRCR
179	32551 33141	4	   	260.24	DCR|2VULN|3DMG|2TLV|1CDMG|1AART	17VULN|27TLV|3DUST|4LWND|567DMG|7BPWR|8CDMG|9AART|aRCR
180	32551 33141	3	   	260.24	DCR|2VULN|3DMG|2TLV|1CDMG|1AART	17VULN|27TLV|3DUST|4LWND|567DMG|7BPWR|8CDMG|9AART|aRCR
181	32561 33141	4	   	260.24	DCR|2VULN|3DMG|2TLV|1CDMG|1AART	17VULN|27TLV|3DUST|4LHND|567DMG|7BPWR|8CDMG|9AART|aRCR
182	32111 23525	2	   	260.10	DCR|4VULN|2TLV|2DUR	148aVULN|23TLV|59DUR|6RMIN|7RCR
183	33131 41614	1	   	260.10	DCR|4VULN|2TLV|2DUR	1589VULN|2ZMB|38TLV|4TBNT|6BBNT|78DUR|8BPWR|aRCR
184	35163 43232	7	   	259.89	DCR|2VULN|3DMG|2DUR|1TLV	1aVULN|24FEWX|34aDMG|4aBPWR|58DUR|6TLV|7RCR|9aZMB
185	35163 33353	10	   	259.89	DCR|2VULN|3DMG|2DUR|1TLV	17VULN|246FEWX|347DMG|47BPWR|57DUR|8RCR|9LWND|aTLV
186	33264 16233	9	   	259.85	DCR|3VULN|2DUR|2CDMG|1DMG|2LIT	178VULN|27CDMG|3DMG|46LIT|57DUR|7BPWR|9RCVC|aRCR
187	33263 35632	8	   	259.75	DCR|3VULN|2DMG|1TLV|1CDMG	159VULN|2CDMG|39DMG|4LIT|6TLV|7RCR|89ERES|9BPWR|aLWND
188	33213 21314	8	   	259.72	DCR|3VULN|2DMG|2TLV|1CDMG	15aVULN|2CDMG|3aDMG|4BEXP|6BELT|7CGEN|8RCR|9aTLV|aBPWR
189	33231 11314	8	   	259.72	DCR|3VULN|2DMG|2TLV|1CDMG	15aVULN|2CDMG|3aDMG|4BELT|6FEWX|7CGEN|8RCR|9aTLV|aBPWR
190	33231 66314	8	   	259.72	DCR|3VULN|2DMG|2TLV|1CDMG	15aVULN|2CDMG|3aDMG|4BELT|6CGEN|7BEXP|8RCR|9aTLV|aBPWR
191	35113 21314	8	   	259.72	DCR|3VULN|2DMG|2TLV|1CDMG	15aVULN|2FEWX|3aDMG|4CDMG|6BELT|7CGEN|8RCR|9aTLV|aBPWR
192	36113 21314	8	   	259.72	DCR|3VULN|2DMG|2TLV|1CDMG	15aVULN|2BEXP|3aDMG|4CDMG|6BELT|7CGEN|8RCR|9aTLV|aBPWR
193	32251 33622	1	   	259.69	DCR|2VULN|3DMG|2DUR|1TLV	18VULN|28DUR|3TLV|4LWND|568DMG|7TBNT|8BPWR|9RCR|aFEWX
194	32251 33623	1	   	259.69	DCR|2VULN|3DMG|2DUR|1TLV	18VULN|28DUR|3TLV|4aLWND|568DMG|7TBNT|8BPWR|9RCR
195	32251 33624	1	   	259.69	DCR|2VULN|3DMG|2DUR|1TLV	18VULN|28DUR|3TLV|4LWND|568DMG|7TBNT|8BPWR|9RCR|aCGEN
196	32251 33626	1	   	259.69	DCR|2VULN|3DMG|2DUR|1TLV	18VULN|28DUR|3TLV|4LWND|568DMG|7TBNT|8BPWR|9RCR|aRMIN
197	32251 36622	1	   	259.69	DCR|2VULN|3DMG|2DUR|1TLV	18VULN|28DUR|3TLV|4LWND|568DMG|7BBNT|8BPWR|9RCR|aFEWX
198	32251 36623	1	   	259.69	DCR|2VULN|3DMG|2DUR|1TLV	18VULN|28DUR|3TLV|4aLWND|568DMG|7BBNT|8BPWR|9RCR
199	35641 33333	4	   	259.69	DCR|2VULN|3DMG|2DUR|1TLV	17VULN|27FEWX|38DUR|4TLV|567DMG|7BPWR|9ERES|aRCR
