0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12415 15133	4	 * 	266.26	DCR|4VULN|3DMG|1AART	1DUST|257DMG|358aVULN|4AART|5BPWR|6ASPD|9RCR
161	52411 34223	5	   	238.07	DCR|3VULN|1TLV|1DMG|1AART	1BEXP|2DMG|37aVULN|4AART|5LIT|6ERES|8TLV|9RCR
162	31334 33623	4	   	238.02	DCR|3VULN|2TLV|1DUR|1CDMG	1CGEN|2CDMG|39TLV|458VULN|6ERES|7DUR|aRCR
163	31334 42623	4	   	238.02	DCR|3VULN|2TLV|1DUR|1CDMG	1CGEN|2CDMG|39TLV|458VULN|6DUR|7ERES|aRCR
164	31336 52623	6	   	238.02	DCR|3VULN|2TLV|1DUR|1CDMG	1CGEN|2CDMG|39TLV|468VULN|5DUR|7ERES|aRCR
165	31336 56123	7	   	238.02	DCR|3VULN|2TLV|1DUR|1CDMG	1CGEN|2CDMG|39TLV|467VULN|5DUR|8ERES|aRCR
166	61334 33623	4	   	238.02	DCR|3VULN|2TLV|1DUR|1CDMG	1ZMB|2CDMG|39TLV|458VULN|6ERES|7DUR|aRCR
167	53524 12212	10	   	237.99	DCR|3VULN|2DMG|1TLV	149BEXP|28RCVC|3TLV|59DMG|69aVULN|7RCR|9BPWR
168	12264 14223	2	   	237.97	DCR|3VULN|1TLV|1DMG|1AART	1DUST|2DMG|3LIT|47aVULN|5ERES|6AART|8TLV|9RCR
169	12411 34223	5	   	237.97	DCR|3VULN|1TLV|1DMG|1AART	1DUST|2DMG|37aVULN|4AART|5LIT|6ERES|8TLV|9RCR
170	51516 11211	1	   	237.89	DCR|3VULN|2DMG|1TLV	159BEXP|2BBNT|3TBNT|459VULN|59BPWR|6TLV|7FEWX|89DMG|aRCR
171	26223 45211	1	   	237.81	DCR|2VULN|2DMG|1TLV|2LIT|1AART	18LIT|2AART|3TLV|4RPLT|58VULN|6RCR|78DMG|8BPWR|9aBEXP
172	24363 22242	3	 * 	237.79	DCR|2VULN|2DMG|2DUR|3LIT	137LIT|29LHND|48VULN|59DUR|69DMG|9BPWR|aRCR
173	25342 14232	3	   	237.79	DCR|2VULN|2DMG|2DUR|3LIT	136LIT|27FEWX|47DMG|57DUR|7BPWR|89VULN|aRCR
174	26342 14232	3	   	237.79	DCR|2VULN|2DMG|2DUR|3LIT	136LIT|27LWND|47DMG|57DUR|7BPWR|89VULN|aRCR
175	32444 12212	10	 * 	237.78	DCR|4VULN|2TLV	1aCGEN|2BEXP|359aVULN|4LHND|6RCR|7LIT|8aTLV|aBPWR
176	41263 32126	5	   	237.75	DCR|2VULN|2DMG|1TLV|1DUR	1RMIN|26DMG|3LWND|4FEWX|56VULN|6BPWR|7TLV|8RCR|9DUR|aLIT
177	52352 32126	5	   	237.75	DCR|2VULN|2DMG|1TLV|1DUR	1BEXP|26DMG|3MLV|4LHND|56VULN|6BPWR|7TLV|8RCR|9DUR|aLIT
178	26223 45212	1	   	237.71	DCR|2VULN|2DMG|1TLV|2LIT|1AART	18LIT|2AART|3TLV|4RPLT|58VULN|6RCR|78DMG|8BPWR|9BEXP|aTBNT
179	26223 45232	1	   	237.71	DCR|2VULN|2DMG|1TLV|2LIT|1AART	18LIT|2AART|3TLV|4RPLT|58VULN|6RCR|78DMG|8BPWR|9TBNT|aRMIN
180	21551 62132	9	   	237.70	DCR|4VULN|1TLV	1LIT|2ASPD|3BELT|4TLV|5ERES|679aVULN|8RCR
181	41512 46332	10	   	237.69	DCR|3VULN|2DMG|1TLV	1RMIN|29DMG|3TLV|4MBVNT|5FEWX|68aVULN|7RCR
182	12352 32126	5	   	237.65	DCR|2VULN|2DMG|1TLV|1DUR	1DUST|26DMG|3MLV|4LHND|56VULN|6BPWR|7TLV|8RCR|9DUR|aLIT
183	12356 32126	4	   	237.65	DCR|2VULN|2DMG|1TLV|1DUR	1DUST|26DMG|3MLV|4LHND|56VULN|6BPWR|7TLV|8RCR|9DUR|aLIT
184	41532 21331	9	   	237.65	DCR|2VULN|2DMG|1TLV|1DUR	14RMIN|27DMG|3TLV|59VULN|6LIT|8DUR|aRCR
185	41532 21521	7	   	237.65	DCR|2VULN|2DMG|1TLV|1DUR	14RMIN|27DMG|3TLV|58VULN|6LIT|9DUR|aRCR
186	41562 21331	9	   	237.65	DCR|2VULN|2DMG|1TLV|1DUR	1RMIN|27DMG|3TLV|4RCVC|59VULN|6LIT|8DUR|aRCR
187	41512 45443	6	   	237.65	DCR|3VULN|2DMG|1TLV|1SELL	1RMIN|28DMG|3TLV|4MBVNT|58FEWX|68aVULN|7SELL|8BPWR|9RCR
188	26223 45231	1	   	237.61	DCR|2VULN|2DMG|1TLV|2LIT|1AART	18LIT|2AART|3TLV|4RPLT|58VULN|6RCR|78DMG|8BPWR|9TBNT|aDUST
189	26223 45233	1	   	237.61	DCR|2VULN|2DMG|1TLV|2LIT|1AART	18LIT|2AART|3TLV|4RPLT|58VULN|6RCR|78DMG|8BPWR|9TBNT|aBBNT
190	11516 11211	1	   	237.59	DCR|3VULN|2DMG|1TLV	159DUST|2BBNT|3TBNT|459VULN|59BPWR|6TLV|7FEWX|89DMG|aRCR
191	26223 43225	1	   	237.57	DCR|2VULN|1TLV|3LIT|2ASPD|1DUR|1AART	189LIT|2AART|3TLV|4RPLT|58VULN|6RCR|78ASPD|8BPWR|aDUR
192	41112 34163	4	   	237.50	DCR|3VULN|2DMG|1DUR|1AART	1RMIN|26DMG|3MBVNT|4AART|56aVULN|6BPWR|7DUR|8LWND|9RCR
193	41112 34363	4	   	237.50	DCR|3VULN|2DMG|1DUR|1AART	1RMIN|26DMG|3MBVNT|4AART|56aVULN|6BPWR|7DUR|8LHND|9RCR
194	41112 34664	4	   	237.50	DCR|3VULN|2DMG|1DUR|1AART	1RMIN|26DMG|3MBVNT|4AART|56aVULN|6BPWR|7DUR|8CGEN|9RCR
195	52432 63222	6	   	237.50	DCR|3VULN|2DMG|1DUR|1AART	1BEXP|29DMG|356VULN|4ZMB|7RCR|8AART|aDUR
196	32414 51331	8	   	237.44	DCR|4VULN|1TLV|1DUR	17CGEN|2BEXP|3569VULN|4DUR|8RCR|aTLV
197	41112 31835	4	   	237.40	DCR|3VULN|2DMG|1DUR|1AART	1RMIN|26DMG|3MBVNT|4AART|56aVULN|6BPWR|7TBNT|8RCR|9DUR
198	61223 43314	2	   	237.39	DCR|1VULN|2DMG|2DUR|1TLV|1CDMG|1AART	1ZMB|2CDMG|3TLV|46DMG|57DUR|8AART|9RCR|aVULN
199	61323 43314	3	   	237.39	DCR|1VULN|2DMG|2DUR|1TLV|1CDMG|1AART	1ZMB|2CDMG|3TLV|46DMG|57DUR|8AART|9RCR|aVULN
200	16543 22321	7	   	237.25	DCR|2VULN|3DUR|2TLV|1AART	19DUST|2AART|39TLV|47VULN|5CGEN|69aDUR|8RCR|9BPWR
201	12525 42331	10	   	236.91	DCR|4VULN|1DMG|1CDMG	1DUST|2DMG|3CDMG|4BEXP|567aVULN|8RCR|9LIT
202	12545 22331	10	   	236.91	DCR|4VULN|1DMG|1CDMG	1DUST|2DMG|3CDMG|457aVULN|6LWND|8RCR|9LIT
203	12444 12113	10	   	236.72	DCR|3VULN|1TLV|1DMG	1DUST|2DMG|359VULN|4LHND|6RCR|7LIT|8TLV|aASPD
204	61334 42223	7	   	236.72	DCR|3VULN|1TLV|2CDMG	1ZMB|2aCDMG|3TLV|479VULN|5ASPD|6RCR|8LIT
205	41136 42125	3	   	236.66	DCR|3VULN|3DMG|1AART|1SELL	1RMIN|268DMG|3MBVNT|468VULN|5SELL|68BPWR|7TBNT|9RCR|aAART
206	21335 33543	1	   	236.54	DCR|2VULN|2DUR|1TLV|1CDMG	1LIT|2CDMG|34VULN|5FEWX|6TLV|7aDUR|8RCR|9ASPD
207	32414 13324	9	   	236.45	DCR|3VULN|1TLV|1DMG|1DUR	1CGEN|2BEXP|359VULN|4DUR|6RCR|7LHND|8TLV|aDMG
208	31431 52613	2	   	236.45	DCR|3VULN|1TLV|2CDMG|1DUR	1CGEN|25CDMG|3DMSP|458VULN|5BPWR|6TLV|7ZMB|9DUR|aRCR
209	61361 32315	5	 * 	236.42	DCR|2VULN|3TLV|2DUR|1CDMG	1aZMB|2CDMG|36aTLV|48DUR|5LIT|7RCR|9aVULN|aBPWR
210	12432 22562	3	   	236.35	DCR|3VULN|1TLV|1DMG|1DUR	1DUST|2DMG|34aVULN|5MLV|6DUR|7TLV|8BELT|9RCR
211	12436 25131	3	   	236.35	DCR|3VULN|1TLV|1DMG|1DUR	1DUST|2DMG|345VULN|6LHND|7DUR|8RCR|9TLV|aZMB
212	12436 25132	3	   	236.35	DCR|3VULN|1TLV|1DMG|1DUR	1DUST|2DMG|345VULN|6LHND|7DUR|8RCR|9TLV|aDMSP
213	12436 35131	3	   	236.35	DCR|3VULN|1TLV|1DMG|1DUR	1DUST|2DMG|345VULN|6FEWX|7DUR|8RCR|9TLV|aZMB
214	32414 13334	6	   	236.35	DCR|3VULN|1TLV|1DMG|1DUR	1CGEN|2BEXP|359VULN|4DUR|6RCR|7DUST|8TLV|aDMG
215	41172 44423	6	   	236.35	DCR|3VULN|1TLV|1DMG|1DUR	1RMIN|2DMG|3MBVNT|4DUR|567VULN|8RPLT|9RCR|aTLV
216	41172 47423	7	   	236.35	DCR|3VULN|1TLV|1DMG|1DUR	1RMIN|2DMG|3MBVNT|4DUR|567VULN|8RPLT|9RCR|aTLV
217	32416 25311	10	   	236.34	DCR|3VULN|2DMG|1DUR	17CGEN|2BEXP|379VULN|4DUR|5LIT|67DMG|7BPWR|8RCR|aLHND
218	32416 25311	9	   	236.34	DCR|3VULN|2DMG|1DUR	17CGEN|2BEXP|379VULN|4DUR|5LIT|67DMG|7BPWR|8RCR|aLHND
219	32416 25312	10	   	236.34	DCR|3VULN|2DMG|1DUR	17CGEN|2BEXP|379VULN|4DUR|5LIT|67DMG|7BPWR|8RCR|aDMSP
220	32416 25313	9	   	236.34	DCR|3VULN|2DMG|1DUR	17CGEN|2BEXP|379VULN|4DUR|5LIT|67DMG|7BPWR|8RCR|aFEWX
221	32416 25313	10	   	236.34	DCR|3VULN|2DMG|1DUR	17CGEN|2BEXP|379VULN|4DUR|5LIT|67DMG|7BPWR|8RCR|aFEWX
222	12545 23322	8	   	236.31	DCR|2VULN|2DMG|1TLV|1CDMG|1AART	1DUST|27DMG|3CDMG|45VULN|6LWND|8RCR|9AART|aTLV
223	21266 35131	2	   	236.26	DCR|2VULN|2DMG|1TLV|2LIT	15LIT|2ASPD|3LWND|45VULN|5BPWR|6TLV|7TBNT|89DMG|aRCR
