0	Index      	 *	Score 	Summary	Detail	
1	11366 12632	 * 	213.96	DCR|4VULN|2DMG|1AART|1CDMG	1258VULN|28BPWR|3DUR|48DMG|6RCR|78LWND|9AART|aCDMG
179	11113 52222	   	186.80	ACR|3VULN|1AART|3CDMG|1DMG	126VULN|26BPWR|3AART|46aCDMG|5RCR|7CGEN|8DMG|9RPLT
180	11113 56222	   	186.70	ACR|3VULN|1AART|3CDMG|1DMG	126VULN|26BPWR|3AART|46aCDMG|5RCR|7TLV|8DMG|9RPLT
181	11113 56261	   	186.60	ACR|3VULN|1AART|3CDMG|1DMG	126VULN|26BPWR|3AART|469CDMG|5RCR|7TLV|8DMG|aERES
182	11123 43126	   	186.47	DCR|3VULN|2DMG|1AART|1ZMB	127VULN|2BPWR|3AART|4RCVC|5LIT|6ZMB|8aDMG|9RCR
183	11113 16142	   	186.34	ACR|3VULN|1AART|1DMG|1CDMG|2DUR|1SELL	12aVULN|2BPWR|3AART|4CDMG|5RCR|69DUR|7DMG|8SELL
184	13346 34533	   	186.27	DCR|3VULN|1AART|1DMG|2ZMB|2DUR	18aVULN|28ZMB|3MBVNT|4DMG|5CGEN|68DUR|7RCR|8BPWR|9AART
185	13347 34533	   	186.27	DCR|3VULN|1AART|1DMG|2ZMB|2DUR	18aVULN|28ZMB|3MBVNT|4DMG|5MLV|68DUR|7RCR|8BPWR|9AART
186	11113 51453	   	186.25	ACR|4VULN|2AART|2CDMG	1267VULN|26BPWR|3aAART|46CDMG|5RCR|8BEXP|9LHND
187	11113 51623	   	186.25	ACR|4VULN|2AART|2CDMG	1267VULN|26BPWR|3aAART|46CDMG|5RCR|8LIT|9LSRICY
188	11113 53354	   	186.25	ACR|4VULN|2AART|2CDMG	126aVULN|26BPWR|37AART|46CDMG|5RCR|89LHND
189	11113 53364	   	186.25	ACR|4VULN|2AART|2CDMG	126aVULN|26BPWR|37AART|46CDMG|5RCR|8LHND|9RCVC
190	11113 53511	   	186.25	ACR|4VULN|2AART|2CDMG	1268VULN|26BPWR|37AART|46CDMG|5RCR|9LWND|aRMIN
191	11113 53513	   	186.25	ACR|4VULN|2AART|2CDMG	1268VULN|26BPWR|37AART|46CDMG|5RCR|9LWND|aLHND
192	11113 53521	   	186.25	ACR|4VULN|2AART|2CDMG	1268VULN|26BPWR|37AART|46CDMG|5RCR|9RCVC|aLHND
193	11113 53531	   	186.25	ACR|4VULN|2AART|2CDMG	1268VULN|26BPWR|37AART|46CDMG|5RCR|9LHND|aRMIN
194	11113 53533	   	186.25	ACR|4VULN|2AART|2CDMG	1268VULN|26BPWR|37AART|46CDMG|5RCR|9aLHND
195	11113 53542	   	186.25	ACR|4VULN|2AART|2CDMG	1268VULN|26BPWR|37AART|46CDMG|5RCR|9BELT|aLHND
196	11113 53543	   	186.25	ACR|4VULN|2AART|2CDMG	1268VULN|26BPWR|37AART|46CDMG|5RCR|9BELT|aLIT
197	11113 53551	   	186.25	ACR|4VULN|2AART|2CDMG	1268VULN|26BPWR|37AART|46CDMG|5RCR|9RPLT|aLHND
198	11113 53561	   	186.25	ACR|4VULN|2AART|2CDMG	1268VULN|26BPWR|37AART|46CDMG|5RCR|9BEXP|aRMIN
199	11113 53563	   	186.25	ACR|4VULN|2AART|2CDMG	1268VULN|26BPWR|37AART|46CDMG|5RCR|9BEXP|aLHND
200	11113 51333	   	186.15	ACR|4VULN|2AART|2CDMG	1267VULN|26BPWR|3aAART|46CDMG|5RCR|8LHND|9DUST
201	11113 53335	   	186.15	ACR|4VULN|2AART|2CDMG	126aVULN|26BPWR|37AART|46CDMG|5RCR|8LHND|9DUST
202	11113 53512	   	186.15	ACR|4VULN|2AART|2CDMG	1268VULN|26BPWR|37AART|46CDMG|5RCR|9LWND|aDUST
203	11113 53522	   	186.15	ACR|4VULN|2AART|2CDMG	1268VULN|26BPWR|37AART|46CDMG|5RCR|9RCVC|aERES
204	11113 53526	   	186.15	ACR|4VULN|2AART|2CDMG	1268VULN|26BPWR|37AART|46CDMG|5RCR|9RCVC|aDUST
205	11113 53532	   	186.15	ACR|4VULN|2AART|2CDMG	1268VULN|26BPWR|37AART|46CDMG|5RCR|9LHND|aDUST
206	11113 53541	   	186.15	ACR|4VULN|2AART|2CDMG	1268VULN|26BPWR|37AART|46CDMG|5RCR|9BELT|aERES
207	11113 53562	   	186.15	ACR|4VULN|2AART|2CDMG	1268VULN|26BPWR|37AART|46CDMG|5RCR|9BEXP|aDUST
208	11163 43143	   	186.12	DCR|4VULN|1AART|1DMG	129aVULN|2BPWR|3AART|4CGEN|5ASPD|6RCR|7LIT|8DMG
209	11113 53141	   	186.02	ACR|3VULN|2AART|2CDMG	126VULN|26BPWR|37AART|46CDMG|5RCR|8ASPD|9DUR|aLWND
210	11113 53142	   	186.02	ACR|3VULN|2AART|2CDMG	126VULN|26BPWR|37AART|46CDMG|5RCR|8ASPD|9DUR|aLHND
211	11113 53146	   	186.02	ACR|3VULN|2AART|2CDMG	126VULN|26BPWR|37AART|46CDMG|5RCR|8ASPD|9DUR|aRCVC
212	11153 41532	   	186.02	DCR|4VULN|1AART|1DMG	129aVULN|2BPWR|3AART|4ERES|5ASPD|6RCR|7CGEN|8DMG
213	15166 12231	   	186.01	DCR|3VULN|2DMG|1AART	135VULN|2DUR|48DMG|6RCR|7LWND|9AART|aRPLT
214	11366 12231	   	186.01	DCR|3VULN|2DMG|1AART	125VULN|2BPWR|3DUR|48DMG|6RCR|7LWND|9AART|aRPLT
215	11366 12235	   	186.01	DCR|3VULN|2DMG|1AART	125VULN|2BPWR|3DUR|48DMG|6RCR|7LWND|9AART|aLIT
216	11113 53143	   	185.92	ACR|3VULN|2AART|2CDMG	126VULN|26BPWR|37AART|46CDMG|5RCR|8ASPD|9DUR|aERES
217	15166 12233	   	185.91	DCR|3VULN|2DMG|1AART	135VULN|2DUR|48DMG|6RCR|7LWND|9AART|aDUST
218	11366 12233	   	185.91	DCR|3VULN|2DMG|1AART	125VULN|2BPWR|3DUR|48DMG|6RCR|7LWND|9AART|aDUST
219	11366 12234	   	185.91	DCR|3VULN|2DMG|1AART	125VULN|2BPWR|3DUR|48DMG|6RCR|7LWND|9AART|aERES
220	13136 15274	   	185.87	DCR|3VULN|3DMG|2ZMB	159VULN|24ZMB|39LWND|6RCR|7MBVNT|89aDMG|9BPWR
221	11113 51251	   	185.80	ACR|4VULN|1AART|2CDMG|1ZMB	1267VULN|26BPWR|3AART|46CDMG|5RCR|8CGEN|9ZMB|aRMIN
222	11113 51253	   	185.80	ACR|4VULN|1AART|2CDMG|1ZMB	1267VULN|26BPWR|3AART|46CDMG|5RCR|8CGEN|9ZMB|aLHND
223	11113 51321	   	185.80	ACR|4VULN|1AART|2CDMG|1ZMB	1267VULN|26BPWR|3AART|46CDMG|5RCR|8LHND|9RPLT|aZMB
224	11113 51421	   	185.80	ACR|4VULN|1AART|2CDMG|1ZMB	1267VULN|26BPWR|3AART|46CDMG|5RCR|8BEXP|9RPLT|aZMB
225	11113 52354	   	185.80	ACR|4VULN|1AART|2CDMG|1ZMB	126aVULN|26BPWR|3AART|46CDMG|5RCR|7CGEN|8DMSP|9ZMB
226	11113 21223	   	185.80	ACR|3VULN|2AART|1DMG|1CDMG	128VULN|2BPWR|3aAART|4CDMG|5RCR|6FEWX|7LIT|9DMG
227	11113 23123	   	185.80	ACR|3VULN|2AART|1DMG|1CDMG	127VULN|2BPWR|3aAART|4CDMG|5RCR|6FEWX|8LIT|9DMG
228	11113 51252	   	185.70	ACR|4VULN|1AART|2CDMG|1ZMB	1267VULN|26BPWR|3AART|46CDMG|5RCR|8CGEN|9ZMB|aDUST
229	11113 26265	   	185.70	ACR|3VULN|2AART|1DMG|1CDMG	12aVULN|2BPWR|38AART|4CDMG|5RCR|6FEWX|7DMG|9ERES
230	11366 12261	   	185.41	DCR|3VULN|2DMG|1AART	125VULN|2BPWR|3DUR|48DMG|6RCR|79LWND|aAART
231	13236 15731	 * 	185.35	DCR|3VULN|3ZMB|1AART|3DUR	158VULN|248ZMB|389DUR|6RCR|7MBVNT|8BPWR|aAART
232	11363 61343	 * 	184.96	DCR|4VULN|3DMG	127aVULN|2aBPWR|3DUR|46aDMG|5aCGEN|8RPLT|9RCR
233	11113 15442	   	184.93	ACR|2VULN|1AART|3CDMG|1DMG	12VULN|2BPWR|3AART|48aCDMG|5RCR|6DUR|7ASPD|9DMG
234	55123 12613	   	184.86	DCR|2DMG|1AART|1VULN|2ASPD|1FLTHEA|2DUR	1DMSP|27DMG|3CGEN|47DUR|57ASPD|6RCR|7BPWR|8FLTHEA|9VULN|aAART
235	11362 61343	   	184.76	DCR|4VULN|3DMG	127aVULN|2aBPWR|3DUR|46aDMG|5aTLV|8RPLT|9RCR
236	11122 13422	   	184.51	DCR|3VULN|2AART|2DMG	125VULN|2BPWR|37AART|4RCVC|69DMG|8FEWX|aRCR
237	11122 13622	   	184.51	DCR|3VULN|2AART|2DMG	125VULN|2BPWR|37AART|4RCVC|69DMG|8BEXP|aRCR
238	11122 14222	   	184.41	DCR|3VULN|2AART|2DMG	125VULN|2BPWR|38AART|4RCVC|69DMG|7DUST|aRCR
239	11123 44122	 * 	184.38	DCR|3VULN|2AART|1DMG|2ZMB	127VULN|27BPWR|3aAART|4RCVC|57LIT|67ZMB|8DMG|9RCR
240	11162 21244	   	184.36	DCR|2AART|2VULN|1DMG|1CDMG|2DUR	12VULN|2BPWR|3aAART|4CGEN|58DUR|6CDMG|7RCR|9DMG
241	13342 34535	   	184.35	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	18VULN|2ZMB|3MBVNT|48DMG|5RMIN|68DUR|7RCR|8BPWR|9AART|aLHND
242	13342 34537	   	184.35	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	18VULN|2ZMB|3MBVNT|48DMG|5RMIN|68DUR|7RCR|8BPWR|9AART|aDMSP
243	13342 34531	   	184.25	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	18VULN|2ZMB|3MBVNT|48DMG|5RMIN|68DUR|7RCR|8BPWR|9AART|aERES
244	13342 34538	   	184.25	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	18VULN|2ZMB|3MBVNT|48DMG|5RMIN|68DUR|7RCR|8BPWR|9AART|aLEGI
245	11113 15243	   	184.02	ACR|2AART|2VULN|1DMG|1CDMG	12VULN|2BPWR|38AART|4CDMG|5RCR|6DUR|7ASPD|9DMG|aDMSP
246	11113 15245	   	184.02	ACR|2AART|2VULN|1DMG|1CDMG	12VULN|2BPWR|38AART|4CDMG|5RCR|6DUR|7ASPD|9DMG|aRCVC
247	15366 12232	   	184.00	DCR|2VULN|2DMG|1AART|1CDMG	15VULN|2DUR|3DMSP|48DMG|6RCR|7LWND|9AART|aCDMG
