0	Index      	 *	Score 	Summary	Detail	
1	41613 12613	 * 	242.59	DCR|DCR|2VULN|1CDMG	1MDPS|2BEXP|37VULN|4CDMG|5FEWX|6aRCR|8LHND|9AME
163	43351 34122	   	215.51	ACR|DCR|1VULN|1TLV|1DUR	1MDPS|2AEFRZ|3RAT|4VULN|56RCR|7ASPD|8DUR|9TLV|aDUST
164	13343 11216	   	215.35	DCR|3VULN|1DMG|1MLV|1DUR	1DUR|2MLV|3AEFBLL|48LWND|5DMG|67aVULN|9RCR
165	54351 31233	   	215.18	ACR|DCR|2VULN|1DMG	1BEXP|2RAT|37LWND|48VULN|56RCR|9DUST|aDMG
166	54351 32233	   	215.18	ACR|DCR|2VULN|1DMG	1BEXP|27RAT|3LWND|48VULN|56RCR|9DUST|aDMG
167	64351 31232	   	215.08	ACR|DCR|2VULN|1DMG	19DUST|2RAT|37LWND|48VULN|56RCR|aDMG
168	64351 32232	   	215.08	ACR|DCR|2VULN|1DMG	19DUST|27RAT|3LWND|48VULN|56RCR|aDMG
169	43351 32512	   	215.08	ACR|DCR|1VULN|1FLTARM|1DMG	1MDPS|2AEFRZ|3RAT|4VULN|56RCR|7FLTARM|8DMG|9RMIN|aLHND
170	43351 32513	   	215.08	ACR|DCR|1VULN|1FLTARM|1DMG	1MDPS|2AEFRZ|3RAT|4VULN|56RCR|7FLTARM|8DMG|9RMIN|aLIT
171	43351 32522	   	215.08	ACR|DCR|1VULN|1FLTARM|1DMG	1MDPS|2AEFRZ|3RAT|4VULN|56RCR|7FLTARM|8DMG|9LHND|aCGEN
172	43351 36322	   	215.08	ACR|DCR|1VULN|1TLV|1DMG	1MDPS|2AEFRZ|3RAT|4VULN|56RCR|7BEXP|8LIT|9TLV|aDMG
173	14235 35122	 * 	215.04	ACR|2VULN|3TLV|2DUR|1DMG|1MLV	19DUR|2RAT|3RCR|4RPLT|59aTLV|6MLV|7DMG|89VULN|9BPWR
174	43351 32511	   	214.98	ACR|DCR|1VULN|1FLTARM|1DMG	1MDPS|2AEFRZ|3RAT|4VULN|56RCR|7FLTARM|8DMG|9RMIN|aAEBURN
175	43351 32521	   	214.98	ACR|DCR|1VULN|1FLTARM|1DMG	1MDPS|2AEFRZ|3RAT|4VULN|56RCR|7FLTARM|8DMG|9LHND|aDUST
176	43351 32531	   	214.98	ACR|DCR|1VULN|1FLTARM|1DMG	1MDPS|2AEFRZ|3RAT|4VULN|56RCR|7FLTARM|8DMG|9BELT|aVENFST
177	43351 35322	   	214.98	ACR|DCR|1VULN|1TLV|1DMG	1MDPS|2AEFRZ|3RAT|4VULN|56RCR|7DUST|8LIT|9TLV|aDMG
178	12513 11278	 * 	213.55	DCR|2VULN|1TLV|1MSLTOX|1DUR|1CDMG	1DUR|2AEFBLL|3MBVNT|4CDMG|5aVULN|6TLV|7RMIN|8MSLTOX|9RCR
179	12513 14278	   	213.55	DCR|2VULN|1TLV|1MSLTOX|1DUR|1CDMG	1DUR|2AEFBLL|3MBVNT|4CDMG|5aVULN|6TLV|7ZMB|8MSLTOX|9RCR
180	13334 11416	   	213.30	DCR|DCR|1MLV|1DUR|1CDMG|1SELL	1DUR|2MLV|3AEFBLL|4CDMG|5BELT|6aRCR|7LEGI|8SELL|9LIT
181	12513 84161	   	213.30	DCR|3VULN|1DMG|1DUR|1CDMG	1DUR|2AEFBLL|3MBVNT|4CDMG|579VULN|6RCR|8DMG|aRAT
182	31136 31611	   	213.30	DCR|3VULN|1DMG|1AAC|1CDMG	1AEBURN|2AME|359VULN|4CDMG|6RCR|7DMG|8ZMB|aAAC
183	31136 31613	   	213.30	DCR|3VULN|1DMG|1DUR|1CDMG	1AEBURN|2AME|359VULN|4CDMG|6RCR|7DMG|8ZMB|aDUR
184	12513 84114	   	213.20	DCR|3VULN|1DMG|1DUR|1CDMG	1DUR|2AEFBLL|3MBVNT|4CDMG|57aVULN|6RCR|8DMG|9VENICY
185	12513 84163	   	213.20	DCR|3VULN|1DMG|1DUR|1CDMG	1DUR|2AEFBLL|3MBVNT|4CDMG|579VULN|6RCR|8DMG|aDUST
186	12513 84164	   	213.20	DCR|3VULN|1DMG|1DUR|1CDMG|1SELL	1DUR|2AEFBLL|3MBVNT|4CDMG|579VULN|6RCR|8DMG|aSELL
187	31136 31211	   	213.20	DCR|3VULN|1DMG|1AAC|1CDMG	1AEBURN|2AME|359VULN|4CDMG|6RCR|7DMG|8ERES|aAAC
188	31136 31213	   	213.20	DCR|3VULN|1DMG|1DUR|1CDMG	1AEBURN|2AME|359VULN|4CDMG|6RCR|7DMG|8ERES|aDUR
189	31136 35211	   	213.20	DCR|3VULN|2CDMG|1DUR|1AAC	1AEBURN|2AME|359VULN|47CDMG|6RCR|8DUR|aAAC
190	53642 21333	   	213.00	DCR|2VULN|1FLTARM|1MLV|1DUR|1CDMG	1BEXP|2MLV|3aVULN|4BBNT|5BOSS|6RCR|7CDMG|8FLTARM|9DUR
191	12213 12266	   	212.90	DCR|2VULN|1TLV|1MLV|1DUR|1CDMG	1DUR|2AEFBLL|3BBNT|4CDMG|5FEWX|6RCR|78VULN|9TLV|aMLV
192	13642 21363	   	212.90	DCR|2VULN|1FLTARM|1MLV|1DUR|1CDMG	1DUR|2MLV|3aVULN|4BBNT|5BOSS|6RCR|7CDMG|8FLTARM|9DUST
193	35212 12266	   	212.90	DCR|2VULN|1TLV|1MLV|1DUR|1CDMG	1AEBURN|2LWND|3BBNT|4CDMG|5DUR|6RCR|78VULN|9TLV|aMLV
194	63312 21333	   	212.90	DCR|2VULN|1FLTARM|1MLV|1DUR|1CDMG	1DUST|2MLV|3TBNT|4aVULN|5BOSS|6RCR|7CDMG|8FLTARM|9DUR
195	63642 21333	   	212.90	DCR|2VULN|1FLTARM|1MLV|1DUR|1CDMG	1DUST|2MLV|3aVULN|4BBNT|5BOSS|6RCR|7CDMG|8FLTARM|9DUR
196	13642 21335	   	212.90	DCR|1VULN|2DUR|1FLTARM|1MLV|1AART|1CDMG	19DUR|2MLV|3VULN|4BBNT|5BOSS|6RCR|7CDMG|8FLTARM|aAART
197	63312 21334	   	212.90	DCR|1VULN|1FLTARM|1TLV|1MLV|1DUR|1CDMG	1DUST|2MLV|3TBNT|4VULN|5BOSS|6RCR|7CDMG|8FLTARM|9DUR|aTLV
198	12513 87442	   	212.80	DCR|2VULN|1TLV|1MLV|1DUR|1CDMG	1DUR|2AEFBLL|3MBVNT|4CDMG|59VULN|6RCR|7TLV|8AEBURN|aMLV
199	62212 12266	   	212.80	DCR|2VULN|1TLV|1MLV|1DUR|1CDMG	1DUST|2AEFBLL|3BBNT|4CDMG|5DUR|6RCR|78VULN|9TLV|aMLV
200	13633 63474	   	212.76	DCR|2VULN|1FLTARM|1MLV|1DUR|1CDMG|1SELL	1DUR|2MLV|38VULN|4SELL|5MBVNT|6CGEN|7FLTARM|9RCR|aCDMG
201	13633 53474	   	212.66	DCR|2VULN|1FLTARM|1MLV|1DUR|1CDMG|1SELL	1DUR|2MLV|38VULN|4SELL|5MBVNT|6ERES|7FLTARM|9RCR|aCDMG
