0	Index      	 *	Score 	Summary	Detail	
1	23521 16251	 * 	269.09	ACR|DCR|3VULN|2ASPD	1MGNSTR|28RCR|35aVULN|47ASPD|6TBNT|9AELOIC
176	22631 31236	   	241.58	ACR|DCR|2VULN|1ASPD	1MGNSTR|2DUR|3RCVC|48RCR|5ASPD|6aVULN|7BEXP|9TBNT
177	22631 41231	   	241.58	ACR|DCR|2VULN|1ASPD	1MGNSTR|2DUR|3RCVC|48RCR|5ASPD|6LHND|7BEXP|9aVULN
178	22631 43221	   	241.58	ACR|DCR|2VULN|1ASPD	1MGNSTR|2DUR|3RCVC|48RCR|5ASPD|6LHND|7aVULN|9LWND
179	22631 43236	   	241.58	ACR|DCR|2VULN|1ASPD	1MGNSTR|2DUR|3RCVC|48RCR|5ASPD|6LHND|7aVULN|9TBNT
180	22632 53221	   	241.58	ACR|DCR|2VULN|1ASPD	1MGNSTR|2DUR|3RCVC|48RCR|5LHND|6ASPD|7aVULN|9LWND
181	22632 53236	   	241.58	ACR|DCR|2VULN|1ASPD	1MGNSTR|2DUR|3RCVC|48RCR|5LHND|6ASPD|7aVULN|9TBNT
182	23326 11261	   	241.58	ACR|DCR|2VULN|1ASPD	1MGNSTR|28RCR|3FEWX|4ASPD|5RMIN|6DUR|7CGEN|9aVULN
183	23356 53221	   	241.58	ACR|DCR|2VULN|1ASPD	1MGNSTR|28RCR|34FEWX|5DUR|6ASPD|7aVULN|9LWND
184	23522 16221	   	241.58	ACR|DCR|2VULN|1ASPD	1MGNSTR|28RCR|3aVULN|4ASPD|5TLV|6DUR|7RMIN|9LWND
185	23522 16236	   	241.58	ACR|DCR|2VULN|1ASPD	1MGNSTR|28RCR|3aVULN|4ASPD|5TLV|6DUR|7RMIN|9TBNT
186	62326 11261	   	241.58	ACR|DCR|2VULN|1ASPD	18RCR|2LSRREG|3FEWX|4ASPD|5RMIN|6DUR|7CGEN|9aVULN
187	62522 16221	   	241.58	ACR|DCR|2VULN|1ASPD	18RCR|2LSRREG|3aVULN|4ASPD|5TLV|6DUR|7RMIN|9LWND
188	22632 51231	   	241.58	ACR|DCR|2VULN|1ASPD	1MGNSTR|2DUR|3RCVC|48RCR|5LHND|6ASPD|7BEXP|9aVULN
189	23356 51231	   	241.58	ACR|DCR|2VULN|1ASPD	1MGNSTR|28RCR|34FEWX|5DUR|6ASPD|7BEXP|9aVULN
190	23522 26241	   	241.58	ACR|DCR|2VULN|1ASPD	1MGNSTR|28RCR|3aVULN|4ASPD|5TLV|6LWND|7RMIN|9DUR
191	23323 16261	   	241.48	ACR|DCR|2VULN|1ASPD	1MGNSTR|28RCR|3FEWX|4ASPD|5CGEN|6DUR|7AME|9aVULN
192	23325 11266	   	241.48	ACR|DCR|2VULN|1ASPD	1MGNSTR|28RCR|3FEWX|4ASPD|5ERES|6DUR|7CGEN|9aVULN
193	23325 16261	   	241.48	ACR|DCR|2VULN|1ASPD	1MGNSTR|28RCR|3FEWX|4ASPD|5ERES|6DUR|7RMIN|9aVULN
194	62323 16261	   	241.48	ACR|DCR|2VULN|1ASPD	18RCR|2LSRREG|3FEWX|4ASPD|5CGEN|6DUR|7AME|9aVULN
195	63121 61231	   	241.48	ACR|DCR|2VULN|1ASPD	18RCR|2DUST|3MSLTOX|4ASPD|56VULN|7FEWX|9TBNT|aDUR
196	63121 65231	   	241.48	ACR|DCR|2VULN|1ASPD	18RCR|2DUST|3MSLTOX|4ASPD|56VULN|7BEXP|9TBNT|aDUR
197	22631 31264	   	241.48	ACR|DCR|2VULN|1ASPD	1MGNSTR|2DUR|3RCVC|48RCR|5ASPD|6aVULN|7BEXP|9ERES
198	63126 11261	   	241.48	ACR|DCR|2VULN|1ASPD	18RCR|2DUST|3MSLTOX|4ASPD|5RMIN|6DUR|7CGEN|9aVULN
199	63123 16261	   	241.38	ACR|DCR|2VULN|1ASPD	18RCR|2DUST|3MSLTOX|4ASPD|5CGEN|6DUR|7AME|9aVULN
200	23321 61251	   	241.33	ACR|DCR|2VULN|1ASPD|1SELL	1MGNSTR|28RCR|3FEWX|4ASPD|56VULN|7BEXP|9SELL|aDUR
201	23521 41251	   	241.33	ACR|DCR|2VULN|1ASPD|1SELL	1MGNSTR|28RCR|35VULN|4ASPD|6LHND|7BEXP|9SELL|aDUR
202	62321 61251	   	241.33	ACR|DCR|2VULN|1ASPD|1SELL	18RCR|2LSRREG|3FEWX|4ASPD|56VULN|7BEXP|9SELL|aDUR
203	63121 61251	   	241.23	ACR|DCR|2VULN|1ASPD|1SELL	18RCR|2DUST|3MSLTOX|4ASPD|56VULN|7FEWX|9SELL|aDUR
204	23321 31243	   	240.96	ACR|DCR|1VULN|2ASPD|1CDMG|1AART	1MGNSTR|28RCR|3FEWX|47ASPD|5VULN|6LHND|9AART|aCDMG
205	62321 31243	   	240.96	ACR|DCR|1VULN|2ASPD|1CDMG|1AART	18RCR|2LSRREG|3FEWX|47ASPD|5VULN|6LHND|9AART|aCDMG
206	64321 31243	   	240.96	ACR|DCR|1VULN|2ASPD|1CDMG|1AART	18RCR|2BASARM|3FEWX|47ASPD|5VULN|6LHND|9AART|aCDMG
207	65121 31243	   	240.96	ACR|DCR|1VULN|2ASPD|1CDMG|1AART	18RCR|2FEWX|3MSLTOX|47ASPD|5VULN|6LHND|9AART|aCDMG
208	23521 22116	 * 	240.90	ACR|4VULN|3ASPD|1DMG	1MGNSTR|2RCR|3567VULN|46aASPD|6BPWR|8DMG|9DUR
209	62521 22116	   	240.90	ACR|4VULN|3ASPD|1DMG	1RCR|2LSRREG|3567VULN|46aASPD|6BPWR|8DMG|9DUR
210	63121 31243	   	240.86	ACR|DCR|1VULN|2ASPD|1CDMG|1AART	18RCR|2DUST|3MSLTOX|47ASPD|5VULN|6LHND|9AART|aCDMG
211	43315 22844	 * 	240.41	DCR|DCR|1VULN|1DMG	1FEWX|2RMIN|3VULN|4BELT|5BEXP|6MBVNT|7LEGI|89RCR|aDMG
212	23211 58714	   	240.01	ACR|DCR|1VULN|1DMG|2DUR|1CDMG	1MGNSTR|27RCR|3BELT|4CDMG|5aDUR|6MBVNT|8DMG|9VULN
213	66321 31221	   	239.69	ACR|DCR|2VULN|1DMG	18RCR|2DMG|3TSLARM|46LHND|5aVULN|7BEXP|9LWND
214	66321 31236	   	239.69	ACR|DCR|2VULN|1DMG	18RCR|2DMG|3TSLARM|46LHND|5aVULN|7BEXP|9TBNT
215	11362 32521	 * 	239.41	DCR|3VULN|1DMG|1ASPD|1CDMG	1DUR|2ASPD|349VULN|5TLV|6LWND|7DMG|8CDMG|aRCR
216	11364 32521	   	239.41	DCR|3VULN|1DMG|1ASPD|1CDMG	1DUR|2ASPD|349VULN|5CGEN|6LWND|7DMG|8CDMG|aRCR
217	11366 12521	   	239.41	DCR|3VULN|1DMG|1ASPD|1CDMG	1DUR|2ASPD|349VULN|5BEXP|6CGEN|7DMG|8CDMG|aRCR
218	23321 11256	   	239.36	ACR|DCR|1VULN|2ASPD|1CDMG|1SELL	1MGNSTR|28RCR|3FEWX|47ASPD|5VULN|6DUR|9SELL|aCDMG
219	62321 11256	   	239.36	ACR|DCR|1VULN|2ASPD|1CDMG|1SELL	18RCR|2LSRREG|3FEWX|47ASPD|5VULN|6DUR|9SELL|aCDMG
220	23531 15231	   	239.34	ACR|DCR|2VULN|2CDMG|1ZMB	1MGNSTR|28RCR|35VULN|4ZMB|6TBNT|7RCVC|9aCDMG
221	62531 15231	   	239.34	ACR|DCR|2VULN|2CDMG|1ZMB	18RCR|2LSRREG|35VULN|4ZMB|6TBNT|7RCVC|9aCDMG
222	11362 62521	   	239.31	DCR|3VULN|1DMG|1ASPD|1CDMG	1DUR|2ASPD|349VULN|5TLV|6DUST|7DMG|8CDMG|aRCR
223	11365 32521	   	239.31	DCR|3VULN|1DMG|1ASPD|1CDMG	1DUR|2ASPD|349VULN|5AME|6LWND|7DMG|8CDMG|aRCR
224	63121 11256	   	239.26	ACR|DCR|1VULN|2ASPD|1CDMG|1SELL	18RCR|2DUST|3MSLTOX|47ASPD|5VULN|6DUR|9SELL|aCDMG
225	23521 22112	   	239.12	ACR|4VULN|2ASPD|1DMG|1AART	1MGNSTR|2RCR|3567VULN|46ASPD|6BPWR|8DMG|9DUR|aAART
226	62521 22112	   	239.12	ACR|4VULN|2ASPD|1DMG|1AART	1RCR|2LSRREG|3567VULN|46ASPD|6BPWR|8DMG|9DUR|aAART
227	64521 22112	   	239.12	ACR|4VULN|2ASPD|1DMG|1AART	1RCR|2BASARM|3567VULN|46ASPD|6BPWR|8DMG|9DUR|aAART
