0	Index      	 *	Score 	Summary	Detail	
1	22341 35163	 * 	249.10	DCR|DCR|2VULN|1DMG|1AAC	1ZMB|25VULN|3AAC|4DMG|6RMIN|7FRZARM|8SNITOX|9aRCR
162	52516 33331	   	221.22	ACR|DCR|2VULN|1TLV|1AAC	17RCR|2MDPS|36VULN|4RPLT|5AAC|6BPWR|8ERES|9CGEN|aTLV
163	22333 51224	 * 	221.20	DCR|2VULN|2MSLTOX|1TLV|2CDMG|1AAC	1ZMB|2aVULN|3AAC|4LHND|5TLV|6aMSLTOX|7CGEN|8RCR|9aCDMG|aBPWR
164	52516 33113	   	221.12	ACR|DCR|2VULN|2DUR|1AAC	17RCR|2MDPS|36VULN|4RPLT|5AAC|6BPWR|8BBNT|9aDUR
165	26432 31111	   	220.93	DCR|DCR|2TLV|1CDMG	1ZMB|2ERES|3CDMG|4DMSP|5aTLV|68RCR|7RCVC|9RMIN
166	15212 31111	   	220.83	DCR|DCR|2TLV|1AAC|1CDMG	1AEWIND|2CDMG|3AAC|4ERES|5aTLV|68RCR|7RCVC|9RMIN
167	15243 31111	   	220.83	DCR|DCR|2TLV|1AAC|1CDMG	1AEWIND|2CDMG|3AAC|4aTLV|5ERES|68RCR|7RCVC|9RMIN
168	21532 31111	   	220.83	DCR|DCR|2TLV|1CDMG	1ZMB|2AEFBLL|3ERES|4CDMG|5aTLV|68RCR|7RCVC|9RMIN
169	26412 31111	   	220.83	DCR|DCR|2TLV|1CDMG	1ZMB|2ERES|3CDMG|4AEFBLL|5aTLV|68RCR|7RCVC|9RMIN
170	26432 36111	   	220.83	DCR|DCR|2TLV|1CDMG	1ZMB|27ERES|3CDMG|4DMSP|5aTLV|68RCR|9RMIN
171	26442 31111	   	220.83	DCR|DCR|2TLV|1CDMG	1ZMB|24ERES|3CDMG|5aTLV|68RCR|7RCVC|9RMIN
172	26532 31111	   	220.83	DCR|DCR|2TLV|1CDMG	1ZMB|23ERES|4CDMG|5aTLV|68RCR|7RCVC|9RMIN
173	15212 36111	   	220.73	DCR|DCR|2TLV|1CDMG|1AAC	1AEWIND|2CDMG|3AAC|47ERES|5aTLV|68RCR|9RMIN
174	15243 36111	   	220.73	DCR|DCR|2TLV|1CDMG|1AAC	1AEWIND|2CDMG|3AAC|4aTLV|57ERES|68RCR|9RMIN
175	21532 36111	   	220.73	DCR|DCR|2TLV|1CDMG	1ZMB|2AEFBLL|37ERES|4CDMG|5aTLV|68RCR|9RMIN
176	26412 36111	   	220.73	DCR|DCR|2TLV|1CDMG	1ZMB|27ERES|3CDMG|4AEFBLL|5aTLV|68RCR|9RMIN
177	51511 46433	   	220.15	ACR|3VULN|2DMG|2TLV|1CDMG	1RCR|2RPLT|37TLV|4MBVNT|57DMG|67aVULN|7BPWR|8CDMG|9LWND
178	66323 32313	   	220.06	DCR|2VULN|2DUR|1DMG|1MSLTOX|1AART	1BBNT|24DUR|34LWND|4BPWR|5aVULN|6DMG|7MSLTOX|8AART|9RCR
179	51511 46421	 * 	219.93	ACR|2VULN|2DMG|2TLV|2CDMG|1MLV	1RCR|2RPLT|37TLV|4MBVNT|57DMG|67VULN|7BPWR|8aCDMG|9MLV
180	22223 61211	   	219.64	DCR|3VULN|1TLV|1AART|1CDMG	13ZMB|278VULN|4TLV|5CDMG|6AART|9LIT|aRCR
181	26113 23251	   	219.54	DCR|3VULN|1FLTARM|1AART|1CDMG	1ZMB|2ERES|3CGEN|4CDMG|5AART|679VULN|8FLTARM|aRCR
182	22224 26232	   	219.52	DCR|2VULN|1TLV|1DMG|1MLV|1AART	13ZMB|28VULN|4TLV|5BEXP|6AART|7MLV|9DMG|aRCR
183	25242 34232	   	219.42	DCR|2VULN|1TLV|1DMG|1MLV|1DUR	1ZMB|2AIRBOS|3DUR|4TLV|5DMG|6LWND|7MLV|8RCR|9aVULN
184	22225 26332	 * 	219.42	DCR|1VULN|2DUR|1TLV|1DMG|1MLV|1AART	13ZMB|2VULN|4TLV|58DUR|6AART|7MLV|9DMG|aRCR
185	14241 63332	 * 	219.24	DCR|3VULN|1TLV|1DMG	1AEWIND|2LHND|35aVULN|4DMG|6RAT|7TLV|8ASPD|9RCR
186	12241 22681	 * 	219.24	DCR|3VULN|3DMG	1aAEWIND|2DUST|35aVULN|49aDMG|6RPLT|7MBVNT|8RCR|aBPWR
187	12241 63336	   	219.14	DCR|3VULN|1TLV|1DMG	1AEWIND|2DUST|35aVULN|4DMG|6RAT|7TLV|8ASPD|9RCR
188	51253 23225	 * 	219.10	ACR|DCR|2TLV|1VULN|1AART	1aRCR|2RPLT|3LHND|4VULN|57TLV|6CANARM|8AART|9BEXP
