0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14115 12362	7	 * 	289.30	DCR|3VULN|3DMG|2DUR|3LIT	178VULN|267LIT|3FEWX|48DUR|578DMG|78BPWR|9RPLT|aRCR
167	14321 51542	10	   	262.00	DCR|5VULN|1DMG|2LIT	1359aVULN|23LIT|3BPWR|4RPLT|6RCR|7MBVNT|8DMG
168	15231 12623	4	   	262.00	DCR|4VULN|1TLV|1DUR|1CDMG	157aVULN|2FEWX|3DUR|4CDMG|6TLV|8RCR|9LIT
169	13226 12262	1	   	261.92	DCR|3VULN|3DUR|1CDMG|1ASPD	137VULN|2ASPD|4LIT|5CDMG|6RCR|89aDUR
170	12232 65324	6	   	261.92	DCR|4VULN|1DMG|1CDMG|1ASPD|1AART	1349VULN|2RCVC|5ASPD|6DMG|7AART|8CDMG|aRCR
171	12216 54313	8	   	261.89	DCR|3VULN|2DMG|2DUR	137VULN|2RCVC|4LIT|57DUR|67CGEN|7BPWR|8aDMG|9RCR
172	22421 36413	5	   	261.63	DCR|3VULN|2DUR|1DMG|2AART	1LIT|25DUR|36AART|45aVULN|5BPWR|7DMG|8RCR|9FEWX
173	22421 36423	5	   	261.63	DCR|3VULN|2DUR|1DMG|2AART	1LIT|25DUR|36AART|45aVULN|5BPWR|7DMG|8RCR|9CGEN
174	22421 12354	9	   	261.63	DCR|3VULN|2DUR|1DMG|2AART	1LIT|25DUR|3aAART|459VULN|5BPWR|6RPLT|7RCR|8DMG
175	14323 51123	9	   	261.42	DCR|4VULN|3LIT|1DMG|1CDMG	137aVULN|237LIT|37BPWR|4RPLT|57LWND|6RCR|8DMG|9CDMG
176	14326 51123	9	   	261.42	DCR|4VULN|3LIT|1DMG|1CDMG	137aVULN|237LIT|37BPWR|4RPLT|57BEXP|6RCR|8DMG|9CDMG
177	11253 44133	7	   	261.36	DCR|4VULN|3DUR|1AART	1478VULN|28LHND|38aDUR|5MBVNT|6AART|8BPWR|9RCR
178	13253 44133	7	   	261.36	DCR|4VULN|3DUR|1AART	1478VULN|28LWND|38aDUR|5MBVNT|6AART|8BPWR|9RCR
179	12233 14263	5	   	261.34	DCR|4VULN|2DMG|1DUR	1349VULN|2RCVC|5DUST|6aDMG|7RCR|8DUR
180	12233 15563	5	   	261.34	DCR|4VULN|2DMG|1DUR	1349VULN|2RCVC|5DUST|6aDMG|7DUR|8RCR
181	11124 47352	2	   	261.34	DCR|4VULN|2DMG|1DUR	1478VULN|2LHND|3MBVNT|5DUR|69DMG|aRCR
182	11253 47352	5	   	261.34	DCR|4VULN|2DMG|1DUR	1478VULN|2LHND|3DUR|5MBVNT|69DMG|aRCR
183	13253 47352	5	   	261.34	DCR|4VULN|2DMG|1DUR	1478VULN|2LWND|3DUR|5MBVNT|69DMG|aRCR
184	14321 54232	6	   	261.32	DCR|4VULN|3LIT|2TLV|1CDMG	1358VULN|238LIT|38BPWR|4RPLT|6RCR|78TLV|9CDMG|aBEXP
185	14321 54232	5	   	261.32	DCR|4VULN|3LIT|2TLV|1CDMG	1358VULN|238LIT|38BPWR|4RPLT|6RCR|78TLV|9CDMG|aBEXP
186	12216 12562	7	   	261.30	DCR|5VULN|1DUR|1AART	13689VULN|2RCVC|4LIT|5DUR|7AART|aRCR
187	52245 22332	9	   	261.14	DCR|4VULN|3DMG	178DMG|278ZMB|3578VULN|4DLOT|6RPLT|78BPWR|9LHND|aRCR
188	52245 22332	8	   	261.14	DCR|4VULN|3DMG	178DMG|278ZMB|3578VULN|4DLOT|6RPLT|78BPWR|9LWND|aRCR
189	14353 12215	3	   	260.82	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG|1ASPD	137VULN|23LIT|3BPWR|4DMG|5CDMG|6RCR|8DUR|9BEXP|aASPD
190	12236 12342	9	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	134VULN|2RCVC|5TLV|6DUR|7CDMG|8AART|9DMG|aRCR
191	12264 12342	9	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	135VULN|2RCVC|4TLV|6DUR|7CDMG|8AART|9DMG|aRCR
192	24241 12252	5	   	260.76	DCR|3VULN|2DMG|1DUR|1CDMG	1LIT|2CDMG|357VULN|49DMG|6RCR|8DUR|aLWND
193	24241 12253	5	   	260.76	DCR|3VULN|2DMG|1DUR|1CDMG	1LIT|2CDMG|357VULN|49DMG|6RCR|8DUR|aBEXP
194	12232 54132	5	   	260.70	DCR|4VULN|1TLV|1DUR|1ASPD|1AART	1348VULN|2RCVC|5ASPD|6AART|7TLV|9DUR|aRCR
195	12236 33432	5	   	260.70	DCR|4VULN|1TLV|1DUR|1ASPD|1AART	1347VULN|2RCVC|5TLV|6ASPD|8AART|9DUR|aRCR
196	12236 35132	5	   	260.70	DCR|4VULN|1TLV|1DUR|1ASPD|1AART	1348VULN|2RCVC|5TLV|6ASPD|7AART|9DUR|aRCR
197	12236 63112	8	   	260.70	DCR|4VULN|1TLV|1DUR|1ASPD|1AART	1348VULN|2RCVC|5TLV|6ASPD|7DUR|9AART|aRCR
198	12236 63432	6	   	260.70	DCR|4VULN|1TLV|1DUR|1ASPD|1AART	1347VULN|2RCVC|5TLV|6ASPD|8AART|9DUR|aRCR
199	12236 65132	6	   	260.70	DCR|4VULN|1TLV|1DUR|1ASPD|1AART	1348VULN|2RCVC|5TLV|6ASPD|7AART|9DUR|aRCR
200	12264 33432	5	   	260.70	DCR|4VULN|1TLV|1DUR|1ASPD|1AART	1357VULN|2RCVC|4TLV|6ASPD|8AART|9DUR|aRCR
201	12264 35132	5	   	260.70	DCR|4VULN|1TLV|1DUR|1ASPD|1AART	1358VULN|2RCVC|4TLV|6ASPD|7AART|9DUR|aRCR
202	12264 63112	8	   	260.70	DCR|4VULN|1TLV|1DUR|1ASPD|1AART	1358VULN|2RCVC|4TLV|6ASPD|7DUR|9AART|aRCR
203	12266 13112	8	   	260.70	DCR|4VULN|1TLV|1DUR|1ASPD|1AART	1368VULN|2RCVC|4TLV|5ASPD|7DUR|9AART|aRCR
204	12266 13432	6	   	260.70	DCR|4VULN|1TLV|1DUR|1ASPD|1AART	1367VULN|2RCVC|4TLV|5ASPD|8AART|9DUR|aRCR
205	12266 15132	6	   	260.70	DCR|4VULN|1TLV|1DUR|1ASPD|1AART	1368VULN|2RCVC|4TLV|5ASPD|7AART|9DUR|aRCR
206	13233 13322	10	   	260.55	DCR|3VULN|2DUR|2TLV|1CDMG|1ASPD	189VULN|2LWND|38DUR|4CDMG|5CGEN|68TLV|7RCR|8BPWR|aASPD
207	22421 15161	9	   	260.51	DCR|3VULN|2DUR|2CDMG|2LIT|1AART	1aLIT|25DUR|3AART|45aVULN|5aBPWR|6RPLT|7RMIN|8aCDMG|9RCR
208	22421 26413	5	   	260.41	DCR|3VULN|2DUR|1DMG|2LIT|1AART	16LIT|25DUR|3AART|45aVULN|5BPWR|7DMG|8RCR|9FEWX
209	22421 26423	5	   	260.41	DCR|3VULN|2DUR|1DMG|2LIT|1AART	16LIT|25DUR|3AART|45aVULN|5BPWR|7DMG|8RCR|9CGEN
210	14313 54313	8	   	260.35	DCR|4VULN|2DMG|2LIT	1357VULN|23LIT|37BPWR|47LWND|67CGEN|8aDMG|9RCR
211	14323 51431	9	   	260.30	DCR|4VULN|3LIT|1TLV|1DUR	1378VULN|237LIT|378BPWR|4RPLT|578LWND|6RCR|9DUR|aTLV
212	14321 51534	10	   	260.25	DCR|4VULN|2DMG|2LIT	135aVULN|23LIT|3aBPWR|4RPLT|6RCR|7MBVNT|8aDMG|9aLHND
213	24241 12351	5	   	260.16	DCR|3VULN|3DMG|1CDMG	1LIT|2CDMG|357VULN|49aDMG|6RCR|8LHND
214	14321 53351	8	   	260.15	DCR|4VULN|2DMG|2LIT	1358VULN|23LIT|3BPWR|4RPLT|6RCR|7RCVC|9aDMG
215	51126 23612	2	   	260.11	DCR|3VULN|2DMG|2ASPD|1TLV	18DMG|28BEXP|3TLV|467VULN|58ASPD|8BPWR|9DUST|aRCR
216	52126 23612	1	   	260.11	DCR|3VULN|2DMG|2ASPD|1TLV	18DMG|28LWND|3TLV|467VULN|58ASPD|8BPWR|9DUST|aRCR
217	51231 65131	6	   	260.11	DCR|3VULN|2DMG|2ASPD|1DUR	18DMG|28BEXP|3DUR|46aVULN|58ASPD|7DLOT|8BPWR|9RCR
218	12236 11514	7	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	134aVULN|2RCVC|5TLV|6DUR|7BEXP|8RCR|9DMG
219	12236 12214	5	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	134aVULN|2RCVC|5TLV|6RCR|7FEWX|8DUR|9DMG
220	12236 12514	6	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	134aVULN|2RCVC|5TLV|6DUR|7FEWX|8RCR|9DMG
221	12264 12214	5	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	135aVULN|2RCVC|4TLV|6RCR|7FEWX|8DUR|9DMG
222	14313 11313	8	   	260.05	DCR|4VULN|2DMG|2LIT	1356VULN|23LIT|3BPWR|4LWND|7ERES|8aDMG|9RCR
223	14321 51524	10	   	260.05	DCR|4VULN|2DMG|2LIT	135aVULN|23LIT|3aBPWR|4RPLT|6RCR|7MBVNT|8aDMG|9aDUST
224	11464 32312	3	   	260.01	DCR|3VULN|2DMG|2ASPD|1TLV	167VULN|2LHND|34ASPD|56DMG|6BPWR|8TLV|9DUST|aRCR
225	11664 32312	2	   	260.01	DCR|3VULN|2DMG|2ASPD|1TLV	167VULN|2LHND|34ASPD|56DMG|6BPWR|8TLV|9DUST|aRCR
226	12664 32312	1	   	260.01	DCR|3VULN|2DMG|2ASPD|1TLV	167VULN|2FEWX|34ASPD|56DMG|6BPWR|8TLV|9DUST|aRCR
227	13214 32152	1	   	260.01	DCR|3VULN|2DMG|2ASPD|1TLV	137VULN|26ASPD|4LEGI|56DMG|6BPWR|8LWND|9TLV|aRCR
228	13214 32352	1	   	260.01	DCR|3VULN|2DMG|2ASPD|1TLV	137VULN|26ASPD|4LEGI|56DMG|6BPWR|8TLV|9LHND|aRCR
229	14343 43231	10	   	260.00	DCR|4VULN|3LIT|1DUR|1TLV	1359VULN|236LIT|3BPWR|4FEWX|7RCR|8DUR|aTLV
230	13214 32312	1	   	259.91	DCR|3VULN|2DMG|2ASPD|1TLV	137VULN|26ASPD|4LEGI|56DMG|6BPWR|8TLV|9DUST|aRCR
231	52611 14131	5	   	259.66	DCR|3VULN|2DMG|1DUR|1ASPD|1AART	18DMG|28ZMB|3AART|4ASPD|5DUR|6RMIN|78aVULN|8BPWR|9RCR
232	52611 24131	6	   	259.66	DCR|3VULN|2DMG|1DUR|1ASPD|1AART	18DMG|28ZMB|3AART|4ASPD|5DUR|6RMIN|78aVULN|8BPWR|9RCR
233	11222 31334	1	   	259.58	DCR|5VULN|1TLV|1DUR	1348aVULN|2CGEN|5DUR|6BEXP|7RCR|9TLV
234	11265 21334	1	   	259.58	DCR|5VULN|1TLV|1DUR	1368aVULN|2CGEN|4DUR|5FEWX|7RCR|9TLV
235	16222 31334	2	   	259.58	DCR|5VULN|1TLV|1DUR	1348aVULN|2CGEN|5DUR|6BEXP|7RCR|9TLV
236	12264 35331	2	   	259.56	DCR|3VULN|2DMG|1DUR|1ASPD|1AART	16aVULN|2RCVC|3FEWX|4ASPD|56DMG|6BPWR|7DUR|8AART|9RCR
237	12364 36331	2	   	259.56	DCR|3VULN|2DMG|1DUR|1ASPD|1AART	16aVULN|2RCVC|3LWND|4ASPD|56DMG|6BPWR|7AART|8DUR|9RCR
238	13254 36332	1	   	259.56	DCR|3VULN|2DMG|1DUR|1ASPD|1AART	136VULN|2ASPD|4LWND|56DMG|6BPWR|7AART|8DUR|9RCR|aFEWX
239	13424 36331	4	   	259.56	DCR|3VULN|2DMG|1DUR|1ASPD|1AART	16aVULN|2LWND|3ASPD|4RCVC|56DMG|6BPWR|7AART|8DUR|9RCR
240	13434 36331	3	   	259.56	DCR|3VULN|2DMG|1DUR|1ASPD|1AART	16aVULN|24LWND|3ASPD|56DMG|6BPWR|7AART|8DUR|9RCR
241	13634 36331	2	   	259.56	DCR|3VULN|2DMG|1DUR|1ASPD|1AART	16aVULN|24LWND|3ASPD|56DMG|6BPWR|7AART|8DUR|9RCR
242	14433 12352	9	   	259.48	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG|1AART	149VULN|24LIT|3AART|4BPWR|5DUR|6RPLT|7RCR|8DMG|aCDMG
243	11263 21334	1	   	259.48	DCR|5VULN|1TLV|1DUR	1368aVULN|2CGEN|4DUR|5DUST|7RCR|9TLV
244	16263 21334	2	   	259.48	DCR|5VULN|1TLV|1DUR	1368aVULN|2CGEN|4DUR|5DUST|7RCR|9TLV
245	12664 33331	2	   	259.46	DCR|3VULN|2DMG|1DUR|1ASPD|1AART	16aVULN|2RCVC|3ASPD|4DUR|56DMG|6BPWR|7DUST|8AART|9RCR
246	13264 33332	1	   	259.46	DCR|3VULN|2DMG|1DUR|1ASPD|1AART	136VULN|2ASPD|4DUR|56DMG|6BPWR|7DUST|8AART|9RCR|aFEWX
247	13264 33334	1	   	259.46	DCR|3VULN|2DMG|1DUR|1ASPD|1AART	136VULN|2ASPD|4DUR|56DMG|6BPWR|7DUST|8AART|9RCR|aRCVC
248	12236 51136	8	   	259.42	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	134VULN|2RCVC|5TLV|6CDMG|7DMG|8DUR|9LIT|aRCR
249	12236 51336	7	   	259.42	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	134VULN|2RCVC|5TLV|6CDMG|7DMG|8DUR|9LIT|aRCR
250	12236 52336	6	   	259.42	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	134VULN|2RCVC|5TLV|6CDMG|7DMG|8DUR|9LIT|aRCR
251	13214 54133	1	   	259.36	DCR|3VULN|2DMG|1DUR|1ASPD|1AART	138VULN|2ASPD|4LEGI|58DMG|68DUST|7AART|8BPWR|9RCR|aDUR
252	13264 33336	1	   	259.36	DCR|3VULN|2DMG|1DUR|1ASPD|1NUKE|1AART	136VULN|2ASPD|4DUR|56DMG|6BPWR|7DUST|8AART|9RCR|aNUKE
