0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41132 13426	1	 * 	270.37	DCR|5VULN|2DUR|1TLV	1348aVULN|24aDUST|4aBPWR|5TLV|6LHND|7aDUR|9RCR
171	55331 12413	1	 * 	241.35	DCR|4VULN|1TLV|2CDMG	18MLV|28CDMG|36LHND|4TLV|5789VULN|8BPWR|aRCR
172	46132 23322	2	   	241.25	DCR|4VULN|1TLV|1DMG	1349VULN|24BEXP|4BPWR|5TLV|6BELT|7ERES|8DMG|aRCR
173	46132 23322	1	   	241.25	DCR|4VULN|1TLV|1DMG	1349VULN|24BEXP|4BPWR|5TLV|6BELT|7ERES|8DMG|aRCR
174	43322 65331	4	 * 	241.19	DCR|2VULN|3DUR|2TLV|1CDMG|1SELL	17VULN|2SELL|379DUR|4RPLT|57TLV|6RCR|7BPWR|8CDMG|aLHND
175	43322 65333	4	 * 	241.19	DCR|2VULN|3DUR|2TLV|1CDMG|1SELL	17VULN|2SELL|379DUR|4RPLT|57TLV|6RCR|7BPWR|8CDMG|aBEXP
176	41134 32222	1	   	241.15	DCR|4VULN|1TLV|1DMG	1345VULN|24DUST|4BPWR|6FEWX|7TLV|8BEXP|9RCR|aDMG
177	45134 32222	2	   	241.15	DCR|4VULN|1TLV|1DMG	1345VULN|24DUST|4BPWR|6FEWX|7TLV|8BEXP|9RCR|aDMG
178	41132 11425	1	   	241.15	DCR|4VULN|1TLV|1DMG	1348VULN|24DUST|4BPWR|5TLV|6LHND|7LWND|9RCR|aDMG
179	42313 44464	3	   	241.08	DCR|3VULN|2DUR|1DMG|2ASPD	17aVULN|2RMIN|3aDUR|4ZMB|5DMG|6MBVNT|8aASPD|9RCR|aBPWR
180	43324 26233	2	   	241.01	DCR|4VULN|1TLV|1DMG|1SELL	1567VULN|2SELL|3MLV|4DMSP|8TLV|9DMG|aRCR
181	13311 62435	9	   	240.94	DCR|4VULN|2DMG	19ERES|2CGEN|389aVULN|4MLV|5ASPD|69DMG|7RCR|9BPWR
182	43213 53133	7	 * 	240.57	DCR|2VULN|3DUR|2DMG|1AART|1SELL	19VULN|2SELL|3BEXP|4AART|59aDUR|6RCR|7RPLT|89DMG|9BPWR
183	43313 21255	5	   	240.39	DCR|3VULN|2DUR|1TLV|1AART|1SELL	19aVULN|2SELL|35DUR|4AART|6TLV|7ZMB|8RCR
184	43313 23255	6	   	240.39	DCR|3VULN|2DUR|1TLV|1AART|1SELL	19aVULN|2SELL|35DUR|4AART|6CGEN|7TLV|8RCR
