0	Index      	 *	Score 	Summary	Detail	
1	45263 21213	 * 	220.68	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AAC	1RCVC|2RCR|3CGEN|4AAC|5DMG|6AME|7CDMG|8VULN|9BEXP|aBASARM
158	62112 61262	   	191.51	ACR|1BASARM|2AART|1ASPD	1BELT|2CGEN|38AART|4RCR|5FEWX|6LIT|7BASARM|9LHND|aASPD
159	62115 61222	   	191.51	ACR|1BASARM|2AART|1ASPD	1BELT|2CGEN|38AART|4RCR|5DUR|6LIT|7BASARM|9FEWX|aASPD
160	45221 23143	   	191.50	ACR|1BASARM|2BEXP|1VULN	1RCVC|2RCR|37CGEN|45BEXP|6AME|8LWND|9BASARM|aVULN
161	53522 51312	   	191.43	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC	1LHND|2BEXP|3FEWX|4ASPD|5RCR|6CGEN|7AAC|8DMG|9DUR|aBASARM
162	61112 61232	   	191.41	ACR|1BASARM|2AART|1ASPD	1BELT|2AME|38AART|4RCR|5FEWX|6LIT|7BASARM|9DUR|aASPD
163	61112 61262	   	191.41	ACR|1BASARM|2AART|1ASPD	1BELT|2AME|38AART|4RCR|5FEWX|6LIT|7BASARM|9LHND|aASPD
164	61115 61222	   	191.41	ACR|1BASARM|2AART|1ASPD	1BELT|2AME|38AART|4RCR|5DUR|6LIT|7BASARM|9FEWX|aASPD
165	62112 61214	 * 	191.41	ACR|1BASARM|2AART|2CDMG	1BELT|2CGEN|38AART|4RCR|5FEWX|6LIT|7BASARM|9aCDMG
166	53122 51312	   	191.33	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC	1LHND|2BEXP|3DUST|4ASPD|5RCR|6CGEN|7AAC|8DMG|9DUR|aBASARM
167	61112 61214	   	191.31	ACR|1BASARM|2AART|2CDMG	1BELT|2AME|38AART|4RCR|5FEWX|6LIT|7BASARM|9aCDMG
168	53232 22352	   	191.23	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC	1LHND|2BEXP|3DMG|4FEWX|5RCR|6DUST|7AAC|8ASPD|9ERES|aBASARM
169	53522 22352	   	191.23	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC	1LHND|2BEXP|3FEWX|4ASPD|5RCR|6DUST|7AAC|8DMG|9ERES|aBASARM
170	23522 54111	   	191.09	ACR|2VULN|2ASPD|2BEXP|1CDMG	18VULN|2aBEXP|3FEWX|47ASPD|5RCR|6ZMB|9CDMG
171	23232 42221	 * 	191.03	ACR|2VULN|1ASPD|1DMG|1AART|1BEXP|1AAC	16VULN|2BEXP|3DMG|4FEWX|5RCR|7AAC|8ASPD|9AART|aDUR
172	23232 42222	   	191.03	ACR|2VULN|1ASPD|1DMG|1AART|1BEXP|1AAC	16VULN|2BEXP|3DMG|4FEWX|5RCR|7AAC|8ASPD|9AART|aMLV
173	23232 42223	   	191.03	ACR|2VULN|1ASPD|1DMG|1AART|1BEXP|1AAC	16VULN|2BEXP|3DMG|4aFEWX|5RCR|7AAC|8ASPD|9AART
174	23232 42224	   	191.03	ACR|2VULN|1ASPD|1DMG|1AART|1BEXP|1AAC	16VULN|2BEXP|3DMG|4FEWX|5RCR|7AAC|8ASPD|9AART|aLHND
175	45621 32122	   	191.02	ACR|2DMG|2BEXP|1VULN|1AAC	1RCVC|2RCR|3AME|45BEXP|6AAC|7aDMG|8CGEN|9VULN
176	61111 13263	   	191.01	ACR|1BASARM|1AART|1VULN|2AAC	1BELT|2AME|3AART|4RCR|56AAC|7RCVC|8FEWX|9VULN|aBASARM
177	61111 13463	   	191.01	ACR|1BASARM|1AART|1VULN|2AAC	1BELT|2AME|3AART|4RCR|56AAC|7RCVC|8DUR|9VULN|aBASARM
178	23122 54111	   	190.99	ACR|2VULN|2ASPD|2BEXP|1CDMG	18VULN|2aBEXP|3DUST|47ASPD|5RCR|6ZMB|9CDMG
179	23522 42342	   	190.97	ACR|2VULN|2ASPD|1DMG|1BEXP|1AAC	16VULN|2BEXP|38FEWX|49ASPD|5RCR|7AAC|aDMG
180	23232 42225	   	190.93	ACR|2VULN|1ASPD|1DMG|1AART|1BEXP|1AAC	16VULN|2BEXP|3DMG|4FEWX|5RCR|7AAC|8ASPD|9AART|aLEGI
181	42625 22223	 * 	190.83	ACR|3ASPD|1AART|1VULN|1AAC	1RCVC|2RPLT|3MBVNT|4RCR|5AART|6AAC|789ASPD|aVULN
182	23232 46423	 * 	190.77	ACR|3VULN|3BEXP|1DMG|1CDMG	169VULN|278BEXP|3DMG|4FEWX|5RCR|aCDMG
183	23122 22142	   	190.77	ACR|2VULN|2ASPD|1DMG|1BEXP|1AAC	18VULN|2BEXP|36DUST|49ASPD|5RCR|7AAC|aDMG
184	23122 42542	   	190.77	ACR|2VULN|2ASPD|1DMG|1BEXP|1AAC	16VULN|2BEXP|38DUST|49ASPD|5RCR|7AAC|aDMG
