0	Index      	 *	Score 	Summary	Detail	
1	16353 33141	 * 	268.02	DCR|3LIT|2VULN|1FLTARM	1FEWX|25aLIT|3CGEN|4ERES|6RCR|78VULN|9FLTARM
162	36221 21223	   	239.39	DCR|2LIT|2VULN|1DMG|2DUR|1ASPD	17DUR|26LIT|3DUST|4ASPD|56VULN|6BPWR|8DMG|9LWND|aRCR
163	36221 21233	   	239.39	DCR|2LIT|2VULN|1DMG|2DUR|1ASPD	17DUR|26LIT|3DUST|4ASPD|56VULN|6BPWR|8DMG|9LHND|aRCR
164	11341 21243	   	239.39	DCR|2LIT|2VULN|1DMG|1ASPD|1DUR	1FEWX|2DUST|36LIT|4DMG|58VULN|7DUR|9ASPD|aRCR
165	11345 21243	   	239.39	DCR|2LIT|2VULN|1DMG|1ASPD|1DUR	1FEWX|2DUST|35LIT|4DMG|68VULN|7DUR|9ASPD|aRCR
166	16241 21343	   	239.39	DCR|2LIT|2VULN|1DMG|2DUR|1ASPD	1FEWX|26LIT|37DUR|4DMG|56VULN|6BPWR|8LEGI|9ASPD|aRCR
167	21341 21243	   	239.39	DCR|2LIT|2VULN|1DMG|1ASPD|1DUR	1LHND|2DUST|36LIT|4DMG|58VULN|7DUR|9ASPD|aRCR
168	21345 21243	   	239.39	DCR|2LIT|2VULN|1DMG|1ASPD|1DUR	1LHND|2DUST|35LIT|4DMG|68VULN|7DUR|9ASPD|aRCR
169	36141 21343	   	239.39	DCR|2LIT|2VULN|1DMG|2DUR|1ASPD	17DUR|26LIT|3FEWX|4DMG|56VULN|6BPWR|8LEGI|9ASPD|aRCR
170	36241 21143	   	239.39	DCR|2LIT|2VULN|1DMG|2DUR|1ASPD	17DUR|26LIT|3DUST|4DMG|56VULN|6BPWR|8LWND|9ASPD|aRCR
171	42261 21243	   	239.39	DCR|2LIT|2VULN|1DMG|1ASPD|1DUR	1DUST|2DMG|3FEWX|46LIT|58VULN|7DUR|9ASPD|aRCR
172	42431 21243	   	239.39	DCR|2LIT|2VULN|1DMG|1ASPD|1DUR	1DUST|2DMG|36LIT|4LWND|58VULN|7DUR|9ASPD|aRCR
173	61341 21243	   	239.39	DCR|2LIT|2VULN|1DMG|1ASPD|1DUR	1BEXP|2DUST|36LIT|4DMG|58VULN|7DUR|9ASPD|aRCR
174	36221 25145	   	239.29	DCR|2LIT|2VULN|2CDMG|1ASPD|1DUR	1DUR|26LIT|3DUST|4ASPD|56VULN|6BPWR|7MBVNT|89CDMG|aRCR
175	36241 21343	   	239.29	DCR|2LIT|2VULN|1DMG|2DUR|1ASPD	17DUR|26LIT|3DUST|4DMG|56VULN|6BPWR|8LEGI|9ASPD|aRCR
176	62115 32313	 * 	239.18	DCR|2LIT|1FLTARM|1MLV|1DMG	1BEXP|2LHND|3FLTARM|4FEWX|57LIT|6DMG|8DLOT|9RCR|aMLV
177	12155 32313	   	239.08	DCR|2LIT|1FLTARM|1MLV|1DMG	1FEWX|2LHND|3FLTARM|4DUST|57LIT|6DMG|8DLOT|9RCR|aMLV
178	21115 32313	   	239.08	DCR|2LIT|1FLTARM|1MLV|1DMG	1LHND|2DUST|3FLTARM|4FEWX|57LIT|6DMG|8DLOT|9RCR|aMLV
179	45115 32313	   	239.08	DCR|2LIT|1FLTARM|1MLV|1DMG	1DUST|2LHND|3FLTARM|4FEWX|57LIT|6DMG|8DLOT|9RCR|aMLV
180	62155 32313	   	239.08	DCR|2LIT|1FLTARM|1MLV|1DMG	1BEXP|2LHND|3FLTARM|4DUST|57LIT|6DMG|8DLOT|9RCR|aMLV
181	12115 35123	   	238.94	DCR|3VULN|1LIT|1FLTARM	14FEWX|28LHND|3FLTARM|579VULN|6LIT|aRCR
182	12115 35323	   	238.94	DCR|3VULN|1LIT|1FLTARM	14FEWX|2LHND|3FLTARM|579VULN|6LIT|8DMSP|aRCR
183	12115 35523	   	238.94	DCR|3VULN|1LIT|1FLTARM	14FEWX|2LHND|3FLTARM|579VULN|6LIT|8RCVC|aRCR
184	12145 35123	   	238.94	DCR|3VULN|1LIT|1FLTARM	1FEWX|28LHND|3FLTARM|4DMSP|579VULN|6LIT|aRCR
185	12145 35323	   	238.94	DCR|3VULN|1LIT|1FLTARM	1FEWX|2LHND|3FLTARM|48DMSP|579VULN|6LIT|aRCR
186	12165 35123	   	238.94	DCR|3VULN|1LIT|1FLTARM	1FEWX|248LHND|3FLTARM|579VULN|6LIT|aRCR
187	12165 35323	   	238.94	DCR|3VULN|1LIT|1FLTARM	1FEWX|24LHND|3FLTARM|579VULN|6LIT|8DMSP|aRCR
188	12433 52433	   	238.92	DCR|2LIT|1VULN|1MLV|1DMG	1FEWX|2LHND|3DUST|4VULN|5LWND|6RCR|79LIT|8DMG|aMLV
189	11162 51223	   	238.68	DCR|1LIT|1FLTARM|1VULN|1MLV|1DUR	1FEWX|2DUST|3FLTARM|4ZMB|5MULHEA|6VULN|7RCR|8MLV|9LIT|aDUR
190	12345 33353	   	238.66	DCR|2LIT|1VULN|1MLV|1DMG	1FEWX|2LHND|35LIT|4DMG|6MLV|7VULN|8MBVNT|9ZMB|aRCR
191	32115 63613	 * 	238.07	DCR|2LIT|1FLTARM|1VULN|2DUR|1CDMG	17DUR|2LHND|3FLTARM|4FEWX|5aLIT|6RCR|8CDMG|9VULN
