0	Index      	 *	Score 	Summary	Detail	
1	53111 28712	 * 	199.24	ACR|3VULN|2DMG|1AART|1CDMG	1RCVC|2RCR|3AART|4MBVNT|56aVULN|7CDMG|8aDMG|9aBEXP|aBPWR
165	53151 23126	   	171.52	ACR|2DMG|1AART|1VULN|2DUR|1ASPD	1RCVC|2RCR|3AART|4aDMG|5ASPD|6aFEWX|7LSRREG|8VULN|9aDUR|aBPWR
166	53112 78241	   	171.44	ACR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	1RCVC|2RCR|3AART|4MBVNT|56DUR|7CDMG|8VULN|9ZMB|aDMG
167	21623 41621	   	171.42	DCR|3VULN|1AART|1DMG|1ASPD	1ASPD|2DMG|389VULN|4AART|5RCVC|6RCR|7aLIT
168	21623 41622	   	171.42	DCR|3VULN|1AART|1DMG|1ASPD	1ASPD|2DMG|389VULN|4AART|5RCVC|6RCR|7LIT|aBEXP
169	21623 41623	   	171.42	DCR|3VULN|1AART|1DMG|1ASPD	1ASPD|2DMG|389VULN|4AART|5RCVC|6RCR|7LIT|aLWND
170	26323 41621	   	171.42	DCR|3VULN|1AART|1DMG|1ASPD	1ASPD|289VULN|3DMG|4AART|5RCVC|6RCR|7aLIT
171	26323 41622	   	171.42	DCR|3VULN|1AART|1DMG|1ASPD	1ASPD|289VULN|3DMG|4AART|5RCVC|6RCR|7LIT|aBEXP
172	26323 41623	   	171.42	DCR|3VULN|1AART|1DMG|1ASPD	1ASPD|289VULN|3DMG|4AART|5RCVC|6RCR|7LIT|aLWND
173	53151 13116	   	171.32	ACR|2DMG|1AART|1VULN|2DUR|1ASPD	1RCVC|2RCR|3AART|4aDMG|5ASPD|6aDUR|7LSRREG|8VULN|9aDUST|aBPWR
174	53141 31411	   	171.16	ACR|2AART|2VULN|1CDMG|1ASPD|1DUR	1RCVC|2RCR|35AART|4CDMG|6LIT|7DUR|8aVULN|9ASPD
175	21355 41223	   	171.05	DCR|3VULN|2DMG|2ASPD|1DUR	1aASPD|2aDMG|3FEWX|4BELT|5DUR|67aVULN|8RCR|9MBVNT|aBPWR
176	26325 23143	   	171.03	DCR|3DMG|1AART|1VULN|2ASPD	1aASPD|2VULN|37aDMG|4AART|5BELT|6DMSP|8aFEWX|9RCR|aBPWR
177	26325 23243	   	171.03	DCR|3DMG|1AART|1VULN|2ASPD	1aASPD|2VULN|37aDMG|4AART|5BELT|6DMSP|8aLWND|9RCR|aBPWR
178	26326 33262	   	171.03	DCR|3DMG|1AART|1VULN|2ASPD	18ASPD|2VULN|378DMG|4AART|58CGEN|6DMSP|8BPWR|9RCR|aFEWX
179	53612 36213	 * 	171.02	ACR|2VULN|2DMG|3ZMB	1RCVC|2RCR|38DMG|4LHND|58VULN|68aZMB|7RMIN|8BPWR|9CGEN
180	53632 36213	   	171.02	ACR|2VULN|2DMG|3ZMB	1RCVC|2RCR|38DMG|4FEWX|58VULN|68aZMB|7RMIN|8BPWR|9CGEN
181	52623 63312	   	170.95	DCR|2VULN|2DMG|1AART|1DUR	15RCVC|2BEXP|36VULN|4AART|7RCR|89DMG|aDUR
182	26326 33261	   	170.93	DCR|3DMG|1AART|1VULN|2ASPD	18ASPD|2VULN|378DMG|4AART|58CGEN|6DMSP|8BPWR|9RCR|aAIRHEA
183	26326 33263	   	170.93	DCR|3DMG|1AART|1VULN|2ASPD	18ASPD|2VULN|378DMG|4AART|58CGEN|6DMSP|8BPWR|9RCR|aTLV
184	53162 25333	 * 	170.73	ACR|2AART|2VULN|2ASPD|1CDMG	1RCVC|2RCR|38AART|46ASPD|5aVULN|7ERES|9CDMG
185	53162 33243	   	170.63	ACR|2AART|2VULN|1DMG|1ASPD	18RCVC|2RCR|39AART|4ASPD|5aVULN|6DMSP|7DMG
186	53162 33341	   	170.63	ACR|2AART|2DMG|1VULN|1ASPD	1RCVC|2RCR|39AART|4ASPD|5VULN|6DMSP|78DMG|aBELT
187	53162 33342	   	170.63	ACR|2AART|2DMG|1VULN|1ASPD	1RCVC|2RCR|39AART|4ASPD|5VULN|6DMSP|78DMG|aLHND
188	53111 72137	   	170.53	ACR|2AART|2DMG|1VULN|1DUR	1RCVC|2RCR|39AART|4MBVNT|5VULN|6DUR|7BEXP|8aDMG
189	53112 22137	   	170.53	ACR|2AART|2DMG|1VULN|1DUR	1RCVC|2RCR|39AART|4MBVNT|5DUR|6VULN|7BEXP|8aDMG
190	53112 36137	   	170.53	ACR|2AART|2DMG|1VULN|1DUR	1RCVC|2RCR|39AART|4MBVNT|5DUR|6FEWX|7VULN|8aDMG
191	53124 23136	   	170.53	ACR|2AART|2DMG|1VULN|1DUR	1RCVC|2RCR|39AART|4DUST|5FEWX|6VULN|7DUR|8aDMG
192	53131 66123	   	170.53	ACR|2AART|2VULN|2CDMG|1ASPD	1RCVC|2RCR|39AART|4MLV|5ASPD|6aVULN|78CDMG
193	53111 71137	   	170.43	ACR|2AART|2DMG|1VULN|1DUR	1RCVC|2RCR|39AART|4MBVNT|5VULN|6DUR|7DUST|8aDMG
194	53112 21137	   	170.43	ACR|2AART|2DMG|1VULN|1DUR	1RCVC|2RCR|39AART|4MBVNT|5DUR|6VULN|7DUST|8aDMG
195	53117 23137	   	170.43	ACR|2AART|2DMG|1VULN|1DUR	1RCVC|2RCR|39AART|4MBVNT|5DUST|6VULN|7DUR|8aDMG
196	53156 21123	   	170.19	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2RCR|3AART|4DMG|5ZMB|6FEWX|7LIT|89VULN|aDUR
197	53151 21126	   	170.19	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1RCVC|2RCR|3AART|4DMG|5ASPD|6FEWX|7LIT|89VULN|aZMB
198	53153 21126	   	170.19	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1RCVC|2RCR|3AART|4DMG|5FEWX|6ASPD|7LIT|89VULN|aZMB
199	53153 33234	   	170.19	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|2RCR|3AART|47DMG|57FEWX|67ERES|7BPWR|8DUR|9ZMB|aVULN
200	16136 43343	   	170.13	DCR|3VULN|1AART|1DMG|1CDMG	1FEWX|2ERES|37aVULN|4CDMG|5AART|6MBVNT|8DMG|9RCR
201	23136 44243	 * 	170.13	DCR|3VULN|1AART|2CDMG|2ASPD	17ASPD|2FEWX|37aVULN|47CDMG|5AART|6MBVNT|7BPWR|8ERES|9RCR
202	53111 21257	   	170.09	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2RCR|3AART|4MBVNT|56VULN|7LIT|8DUR|9DMG|aZMB
203	53111 26218	   	170.09	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	18RCVC|2RCR|3AART|4MBVNT|56VULN|7ZMB|9DMG|aDUR
204	53123 23161	   	170.09	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|2RCR|3AART|4DUST|5LHND|6VULN|7DUR|8aDMG|9ZMB
205	53123 23166	   	170.09	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2RCR|3AART|4DUST|5LHND|6aVULN|7DUR|8DMG|9ZMB
206	53152 23122	   	170.03	ACR|2VULN|2DMG|1AART	1RCVC|2RCR|3AART|4aDMG|5RPLT|68aLHND|7aVULN|9DMSP|aBPWR
207	53152 23522	   	170.03	ACR|2VULN|2DMG|1AART	18RCVC|2RCR|3AART|4aDMG|5RPLT|6aLHND|7aVULN|9DMSP|aBPWR
208	53152 35332	   	170.03	ACR|2VULN|2DMG|1AART	1RCVC|2RCR|3AART|4aDMG|5RPLT|6aMLV|7aVULN|8RMIN|9DMSP|aBPWR
209	53133 22612	   	170.03	ACR|2VULN|2DMG|1AART	17RCVC|2RCR|3AART|4aMLV|56FEWX|8aVULN|9aDMG|aBPWR
210	53133 52612	   	170.03	ACR|2VULN|2DMG|1AART	17RCVC|2RCR|3AART|46aMLV|5FEWX|8aVULN|9aDMG|aBPWR
211	53156 13113	   	169.99	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2RCR|3AART|4DMG|5ZMB|6DUR|7LSRREG|8aVULN|9DUST
212	53111 56112	   	169.93	ACR|2VULN|2DMG|1AART	17RCVC|2RCR|3AART|4MBVNT|5aVULN|68aMLV|9aDMG|aBPWR
213	53111 57112	   	169.93	ACR|2VULN|2DMG|1AART	1RCVC|2RCR|3AART|4MBVNT|5aVULN|68aMLV|7DMSP|9aDMG|aBPWR
214	53135 62232	   	169.83	ACR|2VULN|2DMG|1AART	1RCVC|2RCR|3AART|4aMLV|5aERES|69VULN|7MGNLIT|8aDMG|aBPWR
215	53612 23234	 * 	169.83	ACR|2VULN|2DMG|2ASPD|1CDMG	1RCVC|2RCR|39DMG|4LHND|59VULN|6LWND|7BEXP|89ASPD|9BPWR|aCDMG
216	53153 11612	   	169.79	ACR|2VULN|2DMG|1AART|1SELL	18RCVC|2RCR|3AART|4aDMG|5FEWX|6SELL|7aVULN|9aBEXP|aBPWR
217	53111 16212	   	169.73	ACR|2VULN|2DMG|1AART	178RCVC|2RCR|3AART|4MBVNT|5aVULN|6aTLV|9aDMG|aBPWR
218	53111 17212	   	169.73	ACR|2VULN|2DMG|1AART	18RCVC|2RCR|3AART|4MBVNT|5aVULN|6aTLV|7DMSP|9aDMG|aBPWR
219	53111 36212	   	169.73	ACR|2VULN|2DMG|1AART	178RCVC|2RCR|3AART|4MBVNT|5aVULN|6aERES|9aDMG|aBPWR
220	53111 37212	   	169.73	ACR|2VULN|2DMG|1AART	18RCVC|2RCR|3AART|4MBVNT|5aVULN|6aERES|7DMSP|9aDMG|aBPWR
221	53111 64212	   	169.73	ACR|2VULN|2DMG|1AART	168RCVC|2RCR|3AART|4MBVNT|5aVULN|7aTLV|9aDMG|aBPWR
222	53122 36612	   	169.73	ACR|2VULN|2DMG|1AART	1RCVC|2RCR|3AART|46aDUST|5DMSP|7MLV|8aVULN|9aDMG|aBPWR
223	26234 33261	 * 	169.64	DCR|2VULN|2DMG|2ASPD|1CDMG|2DUR	18ASPD|28VULN|37DUR|4CDMG|58DMG|6RPLT|8BPWR|9RCVC|aRCR
224	53111 36812	   	169.63	ACR|2VULN|2DMG|1AART	17RCVC|2RCR|3AART|4MBVNT|5aVULN|68aERES|9aDMG|aBPWR
225	53111 37812	   	169.63	ACR|2VULN|2DMG|1AART	1RCVC|2RCR|3AART|4MBVNT|5aVULN|68aERES|7DMSP|9aDMG|aBPWR
226	53122 32612	   	169.63	ACR|2VULN|2DMG|1AART	1RCVC|2RCR|3AART|46aDUST|5DMSP|7TLV|8aVULN|9aDMG|aBPWR
227	53125 32612	   	169.63	ACR|2VULN|2DMG|1AART	15RCVC|2RCR|3AART|46aDUST|7TLV|8aVULN|9aDMG|aBPWR
228	53153 11262	   	169.59	ACR|2VULN|2DMG|1AART|1SELL	1RCVC|2RCR|3AART|4aDMG|5FEWX|6SELL|7aVULN|8aERES|9RMIN|aBPWR
229	53153 11352	   	169.59	ACR|2VULN|2DMG|1AART|1SELL	1RCVC|2RCR|3AART|4aDMG|5FEWX|6SELL|7aVULN|8RMIN|9aTLV|aBPWR
230	26233 22642	   	169.54	DCR|3VULN|1AART|1CDMG|1ASPD|1DUR	1ASPD|29aVULN|3DUR|4CDMG|5CGEN|6RCR|7RCVC|8AART
231	21223 41166	   	169.41	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2DMG|3LWND|4AART|5RCVC|6RCR|7LIT|89VULN|aCDMG
232	21623 42113	 * 	169.31	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1ASPD|2DMG|38VULN|4AART|5RCVC|6RCR|7BASHEA|9BELT|aFLTHEA
233	21623 42131	   	169.31	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2DMG|38VULN|4AART|5RCVC|6RCR|7BASHEA|9LIT|aCDMG
234	21623 42142	   	169.31	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1ASPD|2DMG|38VULN|4AART|5RCVC|6RCR|7BASHEA|9CGEN|aFLTHEA
235	21623 42143	   	169.31	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2DMG|38VULN|4AART|5RCVC|6RCR|7BASHEA|9CGEN|aCDMG
236	21623 43141	 * 	169.31	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1ASPD|28DMG|3VULN|4AART|5RCVC|6RCR|7LHND|9DLOT|aCDMG
237	26323 42113	   	169.31	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1ASPD|28VULN|3DMG|4AART|5RCVC|6RCR|7BASHEA|9BELT|aFLTHEA
238	26323 42131	   	169.31	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|28VULN|3DMG|4AART|5RCVC|6RCR|7BASHEA|9LIT|aCDMG
239	26323 42142	   	169.31	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1ASPD|28VULN|3DMG|4AART|5RCVC|6RCR|7BASHEA|9CGEN|aFLTHEA
240	26323 42143	   	169.31	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|28VULN|3DMG|4AART|5RCVC|6RCR|7BASHEA|9CGEN|aCDMG
241	26323 43141	   	169.31	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1ASPD|2VULN|38DMG|4AART|5RCVC|6RCR|7LHND|9DLOT|aCDMG
242	21623 44322	   	169.31	DCR|2DMG|1AART|1VULN|2ASPD|1DUR	17ASPD|28DMG|3VULN|4AART|5RCVC|6RCR|9CGEN|aDUR
243	26323 44322	   	169.31	DCR|2DMG|1AART|1VULN|2ASPD|1DUR	17ASPD|2VULN|38DMG|4AART|5RCVC|6RCR|9CGEN|aDUR
