0	Index      	Bounty	 *	Score 	Summary	Detail	
1	65212 32623	6	 * 	283.29	DCR|4VULN|3DUR|2TLV|1AART	179aVULN|2AART|35TLV|45aDUR|5aBPWR|6aFEWX|8RCR
159	21313 16113	9	   	254.04	DCR|3VULN|2DMG|1TLV|2ASPD	1aASPD|25aVULN|3TLV|4BEXP|6aDMG|7RCR|8RCVC|9DLOT|aBPWR
160	21322 16513	9	   	254.04	DCR|3VULN|2DMG|1TLV|2ASPD	1aASPD|28aVULN|3TLV|45FEWX|6aDMG|7RCR|9DLOT|aBPWR
161	21323 16113	9	   	254.04	DCR|3VULN|2DMG|1TLV|2ASPD	1aASPD|25aVULN|3TLV|4FEWX|6aDMG|7RCR|8RCVC|9DLOT|aBPWR
162	21363 16513	9	   	254.04	DCR|3VULN|2DMG|1TLV|2ASPD	1aASPD|28aVULN|3TLV|4DMSP|5LWND|6aDMG|7RCR|9DLOT|aBPWR
163	61313 16113	9	   	254.04	DCR|3VULN|2DMG|1TLV|2ASPD	15aVULN|2aASPD|3TLV|4BEXP|6aDMG|7RCR|8RCVC|9DLOT|aBPWR
164	61322 16513	9	   	254.04	DCR|3VULN|2DMG|1TLV|2ASPD	18aVULN|2aASPD|3TLV|45FEWX|6aDMG|7RCR|9DLOT|aBPWR
165	61323 16113	9	   	254.04	DCR|3VULN|2DMG|1TLV|2ASPD	15aVULN|2aASPD|3TLV|4FEWX|6aDMG|7RCR|8RCVC|9DLOT|aBPWR
166	25314 81474	2	   	253.94	DCR|3VULN|2DMG|1TLV|2ASPD	16ASPD|2BEXP|38DMG|4MBVNT|56aVULN|6BPWR|7TLV|9RCR
167	12125 21245	10	   	253.93	DCR|4VULN|2TLV|2ASPD	1BELT|29TLV|369aVULN|4LHND|5LIT|79ASPD|8RCR|9BPWR
168	21363 31165	4	   	253.93	DCR|4VULN|2TLV|1DUR	1ASPD|256aVULN|35TLV|4DMSP|5BPWR|7RCVC|8DUR|9RCR
169	64121 23242	6	 * 	253.89	DCR|2VULN|3DUR|2TLV|3CDMG	18VULN|235CDMG|45aDUR|58BPWR|68BEXP|78TLV|9RCR
170	21561 24331	2	 * 	253.69	DCR|4VULN|3CDMG|2ASPD|1DUR	17ASPD|2567VULN|357CDMG|4DMSP|57BPWR|8LHND|9RCR|aDUR
171	23561 24331	1	   	253.69	DCR|4VULN|3CDMG|2ASPD|1DUR	17ASPD|2567VULN|357CDMG|4DMSP|57BPWR|8LHND|9RCR|aDUR
172	21326 13255	8	   	253.60	DCR|2VULN|3DUR|2TLV|2ASPD|1AART	17ASPD|27VULN|39TLV|4FEWX|5AART|678DUR|7BPWR|aRCR
173	65212 33225	5	   	253.42	DCR|2VULN|3DUR|2TLV|2AART	19VULN|28AART|35TLV|456DUR|5BPWR|7ASPD|aRCR
