0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62313 32355	1	 * 	263.47	DCR|4VULN|2DMG|2DUR	1LEGI|235aVULN|4CGEN|6aDUR|7aDMG|8DLOT|9RCR|aBPWR
163	62561 33213	4	   	242.90	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1LEGI|2TLV|38VULN|45DMG|6DUR|7RMIN|9CDMG|aRCR
164	23265 22242	3	   	242.89	DCR|3VULN|2DMG|1DUR|2LIT	158BEXP|236VULN|48LIT|78DMG|8BPWR|9DUR|aRCR
165	62521 52213	4	   	242.80	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1LEGI|2TLV|38VULN|4ERES|57DMG|6DUR|9CDMG|aRCR
166	15122 26311	2	   	242.40	DCR|2VULN|3DMG|1TLV|1CDMG	1LHND|236DMG|49VULN|5ZMB|7TLV|8RCR|aCDMG
167	15522 26311	3	   	242.40	DCR|2VULN|3DMG|1TLV|1CDMG	1LHND|246DMG|39VULN|5ZMB|7TLV|8RCR|aCDMG
168	22521 26311	3	   	242.40	DCR|2VULN|3DMG|1TLV|1CDMG	1BEXP|2TLV|39VULN|456DMG|7MLV|8RCR|aCDMG
169	25122 26311	2	   	242.40	DCR|2VULN|3DMG|1TLV|1CDMG	1BEXP|236DMG|49VULN|5ZMB|7TLV|8RCR|aCDMG
170	25522 26311	3	   	242.40	DCR|2VULN|3DMG|1TLV|1CDMG	1BEXP|246DMG|39VULN|5ZMB|7TLV|8RCR|aCDMG
171	43223 16312	3	   	242.40	DCR|4VULN|2DMG|1AART	1AART|236aVULN|4BEXP|5aLHND|7aDMG|8RCR|9BBNT|aBPWR
172	43223 16332	3	   	242.40	DCR|4VULN|2DMG|1AART	1AART|236aVULN|4BEXP|5aLHND|7aDMG|8RCR|9TBNT|aBPWR
173	43226 16312	3	   	242.40	DCR|4VULN|2DMG|1AART	1AART|236aVULN|4BEXP|5aLWND|7aDMG|8RCR|9BBNT|aBPWR
174	43226 16332	3	   	242.40	DCR|4VULN|2DMG|1AART	1AART|236aVULN|4BEXP|5aLWND|7aDMG|8RCR|9TBNT|aBPWR
175	43243 16312	3	   	242.40	DCR|4VULN|2DMG|1AART	1AART|236aVULN|4LWND|5aLHND|7aDMG|8RCR|9BBNT|aBPWR
176	43243 16312	4	   	242.40	DCR|4VULN|2DMG|1AART	1AART|236aVULN|4FEWX|5aLHND|7aDMG|8RCR|9BBNT|aBPWR
177	43243 16332	3	   	242.40	DCR|4VULN|2DMG|1AART	1AART|236aVULN|4LWND|5aLHND|7aDMG|8RCR|9TBNT|aBPWR
178	43243 16332	4	   	242.40	DCR|4VULN|2DMG|1AART	1AART|236aVULN|4FEWX|5aLHND|7aDMG|8RCR|9TBNT|aBPWR
179	41322 74211	8	   	242.35	DCR|2VULN|2DMG|2DUR|2LIT|1AART	1AART|2RCVC|37DMG|47VULN|5MBVNT|67LIT|7BPWR|8aDUR|9RCR
180	43142 64211	8	   	242.35	DCR|2VULN|2DMG|2DUR|2LIT|1AART	1AART|27VULN|3MBVNT|4RCVC|57LIT|67DMG|7BPWR|8aDUR|9RCR
181	15551 23311	3	   	242.30	DCR|2VULN|3DMG|1TLV|1CDMG	1LHND|256DMG|39VULN|4TLV|7ERES|8RCR|aCDMG
182	22521 23311	3	   	242.30	DCR|2VULN|3DMG|1TLV|1CDMG	1BEXP|2TLV|39VULN|456DMG|7ERES|8RCR|aCDMG
183	25551 23311	3	   	242.30	DCR|2VULN|3DMG|1TLV|1CDMG	1BEXP|256DMG|39VULN|4TLV|7ERES|8RCR|aCDMG
184	32521 26311	3	   	242.30	DCR|2VULN|3DMG|1TLV|1CDMG	1DUST|2TLV|39VULN|456DMG|7MLV|8RCR|aCDMG
185	32561 26311	4	   	242.30	DCR|2VULN|3DMG|1TLV|1CDMG	1DUST|2TLV|39VULN|456DMG|7MLV|8RCR|aCDMG
186	35122 26311	2	   	242.30	DCR|2VULN|3DMG|1TLV|1CDMG	1DUST|236DMG|49VULN|5ZMB|7TLV|8RCR|aCDMG
187	35522 26311	3	   	242.30	DCR|2VULN|3DMG|1TLV|1CDMG	1DUST|246DMG|39VULN|5ZMB|7TLV|8RCR|aCDMG
188	62521 26311	3	   	242.30	DCR|2VULN|3DMG|1TLV|1CDMG	1LEGI|2TLV|39VULN|456DMG|7MLV|8RCR|aCDMG
189	43213 16312	3	   	242.30	DCR|4VULN|2DMG|1AART	1AART|236aVULN|4DUST|5aLHND|7aDMG|8RCR|9BBNT|aBPWR
190	43213 16332	3	   	242.30	DCR|4VULN|2DMG|1AART	1AART|236aVULN|4DUST|5aLHND|7aDMG|8RCR|9TBNT|aBPWR
191	43214 16312	3	   	242.30	DCR|4VULN|2DMG|1AART	1AART|236aVULN|4DUST|5aBEXP|7aDMG|8RCR|9BBNT|aBPWR
192	43214 16332	3	   	242.30	DCR|4VULN|2DMG|1AART	1AART|236aVULN|4DUST|5aBEXP|7aDMG|8RCR|9TBNT|aBPWR
193	32521 23311	3	   	242.20	DCR|2VULN|3DMG|1TLV|1CDMG	1DUST|2TLV|39VULN|456DMG|7ERES|8RCR|aCDMG
194	32521 23335	3	   	242.20	DCR|2VULN|3DMG|1TLV|1CDMG	1DUST|2TLV|3aVULN|456DMG|7ERES|8RCR|9CDMG
195	32561 23311	4	   	242.20	DCR|2VULN|3DMG|1TLV|1CDMG	1DUST|2TLV|39VULN|456DMG|7ERES|8RCR|aCDMG
196	32561 23335	4	   	242.20	DCR|2VULN|3DMG|1TLV|1CDMG	1DUST|2TLV|3aVULN|456DMG|7ERES|8RCR|9CDMG
197	35551 23311	3	   	242.20	DCR|2VULN|3DMG|1TLV|1CDMG	1DUST|256DMG|39VULN|4TLV|7ERES|8RCR|aCDMG
198	62521 23311	3	   	242.20	DCR|2VULN|3DMG|1TLV|1CDMG	1LEGI|2TLV|39VULN|456DMG|7ERES|8RCR|aCDMG
199	62521 23335	3	   	242.20	DCR|2VULN|3DMG|1TLV|1CDMG	1LEGI|2TLV|3aVULN|456DMG|7ERES|8RCR|9CDMG
200	62561 23311	4	   	242.20	DCR|2VULN|3DMG|1TLV|1CDMG	1LEGI|2TLV|39VULN|456DMG|7ERES|8RCR|aCDMG
201	23263 34242	3	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	1BEXP|236VULN|4LIT|5CGEN|7RCR|8TLV|9CDMG|aDMG
202	15123 34213	2	   	241.49	DCR|3VULN|2DMG|1DUR|1CDMG	1LHND|23DMG|457VULN|6DUR|8FEWX|9CDMG|aRCR
203	15123 34313	2	   	241.49	DCR|3VULN|2DMG|1DUR|1CDMG	1LHND|23DMG|457VULN|6DUR|8LWND|9CDMG|aRCR
204	15523 34213	3	   	241.49	DCR|3VULN|2DMG|1DUR|1CDMG	1LHND|24DMG|357VULN|6DUR|8FEWX|9CDMG|aRCR
205	15523 34313	3	   	241.49	DCR|3VULN|2DMG|1DUR|1CDMG	1LHND|24DMG|357VULN|6DUR|8LWND|9CDMG|aRCR
206	25123 34213	2	   	241.49	DCR|3VULN|2DMG|1DUR|1CDMG	1BEXP|23DMG|457VULN|6DUR|8FEWX|9CDMG|aRCR
207	25123 34313	2	   	241.49	DCR|3VULN|2DMG|1DUR|1CDMG	1BEXP|23DMG|457VULN|6DUR|8LWND|9CDMG|aRCR
208	25123 34413	2	   	241.49	DCR|3VULN|2DMG|1DUR|1CDMG	1BEXP|23DMG|457VULN|6DUR|8LHND|9CDMG|aRCR
209	25523 34213	3	   	241.49	DCR|3VULN|2DMG|1DUR|1CDMG	1BEXP|24DMG|357VULN|6DUR|8FEWX|9CDMG|aRCR
210	25523 34313	3	   	241.49	DCR|3VULN|2DMG|1DUR|1CDMG	1BEXP|24DMG|357VULN|6DUR|8LWND|9CDMG|aRCR
211	25123 36213	2	   	241.49	DCR|3VULN|2DMG|1DUR|1CDMG	1BEXP|23DMG|458VULN|6DUR|7LHND|9CDMG|aRCR
212	25523 36213	3	   	241.49	DCR|3VULN|2DMG|1DUR|1CDMG	1BEXP|24DMG|358VULN|6DUR|7LHND|9CDMG|aRCR
213	62352 36112	1	 * 	241.46	ACR|4VULN|2TLV|2DUR|1CDMG	1LEGI|2367VULN|46DUR|5RCR|6BPWR|8aTLV|9CDMG
214	26221 13614	6	   	241.40	DCR|2VULN|2DUR|1TLV|2CDMG|2LIT	15BEXP|2aCDMG|3TLV|45VULN|5aBPWR|6aLIT|7MLV|8aDUR|9RCR
215	35123 34213	2	   	241.39	DCR|3VULN|2DMG|1DUR|1CDMG	1DUST|23DMG|457VULN|6DUR|8FEWX|9CDMG|aRCR
216	35123 34313	2	   	241.39	DCR|3VULN|2DMG|1DUR|1CDMG	1DUST|23DMG|457VULN|6DUR|8LWND|9CDMG|aRCR
217	35123 34413	2	   	241.39	DCR|3VULN|2DMG|1DUR|1CDMG	1DUST|23DMG|457VULN|6DUR|8LHND|9CDMG|aRCR
218	35523 34213	3	   	241.39	DCR|3VULN|2DMG|1DUR|1CDMG	1DUST|24DMG|357VULN|6DUR|8FEWX|9CDMG|aRCR
219	35523 34313	3	   	241.39	DCR|3VULN|2DMG|1DUR|1CDMG	1DUST|24DMG|357VULN|6DUR|8LWND|9CDMG|aRCR
220	62351 62213	1	   	241.39	DCR|3VULN|2DMG|1DUR|1CDMG	1LEGI|238VULN|4DUR|57DMG|6LHND|9CDMG|aRCR
221	35123 36213	2	   	241.39	DCR|3VULN|2DMG|1DUR|1CDMG	1DUST|23DMG|458VULN|6DUR|7LHND|9CDMG|aRCR
222	35523 36213	3	   	241.39	DCR|3VULN|2DMG|1DUR|1CDMG	1DUST|24DMG|358VULN|6DUR|7LHND|9CDMG|aRCR
223	62341 52213	1	   	241.39	DCR|3VULN|2DMG|1DUR|1CDMG	1LEGI|238VULN|4LWND|57DMG|6DUR|9CDMG|aRCR
224	23252 33671	3	 * 	241.24	ACR|4VULN|3DUR|2TLV	18BEXP|2368VULN|468DUR|5RCR|68BPWR|7MBVNT|9aTLV
225	36221 13614	6	   	241.20	DCR|2VULN|2DUR|1TLV|2CDMG|2LIT	15DUST|2aCDMG|3TLV|45VULN|5aBPWR|6aLIT|7MLV|8aDUR|9RCR
226	32564 72242	3	   	241.05	DCR|4VULN|1TLV|1DMG	1DUST|2TLV|3569VULN|4MBVNT|7DMG|8FEWX|aRCR
227	33522 16433	6	   	240.96	DCR|2VULN|2DUR|1TLV|1DMG|2LIT|1SELL	1DUST|25VULN|3SELL|45LIT|5BPWR|6TLV|79DUR|8RCR|aDMG
228	21163 38233	1	   	240.63	DCR|3VULN|2DUR|1TLV|1AART	12BEXP|26BPWR|36DUR|4MBVNT|569VULN|7RCR|8AART|aTLV
229	43245 13223	4	   	240.63	DCR|3VULN|2DUR|1TLV|1AART	1AART|236VULN|4FEWX|59DUR|7RCR|8BEXP|aTLV
230	44233 13233	5	   	240.63	DCR|3VULN|2DUR|1TLV|1AART	1AART|24DUR|369VULN|5FEWX|7RCR|8BEXP|aTLV
231	41322 56112	6	 * 	240.62	DCR|2VULN|3DUR|2DMG|1AART	1AART|2RCVC|3aDMG|4aVULN|5MBVNT|68aDUR|7RCR|9BBNT|aBPWR
232	41322 56132	6	   	240.62	DCR|2VULN|3DUR|2DMG|1AART	1AART|2RCVC|3aDMG|4aVULN|5MBVNT|68aDUR|7RCR|9TBNT|aBPWR
233	43215 11623	3	   	240.53	DCR|3VULN|2DUR|1TLV|1AART	1AART|236VULN|4DUST|59DUR|7FEWX|8RCR|aTLV
234	43212 52144	5	   	240.53	DCR|3VULN|2DUR|1TLV|1AART	1AART|23aVULN|4aERES|5MBVNT|6RCR|7ZMB|8TLV|9aDUR|aBPWR
235	44231 11633	5	   	240.53	DCR|3VULN|2DUR|1TLV|1AART	1AART|24DUR|369VULN|5DUST|7FEWX|8RCR|aTLV
236	43215 13215	3	   	240.43	DCR|3VULN|2DUR|1TLV|1AART	1AART|236VULN|48DUST|57DUR|9TLV|aRCR
237	23252 32262	3	   	240.34	ACR|5VULN|2DUR|1DMG	1BEXP|23689VULN|46DUR|5RCR|6BPWR|7DMG|aLIT
238	42233 55132	6	   	240.07	DCR|3VULN|1DMG|2CDMG|1DUR|1AART	1AART|28LWND|389VULN|4DUR|5FEWX|6RCR|78CDMG|8BPWR|aDMG
239	22123 54213	2	   	239.99	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1BEXP|2TLV|3DMG|4RMIN|58VULN|67DUR|9CDMG|aRCR
240	22151 54213	3	   	239.99	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1BEXP|2TLV|3MLV|46DUR|5DMG|78VULN|9CDMG|aRCR
241	22531 54213	3	   	239.99	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1BEXP|2TLV|38VULN|4RMIN|5DMG|67DUR|9CDMG|aRCR
242	23251 53113	3	   	239.99	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1BEXP|23VULN|46DUR|5DMG|7RMIN|8TLV|9CDMG|aRCR
243	23255 52113	3	   	239.99	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1BEXP|23VULN|46DUR|5RMIN|7DMG|8TLV|9CDMG|aRCR
244	43524 32113	3	 * 	239.97	DCR|3VULN|1TLV|3AART|1DUR	156AART|24aVULN|3CGEN|7TLV|8DUR|9RCR
245	26243 11132	5	 * 	239.90	DCR|2VULN|2TLV|1DMG|2CDMG|1DUR	17BEXP|27CDMG|36TLV|4DMG|57VULN|7BPWR|8DUST|9DUR|aRCR
246	32151 54213	3	   	239.89	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1DUST|2TLV|3MLV|46DUR|5DMG|78VULN|9CDMG|aRCR
247	33251 53113	3	   	239.89	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1DUST|23VULN|46DUR|5DMG|7RMIN|8TLV|9CDMG|aRCR
248	33255 52113	3	   	239.89	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1DUST|23VULN|46DUR|5RMIN|7DMG|8TLV|9CDMG|aRCR
249	33351 53113	2	   	239.89	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1DUST|23VULN|46DUR|5DMG|7RMIN|8TLV|9CDMG|aRCR
250	33355 52113	2	   	239.89	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1DUST|23VULN|46DUR|5RMIN|7DMG|8TLV|9CDMG|aRCR
251	62351 53113	1	   	239.89	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1LEGI|23VULN|46DUR|5DMG|7RMIN|8TLV|9CDMG|aRCR
252	32123 54213	2	   	239.89	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1DUST|2TLV|3DMG|4RMIN|58VULN|67DUR|9CDMG|aRCR
253	32531 54213	3	   	239.89	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1DUST|2TLV|38VULN|4RMIN|5DMG|67DUR|9CDMG|aRCR
254	23252 32222	3	   	239.89	ACR|4VULN|2DUR|1TLV|1DMG	1BEXP|2368VULN|46DUR|5RCR|6BPWR|7DMG|9BELT|aTLV
255	43214 32113	4	   	239.87	DCR|3VULN|1TLV|3AART|1DUR	156AART|23aVULN|4ERES|7TLV|8DUR|9RCR
256	36243 11232	5	   	239.80	DCR|2VULN|2TLV|1DMG|2CDMG|1DUR	17DUST|27CDMG|36TLV|4DMG|57VULN|7BPWR|8BEXP|9DUR|aRCR
257	62352 32243	1	   	239.79	ACR|4VULN|2DUR|1TLV|1DMG	1LEGI|2368VULN|46DUR|5RCR|6BPWR|7DMG|9LHND|aTLV
258	36223 32515	6	   	239.74	DCR|3VULN|2TLV|1CDMG|1AART	168DUST|2CDMG|38TLV|478VULN|5AART|8BPWR|9LIT|aRCR
259	36223 32515	5	   	239.74	DCR|3VULN|2TLV|1CDMG|1AART	168DUST|2CDMG|38TLV|478VULN|5AART|8BPWR|9LIT|aRCR
260	23213 51244	3	 * 	239.73	DCR|5VULN|1TLV	19BEXP|23579VULN|4CGEN|6TLV|89LWND|9BPWR|aRCR
261	23216 61342	6	   	239.71	DCR|4VULN|1DMG|1DUR	145BEXP|2358VULN|5BPWR|6DMG|7LIT|9DUR|aRCR
262	26221 31615	6	   	239.70	DCR|3VULN|1TLV|2ASPD|1CDMG|1AART	15BEXP|2CDMG|3TLV|456VULN|5BPWR|78ASPD|9AART|aRCR
263	33522 46232	9	 * 	239.61	DCR|3VULN|2DMG|3LIT|1SELL	17DUST|257VULN|3SELL|457LIT|57BPWR|6RCR|89DMG|aASPD
264	25233 35316	10	   	239.61	DCR|4VULN|1DMG|1DUR	1BEXP|2DMG|3BELT|4ASPD|5DUR|678aVULN|9RCR
265	16221 35124	6	   	239.57	DCR|4VULN|2DUR|1CDMG	15LHND|2CDMG|3CGEN|4569VULN|5BPWR|78DUR|aRCR
266	21163 38173	1	   	239.57	DCR|2VULN|3DUR|1TLV|1DMG	12BEXP|26BPWR|368DUR|4MBVNT|56VULN|7RCR|9TLV|aDMG
267	33213 51244	3	   	239.53	DCR|5VULN|1TLV	19DUST|23579VULN|4CGEN|6TLV|89LWND|9BPWR|aRCR
268	33313 51244	2	   	239.53	DCR|5VULN|1TLV	19DUST|23579VULN|4CGEN|6TLV|89LWND|9BPWR|aRCR
269	23246 23531	10	   	239.53	DCR|5VULN|1TLV	15BEXP|23578VULN|4RCVC|5BPWR|6ERES|9TLV|aRCR
270	36221 31615	6	   	239.50	DCR|3VULN|1TLV|2ASPD|1CDMG|1AART	15DUST|2CDMG|3TLV|456VULN|5BPWR|78ASPD|9AART|aRCR
271	43252 43382	6	   	239.50	DCR|3VULN|1TLV|2ASPD|1CDMG|1AART	1AART|23aVULN|47ASPD|5MBVNT|6CDMG|8RCR|9TLV
272	23234 63622	6	   	239.48	DCR|3VULN|2DUR|1TLV	169BEXP|239VULN|4LHND|5LIT|7RCR|89DUR|9BPWR|aTLV
273	33246 23531	10	   	239.33	DCR|5VULN|1TLV	15DUST|23578VULN|4RCVC|5BPWR|6ERES|9TLV|aRCR
274	21243 13426	5	   	239.28	DCR|3VULN|2DUR|1TLV	1BEXP|2LHND|38aVULN|4TLV|5LIT|69DUR|7RCR
275	22263 23426	5	   	239.28	DCR|3VULN|2DUR|1TLV	1BEXP|2TLV|3FEWX|49DUR|5LIT|68aVULN|7RCR
276	23343 13426	5	   	239.28	DCR|3VULN|2DUR|1TLV	1BEXP|28aVULN|3FEWX|4TLV|5LIT|69DUR|7RCR
277	11363 37142	2	   	239.28	DCR|3VULN|2DUR|1TLV	12LHND|36DUR|4MBVNT|567VULN|6BPWR|8TLV|9ASPD|aRCR
278	11363 37142	1	   	239.28	DCR|3VULN|2DUR|1TLV	12LHND|26BPWR|36DUR|4MBVNT|567VULN|8TLV|9ASPD|aRCR
279	11663 37142	3	   	239.28	DCR|3VULN|2DUR|1TLV	12LHND|36DUR|4MBVNT|567VULN|6BPWR|8TLV|9ASPD|aRCR
280	41322 38712	8	   	239.24	DCR|2VULN|2DMG|2TLV|1AART	1AART|2RCVC|3aDMG|4aVULN|5MBVNT|6CGEN|7LIT|8aTLV|9RCR|aBPWR
281	41322 38742	9	   	239.24	DCR|2VULN|2DMG|2TLV|1AART	1AART|2RCVC|3aDMG|4aVULN|5MBVNT|6CGEN|7LIT|8aTLV|9RCR|aBPWR
282	41322 73712	8	   	239.24	DCR|2VULN|2DMG|2TLV|1AART	1AART|2RCVC|3aDMG|4aVULN|5MBVNT|6LIT|7CGEN|8aTLV|9RCR|aBPWR
283	41322 73742	9	   	239.24	DCR|2VULN|2DMG|2TLV|1AART	1AART|2RCVC|3aDMG|4aVULN|5MBVNT|6LIT|7CGEN|8aTLV|9RCR|aBPWR
284	23121 64313	10	 * 	239.15	DCR|3VULN|2TLV|2DUR	1BEXP|29aVULN|3DUST|4FEWX|5aDUR|6RCR|7MLV|8aTLV|aBPWR
285	23311 64313	10	   	239.15	DCR|3VULN|2TLV|2DUR	1BEXP|29aVULN|3FEWX|4DUST|5aDUR|6RCR|7MLV|8aTLV|aBPWR
286	33351 64313	10	   	239.15	DCR|3VULN|2TLV|2DUR	1DUST|29aVULN|3FEWX|4BEXP|5aDUR|6RCR|7MLV|8aTLV|aBPWR
287	33361 64313	10	   	239.15	DCR|3VULN|2TLV|2DUR	1DUST|29aVULN|3FEWX|4LHND|5aDUR|6RCR|7MLV|8aTLV|aBPWR
288	43215 33335	6	   	239.14	DCR|5VULN|1DUR|1AART	1AART|2359aVULN|4ERES|6RMIN|7RCR|8DUR
289	43144 24231	8	   	239.06	DCR|4VULN|1TLV|1AART	1AART|258aVULN|3MBVNT|4RCVC|6LIT|7RCR|9TLV
290	43144 24257	9	   	239.06	DCR|4VULN|1TLV|1AART	1AART|2589VULN|3MBVNT|4RCVC|6LIT|7RCR|aTLV
291	43144 24281	10	   	239.06	DCR|4VULN|1TLV|1AART	1AART|258aVULN|3MBVNT|4RCVC|6LIT|7RCR|9TLV
292	43144 24281	9	   	239.06	DCR|4VULN|1TLV|1AART	1AART|258aVULN|3MBVNT|4RCVC|6LIT|7RCR|9TLV
293	43144 24781	9	   	239.06	DCR|4VULN|1TLV|1AART	1AART|259aVULN|3MBVNT|4RCVC|6LIT|7RCR|8TLV
294	43144 24781	10	   	239.06	DCR|4VULN|1TLV|1AART	1AART|259aVULN|3MBVNT|4RCVC|6LIT|7RCR|8TLV
295	43215 33131	6	   	239.06	DCR|4VULN|1TLV|1AART	1AART|235aVULN|4ERES|6RMIN|7RCR|8LIT|9TLV
296	43223 63131	4	   	239.06	DCR|4VULN|1TLV|1AART	1AART|236aVULN|4RCVC|56DUST|6BPWR|7RCR|8LIT|9TLV
297	43224 63131	5	   	239.06	DCR|4VULN|1TLV|1AART	1AART|236aVULN|4RCVC|56DUST|6BPWR|7RCR|8LIT|9TLV
298	43225 24231	8	   	239.06	DCR|4VULN|1TLV|1AART	1AART|238aVULN|4RCVC|5MBVNT|6LIT|7RCR|9TLV
299	43225 24281	10	   	239.06	DCR|4VULN|1TLV|1AART	1AART|238aVULN|4RCVC|5MBVNT|6LIT|7RCR|9TLV
300	43225 24281	9	   	239.06	DCR|4VULN|1TLV|1AART	1AART|238aVULN|4RCVC|5MBVNT|6LIT|7RCR|9TLV
301	43263 63131	4	   	239.06	DCR|4VULN|1TLV|1AART	1AART|236aVULN|4DMSP|56DUST|6BPWR|7RCR|8LIT|9TLV
302	43265 24231	8	   	239.06	DCR|4VULN|1TLV|1AART	1AART|238aVULN|4DMSP|5MBVNT|6LIT|7RCR|9TLV
303	62334 63131	1	   	239.06	DCR|4VULN|1TLV|1AART	1LEGI|236aVULN|4RCVC|5AART|6BPWR|7RCR|8LIT|9TLV
304	43212 73712	10	   	239.04	DCR|5VULN|1DUR|1AART	1AART|23679VULN|4ERES|5MBVNT|8DUR|aRCR
305	22113 62652	2	   	239.01	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1BEXP|2TLV|37DMG|4CGEN|56VULN|8AART|9RCR|aDUR
306	25332 51315	2	   	238.91	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1BEXP|27DMG|3AART|46VULN|5DUR|8RCR|9BBNT|aTLV
307	25332 51335	2	   	238.91	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1BEXP|27DMG|3AART|46VULN|5DUR|8RCR|9TBNT|aTLV
308	44352 31242	8	   	238.91	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1AART|2DUR|3BELT|49DMG|5MBVNT|6TLV|7RCR|8aVULN
309	32113 62652	2	   	238.91	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1DUST|2TLV|37DMG|4CGEN|56VULN|8AART|9RCR|aDUR
310	63123 32651	2	   	238.91	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1LEGI|2RCVC|37DMG|45VULN|6DUR|8AART|9RCR|aTLV
311	41534 51133	1	   	238.81	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1AART|2TLV|3MBVNT|45VULN|6RCR|7aDMG|8TBNT|9DUR
312	43212 51145	5	   	238.81	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1AART|23VULN|4ERES|5MBVNT|6RCR|7aDMG|8TLV|9DUR
313	23541 33114	7	   	238.81	DCR|3VULN|2TLV|2DUR|1SELL	1BEXP|256VULN|3SELL|45TLV|5BPWR|7DUST|8aDUR|9RCR
314	23541 33114	6	   	238.81	DCR|3VULN|2TLV|2DUR|1SELL	1BEXP|256VULN|3SELL|45TLV|5BPWR|7DUST|8aDUR|9RCR
315	43122 47446	8	   	238.51	DCR|2VULN|3DMG|1TLV|1AART	1AART|28VULN|3MBVNT|4LWND|58ZMB|678DMG|8BPWR|9TLV|aRCR
316	23251 54213	3	   	238.48	DCR|3VULN|2DUR|1DMG|1CDMG	1BEXP|237VULN|46DUR|5DMG|8FEWX|9CDMG|aRCR
317	23251 54213	4	   	238.48	DCR|3VULN|2DUR|1DMG|1CDMG	1BEXP|238VULN|4FEWX|5DMG|67DUR|9CDMG|aRCR
318	23251 54313	3	   	238.48	DCR|3VULN|2DUR|1DMG|1CDMG	1BEXP|237VULN|46DUR|5DMG|8LWND|9CDMG|aRCR
319	23251 56213	3	   	238.48	DCR|3VULN|2DUR|1DMG|1CDMG	1BEXP|238VULN|46DUR|5DMG|7LHND|9CDMG|aRCR
320	23253 42213	3	   	238.48	DCR|3VULN|2DUR|1DMG|1CDMG	1BEXP|238VULN|46DUR|5FEWX|7DMG|9CDMG|aRCR
321	61253 32213	3	   	238.48	DCR|3VULN|2DUR|1DMG|1CDMG	1LEGI|25LHND|368VULN|46DUR|6BPWR|7DMG|9CDMG|aRCR
322	61353 32213	2	   	238.48	DCR|3VULN|2DUR|1DMG|1CDMG	1LEGI|25LHND|368VULN|46DUR|6BPWR|7DMG|9CDMG|aRCR
323	62353 32213	1	   	238.48	DCR|3VULN|2DUR|1DMG|1CDMG	1LEGI|238VULN|46DUR|56FEWX|6BPWR|7DMG|9CDMG|aRCR
324	66353 32213	1	   	238.48	DCR|3VULN|2DUR|1DMG|1CDMG	1LEGI|25LHND|368VULN|46DUR|6BPWR|7DMG|9CDMG|aRCR
325	26221 12436	6	   	238.45	DCR|3VULN|1TLV|1DUR|1CDMG	15BEXP|2CDMG|3TLV|45aVULN|5BPWR|6LIT|7LHND|8RCR|9DUR
326	33251 54213	3	   	238.38	DCR|3VULN|2DUR|1DMG|1CDMG	1DUST|237VULN|46DUR|5DMG|8FEWX|9CDMG|aRCR
327	33251 54313	3	   	238.38	DCR|3VULN|2DUR|1DMG|1CDMG	1DUST|237VULN|46DUR|5DMG|8LWND|9CDMG|aRCR
328	33251 56213	3	   	238.38	DCR|3VULN|2DUR|1DMG|1CDMG	1DUST|238VULN|46DUR|5DMG|7LHND|9CDMG|aRCR
329	33253 42213	3	   	238.38	DCR|3VULN|2DUR|1DMG|1CDMG	1DUST|238VULN|46DUR|5FEWX|7DMG|9CDMG|aRCR
330	33351 54213	2	   	238.38	DCR|3VULN|2DUR|1DMG|1CDMG	1DUST|237VULN|46DUR|5DMG|8FEWX|9CDMG|aRCR
331	33351 54313	2	   	238.38	DCR|3VULN|2DUR|1DMG|1CDMG	1DUST|237VULN|46DUR|5DMG|8LWND|9CDMG|aRCR
332	33351 56213	2	   	238.38	DCR|3VULN|2DUR|1DMG|1CDMG	1DUST|238VULN|46DUR|5DMG|7LHND|9CDMG|aRCR
333	33353 42213	2	   	238.38	DCR|3VULN|2DUR|1DMG|1CDMG	1DUST|238VULN|46DUR|5FEWX|7DMG|9CDMG|aRCR
334	62353 42213	1	   	238.38	DCR|3VULN|2DUR|1DMG|1CDMG	1LEGI|238VULN|46DUR|5FEWX|7DMG|9CDMG|aRCR
