0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63416 12221	10	 * 	295.76	DCR|5VULN|2DMG|2DUR	1RCVC|2369aVULN|4CGEN|5aDUR|7RCR|8aDMG|aBPWR
165	62133 12241	10	   	266.61	DCR|3VULN|3DUR|2DMG	1RCVC|29aDUR|35ERES|46aVULN|7RCR|8aDMG|aBPWR
166	63143 12241	10	   	266.61	DCR|3VULN|3DUR|2DMG	1RCVC|26aVULN|35ERES|49aDUR|7RCR|8aDMG|aBPWR
167	63123 16513	10	   	266.57	DCR|3VULN|3DMG|2TLV	1RCVC|267VULN|3ERES|478DMG|57TLV|7BPWR|9RCR|aLIT
168	31113 25133	5	 * 	266.56	ACR|3VULN|3DMG|2DUR|2ASPD	1RCR|26aVULN|3BEXP|4aASPD|56DUR|6aBPWR|7LIT|89aDMG
169	31313 25133	5	   	266.56	ACR|3VULN|3DMG|2DUR|2ASPD	1RCR|26aVULN|3LHND|4aASPD|56DUR|6aBPWR|7LIT|89aDMG
170	31413 25133	5	   	266.56	ACR|3VULN|3DMG|2DUR|2ASPD	1RCR|26aVULN|3LWND|4aASPD|56DUR|6aBPWR|7LIT|89aDMG
171	43274 32346	5	   	266.45	DCR|3VULN|3DUR|1DMG|2AART	19aDUR|27AART|3MBVNT|4DMG|59aVULN|6RCR|89aERES|9aBPWR
172	21232 24356	9	   	266.30	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD|1AART	1TLV|26aVULN|3ASPD|47DUR|5AART|8RCR|9CDMG
173	43423 32214	7	   	266.14	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	17DUR|2AART|35VULN|45DMG|5BPWR|6CDMG|8TLV|9ZMB|aRCR
174	43423 35212	10	   	266.14	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	18DUR|2AART|35VULN|45DMG|5BPWR|6CDMG|7TLV|9LHND|aRCR
175	43355 21331	10	   	265.81	DCR|2VULN|3DUR|2DMG|1TLV|1AART	159DUR|2AART|3CGEN|4RCVC|69DMG|79VULN|8RCR|9BPWR|aTLV
176	43365 21331	10	   	265.81	DCR|2VULN|3DUR|2DMG|1TLV|1AART	159DUR|2AART|3CGEN|4DMSP|69DMG|79VULN|8RCR|9BPWR|aTLV
