0	Index      	 *	Score 	Summary	Detail	
1	54113 21352	 * 	203.59	DCR|2VULN|1BASARM|2ASPD|1AART|1BEXP	18ASPD|26VULN|3LIT|4AART|5BASARM|7DUST|9BEXP|aRCR
153	33535 23325	   	175.69	ACR|1VULN|1AART|1ASPD|1DMG|1BEXP	1LEGI|2AART|34ERES|5RCR|6BEXP|7DMG|8VULN|9ASPD|aMBVNT
154	13226 22441	 * 	175.36	ACR|1BASARM|2VULN|1ASPD|1SELL	1LHND|2ERES|3aVULN|4SELL|5RCR|6DMSP|7MSLTOX|8BASARM|9ASPD
155	31226 22441	 * 	175.36	ACR|1BASARM|2VULN|1ASPD|1SELL	1LEGI|2MLV|3aVULN|4SELL|5RCR|6DMSP|7MSLTOX|8BASARM|9ASPD
156	51242 23226	   	175.31	DCR|2VULN|2ASPD|1DMG|1AART|1BEXP	15ASPD|2BEXP|39VULN|4DUR|6AART|7DMG|8DMSP|aRCR
157	54233 21312	   	175.31	DCR|2VULN|2ASPD|1DMG|1AART|1BEXP	18ASPD|23VULN|4DMG|5RMIN|6AART|7BEXP|9LIT|aRCR
158	54233 21351	   	175.31	DCR|2VULN|2ASPD|1DMG|1AART|1BEXP	18ASPD|23VULN|4DMG|5RMIN|6AART|7BEXP|9RPLT|aRCR
159	54231 25333	   	175.21	DCR|2VULN|2ASPD|1DMG|1AART|1BEXP	18ASPD|23VULN|4DMG|5ERES|6AART|7DUR|9BEXP|aRCR
160	54231 26333	   	175.21	DCR|2VULN|2ASPD|1DMG|1AART|1BEXP	18ASPD|23VULN|4DMG|5ERES|6AART|7FEWX|9BEXP|aRCR
161	54233 21512	 * 	175.18	DCR|2VULN|2AART|1ASPD|1DMG|1BEXP	1ASPD|23VULN|4DMG|5RMIN|68AART|7BEXP|9LIT|aRCR
162	21226 12263	 * 	175.15	ACR|2VULN|2BEXP|1ASPD|1AART|1SELL	1MLV|28BEXP|37VULN|4SELL|5RCR|6AME|9AART|aASPD
163	54231 21512	   	175.08	DCR|2VULN|2AART|1ASPD|1DMG|1BEXP	1ASPD|23VULN|4DMG|5ERES|68AART|7BEXP|9LIT|aRCR
164	51221 36123	 * 	174.68	DCR|1BASARM|3BEXP|1VULN|1ASPD|1SELL	1ASPD|257BEXP|3VULN|4SELL|6LHND|8LIT|9BASARM|aRCR
165	11668 11232	 * 	173.96	ACR|1BASARM|1DMG|1AART|1AAC	1LHND|2DMG|3DUST|4MBVNT|5RCR|6AME|7ERES|8AART|9AAC|aBASARM
166	31226 35513	 * 	173.79	ACR|3ASPD|1VULN|2CDMG|1SELL	1LEGI|29MLV|3VULN|4SELL|5RCR|69CDMG|7RMIN|89aASPD|9BPWR
